date,star,text,compound,neutral,positive,negative,subjectivity
2012-02-15,4.0,"Expensive, but very delicious. Great option of fish and meat options for the vegetarians or fish only eaters in your life. There was a variety of flavors in every dish. Small place, somewhat close to others but nicely cozy. Love the BYOB!",0.9764,0.632,0.368,0.0,0.7428571428571428
2011-11-21,5.0,"Quite possibly the best Italian food I've ever had outside of Italy. Seriously. The staff was awesome, the ambiance is classy without being stuffy or dressy, and the food is seriously good. I honestly don't really understand what the bad reviews are talking about because they don't reflect my experience at all! The Addison location was top notch, definitely check it out.",0.9456,0.637,0.277,0.086,0.5319444444444444
2011-10-22,2.0,"They are out of business now, and I can't say that I am surprised. We ate in once and carried out a couple of times. The portions were small, the food adequate if unexceptional and the prices were high.",0.4215,0.899,0.101,0.0,0.5433333333333333
2011-09-10,3.0,"The reviews on this restaurant read like sad sad comedy.  What the heck is wrong with people in Chicago?  Are you so cowed by snooty resto staffers that you will pay for whatever they put (or fail to put) in front of you???  It's unbelievable that so many people paid so much money to put up with this nonsense.  This is CHICAGO, folks, there's seriously good food around every corner, and in my experience it usually comes without a side of attitude. First of all, if you go to a restaurant for an 'authentic Italian experience' and the staff limits your table time, they FAIL.  Well, ANY restaurant fails if they do that, but in particular a restaurant claiming to present an authentic Italian dining experience.  The pros in Italy would be horrified to hear of this.  And if the place actually gives you the bad news in advance, when you make your reservation, why the heck would you go there at all?!  There's no food in the world worth being treated like a wallet on the hoof by the people serving it to you. Second, the minute the waitstaff starts with attitude is the minute the meal ends and you go elsewhere, or take it up with management.  Any staffer who gives you attitude because you ask for bread (WTF???) or are 'using a corkscrew incorrectly' is in serious need of some basic lessons in how to interact with people, and shouldn't be let out in public, much less be allowed to serve in a restaurant, until he or she gets them. I hope you poor misguided people who described these horrible experiences with waitstaff in need of attitude adjustments weren't fool enough to tip.  (And to be fair, that you explained WHY they were not being tipped - you are not responsible for paying their salaries,  that's taken care of by the management.  You tip to acknowledge good service.  So why would you tip if you were treated poorly?). The truly sad thing is that many of those who described this treatment were actually REPEAT CUSTOMERS.   Good God.  Right.  Why am I writing this?  I came here looking to see what folks have to say about the place, thinking it might be a good choice for a special occasion.  Clearly not.  And since I didn't eat here, why am I  'reviewing?'  Well, I guess this is more of a review of the reviewers than the place (hence the middle of the road 3 star rating - it won't affect the average one way or the other, since they've already got a 3 star average).  But I just couldn't stand to read one more review about the horrible treatment people received here, and in their final sentence...'maybe next time will be better'!!!   From the latest comments here, it looks like maybe their attitude finally caught up with them...both locations closed down and no further info.  (Although even in this circumstance, they appear to have managed to maintain their FAIL by not informing those with standing reservations that they were closed!)",-0.6175,0.787,0.104,0.109,0.47818132902878663
2011-09-08,3.0,"Damn Yelpers. This review is so bittersweet. I never had a chance to get here, and when I finally called to make reservations they are closed, but planning on opening a new location in hip pricier wicker park. Way to sell out terragusto. And yes, I am a little bitter. Yelp, mark this sh*t as CLOSED already.",-0.3185,0.801,0.062,0.137,0.44242424242424244
2011-08-09,1.0,"Good riddance. You always had the potential for great meals at Terragusto, but the wait staff was ALWAYS rude, your kitchen was horrible about dealing with allergies and refused to ever remove any ingredient from a dish, plus your bizarre family style rules made it so that we could never eat there with more than 3 people. You're going to go down in flames in Bucktown where people have tons of food choices and don't have to deal with inconsistent quality and jerks like you",-0.886,0.751,0.078,0.172,0.6673611111111111
2011-07-08,1.0,"WHAT IS HAPPENING OVER THERE!?!?  Something is clearly up with this restaurant group, and as a loyal customer a little transparency would be nice.  I've been to both the Armitage and the Addison location of Terragusto and loved them both. However, now the Armitage one is closed ""because the owner didn't have time for it"" (according to the only article I could find about the group), and the Addison one has stopped answering their phone.  We had reservations for 10 people last Saturday night (July 1). LUCKILY for us we needed to change the reservation to 8, so we called that afternoon, only to find a voice mail message telling us they were closed due to air conditioning problems! So now, wine for 8 people geared towards a 5 course Italian meal all ready to go, we had no where to go. We tried calling the Armitage location, unaware that it doesn't exist anymore. But their voice mail message didn't even convey that they had closed for good, but rather it said they had mechanical problems and wouldn't be open that night.  I have been calling for a week straight to complain to the Addison location, and every time I get the same bogus message about air conditioning. Absolutely infuriating.",-0.755,0.84,0.072,0.088,0.5007936507936508
2011-05-30,3.0,"Good news is I have been here before and will say the food is the star and meets expectation.  But I am beginning to drift away based on the experience I am seeing as a trend.  8:30 reservation that seats us to no waiter for 20 minutes only to be told we have to order fast before the kitchen winds down and then we find out half the menu is sold out. I get that issues come up and any given night can see a rush, but don't be a set course deal and not have enough food to accommodate the reservation.  It's one or the other.  I debate 'gusto all the time as their food is top rate.  But as I said to my better half after the meal, we should have gone just gone to Anteprima which had the same time slot.",0.7506,0.932,0.057,0.011,0.4383838383838384
2011-04-10,5.0,"An Italian culinary adventure! Each dish was better than the last, and the portions were the perfect size for two hungry adults. The food is delicious, simple, rustic fare made with all local and organic ingredients. We got the family style which means that the chef selects every course for you. If you don't like surprises this may not be the option for you, but you can order ala carte as well.  The Roscoe Village location is small and was fairly loud when we were there on a Saturday. If you are hard of hearing or with someone who is I would recommend trying this place on a week night maybe. It also seems to be the go-to place for large parties because of it's BYOB policy and family style options on the menu. However, if you can get over the noise volume, and make a reservation ahead of time, you are in for a GREAT meal!",0.9705,0.827,0.147,0.026,0.44954212454212455
2011-04-06,4.0,This place was great!  The food was fresh and out of this world.  Love the rustic setup as well as the BYOB ability.  Not your typical heavy Italian meal - the waitstaff was attentive and informative.  The six of us walked out of there happy and full campers,0.9583,0.683,0.317,0.0,0.5888888888888889
