date,star,text,compound,neutral,positive,negative,subjectivity
2011-03-13,4.0,"Sorry to hear it closed.  A solid restaurant in wicker park for many years. I understand why though after eating there in Dec 10.  My table had a wide variety of food since we all had the big tasting menu with wine pairings.  Everything was well prepared and tasty but with few stand outs. Nothing seperated it from the other fabulous restaurants in the city.  While I found the ambiance cool a decade ago, now it seems dated, especially with it half full and a completely empty bar. When it first opened it was like Sunda or any of the other Rino restaurants are now, bustling and great seafood.  Anyway, enough with the nostalgia.  I'm waiting for a new great restaurant to enter the great space so when I head to WP there will be a new destination restaurant in the area!",0.9874,0.753,0.224,0.024,0.4958677685950414
2011-02-05,1.0,"Horrible experience.  The guy at the front was a jerk (found out later that he was actually the manager).  The bartender was snobby.  The waiter was average at best.  Seems like most of the staff except for the busboys and (servers...the waiters don't touch the food) feel that they are above us diners.  I'm shocked this place has such high ratings. Having said that, the food actually was really good.  I feel bad that the chef is being represented by such a group of goons at the front.  They need to get over themselves quickly and learn how to treat people.",-0.2665,0.766,0.108,0.126,0.4404444444444444
2011-01-08,3.0,"Good riddance, Spring Restaurant.  Don't bother coming back.  The service was sub-par, the food was adventurous but sparse on flavor, and the atmosphere felt stilted.   I wish I had more to say, but I don't.",0.7729,0.763,0.237,0.0,0.5
2011-01-07,5.0,"UPDATE: I just read others' reviews - Spring is CLOSED?! Wow, I am sooo disappointed. Please re-open! Pleeeeease! I wish I could give Spring more than 5 stars. My husband and I have been twice now - once for NYE dinner in 2008, and once to use our Groupon (which they still partially honored even though we had stupidly let it expire). Both times the service was impeccable, the food out of this world, and the cocktails creative with clean flavors. Since Spring isn't a place you can visit everyday (or at least I can't), I hate to recommend dishes that you won't be able to get in the future. But my favorites so far were the coconut lemongrass soup with mushrooms; the fig and blue cheese tart; and the short ribs. Really though, I've never had a bad or even mediocre dish here, and the servers are really good at talking with you about the menu and making recommendations, so ask for their help if you're teetering about your order. It's a pricey meal, but the experience is so relaxing, romantic and well-timed, and the food/drinks are so good that it's worth it.",0.9827,0.788,0.184,0.027,0.5756944444444444
2011-01-06,1.0,"We came here for food upon recommendation from friends, as we heard the fusion food here was pretty good and the restaurant was closing end of 2010. My experience, this was a terrible place for food, we had a fixed menu of items to order for the 3 course meal, appetizer was thai soup, nothing spectacular. The main course i had steak, which was terrible, i have had better servings from Mcdonalds. Appetizer was something i could not remember apart from the terrible taste. We complained to the manager about the food and taste, and were given complimentary doughnuts, which in all our opinion, was the best dish for the night. Would never try this place again. Service was alright, wasn't too bad, atmosphere was enjoyable,but that was about it.",0.9011,0.757,0.162,0.081,0.6307692307692307
2011-01-05,4.0,"This is so sad.  I had two reviews in my saved queue for restaurants that have closed before I finished writing the review.  Am I really this lazy?  Yes!   The saddest part is that I loved them both!  Spring was a really sexy space with some pretty great food, both with a subtle asian vibe.  Amazing house made ice creams with dessert. I wish miss it, but I am planning a trip to Shawn McClain's other restaurant, Green Zebra, to help soften the blow.",0.9063,0.673,0.236,0.091,0.6096153846153846
2011-01-01,5.0,"I dined here one last time on the day before they closed their doors for good.  The food and service were exemplary, as always.  However, that's not why I'm going to miss this restaurant so much. My mom and I used to eat out often, primarily on Tuesdays.  We first ate at Spring not long after they opened.  It immediately became our favorite restaurant.  Unfortunately, I couldn't afford to eat there as often as I would have liked.  Spring remained Mom's favorite until her passing almost two years ago. After her death, I almost exclusively dined at Spring alone.  I could still see Mom sitting across from me, bemoaning the fact she forgot her pocket flashlight and straining to read the menu.  Dining here reminded me of all the great meals we enjoyed over the years. I think what I'll miss the most is the rekindling of all those fond memories.  Thanks, Spring, for all the great experiences.  You will be missed.",0.9432,0.755,0.158,0.087,0.55625
2010-12-18,3.0,"""Meh"" wraps it up. Having lived close by and frequently having out of town guests wanting to go out for a nice dinner, I've dined here a handful of times.  They have a decent wine list, and the food is good. But there are at least 75 restaurants within a mile of this place that have ""good food"" for literally 20% of what you'll pay to eat here.  While not to everyone's taste, their decor is unique and interesting. I always enjoy the desert.  But we're in Chicago here. When you're spending over $200 on a meal for 2, you should have a perfect and unforgettable dining experience...and there is no shortage of restaurants in the vicinity that are equipped to provide that to you.  Sorry to see you go Spring, but I'm afraid that too many of the people who talk your restaurant up enjoy talking up expensive restaurants far more than dining at them. Better luck next time. :-\",0.9549,0.814,0.141,0.045,0.6583333333333333
2010-12-16,4.0,"Had the four-course tasting menu-- a bit pricey but I guess not really for this type of place.  The Amuse Bouche was a really interesting mix of textures and flavors (I think it was a Hamachi sashimi bite?).  My strategy for the evening was to start out light and get heavier towards the end of the meal because I wanted some steak if I was going to pay a lot.  So I started out with the oysters which were very light but not really all that memorable (though still, as with all things that I will criticize here, pretty good).   I had the brussel sprout salad next with tiny bit of ""Thai"" pancetta and I think this was my best course of the night-- a great balance of flavors and textures, kind of fun to play with as you are eating it.  My girlfriend had the apple-ginger soup which was excellent and was surprisingly not salty.   I had the ny strip for my third entree with oxtail tortellini which was very good.  This was a dish that was not overly seasoned as well so you could really make out the flavor of the meat.  The tortellini were little bursts of flavor along the way, enhancing the flavor of the steak.  Overall I was really happy that nothing was too salty in this meal, which seems to be the go-to for higher end cuisine-- just ply them with salt and fat and they'll be happy.  My girlfriend's gnocchi was better than my steak as it was light and fluffy, and the added twist of sesame flavor in the dish really made it feel like something new. Desserts were fine.  I had apple cider panna cotta which was a bit dull and I didn't think the acid flavor of the cider worked well with it.  However, the Mexican donut on the side was excellent and made the panna cotta much better when eaten together.  My girlfriend got the ice cream trio which was flavorful but nothing new to me.   All in all it was a great experience for someone who would usually spend about $30 on two people for a meal, and doesn't like fancy artifice or gimmicks.  Wish it would stick around for another visit.",0.998,0.77,0.21,0.02,0.5183971291866027
2010-12-09,5.0,"I love Spring and am already mourning their imminient departure. Of all the excellent restaurants in Chicago, Spring is the one that we frequent the most. Technique and flavors are always exquisitely executed. The staff is accomodating, warm, and successfully maintains decorum without compromising comfort. The sommelier has the most excellent demeanor, and always made our visits that much better with her on-point pairings. Go now, while you still can!",0.9421,0.71,0.232,0.058,0.6950000000000001
