date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-29,5.0,"Came in on a Saturday around 10pm, party of 4. Came in and got greeted to pick our own table. This place is literally so beautiful and relaxing.. it is dimmed out with good music playing in the background. And let's talk about the decor.. WOW just wow. If you've got an eye for furnished places you will love this place.  We ordered food from fries, to a burger, and even jumbo shrimp.. personally my favorite. (W/basil,peppers) accompanied by a glass of rosé. I will definitely be coming back, love the ambience and people here.",0.989,0.684,0.316,0.0,0.7299999999999999
2017-07-10,4.0,"I met up to have Sunday brunch with a friend and she chose this restaurant (located in the hotel). I didn't have the heart to tell her that the yelp reviews were horrendous since this was only a 8 minute walk from her condo. Plus I didn't want to be that person who's all, ""oh, choose whatever you want!"" and then shoot down the idea, haha.  We get there a little past 10am and the entire place is dead. Not one single person. We were seated immediately and coffees were brought right away. I ordered the beef brisket with diced potatoes and a poached egg, and she ordered the lobster soft scramble. My beef brisket dish had good flavor overall but the brisket itself was pretty dry. Portion sizes were normal and prices were very high (~$22-25 a dish). It is the Gold Coast area after all.  Ambiance was nice though and the decor is really unique. The location itself has historic value, and there are photographs downstairs of all the famous celebrities that have visited. I can imagine this place doing better in the evening for drinks, as it has that loungey feel.  All in all, this is probably more a 3.5 star. Service was very good and attentive, food tasted good, ambiance was nice, but prices are very steep especially for what you get.",0.9795,0.831,0.136,0.033,0.5927103174603173
2017-07-09,1.0,"NOT impressed. The prices were outrageously high. The menu had only a handful of items to choose from. The servers looked like they just rolled out of bed (unkempt hair and clothing, when bent over could see underwear).",0.5267,0.813,0.134,0.053,0.8466666666666667
2017-07-08,3.0,"Great food and beautiful space, but double-douchey clientele ruins this place. If you're looking for wannabes, poseurs and fools with delusions of grandeur, this is your go-to! Really, no one but tourists go here. But hey, don't blame the back of the house for the front of house's problems. If you want to enjoy delicious food, go very early on a weekday to miss the crowd. The menu is surprisingly good.",0.9195,0.545,0.291,0.164,0.5155555555555557
2017-07-05,3.0,"Pump Room caught my eye because of the decor. The menu was plain and the reviews weren't great, but I really wanted to go because of the champagne bubble decor. Came here on a Sunday night and it was not full at all. Pump Room is attached to a hotel in Gold Coast and easy to spot. Service was not super attentive or friendly, but I hardly care about that. The food is what got me. The entrees are mostly $30, so I opted for the tagliatelle, the cheapest entree on the menu at $22. Plus, I love pasta, so it was a win, or so I thought. The tagliatelle was topped with Meyer lemon cream parmesan and black pepper. I disliked it so much that I couldn't even finish the dish, which is unusual for me. They gave a good amount of pasta for one meal, but the lemon cream sauce was borderline inedible. It tasted like a lemon tart and the parmesan cheese was not helping. It seemed like the chefs were trying too hard to make the pasta savory and sweet.  My boyfriend got the snapper for $34. It was probably the size of a deck of cards. Definitely not worth the money, but at least it was seasoned and cooked well. I don't have any other complaints except for the portion. The best part of this experience was that they asked us what occasion it was, and after I said our anniversary, they brought chocolates for us. They were also super friendly about taking pictures and knew how to get the bubbles in the background. If your only desire to come here is for the picture, I would just recommend taking the picture and going somewhere else to eat.",0.9928,0.744,0.187,0.069,0.5339065255731922
2017-06-24,2.0,A group of 8 of us came here for drinks. Place was poppin. We sat down and the waitress came to take our drink orders. She listened intently and wrote none of our orders down which made me anxious. She then got four of our drink orders wrong and simply forgot about two other ones. Extra star for the general ambiance of the place. Please give your serving staff pens and notepads.,-0.4215,0.901,0.031,0.069,0.4762400793650794
2017-06-13,2.0,"The Pump Room is not like before. Food got bad, service went down hill. Just totally different management company or something. I was so excited to check out their brunch on Mother's Day and surprisingly it was pretty empty. We had couple brunch dishes including their famous waffle and fried chicken. I expected it would be so good but the waffle was burnt and they gave me few tiny pieces of chicken. So disappointed. I probably can make better waffle at home. My friend got a Bloody Mary and it tasted like weird tomato juice with lot of booze. The whole thing was so bad. I really miss the Pump Room food before .",-0.8613,0.688,0.12,0.191,0.6296296296296295
2017-06-09,2.0,"After a long absence we decided to try the Pump Room again. The food is still good, the cocktails much more limited, but the service is even worse than it was when we stopped going before.  First of all we had to move mountains to get a reservation and then found a restaurant practically empty and never filled up.  The wait staff and management was very unprofessional. It's a darn shame. This restaurant was great at one time.",-0.8942,0.71,0.082,0.208,0.4569264069264069
2017-05-13,5.0,love the ambience- food and drink!  tuna tare tare was the bomb!,0.8684,0.532,0.468,0.0,0.6
2017-05-12,2.0,Sad.  Kitchen just went down hill.  Not sure if it's a staffing issue but the food takes forever then comes out cold.  We noticed a few tables not getting served after an hour.  Staff friendly and ambiance is great but food and timing is out of wack.  Please get a new kitchen staff and come back to life soon.,0.926,0.754,0.215,0.03,0.5535914702581369
