date,star,text,compound,neutral,positive,negative,subjectivity
2012-08-03,1.0,"If I could give this place ZERO stars I would. A friend of mine called and spoke with someone about having a party there and getting a table. When we showed up we were made to wait. Then we were told that they were having a private party and were not allowing anyone in not on the list. Well, that is fine, but they could have called to let him know so that he would not have all of his friends show up! Also, funny how other people seem to just walk up and get let in without anyone checking a list.  My friend ask to speak with the guy he spoke to and when he came out he was not apologetic at all. Oh and let me say that many of us are university grads with professional careers and business owners so not some thugs, etc!  After this treatment we were more than happy than to spend our $$$$ at another place that does not judge books by their cover!",0.9785,0.85,0.15,0.0,0.54375
2012-05-08,1.0,"I came in to have a drinks and I was charged $28 for a 2 vodka/Redbull with lots of ice... (There was about only 5 ppl in the club) I looked at that wimpy white guy and asked if he ""was jk.""  He said ""don't wry they are strong drinks"" and then tried justifying his price based on ""if you go anywhere in downtown they charge that"" I told him this isn't exactly downtown nor is it Bellagio's in Vegas! Then...he gave me a half Redbull can that he used for 2 of my drinks and said I can have it...wtf?! No thx! I prefer keeping my teeth then drinking ur sugar drink alone (w out liquor)... which you charged me $14 for each drink $28 for two... I finished my drink...poured Redbull on empty glass (otherwise he'll use it to charge someone else another $28 for 2 drinks...  The music was horrible... Did I mention they tried charging me $20 at the door at 10 O'clock? Thank goodness I had a txt...But I was still ripped off at the bar... I'll never go back there again.  Beware!",0.6517,0.868,0.061,0.071,0.45625
2012-03-24,2.0,"Nice people, but not that good of a late night place. It's in the middle of no where...unless you go to Le Cordon Bleu for culinary school...and then want to go out.  1) Drinks are expensive- Vodka & Sprite = $9 2) Very narrow setup 3) Bar tenders looked very Jersey Shoreish 4) Music was not very danceable",-0.3937,0.818,0.086,0.097,0.4466666666666667
2012-02-27,2.0,Over priced with douche dudes.  Venue was interesting,0.0516,0.536,0.241,0.223,0.5
2011-11-23,3.0,"I actually don't know what to call this place. A club? A lounge? A bar? They play dance music, but there really isn't much room to dance upstairs. The drinks are kinda pricey but not that bad. They are also really strong, so cheers to that! My friend had her birthday here, and we got a deal $35 for 8 drinks valid all night. Not bad, since the drinks were $9 a pop. The crowd here seems really young, like maybe fake ID young. A lot of girls wearing basically nothing,dancing like there is a pole in front of them. Some girl was literally dry humping some guy at a table. The whole place was watching, and did anyone do anything.. no. Come on security! Gross!   I did have a decent time here, don't get me wrong. But, If you really want to go dancing, there are just so many other options. If you're looking to go home with someone, maybe this should be your place.",0.9854,0.727,0.215,0.058,0.4880208333333334
2011-10-10,2.0,"I would not recommend hosting a party here. I organized my birthday party here and had a package arranged with the manager for a drink special of $30 wristband, a bottle of champagne, and cupcakes. At first the manager seemed great, really helpful, and outgoing when I talked to her over the phone. However, when my party arrived the manager was too lazy to come to the door to meet with us (even though she told me she would have everything set up and would take good care of us) and she told the door man to change the price of the wristband LAST MINUTE to $35. We paid the $35 since we were already there and walked in to a completely EMPTY bar. We also NEVER received the complimentary bottle of champagne or cupcakes. The manager is basically a liar and this club is definitely not worth wasting your money and time. I even asked her about reserving a table and she wouldn't reserve a table unless we got bottle service. (it turned out ok though because the place was empty so we just took over one of the tables that was ""reserved"" for invisible people that never showed up). There was also suppose to be a dance area in the basement, but it was closed most of the night which was a bummer because that was one of the reasons I picked Stone Lotus. Had I known all of this beforehand, I would have hosted my party at a different venue...   The only reason I gave Stone Lotus 2 stars was because the waterfalls inside are very nice. The club is really small though and not really worth all the hype. Being here once was enough for me.... it's definitely not worth going to again because there are so many other bars/clubs in Chicago that I think are much better.",0.8665,0.816,0.105,0.078,0.4706845238095237
2011-09-21,4.0,What a ridiculous state of affairs this turned out to be.   In an oh so good a way.   Whoa!,0.3681,0.697,0.187,0.116,0.8
2011-04-18,5.0,"I have to say that I am a little surprised to give Stone Lotus a 5 star review, but they completely earned it.  This kind of club is not normally my scene, and I was a bit wary about going here from reading the other yelp reviews.   We arranged for a table with bottle service because we were celebrating a special occasion.  The service was impeccable, the drinks were excellent, and the atmosphere/music was great!   I can't tell you how professional the staff was.  They took such good care of us.   The music is kind of dance-trance but then they had this guy come in and start playing a bongo drum with the beats of the music. It was amazing!  You could visibly see how this addition affected the dancing and the crowd. The people who come here are pretty interesting.  It is 50/50 Jersey Shore types and normal Chicagoans. Most of the girls who were dressed up had their butts hanging out of their dresses.  Pretty weird.  But the other half of people were not out of the ordinary and very friendly.  There were a lot more guys than girls there. The club itself is very stylish.  It has a long waterfall wall on one side, and the bar on the other.  On the ceiling is this beautiful lotus flower carved out of wood.   The only bad thing was that they had a half naked dancer, dancing on the back of the seats for half the night.  It really detracted from the scene and you could tell how disgusted people were. Everyone took a big step to the side, away from where she was dancing.  Get rid of this girl!  It's degrading.",0.9931,0.759,0.184,0.056,0.5953273809523809
2011-04-10,4.0,"Great bar with an awesome GM! Went here for my 21st birthday, so I know they had to put up with a lot...but we did get free champagne and they were all very nice!",0.9544,0.608,0.392,0.0,0.71
2010-12-26,1.0,"They need to consider re hiring their staff. That old woman who works the door with the short hair and wrinkled face is a joke. She is 40+ years old and still checking IDs. Listen lady, I know your life sucks but don't take it out on me and my pals when we wanna go out drinking in your crappy club. Morgan is her name I think. Anyhow, she says we need to ay 30$ to get in the door. I told her that was not gonna happen and then she said ""Then go somewhere more affordable"". We all walked out and laughed. Note to owner- That woman is prob not the best face woman to have at your club. You want someone young, good looking and sweet. My heart goes out to her but she needs to face the facts. She is an aging club girl and the scene is all she has left.",0.4015,0.846,0.088,0.066,0.3318181818181818
