date,star,text,compound,neutral,positive,negative,subjectivity
2015-04-05,1.0,"How this place is so highly rated, I have no idea. People keep trying to have us for dinner here and it's always loud, we've hade to wait 30 min past our RESERVATION time, and didn't get to eat until 2 hours after our scheduled time. The service has been down right rude. We avoid whenever possible.",-0.7693,0.872,0.0,0.128,0.573514739229025
2014-12-10,5.0,Omg!!! Went here on a date and tried sushi for the first time and now I am hooked. The spicy yellowtail was so delicious. The portions are big. Staff was friendly. Atmosphere is fun and Romantic. Best sushi in Chicago.,0.9639,0.634,0.366,0.0,0.419047619047619
2014-10-14,3.0,"Definite 3.5 (when is that coming, Yelp?). We had a pretty nice meal here. The interior is awesome and modern, but I'm never very crazy about sitting extremely close to other couples, which is the setup here. The filet robata with manchego was awesome, so was the sea bass small plate. The giant corn side was interesting, and I had not seen that before anywhere else. We also tried several sushi rolls, and the fact that I cannot remember any of them by name probably signifies that they were really good, but not great. Overall it was a lot of fun trying a million menu items.",0.9735,0.732,0.233,0.036,0.6009615384615384
2014-09-03,4.0,"I really enjoyed our dinner at Sushi Samba. The main reasons for this positive rating are due to:  1. Great atmosphere & decor. Such a happy, lively place with a bright colors, trendy decor and good music.  2. The sushi was fresh and well presented. Even though some of the menu items definitely catered to the western palate overall the presentation and flavors were very good making this a place I will come again 3. Good service. The service was quick, professional and waiters/waitresses well informed.  4. Reasonable prices. Hard to find in this part of the city making it another reason to visit.  Overall a good place to bring kids and adults alike and worth a visit in town.",0.991,0.678,0.312,0.01,0.4927272727272726
2014-08-28,2.0,"Meh... We wanted to like this place but it fell short. The restaurant itself looks really cool, but the bathrooms seem to be falling apart. The food wasn't bad but I feel like Japanese/Peruvian/Brazilian is too much attempted fusion that doesn't live up to expectations. For a party of 4 at lunch our bill was $250 and we all left hungry. Drinks and service were slow despite being only 1 of 3 tables in the restaurant.",0.9302,0.787,0.19,0.023,0.4645833333333333
2014-07-29,3.0,The spicy tuna roll was wayyyyyyy better than the overpriced celebration roll.  The quality of the fish was definitely better than other locations and that's why I might be back.,0.8176,0.754,0.246,0.0,0.34375
2014-07-23,2.0,"I really wanted to like this place. My old boss used to go to the Sushi Samba in London every time he was on a business trip, and I figured it had to be amazing in Chicago as well.  The decor of the place is great--- love the Pit area, which really is like a pit in the middle of the restaurant, a little lower than the rest of the restaurant, very cool atmosphere.  Beyond that, everything else was mediocre. I had the Nina Fresa cocktail-- a muddled strawberry martini-- apparently one of the best sellers, but just okay. Nothing special. Ordered the bobo Brazil--- of which I could barely taste the wagyu beef. The veggies in the roll overpowered the taste of the wagyu.  The Samba Rio roll was alright--- I like lobster... it was good. But nothing to write home about. The sea bass on the Robata menu was pretty good though--- that was done well. I'll give credit for that! Service wasn't bad either.  But overall, I'd come here for the ambiance, but not the food. Whatever, I just wanted to try it and see for myself.",0.9908,0.779,0.214,0.007,0.4944331065759637
2014-07-16,5.0,"Samba sushi has delicious fusion sushi and robata (grilled meats!) We had the skirt steak, yellow tail ceviche, bobo brazil and neo-tokyo rolls. All were super tasty,  full of flavor.  The zingu beer was light and delicious.  The lychee bubbly hit the spot with refreshing sweetness.  Our waiter, Christoph, was very attentive,  entertaining and full charisma.  The manager,  Adam even came to check on us. It's a fabulous team at Sushi Samba!",0.9708,0.75,0.25,0.0,0.7424242424242425
2014-07-15,5.0,"I went to Sushi Samba with a party of 9 for a friend's bachelorette dinner. We had an altogether lovely experience. The manager -- I believe his name was Scott -- came right over to our table with a round of free shots, which had acai puree and rum and were enjoyed by even the less enthusiastic drinkers in the group. More importantly, Scott welcomed the table, congratulated the bachelorette, and kept an eye on us all night, popping over to address a couple of delays and minor service issues. The food was excellent. Everyone at the table seemed happy with her choices. The Pacific rolls were perhaps the best rolls I've ever had. We also appreciated the fact that the menu included  attractive options for three among us who do not care for seafood. Our waitress was sweet and accommodating. One dish came out late, and it was comped. Similarly, one of my cocktails was not exactly as ordered, so my shrimp ceviche (very tasty) was comped. I would also note that our waitress split the bill *by each girl's order* at our request -- this was a lot of work, and very much appreciated, since the cost of each girl's meal and drinks varied enough that it did not seem fair to split the bill into equal parts. Prices were appropriate for the quality, ambience, and overall experience. I will be back.",0.9911,0.806,0.176,0.018,0.5074955908289243
2014-07-08,4.0,"wonderful mash up of sushi and south American foods. wow! shrimp seviche was amazing, so much flavor. pacific samba roll really top notch. lovely to eat outside and watch the world stroll by. excellent service.",0.97,0.575,0.425,0.0,0.6
2014-06-30,1.0,"My husband and I chose SushiSamba because we were craving sushi and wanted a place with great food and a cool atmosphere while we were in town from Colorado for the weekend. First, the sushi was good- nothing super unique. We had made reservations, but walking in, the restaurant was pretty empty for prime time on a Sunday evening. This is usually a telling sign for what you can expect of food and service. They have a 50% off check-in deal, but it wasn't even listed on the menu. If you usually order a majority of rolls, this isn't the place for you. The only had about 6 specialty rolls. The service was extremely slow. Our party got a few small plates and a number of rolls. The waitress even advised us to not order too many rolls as it would take a while. They only had one chef making sushi. The atmosphere is cool, but when you are sitting in a brightly lit, empty restaurant the atmosphere is not so fun. I usually am one that likes to pick a restaurant with a cooler atmosphere if the food looks comparable. In this case, I learned my lesson. We had originally been debating between this place and Sunda and wish we would have chosen the other after our meal was finished. My favorite part of our meal was the mojitos.",0.9691,0.818,0.137,0.045,0.5802083333333333
2014-06-16,4.0,This was my second time coming to this restaurant and I have to say they have improved on serving the food much quicker. The only com would be our server. He was very knowledgable and great at answering my questions but when my family asked him questions on how big a plate was he answered back I don't know so you want me get the exact weight of the plate with a condescending attitude. Other than that wonderful all around perfect ambiance. The specialty sushi's are AMAZING!!!,0.9773,0.763,0.237,0.0,0.4895833333333333
2014-06-12,1.0,"On Monday June 9th, myself and 3 friends chose to have lunch at Sushi Samba. We were attending NeoCon, a 3 day convention, down the street at the Merchandise Mart. The place was not too busy and we were seated around 11:45am. Our waitress greeted us and pointed out the specials they had that day for NeoCon. She mentioned that the bento boxes would be the quickest. All 4 of us decided to go the quick route and each ordered bento boxes. Our waitress, Hayoung, didn't come back until 15 minutes later to take our order. We waited 15 minutes and still had no food. Another 15 minutes went by and still no food. Finally I waved her down to ask if the food was on its way because we needed to get back to the convention. She asked what time we needed to return. Why does that even matter to her? I told her we've been gone too long and still haven t gotten our food and asked if she could just check on it. 5 minutes later, the host comes to our table with 1 bento box. We thought it was one of ours so we accepted it. Then after looking at it we realized that neither of us ordered it. So I waived her down again and explained. She picked up the bento box and brought it to another table and set it down in front of another diner. We gasped. Eew! That diner clearly saw that she picked it up from our table and brought it to him. Poor guy, we could see that everyone in his group got their food except for him. We couldn't hear what they were talking about but she took it back and brought it to her manager who then took it from her. The host came to check on us and explained that it was his first day. Not sure why we needed to know that. Finally our food arrived. It took almost an hour! The place wasn't even busy. We scarfed down our food and asked for the check. We asked if Hayoung could create separate checks and she went ahead and did that. We each paid with credit cards and to make sure she did not mix up the bills, we each folded our tab around our credit card. Guess what? She still mixed up the checks. Overall food was good but service was terrible.",0.9512,0.91,0.068,0.022,0.3955555555555555
