date,star,text,compound,neutral,positive,negative,subjectivity
2010-05-17,4.0,The tallulah eggs benedict was pretty good. I had many eggs benedict and I would consider this as special. I ordered a normal pancake and it tasted pretty normal. The place is really nice and have an upclass feel. I would definitely come back for their tallulah eggs benedict again.,0.9501,0.687,0.313,0.0,0.6471428571428571
2009-10-18,3.0,"Tallulah closed but has now reopened as a contemporary French restaurant called LM Le Restaurant on October 8th, 2009. **This business has closed again as LM Le and is now Gather:  yelp.com/biz/gather-chic…",0.0,1.0,0.0,0.0,0.09166666666666667
2009-09-27,4.0,"Saturday night at 8:15pm we decide to bail on the place we originally had in mind and come here with no reservation.  Thay could not have been more accomodating.  The room is lovely.  Though two-tops are often placed in less than desirable locations, our was along the north wall and near the front. The four tops in the middle of the room remained empty so sound level was fine. I had sweetbread in a terrific sauce,  pumpkin risotto and we split a cheese plate.  We were asked often my our polite and knowledgeable server about how things were going and twice by the front of the house manager.  This seemed standard practice around the room. We both loved our meals, the service and the atmosphere.  This place is not a funky neighborhood joint, and it is not a silly overly serious restaurant.  It is a wonderful balance and is the star of the many restaurants in Lincoln Square.  What a pleasure to have this spot in a nieghborhood of eclectic enterprises.  And it is perfect place to go before a show at Old Town School of Folk Music.  In NY an evening like this would cost (dinner for two and show) $350-$400.  We had an evening on equal footing for $160 (dinner with four glasses of wine and Alan Tousant at Old Town.  You can't beat it.  This is what big city life is supposed to be like.",0.9841,0.837,0.144,0.02,0.49801587301587297
2009-09-04,2.0,"I want to give tonight's meal one star, but I think if we tried Tallulah again, surely it would at least be a two star meal?  That is if we went back, which won't happen.  Cold, hard herbed butter.  At one point someone took the time to create the ice cream scoop-shaped ball of butter, why store it in the refrigerator?  Over-salted duck confit ravioli appetizer.  Uncooked cauliflower and unmelted brie in the scallop fondue.  Beyond medium-well East-meets-West steak, which was ordered medium rare.  And a stack of frites that were unevenly fried, topped with a sauce that was so spicy it was inedible.   The service was ok, and we were offered a dessert and after-dinner drink for free, but after one bite of the coagulated creme brulee, the spoon was down for the night.  And I'm not one to turn down dessert, however underwhelming it is.  The only saving efforts of the night, were that the scallops themselves were delicious, and the idea of duck confit ravioli with wilted greens and marinated cherries was worth trying at home sometime, where I know we'll have better results.   Like our server said, perhaps we were just ""that table"" who ended up with poorly executed appetizers, entrees and dessert, but for the price we paid, I expect at least one course to be amazing.",0.9886,0.848,0.152,0.0,0.5478070175438596
2009-08-29,4.0,"I came here with my parents and my husband for my birthday dinner last night.  We were early for our reservation but since the place was pretty empty, we got our choice of table.  We sat at a four top right by the window.  My mom and I love to people watch. I had looked on Tallulah's website the days leading up to my birthday dinner to get an idea what to order.  It's my thing to study the menu before I go.  Well, when I looked at the menu that was presented, there were changes.  And not good ones!  I wanted to order the pork belly with kimchee appetizer and it was no longer on the menu.  I was so upset.  And then the server told us that the grilled rainbow trout was being replaced with a pan fried Lake Superior Whitefish.  Same presentation but I was going to order that!  It just seemed that whatever I wanted was either not available or altered.  Update the menu on the website so then others won't be misled.  So, already in my mind, I was kind of against the restaurant. For appetizers, we ordered the spicy lobster deviled eggs, corn chowder and two lobster bisque.  The deviled eggs were more like hard boiled eggs with the lobster placed on top of each half.  Very tasty but a little on the salty side.  They did have a nice green mix on the plate as well.  The corn chowder was delicious.  I didn't try the lobster bisque because it had cilantro.  I can't stand that. For entrees, we ordered the wahoo (tropical fish), skatewing, pork loin and the whitefish.  The whitefish was divine.  It was served with fresh tomatoes and tempura green beans.  It also had a spicy aioli sauce on the plate.  I asked the server for the name of the spice.  I forgot what it was called but it is from the Mediterranean.  Wow.  That aioli was so good I could have just eaten that.  It was a nice companion for the whitefish.  I didn't try the other entrees but all the plates were clean by the end of the meal.  I'm taking that as a good sign. For dessert we got creme brulee and a peanut butter cake with honey mousse.  Now we got two to share.  My husband told me he wasn't going to eat any dessert but once he tried the peanut butter cake, he kept eating it.  A true testament to the cake.  It was delicious and rich.  I think we left a couple bites left on the plate. The space is awesome.  Nice clean lines with minimal decor.  The front part of the room was light and the back from what I could see was darker.  A nice contrast. There is also an enclosed patio but since it was cool outside, we didn't see it. Overall, a great meal.  We all enjoyed ourselves and the service was exceptional.  I know they have a brunch menu and will be going back for that.  This is such a nice place for a small group or an intimate date.  You won't be disappointed with Tallulah.",0.9982,0.766,0.187,0.047,0.5681266846361186
2009-08-04,2.0,"The decor of this place is unexpected. There's a really cozy patio in the back that my friends and I thought would be cool to have in your own place.  When we looked at the menu, we were so excited to try the variety of choices that stared back at us -- rabbit, quail, pork belly, chocolate peanut butter pancakes, duck omelet. So we each got one of the above with a side of potatoes and bison sausage so that we can taste each others dishes.  We were all so underwhelmed, it was disappointing. The chocolate peanut butter pancakes BARELY had any peanut butter but the taste of ginger was so pronounced, it was too much. The rabbit dish came out with about a pound of oil on it. The quail looked like it just still a bit on the raw side. I don't think I'll be coming back here.",0.7103,0.926,0.06,0.014,0.4393491124260355
2009-07-27,1.0,"Went here for my wife's birthday.  We were expecting some good food based on the reviews here but the food was so boring.  It was a Friday night and the place was empty....maybe 3 other tables in the front but still service was horrible.  Then the food...To start, we got the pork belly and the salumi and cheese plate.  The pork belly was nicely cooked and tasted ok but I have had that same dish 100 times before.  And then they topped the belly off with a huge mound of cellophane noodles.  I understand they were going for some textual variance but do it with something that is going to add more to the dish...maybe do something as simple as kiss the belly on the grill or dredge it in some flour and pan fry it or hell even better throw it in the deep fryer.  Just do something!  The meat and cheese plate was blah.  Then we got the rainbow trout with undercooked chickpeas and a mound of unseasoned mache and a ""steak"" that was cooked black and blue.  And I couldn't understand the ""steak"" thing...why not put what kind of steak it is on the menu.  Well then I saw the ""steak""....these guys are tricky.  They cut a top loin steak to look like a tenderloin.  So the unsuspecting customer thinks he/she is having a beef tenderloin.  If they are really trying to save some money they should buy some cap off top butts and cut them the same way...even cheaper and looks more like a tenderloin.(more flavorful than that crappy flavorless thing people call beef tenderloin but that's another story).  OK so then dessert.  I had the ancho chili chocolate mousse...really, pretty good.  I like chilies and chocolate. My wife had a pint of whip cream with a little bit of a chocolate peanut butter thing.  Overall, not going back.  We spent way too much money for a meal we could have made 10 times better if we would have cooked it at home. Tallulah, sorry, you kind of suck.",0.9653,0.755,0.146,0.099,0.5101766513056835
2009-07-16,1.0,"I can only vouch for breakfast - got the signature Tallulah Benedict, and it tasted like burnt salt. The fruit on the side was a good choice; less so was the lipstick-ringed water glass. Incredibly underwhelming in general.",0.6597,0.859,0.141,0.0,0.6133333333333334
2009-07-12,4.0,"MYOTN. Make your own tapas night, is how we approached Tallulah. First of all...love the interior. Beautiful. They certainly could spruce up their awning...rather, average.  Sat down, ordered drinks and among six of us immediately decided on apps. Here is what we tried, and my personal review: Lobster Deviled Eggs: Good. If you like deviled eggs, you'll like them. However, the flavor overwhelmed the lobster...so the lobster was a bit superfluous. Woodland Mushroom, Prune, & Blue Cheese Tart: Amazing. Nice pastry, good mix of flavor. Bulgogi-Style Pork Belly House made Kimchee: I don't like pork belly, so I didn't try. But, everyone said it was mouthwatering. Buffalo Tartare: One of my two favs. Sooo good! Steamed. Mussels: Fav. The sauce with this was so good, we asked for extra bread to dip it. There was some left still, and some of us were tempted to drink it. Oh, yeah the mussels were fresh and perfectly cooked. Not a closed one in the bowl! Lemon Parmesan Gnocchi Crisp Escargot: This was also really good, although I didn't really think the escargot was the best compliment for the gnocchi. I ate them separately, and both were excellent...but wasn't the best pairing. Also, we split three desserts: Chocolate Peanut Butter Pots de Créme: Uhh...I get chills thinking about it. Amazing. Light yet rich and indulgent. Ancho Chili and Chocolate Mousse: This too was amazing. Once again, the banana with it wasn't the best pairing. Points for creativity...but it didn't work for me. The mousse stands alone! Cranberry-Apple Crumble: Good. Seemed average next to the other two, but fruit was fresh, and it tasted really good. Overall, I really liked it! I would definitely go back to try entrees, but the apps (on this menu at least) won us over, and I would recommend all of them. Save room for desert.",0.9962,0.759,0.227,0.015,0.488085063085063
2009-07-12,3.0,"I went here with a friend on Friday night. Our server was very nice and the food came out rather timely, but it was hit or miss. The bread and the herbed butter was amazing. The special salad with caramelized walnuts and bleu cheese was very tasty. My white asparagus puree was nice, but the entree was where it fell flat. Seared Duck Breast with goat cheese potato dauphinoise, rhubarb chutney, strawberry gastrique. After reading that description on the website my mouth was watering. Our server asked if medium rare was alright and I said it was, but it came out medium well. You could barely see any pink. Sigh. Also, what it was served with really didn't seem to match up well at all. It was too much of a hodge podge with asparagus added to the plate as well. So many of my favorite things, but it just didn't work. I may go back again sometime, but it'll be awhile.",0.9811,0.813,0.177,0.011,0.4730952380952381
