date,star,text,compound,neutral,positive,negative,subjectivity
2009-08-06,5.0,"This location's closing left a gaping wound where my heart used to be. Well, that and the fact that we moved about 70 minutes away from this location a few months prior to the closing. But that said, I would gladly venture to the Wicker Park location for the amazingness that is all things Veggie Bite. Now, my husband is an omni, but even he cannot deny a deep-seated love for VB. Their shakes hooked him, and then the food? Sold him completely. LOVE their nuggets (but I suggest passing on the tofu sticks unless you like a lot of tofu with not a ton of breading--which neither of us do) but the cheese fries, gyros, you name it--awesome, It was totally a ""Mickey's Gyros"" kinda joint for the vegetarian soul. This is not rabbit or health food, just good ol' veggie fast food. Awesome. Just awesome. :)",0.9861,0.764,0.209,0.027,0.6041666666666666
2009-07-27,4.0,"I've been to Veggie Bite now on several different occasions and I have to say the food is delicious. It's good to have some vegetarian and vegan fast food options that remind you of a good old burger joint. I have visited both locations, before the south resturant was closed.  I have had the veggie gyros, b b q and tofu nuggets.  Yummy!!!  The place is fairly priced for what you could expect to pay for a typical vegetarian meal. However I do think the service is a little lacking and not a very big drink selection [ always out of cola :(  ]and they don't bring the food to you. which is the only reason that keeps me from giving this place a 5 star rating. Other then that I think it's great and very clean!!!",0.965,0.802,0.167,0.031,0.5712895927601811
2009-04-08,4.0,"For the record, Mt. Greenwood is NOT a suburb, it's a neighborhood of the city. The location was perfect for me, and the food was okay. It was nice to have a vegetarian option close by, but I'm not vegan so I couldn't appreciate the fake cheese sauce the way vegans could.  I also found the textures of some of their items to be odd.  Unfortunately, they are closed now.  If I head up north, I would stop in, but I wouldn't make it my destination.",-0.6278,0.768,0.099,0.133,0.6928571428571428
2009-03-08,2.0,"Word is that Fat Tommy's Hot Dog place is taking over the building on Whipple St. I don't think Veggie Bite will ever be returning to Mount Greenwood...my wife is dismayed.     I think once they got the Wicker Park location up and running, they kind of stopped caring about the suburban one. They certainly didn't ever put much effort into the place. And the service was always mind-bogglingly slow, and lackadaisical...no wonder they went under.",0.1298,0.866,0.07,0.064,0.4869047619047619
2009-01-10,4.0,"Well I have to say I am so sad to read that it is temporarily closed. But, at first I heard it actually closed.  When I realized there was a fully vegan fast food restaurant only a few minutes from my southside residents I seriously thought I was dreaming. Southside and vegan is not really words you would hear next to each other. My mom and I decided to try it out and see what it was all about. I ended up getting a Chili Cheese Dog and fries. My mom got a salad with chikn pieces. The chili is a 'meaty' very hearty mix it was sweet and had a great tang to it. I was also excited for the bun. It has been a LONG time since I have had a good vegan hot dog bun. This tasted similar to Fudrducker's bun (if you remember that place). Very buttery and toasty, it was perfect. My mom enjoyed her salad and it truly filled her up.  I have gone back a few other times. Once to get the chili cheese fries. Oh my god, these are a meal on their own. They are so hearty, you have to eat them with a fork. The cheese sauce is so delicious. Probably not the best thing for you, but it is just like the cheese sauce omni's have. I also got the Philly Cheese Steak. It was really good, but oh my god it was so much seitan. Though, the seitan was perfectly seasoned. I took out half of the seitan and took it home with me for a later meal. Again the bread was delicious. I hope they re-open with more than ice cream! It will be a sad day when the southside is back to being unfriendly to vegans.",0.9837,0.803,0.15,0.047,0.4885964912280702
2008-12-15,4.0,"Oh no! ""Temporarily"" closed for ""remodeling"" with a ""helpful"" sign directing patrons to their ""conveniently located"" other store in Wicker Park. (AAAAUURRRGGHHH this damn economy...or something like that...) The phone number sends you straight to the north side location and the person on the phone said they were going to reopen in ""a month or two or something like that"" and that they are going to start selling ""just ice cream or something like that"" only there now. Aww fuck.... Damn. Damn. Damn.",-0.6145,0.747,0.111,0.142,0.5625
2008-11-06,5.0,"Monday was an off day for VeggieBite. When I walked in the guy on the register was new, he didn't know how to work the credit card machine and they were out of buffalo wings (which I was salivating over after seeing them on the website). So on my first day I got a Philly Cheesesteak and a regular salad. Even though I spent an entire year living in Philadelphia, at this point I can't remember what a real Philly Cheesesteak tastes like. What I can tell you is that this one was amazing! Veggiebite uses its own homemade cheese sauce and a perfectly seasoned seitan beef, sliced thinly and oh so yummy. I really don't even care what a ""real"" Philly Cheesesteak taste like, because this is one is my one true love. Full review is too long to fit. For my entire review head to  veganguineapig.blogspot.…",0.9796,0.794,0.188,0.018,0.47860010360010363
2008-09-05,4.0,"I almost sh!t a brick when I heard there was a vegan restaurant on the south side, so for the sheer awesomeness of this strange, bewildering gem of truth alone I give it four stars.  I would give it five, but firstly, there wasn't ENOUGH propaganda. Hello, aren't meat-eaters supposed to feel just a tad bit guilty? After a delicious vegan meal it'd be cool if our omnivore friends could pick up some information about the benefits of being veggie or the environmental, ethical, and bodily devastation eating meat causes. Then again, something like that would have to be donated by some sort of organization, so that doesn't really fall under Veggie Bite's purview. It'd be nice, though. :) Secondly, the employees were not very helpful. I asked the guy behind the counter what he'd suggest to my two first-time-vegan-eating companions and he shrugged apathetically. He could'e been shy or new though, and having worked food service in college, I know all too well that sometimes there are moments when you just can't take another flipping customer pestering you.  Thirdly, I felt kind of disappointed in what I ordered but was blown away by my friends' food. One had the chili dog and the other ate a Philly, and both were pretty amazing. My buffalo on rye tasted a kind of bland, as did the tofu bites. I've heard great things about the buffalo bites and shakes though, and will be back.  Even if this place sucked I'd be back just to lend support to the type of food I'd like to see more of in the area. It's such a bonus that it's clean, affordable, pretty fast, and boasts a huge menu of vegan treats.",0.9955,0.694,0.229,0.076,0.569891774891775
2008-08-28,4.0,"One carnivore's confession.  The only thing better than meat is food that tastes like meat that won't slowly kill me.  If I can string together enough vegan encounters, the vegetable gods could probably convert me and steal me away from food-with-parents. Daddy liked Veggie Bites. I ate something that was a faux fried chicken sam'mich w/ tomato, lettuce, etc. I can't remember because I ate it so fast.  So good. I heard about the chili cheese fries AFTER I inhaled my lunch from a veggie friend. That will be my next move, no doubt.. Fast food veggie. Yes! The only thing missing is a drive-thru window and a kiddie toy deal w/ a crappy Disney movie. Maybe I could cruise up to a talking carrot (or Carrot Top, Is he business?) and place an order from the driver's seat. I wanna order chili fries from a talking carrot.  Stop fucking around and get on that, Veggie Bite.",0.8746,0.778,0.141,0.081,0.5928571428571427
2008-08-06,4.0,I love their Supreme Wrap and french fries.  I don't know if the food is all that healthy because the fries soak through the bag and you can taste the salt.  But it's a change of pace and I live on the southside (GO SOX!!) so it's not a chore to get there.,0.9018,0.802,0.198,0.0,0.4
