date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-24,4.0,"Love this neighborhood but it was my first time at Tuscany this past Tuesday.  The presentation of the Tea Forte was so cute; it just made me happy. My penne e capesante w/gluten free pasta was delicious.  I know firsthand that preparing scallops can be tricky but these were perfect.  My bf enjoyed his pollo montecarlo but said it was a little salty.  The wait staff was friendly, fun and attentive.  I'll be going back, for sure!",0.9932,0.579,0.404,0.017,0.6448148148148148
2017-08-18,2.0,"Don't bother. Food was actually pretty good, but the bad service made the experience meh. Saganaki cheese wasn't melted and the waiter acted annoyed when we asked him to relight it. Waiter got a dish wrong then accused us of ordering it wrong. Wanted dessert but we were ignored for over 30 minutes at the end of the meal and ended up just leaving",-0.9642,0.645,0.068,0.288,0.811111111111111
2017-08-12,1.0,"The food in this place is great but the manager (Caucasian man in his 50s or 60s) killed my experience. The company or owner of restaurant should probably hire someone who is a bit more welcoming. I walked in last night, apparently my reservation was the last on their list or something, and as I approached the host stand to let the gentleman know about my reservation I could sense he was not in a good mood.  So anyway, I tell him the name my reservation is under and he literally rolled his eyes and said. ""Ugh I know, your table is over there"" pointing at a table near the window. Is that the way you welcome your guests? Wtf dude?  So anyway, I asked my server right away who that man was and he says that the rude man at the door was the manager. Me and my wife told the server we thought he had been rude and the server replied ""yeah he's not very friendly, I'm sorry "".  All I have to say is that there are far too many qualified individuals that could replace him and do a much more acceptable job at greeting people at the door.",-0.93,0.771,0.089,0.14,0.5418701668701668
2017-08-11,5.0,Great food We waited a little bit because the restaurant was full at lunch time Good service Big portions,0.7906,0.696,0.304,0.0,0.5000000000000001
2017-07-31,4.0,"Tuscany Restaurant is a classy little Italian joint located near University of Illinois at the Chicago campus, also know as the heart of Little Italy. Parking is a bit of a headache, given its location. The interior design of the place isn't overly grandeur, but with evening dining, it is a cozy little romantic place. The restaurant serves up classic cuisine and has something for everyone. If you're a fan of the charcuterie boards, I recommend trying their antipasto for 2 which includes prosciutto, speck(which is a smoked ham), salami,grana (a hard cheese), parmigiano, and olives, served with thinly sliced toasted bread. Their veal filled ravioli served with their bolognese sauce is a solid choice.",0.8649,0.856,0.114,0.03,0.5083333333333334
2017-07-11,5.0,Had the toasted ravioli and it was amazing. Great service. Would definitely return. Had this at the taste of Chicago.,0.891,0.616,0.384,0.0,0.7166666666666667
2017-07-05,2.0,"The ambience is good, the staff was friendly but the food just did not live up to the expectations. Had ordered a pizza and a pasta, the pasta was okay but the pizza was not good. Not worth for the price.",0.8048,0.735,0.222,0.043,0.46666666666666673
2017-06-10,4.0,"First time here with a group. Tried a few things - fried calamari rings (good tomato based sauce, nice texture); Calamari salad/entree was excellent; I did not try the bruschetta because the others at the table were not impressed with it; I chose the papardelle with wild board ragu - great texture to the pasta, very good ragu but unfortunately too salty. Others in the party liked their mushroom risotto with short rib. For vegetarians, the eggplant parmesan dish was only OK. Did not try the chianti but their Pinot Grigio was on the sweet side. The server informed me that all pasta except for the linguine are made in house, which is always a good sign at an Italian restaurant. Overall a good experience with average prices for the area. Unfortunately  they do not use exclusively in season produce, explaining the less than desirable bruschetta.",0.9802,0.742,0.21,0.048,0.5854545454545454
2017-05-21,5.0,Amazing food !! Very authentic!! U can actually feel u r in a small Italian village...  definitely a must!!!,0.8257,0.61,0.39,0.0,0.4791666666666667
2017-04-22,1.0,"Today is my wife and I Anniversary had a Reservation at 7:00 pm got here on time, but made we wait for 15 minutes and sat other people who came in after me. I asked for the Manager his name is Alex that's what I was told. This was my first time trying to go here and will be my last. I did not appreciate they didn't Honor my reservation..",-0.7453,0.909,0.0,0.091,0.2583333333333333
2017-04-22,4.0,"I was looking for some good Italian food while I was in Chicago and Tuscany was recommended by my Uber. I'm glad I listened to his advice. First, the bread they brought with the oil/garlic/Parmesan mixture was fantastic. My mouth felt like it was having a party as I was eating that, it is delicious.  However, when it came to the meal, I was expecting homemade pasta from a place like this. I asked the waiter if the pasta is homemade, he said only the ravioli was. This kind of was a curve-ball for me and I wasn't sure what to get now. The waiter mentioned he could have the chef make me some Chicken Parmesan, so I went with that. For not being on the menu it was very good, there were 2 good size pieces of chicken with a side of pasta.  I would definitely come back here next time I am in Chicago. The customer service was great, and the food was better!",0.988,0.771,0.218,0.011,0.6473456790123457
2017-04-06,5.0,"Truly a great experience in all ways. From the beginning roasted garlic, olive oil and fresh parmigiana mixture for bread, through the rest of dinner, everything was delicious. A special note; Mario, our waiter, is the ultimate professional with personality to go with the experience. There were four of us and we were all equally well satisfied. Just go and enjoy.",0.9712,0.682,0.318,0.0,0.6301587301587301
2017-03-26,3.0,"***Vegetarian review*** I've been struggling with what rating to give this restaurant. I've visited three times so far, which in itself means there's reason enough to return. The fact I've visit twice already and haven't written a review highlights it's not a place I rave about.  I think it's only fair to break out the rating to highlight areas that I very much enjoy as well as the areas that were less than impressive.  ***** 5 stars - for the complimentary roasted head garlic of garlic that is mashed and mixed with olive oil and parmesan cheese to dip complimentary bread in. Pro tip- add a bit of salt to really bring out the flavor. This complimentary dish is reason enough to visit this restaurant. ***** 5 stars - for the pasta quality, which is homemade.  ** 2 stars-  for vegetation friendliness.  There are no designations of which menu options are vegetarian. Why should I have to read an entire menu word for word in order to find the few vegetation options on a menu? In a restaurant that uses traditional Italian names it can be confusing as to which items are in fact veg friendly. This means I have to rely on the waiter to confirm my options. If it's loud, it makes it difficult to accurately communicate with the waiter. If it is busy and the waiter will not be present for a while, I will be then be rushed to simply order whatever the waiter recommends. They went through the trouble of designating gluten free options, why not also add a ""v"" to veggie options??? My first visit's entree was worth a 4 star rating, second visit worth a 5, and last night's visit was worth a 1.  It was a sloppy, oily mess. I couldn't even eat it. This is clearly something the restaurant took no effort in. Luckily there was complimentary bread to fill up on.  ** 2 stars - for wine selection. The options seem to cater to the Apposing ends of the quality spectrum.  They carry extremely low quality as well as a bit pricier options. They really don't offer a mid range option. This is most apparent when attempting to order bottles, especially Champaign. Some of the worst Champaign/Prosecco I've had has been at this restaurant.  We almost didn't visit last night because I wanted wine and remembered their low quality drink options.  *** 3 stars for environment. There's nothing downright terrible about it. It just looks like they gave up trying about 15 years ago. Even the chairs have given up and are wobbly and on the verge of falling apart.  There is an outdoor patio that I feel is a nicer option than dining inside.  ****Service is technically a 3.5. Old school knowledgeable servers but not very friendly. All in all good option if you are close by, but not worth a special trip.",0.9742,0.846,0.108,0.045,0.44252815086148434
2017-03-25,3.0,"We went here on a Saturday night for a celebratory dinner, expecting authentic Italian food since it is located in little Italy! Maybe my standards were too high, but I was really hoping for fresh homemade noodles at the very least The first thing brought out is bread with a cheese/garlic/oil spread that is to die for- I could eat this at every meal for the rest of my life! And then we ordered two entrees, one with scallops and red sauce, the other a special with spinach noodles and lobster. The scallops/lobster had a gritty texture like they had not been cleaned properly, the red sauce tasted like the same one I buy in a jar from aldi, and the noodles were definitely out of a box. The spinach noodles were a delight, though and definitely homemade. For the price, I'm not sure that we would return",0.9744,0.768,0.185,0.047,0.39742504409171076
2017-03-25,5.0,"Excellent food and service for dinner on a Friday night. Great value. Ask for Kenny to be your waiter, he is the best. We had several plates to share: bruschetta, caprese salad, ravioli special (pork & mushroom), speck pizza, and ribbon pasta with ragu marinara. OMG! Everything was amazing and delightfully not overpriced. I always come here with my family when we are in the Chicago area!",0.9806,0.672,0.328,0.0,0.6459183673469386
2017-03-04,4.0,"I live down the street from Tuscany, and it's a go-to restaurant for date nights with my boyfriend, when we're both too mentally exhausted to come up with any other options. The restaurant always looks full from the outside, but don't let that deter you. We've always walked in without a reservation and been seated in under ten minutes. Now, I know the food is quite pricey compared to the other restaurants in Little Italy, if you're looking at cost per portion, since the dishes are quite small. BUT, here is what we eat so that we come away happy without a hole in our pocket! First up, I haven't tried any drugs, but the complimentary roasted garlic which is smashed and then drowned in olive oil and parmesan is what I imagine snorting coke would feel like. We eat that with ALL of the free bread. No wine, because we're not suckers for average, marked up beverages.  Next, we order a pasta and a pizza, or a pasta and an antipasti. Any pasta with a marinara sauce and seafood (especially shrimp and clams) is a really good bet! The calamari fritti and the margherita pizza are solid choices too.  If we're too loaded up on the bread, we skip the non-pasta dish. But pasta is non-negotiable. We usually get a dessert to share as well, usually the tiramisu. The ambience is cozy, a little too cozy. At peak times, it can be tough to carry out a conversation because the tables are really close together. The lighting is dim and evokes a feeling of calmness. Service is usually on point, but there can be occasional delays with bringing the cheque. The servers are all extremely pally and suggest dishes appropriately. Stick to the basics, don't order wine, eat ALL of the garlic. Repeat.",0.9799,0.847,0.117,0.036,0.46707516339869276
2017-02-25,5.0,Fabulous restaurant and always top quality here. It's a must on our trips to Chicago for real authentic Italian.  A great place for gathering with friends family or just having a romantic dinner with your spouse. It's on our best food list of Chicago,0.9601,0.645,0.355,0.0,0.5785714285714285
2017-02-15,1.0,"So I took my beautiful gf out to dinner for valentines day the night was going well up until I got my on try, after the first bite I noticed a hair in my food I was disgusted I brought this attention to my sever. The manger came over and apologized, and shrugged it off like it was just another day at his restaurant. I still had to pay for everything I order that night they are some cheap people that couldn't even offer free dessert!!",0.6305,0.788,0.129,0.083,0.7666666666666666
2017-02-05,5.0,"We happened to come across this restaurant during our yearly visit to Chicago. The food was absolutely delicious.  We started with calamari and a stuffed artichoke.....wonderful.  I had the chicken picante , on the advice from our server, and could not have been more pleased. The food was flavorful, the portions were large and the staff was friendly and attentive.  Did I mention reasonably priced? This place is in my list to visit next time in town.",0.8856,0.871,0.129,0.0,0.6531746031746031
2017-01-27,5.0,"Friendly service, efficient waiters, comfortable neighborhood ..food is outstanding. Staff is willing to customize requests. For a traditional Experience You Can't beat it for value and quality",0.9403,0.572,0.428,0.0,0.735
2017-01-21,5.0,Wonderful chicken with spinach plate with great atmosphere and willingness to change our reservation time 3 X.  Thank you ! We will be back !,0.9183,0.581,0.419,0.0,0.675
2016-12-14,5.0,"We happened on this place last year because it was the first restaurant on the corner of Little Italy, and oh my, what a jackpot. I come to Chicago once a year, and I'm going to be eating at Tuscany at least once every trip. We just ate there again tonight and it was one of the best meals I've had all year.  To start, they bring bread and make ""Italian peanut butter"" at your table to go with it: roasted garlic, olive oil, and Parmesan cheese. Seems simple, right? But it's SO delicious. Try not to fill up on it, I dare you.  My boss discovered the veal Parmesan (not on the menu) and will only ever get that because he loved it so much the first time. It's huge - I'm just estimating here but I think it's about a quarter acre of veal, deliciously breaded, quality mozzarella, and a side of pasta with your choice of sauce.  I got ravioli last year, which was good, and tonight I got the flank steak with mashed potatoes. It was absolutely divine. We ate at a $70/plate steakhouse last night and said this steak & potatoes were far superior  - again an estimate but I'd say at least 5km better. The steak was tender and the sauce and flavors were outstanding. The potatoes were creamy but still recognizable as potatoes (you know what I mean?), rich, and moreish. As in, ""I want more"" moreish.  I was eyeing the next table over when they all got a dessert that looked conspicuously delicious, so when our server offered the daily special molten chocolate cake with pistachio ice cream, all 3 of us gleefully succumbed in spite of having just cleaned our plates and filled our stomachs. And it's a good thing we did cause that dessert was divine. The decadent chocolate, the smooth and delightfully flavorful ice cream, and the whipped cream were complimented by a surprise pool of crème anglais that was so good I wanted to order a gallon more with a straw.  I'm sure the wine selection is equally impressive, but our little group sticks to eating our calories and just washed it all down with water tonight, so you're on your own there.  The service is prompt, courteous, helpful, and friendly - the only reason I could see anyone complaining is if they didn't understand the authentically Italian accents of the staff that fill this restaurant. I'd say that's quite a merit badge for Tuscany.  So of course I recommend this place highly - just as long as you save a table for me. I'll be the one licking my plate clean.",0.9988,0.762,0.225,0.013,0.5742246031746032
2016-12-08,5.0,"Tuscany is located at the beginning of Little Italy in Chicago and is arguably some of the best Italian I have had in this great city- all located close to where I live and work. Since getting to Chicago, I've always wanted to try this spot. Luckily an old friend from high school was in town for a conference so I made arrangements for us to have dinner here before he flew back home. Lucky for us, the food, service, and experience was fantastic. The restaurant feels very upscale and perfect for a date night. It almost felt like we had a private waiter with how attentive and patient he was with us as we were deciding what to order for our meal. Our waiter started off by providing the bread basket and creating a heavenly crushed garlic, olive oil, and parmesan dip. We then ordered a nice red for the evening before going into their Fried Calamari ($14), which are some of the best I've had in the area. The salt and pepper flare thrown into the mix was absolutely delicious. For my main, I ordered their evening special of the Shrimp Ravioli. The dish came out in beautiful colors with tender pieces of shrimp and plenty of pasta to go around. Add a bit of cheese on top and you've got yourself a fine meal. We decided to end our meal on a sugary end with their Chocolate Mouse Cake, a divine way to say goodbye. Now I can safely say that Tuscany was well worth the experience and a great option for upscale dining (but not too bougie) here in Little Italy.",0.9965,0.756,0.228,0.015,0.5090391156462586
2016-11-15,4.0,"pretty good italian restaurant, really liked the garlic sauce our server made for us prior to dinner for the bread loved the seafood pasta we ordered. the server is very friendly, great experience",0.9681,0.563,0.437,0.0,0.575
2016-11-13,3.0,"We had white fish and spinach excellent,sausage and beans which was good.Calamari appetizer is $13+ for a decent portion..All in all we had an enjoyable experience at tuscany and if you're on taylor street it's a good option.The waiters and cooks appear to be italian and i believe a good number of the restaurant's clientele are italian as well.They also had great wine selection..It was so refreshing in my mouth..Of course we got fresh bread and olive oil, but we also ordered a margherita pizza as an appetizer and it was sublime..",0.802,0.879,0.121,0.0,0.4716666666666667
