date,star,text,compound,neutral,positive,negative,subjectivity
2010-12-27,1.0,I just got the word this place is CLOSED.  We had reservations this weekend but my friends just found out the joint is shut down after the staff walked out on Christmas day.  Ho ho ho?,0.631,0.891,0.109,0.0,0.19444444444444448
2010-12-01,1.0,"We saw this restaurant near our hotel and since it was very cold decided to give it a try despite mixed reviews on Yelp. A big mistake. We ordered a bottle of mid priced wine and it tasted like vinegar, so we sent it back. So we decided maybe we should choose a different label and chose  the most expensive bottle in our selected category. We were shocked when it came with a screw top cap (as did the first bottle). It was mediocre at best. There is just no cache with a screw top cap on a bottle of wine when dining in what is supposed to be a fine food establishment. The waiter asked if we want to keep it chilled since it was a white wine. We said yes so he said he had to keep at the bar! A very strange thing to do.That pretty much did in the idea of a romantic meal when we had to signal him to refill our glasses and waited for several minutes with empty glasses while he waited on other customers. For our meal, we each chose a seafood entree - the halibut and salmon. Again, we found them mediocre at best. The pink peppercorn sauce on the salmon looked more like beef gravy with peppercorns and really had no taste. The halibut also was tasteless. Very disappointing and I would not recommend the restaurant.",0.8623,0.8,0.115,0.085,0.4633333333333333
2010-11-12,4.0,"Went there for lunch and enjoyed their daily special of a starter and main course for $14.95.  A good deal.  The salad was good as was Basa alla Milenese- which could have used more fresh lemon on top!  Service was good - attentive wait staff. However, we did wait almost 25 minutes for our main course, and the restaurant was not that crowded.  If you are shopping on Michigan Ave, this is a great place if you are looking for Italian Fare at a reasonable price.",0.9701,0.757,0.243,0.0,0.4992063492063492
2010-10-11,5.0,"Not sure what it is, but I think this place has improved tremendously.",0.7003,0.633,0.367,0.0,0.9444444444444444
2010-07-06,1.0,"I had the worst dining experience of my life on Sunday, July 4.  My boyfriend and I decided to get a nice dinner and he wanted Italian so I suggested Bice.  We arrived just before 7:00 pm and were seated immediately.  At this point the restaurant was more than half empty but it filled up quickly.  They seated a couple with a screaming toddler to the left of us and another couple to the right of us.  We waited and waited, enduring the screams from the toddler seated next to us, for someone to take our order.  And it was really warm, my boyfriend went upstairs to the men's room and said that he found the air conditioning, and it was upstairs.  Finally the waiter came but went to the table to our right and took their order first, then came to our table, this bothered me because we had been seated first and this couple had come in at least 5 minutes after we did.  When the waiter finally came to take our order, I told the waiter that I was trying to decide between the lasagna and the linguine and asked what he suggested, he pointed to the 2 house specialties and I asked which was his favorite and he responded that he would choose the Pappardell al Teleforno Come Bice Milano, which is homemade large noodles with tomato, basil and melted mozzarella cheese, so I went with his recommendation.  My boyfriend had a dish with homemade pasta quills, chicken, and mushrooms.  Once again we waited.  The couple to our right and the couple with the screaming child to our left were served their meals, and their bills, paid and left and we were still sitting there waiting.  We asked our waiter, who seemed to be the only waiter for the entire room, twice about our order, he said it was coming.  We were getting ready to walk out when they brought our food.  And after tasting mine, I wish we had walked out.  The large noodles were clumped together and lying in a tomato based cheese sauce, an unappetizing Italian version of mac and cheese.  I couldn't eat it, it was horrible.  The waiter came over to ask how everything was and I pushed my plate away and told him it was disappointing.  He did nothing but walk away, did not offer me another entrée, just walked away.  My boyfriend said his dish was mediocre and he only ate half.  And I must say that he is thin but has a hearty appetite and I have never seen him leave food in his plate, ever.  The waiter removed our dishes and he could clearly see that I had not eaten mine but he still charged us for it; he made no attempt to thank us for putting up with the screaming child and offer us a free dessert, he made no apology for the delayed food, nothing.  While we were getting up to leave we heard a woman from another table complain that they had been waiting 20 minutes and no one had taken their order yet.  I decided to complain to hostess about the poor service, the lack of air conditioning and the poor quality of the food and when I approached her there was already another customer with similar complaints.  I waited until the other woman stopped talking and added my complaints assuring her that we would never eat there again nor recommend it to any of our friends or business associates.  Again, a blank expression, not offers to try and make things better.  As I said this is the worst dining experience I have ever had and I have had better pasta at California Pizza Kitchen and Pizza Capri.  If you are in the neighborhood and considering going to Bice, don't, go across the street to Viand, which is what we should have done.  Bice should refund every person who was inside their restaurant on the night of July 4.",-0.9898,0.823,0.063,0.114,0.545694022289767
2010-07-04,2.0,"The food is definitely overpriced and bland.  I had the lobster ravioli in saffron sauce ($22) and it was a big disappointment; the sauce was watery and had no taste.  The lobster/shrimp ravioli itself was nothing special and could have been from the frozen food section at Costco for all I know.  My husband had the veal ravioli with mushroom sauce that was listed as one of the 'house specials.""  Though he'll eat pretty much anything, he didn't finish his.  It was salty and tasteless as well.  As another reviewer mentioned, they serve their bread with miniature butter tubs so you may think you're at the Golden Nugget.   The service was good and the ambiance was nice, though I wouldn't consider it a romantic place for dinner.  This place is definitely nothing special; especially at their prices!  I guess they're getting by based on their location right off Michigan Avenue.",0.6617,0.821,0.103,0.076,0.6069940476190477
2010-07-02,2.0,"There is something about Italian chain restaurants that just isn't right. I guess if I have to say something positive about this place - the wine selection is very good. Also, across the street is Garrett's Popcorn. I ordered the Lasagna and it was just drenched in some kind of creamy cheese. A little bit more than I'd like to spend on dinner.. 1 glass of wine plus dinner = $40 w/tip. The service was just OK. My guests and I had to wait a long time to order our food - not exactly sure why since the venue was not busy. Oh well... another tourist spot I will go out of my way to avoid.",0.8529,0.856,0.108,0.036,0.5318234290961564
2010-06-16,2.0,"I feel like I went on a bad ""match date"" the other night. You know the one. Where the person who shows up looks nothing like their picture and is obviously much older and more tired than any pic you have seen.  Such was my night at Bice. I thought I knew what to expect. After all- I've been to the ""sister"" restaurants in New York, Orlando and San Diego. Those gals are sleek, contemporary and stylish. Their service is spot on. And their food is amazing.  So what about Chicago's Bice? Just a poor imitation, in my opinion. We walked in to a tired looking bar area where we couldn't sit before dinner as the seats were reserved. Okay then. So we sat at a table and waited for the rest of our party to arrive. Service was pretty good in the bar area. When we got seated in the restaurant- the first table they put us at was right in front of the swinging kitchen door. The rug the servers walk on so to not slip was under our feet (that's how close we were). The manager walks by and hears us discussing this and at least takes action to move us to the back room- away from the hustle and bustle.  Good move yet the decor in that area was no better. Tired looking hanging window shades separated the various spaces, the wall sconces were a kilter and it just felt tired and worn.  As for the food there were some ""no no's"" here as well. The good Italian bread came with butter packets. Butter packets in a fine dining restaurant never work. They belong in a pancake house. The Italian bread was good, the accompanying foccacia bread was dry to the point of tasting stale- so bad that even those butter packets couldn't help. We ordered some antipasto and calamari to start. Not bad but our server kept calling the antipasto plate ""lunchmeat"". I get that he thought that was a descriptor (and I guess you could make a sandwich out of the prosciutto, and mortadella) but it took the whole experience down a few levels (perhaps the butter packets were his idea as well?) The antipasto plate needed more cheese as well. One piece of pecorino was not enough.  As for our entrees- I ended up with the winner in the bunch. I had the Bice special ravioli stuffed with short rib and served with a mushroom sauce. Very tasty. The other pasta dishes, didn't fare so well. The Bice special of pasta ribbons with cheese and basil was bland and tasteless with the noodles stuck together, and the bolognese was average at best. Hard to believe this is the same chain that usually has me raving about the food.  Service on this night was off as well. There were plenty of people waiting on us, but no one really ""taking care of"" us. Case in point- we asked for some additional olive oil and balsamic vinegar for our salad, and one guy brought one and another person the other. The bad thing? They both came so late that we were done with the salad when they showed up.  Valet parking is available up front for $12. You may have to wait a few minutes for the guy to show up as he seems to be working the restaurants around the corner as well.  So, like any bad ""match date"", I chalked this up to experience and went my merry way. There are so many great Italian restaurants in our city. I only wish I could put Bice on that list.",0.9888,0.825,0.114,0.061,0.47640749902654667
2010-06-07,4.0,Just went back for a third time! Every time my dad comes in town we always try to make it there for dinner. This time I took my boyfriend to meet my dad and could have asked for a better time.  It was a perfect night for dinner outside and the food was tasty as always especially dessert!  Service was good. Not the best that I have had but nothing to complain about what so ever. Trust me...I will be back very soon.,0.9429,0.809,0.191,0.0,0.37499999999999994
2010-06-06,5.0,"I love this place. The food is dependably great, and the wines are interesting and not super expensive (although they have those too!) and beautifully presented in huge pretty glasses. The food is dependably yummy. i am a professional woman, middle aged. I always visit BICE when i am in Chicago for a meeting. I go there because I can count on being treated resepectfully. The food is delicious. I am vegetarian but can always find a great number of salads and entrees that are veg. and if they aren't, they are fine with substitutions.  the restaurant is beautiful and feels like a classy neighborhood place on the edges of the Gold Coast, with a really cool bar in front. i love sitting in the outdoors in summer.  But the absolute BEST is sitting in the front by the bar when it is cold and snowy out--so cozy and no one ever hassles you, they just treat you like royalty!",0.9951,0.651,0.314,0.035,0.6803030303030304
