date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-19,4.0,"Urban belly is a great place to get dinner with a group of friends in a upscale casual setting, and serves as a good introduction to Asian fusion.  Here's a quick rundown of all the dishes we tried: Phat rice - greasy goodness; would be a perfect post hangover meal! Urban belly ramen- there portion was huuuuuge and the broth was flavorful and packed with vegetables. The noodles were so-so Pea shoot Madras curry rice- one of two vegetarian options. The dish was a bit dry and I think the curry portion was really just the powder and not the actual curry  Wok fried rice cakes with shrimp- so, so good! The stir fry sauce was equal parts sweet, salty, umami packed, and spicy. The shrimp was juicy and flavorful and all the components of this dish went together like a dream  Rice and salad bowl with BBQ pork belly - the picked vegetables in this packed a real punch. The soft boiled egg was cooked perfectly and so was the pork. A must try! We came here on a Friday night and while bellyQ next door was packed, this place was relatively empty and our group of 6 was able to quickly situate ourselves at one of the many wooden tables in the outdoor seating area.  Urban Belly does not have full service. You have to order at the counter, take a number, and your order to brought to your table. The menu is about half an A4 sheet, with a little more than a dozen appetizer and entree options, a kiddy menu, desserts, and libations. I thought that it was a clever to have a whittled down menu which would not be overwhelming. Within the entree options, there are rice dishes, noodles dishes, and ramen. Of course, the menu isn't very inclusive of dietary preferences, but I don't think urban belly was a place intended for those with restrictive diets. One of my dining companions was a vegetarian, and he chose the Madras curry pea shoot dish (one out of two possible choices). I went with the wok fried rice cakes with shrimp, my boyfriend picked the rice and salad bowl with BBQ pork, and my other friends picked the urban belly ramen and the phat rice, along with a plate of the pork and coriander dumplings. All of our portions were huge for the price! Service was really quick! My boyfriend got his order a couple of seconds after he got back to our table after placing the order. All of our orders were at our table under ten minutes. The seating area is really well done up, with string lights, and a wall of Hebru Brantley's art. The tables can be a bit grimy, and we had to all the staff to clean the previous party's litter from our table. The restaurant is in a slightly off traffic location, near a few parks and the green line L station. Overall, I'd highly recommend this place for a quick, cheap (under $15) and flavor packed meal!",0.9808,0.891,0.086,0.022,0.4035076252723312
2017-08-12,2.0,"I'm a fan of the adjoining restaurant, Belly Q. Not a fan of Urban Belly. For the overall price we paid, there was too much serving ourselves. The food was decent, but it was just too much of us doing the work. Maybe I'm getting too old fashioned for these counter service places. I don't mind if I order from the counter and have to grab a couple things, but I made four trips from the counter to our table to serve our family of three (all drinks, utensils, spare bowls, ) etc. If I'm going to put in that much work, I'll just cook for our family at home.",0.3182,0.968,0.032,0.0,0.2095238095238095
2017-08-10,5.0,"My wife and I eat here at least once a week.  I've always wanted to try other things on the menu but when u love what you order, why change it up.  I always do the phat rice and she usually gets the urbanbelly ramen.",0.7783,0.873,0.127,0.0,0.40625
2017-08-06,5.0,"Wheat berry bibimbap is on point! Might not be everybody's cup of tea, but for this Korean gal - a little kimchi, whole half of an avocado, pickled cucumbers, tofu, myriad of green bits, even some eggplant --- all smothered in gochujang is perfect for a hearty and delicious meal.  I was hesitant about the wheat berry base but it's hearty and I kind of prefer to rice now. Quick and easy place, great post workout option.",0.9586,0.727,0.219,0.053,0.6681818181818182
2017-08-06,3.0,"Really had high expectation after reading the reviews and all, but it came up short for me unfortunately. Decor is really nice, love it at first sight with outdoor seating.  Urban belly ramen broth is little watery comparing to miso based broth you'll find in other ramen shop. Main disappointment was the amount of noodles, leaving me still hungry wanting for more... Phat rice was good, but I find that too salty and had to keep drinking water during and afterwards. Also ordered a special $3 fries with curry mayo and that turned out to be the best among the three things we ordered. Recommend Joyee if you like Malaysian Singaporean Chinese dishes.",0.9764,0.731,0.215,0.054,0.44429971988795514
2017-08-06,2.0,Like the food but the service has gone to shit. The place was empty & it took forever to get my food I use to eat here all the time but never again. Sad #westloop,-0.4623,0.704,0.123,0.172,0.7666666666666666
2017-08-05,3.0,"$14 for ramen, I expect good flavor and good portions.  The soup was flavorful, but literally had three bites of noodles and it was gone.  Two good sized pork strip, but one was completely made of fat with absolutely no meat on it.  Friend got the phat noodle which was okay, portions were good but the flavor was somewhat off putting. The atmosphere and decor were nice, but won't be coming back for the food.",0.9566,0.724,0.241,0.036,0.5777777777777778
2017-08-03,4.0,"I'm usually a bit skeptical on Asian fusion places but I thought the curry soup that I got was quite delicious. It was the right consistency and flavor and had a lot of noodles. I love curry soups in general so this was a good fit for me. Some of the other items on the menu looked a bit frou frou so I wasn't sure, but so far, positive opinions of this place. They have a nice outdoor seating area where you can get all the utenstils, napkins and water that you want outside. The area that it's in is a little bit odd, next to some parks and next to the L station.",0.9781,0.719,0.226,0.054,0.47342409052935375
2017-07-29,3.0,"Asian fusion for sure. Don't expect traditional flavors here. That said, the food is flavor-packed. I got the ramen, and the broth was spicy and rich. Seating is kind of hidden in the back with a nice,casual atmosphere. Good for groups.",0.8316,0.804,0.196,0.0,0.5277777777777778
2017-07-20,3.0,"I'm a little bit on the fence about this place. I will have to say the rating is a bit inconclusive right now, but I'm going to give it a 3/3.5.  I want to give it a higher rating simply because their happy hour special is amazing. $5 pitcher of frosty Kirin??? HELLOOOO. I would come here just to drink.  On the other hand, since it's not really a bar and more of a restaurant, I have to say that the food is kind of.....interesting. My friend ordered the ramen and it looked just mediocre. The Charsiu was overcooked and a bit big/unwieldy. Which I feel, shouldn't be a descriptor used with Charsiu.  I got the recommendation to try their rice cake pad Thai which was a very odd combination indeed. I absolutely LOVE rice cake in all forms and this just felt kind of out of place. The sauce didn't even really taste like pad Thai at all. It was like someone put some sambal on top of some rice cakes wth cilantro and mint. IDK guys.  For now- I highly recommend the happy hour drink specials but maybe tread a bit carefully with the food.",0.9949,0.692,0.262,0.046,0.6202142857142857
