date,star,text,compound,neutral,positive,negative,subjectivity
2010-07-14,4.0,"We came here about a year ago. The food is more like a 3.5 considering the prices, but the drinks are pretty good. Especially mine, which was some kind of cafe latte martini thing.  However, it is the interactive history lesson is what saves this place. Who knew there was a secret door in the wall right beside the band. Wow! Juan and I were given a tour and into the super skinny tunnel that once led to the kitchen (where Al Capone made his escape years ago). Today, it now leads up stairs into a little room above the kitchen, and you can see all the culinary action. Come dressed nicely. We felt out of place in tourist walk-around gear.",0.9814,0.801,0.199,0.0,0.6144557823129251
2009-09-10,1.0,"My May 29 review appears to have been suppressed,, but perhaps explains why this restaurant has now closed.",0.0,1.0,0.0,0.0,0.1
2009-07-01,5.0,Drats!  Another one of my favorites with some of the best al fresco dining in the city didn't make it.  This place has closed to the public and is now only available for private parties.,0.8748,0.762,0.238,0.0,0.3736111111111111
2009-06-01,3.0,"Second chances are completely and totally a part of my doctrine, and so Via Venuto shall get one most assuredly. JK's breathtaking design is enough to float me back in for cocktails and bruschette.  In fact, that's what I would truly use these new digs for. . . aps, cocktails, sultry legs slung over each other on the patio. Breezes and vino, though in the Eden adjacent to the main dining room you lose out on the velvet touches Kleiner restaurants are so famous for.  We had an early Sunday dinner with the mum and were eager to try what we hoped would become a regular hang out. Previous trusted Yelpers had all but sold me on what would be nothing short of amazing, but from the onset our server was aloof and less than thrilled to help us with our very minor requests (Parmesan cheese from the 100 lb. wheel they had in plain sight and closing the door on a very cool May afternoon). Parmesan cheese at an Italian restaurant. Can you imagine the horror?? She scoffed throughout our experience, and I wasn't sure why. I mean, have you met me?  Maybe the two tables she had was too much to handle. Or maybe her dog died that morning. Like I said, second chances mos def. The food, with the exception of the cute, safe and round arancini (and they were crunchy and special), was all stuff I could make at home. And stuff my mom makes better (her bolognese runs circles around the one here and at Gioco. Actually, it's better at Gioco). I almost insulted the chef and asked for salt because my Risotto of the Day (asparagus and Rock Shrimp) was b-l-a-n-d. So sad, because the ingredients had a lot of promise. And at $21 for teensy shrimp and perhaps two stalks of asparagus, well, I was feeling pissy. But Via excels at starters and I would have ordered five more of the Bruschette Special: mozzarella and prosciutto. Salty and melty and so, so, so good with a drizzle of sage butter. I loved bopping along to the sounds of funk and swing playing (loudly) over the speakers. I wanted to run up and down the hallowed halls of VV and pretend it was my living room and I was having a grand dinner party with a guest list ranging from Justice O'Connor to Liz Phair. It would be an amazing fete at VV. Unforgettable, because the ambiance is delicious. But the food wasn't. Not this time.",0.9951,0.747,0.186,0.067,0.5347305343235577
2009-05-18,4.0,"As you pass through the revolving door into a world of red leather and dark wood casework look out for the massive lampshades.  Check your coat, grab a drink at the well stocked bar and head for the huge outdoor courtyard on a sweet summer night. Well...I suppose the bar intends to be well stocked.  Our first bottle selection was unavailable, the cork broke on our second, but the third try did the trick and was just fine. Share a slice of heaven with some bruscetta.  I had the salmon and it was excellent.  My lovely fiance had the gnocci and it was the best I've ever tasted. And the sorbet and gelato...well, be sure to save a little room! Good drinks, good wine, good food, good atmosphere, good people...good times.",0.9954,0.632,0.349,0.019,0.5380116959064326
2009-05-11,5.0,"Well, Jerry Kleiner has done it again.  Via Ventuno was a recent dining experience for me and a real treat I might add! This phoenix of a restaurant was born out of 21 and has the signature ""Kleiner"" look and feel to it, though I really felt like I was back in Park 52 in Hyde Park (you know...the southside....the place more of you northsiders should check out) as the design resembled it somewhat, which is a good thing. This restaurant will house a significant number of people both inside and out as the patio is just about as long as the inside and I cannot wait till it gets warm enough to try it out. As we were seated, the general manager, Robert, came to our table and introduced himself and welcomed us to Via Ventuno.  Natalie was to be our server.  We talked for a moment about the changes and specials and our drink order was taken.  This particular evening I was lucky enough to actually meet Jerry Kleiner as he was dining with some friends at a nearby table.  He welcomed us and also talked about the vision of his new creation and the changes that occurred from when it was 21.  The most interesting thing Mr. Kleiner had to relay about Via Ventuno was the menu pricing.  He had tailored it in such a way to provide the best dishes at very reasonable prices....in other words affordable. All the food was amazing from the appertizer to the entree!   Valet parking is available for $10 which is fine, but a tad expensive considering how far south you are from the loop.  I think this should be $8 With the expansive patio, this should be a real ""must do"" on your Yelp bookmark list!",0.9627,0.895,0.105,0.0,0.48932900432900434
2009-04-30,4.0,"Place is only open for EVENTS..no longer a standard restaurant. GREAT PLACE !!! Could be $2 cheaper per item (drinks & appetizers).  The entree's are priced well.  This was the old Room 21 & it has stayed beautiful inside & the OUTDOOR PATIO is perfect.  Now with a new name & menu (strictly Italian), this place is ready to shine !  Not sure if they will have live music on the patio, but this may seal the deal for me.  Again, great food, but I would love to go here on a whim and grab a couple of drinks and appetizers without spending too much.",0.9758,0.775,0.225,0.0,0.5562289562289562
2009-04-30,4.0,The atmosphere was great as well as the service.  The chef even came to our table!  The menu was very extensive and has more options now than it did as room 21,0.7574,0.822,0.178,0.0,0.5611111111111111
2009-04-27,5.0,"What a great experience!  I went on Saturday night with my parents (who are not foodies) and my step-brother (a picky eater) and all were happy!  We showed up early for our reservation, found street parking, and were promptly seated.  The waiter was helpful but not in our face.  Our drinks came out quickly, our appetizers also came out quickly.  We had beef carpaccio which was great, a tomato bruschetta which I would recommend.  My father also enjoyed stuffed calamari. Our main courses were also excellent.  My father and I had the halibut special and my father kept commenting on the combination of ingredients.  He never does that.  My step-brother had the gnocchi which was amazing. We didn't leave too much room for dessert but had sorbet and an apple tart. Prices reasonable.  Decor interesting.  Waitstaff pleasant.  Food great.  I would recommend this anytime to anyone.",0.995,0.705,0.295,0.0,0.6450892857142857
2009-04-21,4.0,"We had an amazing time here.  Our server Lakeria was the sweetest ever.  She went out of her way to do things for us.  She even showed us this pretty cool private room.  The room prolly seats around 6 comfortably.  It over looks the kitchen on the second floor.  Pretty neat.   We went there not know what to expect.  We didn't know what to get since everything sounded so good.  Decided to try the chef's tasting.  Executive chef James Kilberg is one awesome chef.  He came out and chatted with us, asking if we had any allergies to anything.  We said no, and for him to just surprise us.  We were pleasantly surprised.   We had the stuffed calamari for starters.  Delish - juicy and not too chewy.  Then we had a celery salad.  Sound okie dokie, but was really good as well.  Then we were served 2 different pastas.  I had the mortadella tortellinis and my brother had the homemade pasta with ragu sauce.  Again very good.  Following the pastas we had halibut and seabass.  Seabass was awesome.  Halibut was a touch dry, but still good.  You'd think we were stuffed by now, but we still had dessert.  My brother had the cheesecake.  It was different.  I had the ice cream trio.  Lavender, cinnamon, and some sort of fleur flavor.  My favorite was the fleur.   Over all, the service was great, food was served nice and hot, and they had some good music.  We found ourselves bopping to some of the songs.  You would think Frank Sinatra would be in the back ground, but think Al Green, Michael Jackson, and a lot of other stuff.  It was definitely a happy environment.",0.9971,0.768,0.227,0.005,0.6564285714285714
