date,star,text,compound,neutral,positive,negative,subjectivity
2014-06-21,5.0,"Review is way overdue. West Town is great - it's got a nice atmosphere for date night, and yet you can still bring the in-laws in for a good meal.  Great Beer List, and the waiters are usually able to reccomend beer pairings with your meal which is nice, plus it speaks to their knowledge of the food and alcohol. I've had multiple entrees...the Fried Chicken special is wonderful, and not really large but I can usually only finish half of it, as it is so rich! I have also had their Duck, which is a Mallord Leg and it's roasted so well...the meat just melts off the bone. I've also had a few fish entrees which have been good. Overall, it's consistently good food, service and I always reccomend it to friends visiting the city.",0.9857,0.777,0.223,0.0,0.6050925925925925
2013-07-24,5.0,Great fried chicken & pot roast! The bartender whipped up some awesome cocktails too.,0.8588,0.564,0.436,0.0,0.9
2013-07-23,4.0,So sorry to learn of the closing of West Town.  Always one of my favorites!!  Good luck to Susan and Drew.  Look forward to your next venture.,0.8267,0.679,0.274,0.047,0.5333333333333333
2013-07-22,1.0,"If you go to the WTT web site, this is what comes up.  Same information reported on the Chicago Tribune online @ 4:15pm today "" July 22, 2013 To our guests- West Town Tavern has closed its doors. Thank you for all of your support, encouragement and downright love. We are proud to have been a part of Chicago's vibrant dining scene for the last eleven years and now it's time for us to explore other opportunities. Look for a change at 1329 West Chicago Avenue. All the best, Drew and Susan Goss"" Not good at all.  Even though my last visit there was only adequate, I have had some truly pleasant evenings there as well.  Whatever the Goss' do next in the restaurant business I'll be there. ** Its getting 1 star only because it is closed.",0.9887,0.755,0.245,0.0,0.4354166666666666
2013-05-08,4.0,Love this place. A favorite neighborhood place. Almost always get the fried chicken dinner - their monday night special. Hearty American favorites every Midwesterner will love.,0.9509,0.529,0.471,0.0,0.6202380952380951
2013-04-09,5.0,"This is hands-down one of my favorite restaurants in Chicago. My husband and I have been coming here for years, and just love it. It's a little pricey, but it is perfect for special events, or even just grabbing dessert and a glass or two of wine. It's usually not too hard to get in, but I'd recommend reservations if you're going on a Friday or Saturday evening, especially with more than two people. We absolutely love the Curried Butternut Squash soup, Pot Roast, Sea Scallops, Pasta (my go-to on dreary, cold Chicago nights!), and Beef - not to mention their wonderful desserts. They change some things on the menu seasonally, which keeps things interesting.  If you're in the area and looking for something special, definitely check this place out. The service is wonderful, and the food is fantastic!",0.9939,0.694,0.289,0.018,0.7079131652661065
2013-03-08,4.0,"First time dining here last night and felt compelled to write a review. This was the best meal I've had in a long time, and I eat out at a lot of pretty nice places.  Judging from the awning on the outside, I've always passed this place by until my boyfriend told me this was one of his favorite restaurants in river west and he'd been wanting to return.  The generic outside appearance (awning) does not give you an idea of the cozy atmosphere and amazing dining experience on the inside. This food was so delicious-- so well prepared, and their take on ""comfort food"" is amazing. I felt like I was eating at the home of a friend, who happened to be a really great chef. The price tag is pretty steep, but we weren't disappointed. I had the chorizo-stuffed chicken from the weekly specials menu and it was phenomenal. Another plus for me was the huge variety. Lots of restaurants these days stick to a handful of staple menu items, so I was excited to see so much variety on the menu. The only negative for me was the ambiance. I think they'd do well to lower the lights a tad and maybe switch up the music.  The service was impeccable. I was seated by a friendly man whom I later recognized to be the part-owner of the husband and wife team and the chef herself said goodbye to us. I regretted that I did not compliment her on our way out.  We will definitely be back.",0.9812,0.77,0.178,0.052,0.5785714285714285
2013-02-12,4.0,"This place is what I consider a ""gastro/astro pub"" - gastronomically adept while astronomically priced. The gnocchi and fennel mushroom salad were great, but everything offered was overpriced. If you don't mind spending quite a bit at a ""tavern"" for dinner, then I certainly recommend it. I would definitely stop by for a drink, but likely won't be back for the full courses.",0.8641,0.766,0.191,0.043,0.610204081632653
2013-01-23,4.0,I rarely go to expensive restaurants like this so I doubt i'll be able to make it back again but my experience was excellent.  Great wine recommendations and the food was superb.  Very quaint cute place.  Definitely recommend! Server was pleasant :) .,0.9907,0.429,0.544,0.027,0.7128787878787879
2013-01-21,4.0,"West Town Tavern is a great spot for a nice night out for dinner.  The service was very good, and the food was good too.  The mussels are huge, and the meat is cooked well.  The atmosphere is nice, and I would definitely return.",0.969,0.587,0.413,0.0,0.79
