date,star,text,compound,neutral,positive,negative,subjectivity
2009-01-12,4.0,"Winston's Market has closed.  It was always so jam-packed with Southport moms pushing strollers at lunchtime that sometimes it was actually intimidating to go inside.  But, the sandwiches were pretty good so it was on my roster of weekday lunch spots.",0.4939,0.809,0.13,0.062,0.45
2009-01-04,3.0,"This is a decent place to grab a meal. Their menu has a wider variety than your average sandwich shop, including fig spread, Gouda cheese, and pitas. I got a veggie burger on ciabatta bread and it was pretty good. Their homemade sandwich cookies are to die for, and the staff is relatively friendly. Also a clean space with brick walls. Kind of a cool little detail. But it's just decent-- the idea is there, and there's a ton of potential. It's a huge space, but they cram all their sandwiches / salads / wine / etc into one counter. I feel like someone had a great idea and went three-quarters of the way with it. An okay place to grab a sandwich but not much more than that.",0.9524,0.806,0.175,0.019,0.6822222222222223
2008-12-09,4.0,"This is my go-to place on Southport when I want something quick.  Other than Potbelly's, Southport really lacks quick dining options.  I always get the Caprese panini and tomato basil and goat cheese soup.  It's so good that I've never ventured to try anything else.  My husband has eaten there a few times with me and has enjoyed it every time as well.  I would recommended it...Southport needs more quick places like this!",0.9231,0.805,0.195,0.0,0.44166666666666665
2008-11-17,3.0,"Just ok- has potential but could be better. Been there twice now and service is friendly and pretty quick, but the foods been a little 'meh' and atmosphere seems awkward. 2nd time there was no music playing and babies screaming from their double wide stroller. NO MUSIC? a great mix could really jazz this place up. i really like the pretzel rolls here, but the soup and veggie pannini were just ok...id go back, need to try the brunch menu!",0.9421,0.635,0.249,0.116,0.47000000000000003
2008-09-02,4.0,"This place has gotten better within the past 8 months or so.  They've re-vamped a lot of their menu items, keeping the names and descriptions the same, but improving the execution.  The tomato goat cheese soup is soooo good, and I really like the Mediterranean salad.  They're very good about making modifications and substitutions here, too, so you can get a sandwich that is unique and tasty but still fairly healthy.  Be prepared to do some serious stroller dodging if you go in on a weekday!",0.969,0.733,0.236,0.031,0.5135185185185186
2008-07-24,4.0,"I was pleasantly surprised. In the hood for biz; hungry; I stopped in with a bad attitude.  But the turkey with figs and blue cheese sandwich was quite appealing and quite good. It's clean and fast, and prices expected, basically average for the hood. I'd go back.",0.6962,0.697,0.204,0.099,0.4866666666666668
2008-07-09,4.0,"This is a lovely little place. They have a good amount of indoor seating and a nice little patio. They have an ample selection of food here, grab and go (by the pound) or eat in. A bit on the pricey side for a quick lunch. I had a bacon/egg/spinach/cheese foccacia sandwich, side of fruit, and a diet coke- it ran a little under $10. Good, but not great sandwich. I was able to dine outside with my doggy in the patio with us, which I appreciated. Hurry up and try it and try it out before the strollers completely take over!",0.7483,0.831,0.125,0.043,0.5288461538461537
2008-07-03,4.0,"Love the $5 Greek pita. Always fresh and full of quality ingredients. They offer a great daily selection of fresh made food and salads. They also offer an impressive selection of beers, including local and organic offerings. You can mix and match, too. This hasn't really been discovered yet. Great open, loft-like space right near the Southport Brown Line stop. On your way to Wrigley, too. Enjoy well prepared food then enjoy the neighborhood. Stop across the street at Candyality for the old-school, hard-to-find Moon Pies, too.",0.9716,0.655,0.275,0.07,0.4553571428571429
2008-06-19,3.0,"A bit pricey, but the sandwiches are very good. We don't stick around to eat here, just grab and go, but everything tastes great when we get back to our place. Don't go out of your way to come here or anything, but if you're in the area and looking for some good unassuming food you'll absolutely get something you like here. After you get it, get out before you get assaulted by a stroller.",0.931,0.755,0.194,0.051,0.6060000000000001
2008-06-18,3.0,The Greek Pita here is still delicious (and has been every time I have had it) but the service here is painfully slow - and has been the three or four different times I have been here.,-0.6652,0.772,0.059,0.169,0.5
2008-06-01,4.0,"Unfortunately, the kitchen was closing on my first visit, but the salads and pre-made foods don't disappoint. I made my own salad with green beans  (yum!) and got some tuna salad to top it. We also tried the spicy chicken salad and meatloaf, which were both surprisingly good. I mean, who ever thinks that meatloaf would be something to write home about? It wasn't THAT great, but I'd definitely have it again. Had a good beer and wine selections, including quite a few varieties of New Belgium Brewery beers. I'm looking forward to coming back to try some of the sandwiches.",0.923,0.777,0.17,0.054,0.5553841991341991
2008-05-14,4.0,"I met my friend here for dinner and I was impressed with the selection that Winston's has to offer! I had the chicken salad sandwich with pasta salad and she had a turkey sandwich. We were both pleased with our meals and the staff was very friendly. The price was also right, under $8 for a meal and a bottle of water.  Like the other reviews, there weren't many kiddos around. I think it's because it was dinner time and I'm sure lunch hour is different. Winston's also sells 6 packs of beer and they had a large wine selection. I will be going back!",0.9522,0.831,0.169,0.0,0.6298340548340549
2008-04-28,3.0,"I wish this place would have a better staff to keep up with the business this place obviously tends to have. (They are pretty busy)  Went there for lunch last week. Although I only ordered a cup of tomato & goat cheese soup, it was tasty. Because it took so long to get my order, they actually gave me a bigger size than I ordered. (It took 15 minutes)  There were only 2 cashiers, and 3 cooks. Nobody was maintaining the front. My co-workers and I had to sit at a dirty table. Whoops. I believe if this place got some more staff, and had a better grip on how busy they can truly get, especially with lots of mothers/nannies, then I say this place could get 4 stars.",0.8934,0.861,0.116,0.023,0.5644444444444444
