date,star,text,compound,neutral,positive,negative,subjectivity
2013-07-29,2.0,"My sister and I braved a cold, blustery, Chicago Winter evening to come here, since I'd heard such good things about Michael Taus' innovation, and Zealous was slated to close soon, so I didn't want to miss my chance. Alas, I could have TOTALLY passed on this dubious honor. What we had: Amuse Buchë--I can't rightly say WHAT it was... Polynesian Chopped Salad--Decent, as far as taste goes. Portion size, is another issue, altogether! Szechuan Blue Crab Cakes--Two small, somewhat dry cakes, no evidence of Hoisin or Szechuan flavor, at all... Roasted Halibut--This entree was laughable! There was a sweet pea purée, some friseè, and about a 2.5 oz. halibut fillet on a 10"" dinner plate. Korean-Style Fried Miller Farm Chicken--One (1) chicken thigh atop a 2"" diameter rice cake, topped with a tablespoon of coleslaw w/apple. Caramelized Banana Tiramisu w/Macadamia Nut Brittle--THIS was the best thing I had all night! It was approximately 3 oz., but about what I would expect as a dessert portion. The Macadamia Brittle was a standout! I must say that if we had not consumed several slices of the bread that was brought to the table, and drunk copious amounts of water, we would surely have needed to stop by Portillo's, or somewhere, on the way home!",0.8494,0.832,0.112,0.056,0.6597001763668431
2013-07-12,1.0,"I ate at Zealous more than a year ago, but it lives in infamy in my mind.  My boyfriend and I had a Groupon for the tasting menu.  I can't recall why, but I had to substitute the main course.  The waiter assured me that he could bring out the ""Chef's favorite"" chicken in lieu of the standard dish.  This chicken was, I shit you not, untrimmed, deep-fried, and then dunked in disgusting sweet and sour sauce.  Like, ze Chef may have just squeezed a whole bunch of Chinese takeout packets on top of this abortion of a chicken.  We left the meal laughing about how awful it was-- though we certainly would not have been amused if we had to pay full price!",0.7611,0.7,0.176,0.124,0.5697089947089947
2013-01-09,5.0,"Holy food orgasm! My gal pal and I went here for a weeknight dinner date, and could not stop the ""eating madness"".  We decided to start with the 'Taco-Dosa' of Blue Goat Cheese, Roasted Cipollini Onions, Fragrant Tomato Curry and Roasted Beets, Baby Greens, Spiced Hazelnuts, French Feta, Greek Yogurt with Hazelnut Vinaigrette (Yes, I had to copy the descriptions from the menu.  It would have been a crime if I hadn't!).  After stopping short of licking both plates, we moved onto the Sesame Crusted Chilean Sea Bass with Pan-Fried Rice Noodles and Red Coconut Curry Sauce and Seared Sea Scallops, Smoked Freekeh, Date Puree & Marcona Almonds.  There was a symphony in my mouth and I did not want it to stop playing.  Yes, I was guilty of dragging my fork around the plate and bowl, trying to get any tidbit that did not land in my mouth the first time around.   The restaurant reminds me of a zen garden and the staff is great.  Thanks to the relaxing atmosphere, I did not feel like I was going to ""food hell"" for gorging on everything in sight! Two enthusiastic thumbs up!",0.8425,0.812,0.119,0.07,0.37121212121212127
2013-01-03,4.0,"I took a friend to Zealous the last time I was in Chicago.  It was a weeknight and the restaurant was nearly empty.  We ordered the tasting menu, which was good.  My friend liked it more than I did.  The choices were diverse and the wine pairings were good.",0.9287,0.669,0.298,0.033,0.5111111111111112
2012-12-10,2.0,"Had to wait 15 minutes for a table even though we had reservations and there were multiple tables open. The service was quite poor.  My fiancees fish entree was not cooked all the way through. Had to send it back. The portions are tiny and the quality is mediocre.  The groupon i had helped soften the blow. Unfortunately, though i really wanted to like this place, I will not be going back.",-0.4641,0.884,0.038,0.079,0.4222222222222223
2012-12-02,2.0,"Went here on a Groupon on a Thursday night.  I had heard that it's never crowded so we didn't make a reservation and walked in at 6:30pm.  There were only a handful of people dining and many open tables.  The hostess asked if we had a reservation, I said no.  She then asked if I was dining on a Groupon and when I said yes, she said that all the tables were booked for the night and that they had an opening on Saturday.  it was strange considering there were so many open tables. We saw the bar area completely empty so we asked if we could just sit at the bar.  She said she'd have to check with her manager.  After leaving and coming back, she told us that a table opened up and that we could be seated in the dining room.   Seemed a little fishy to me.  So, this didn't start our dining experience off to a great start.   The place was nicely decorated but it seemed very stuffy.  It was so quiet in there that you felt you needed to whisper.  Our waiter was even quiet and would whisper when telling us about the menu and taking our order.   We ordered the Crab Cakes as an appetizer and they were very good as the other reviewers have mentioned.    I ordered the Salmon as a main dish and the water asked how I would like it prepared and he suggested medium so I went with that, but the Salmon seemed to be more rare than medium. It was a little too raw for my taste.  The apple tart pastry that came with it was good tho.  The presentation of the food was nice.   My friend ordered the halibut.  She said it was ok, but that she's had better.  Her presentation of the food was just average as well.  Her dish came with these noodle things that unfortunately looked like little magets so it wasn't that appealing.   We also split a side of the Truffle mashed potatoes and they were unfortunately really dry and not moist at all.   We didn't order dessert, but we were given little chocolate cupcakes that were on the house, but they were nothing special and were even a little dry.   The whole time we were there, the restaurant never filled up and there were so many open tables that it put a bad taste in our mouths that we were originally told that they were booked for the night.   When we got the check there was a note in there about an 18% gratuity added to our bill because we had a Groupon.  It was fine considering we usually tip 20% anyway, but it was just strange.  Overall, it felt like they weren't very inviting to Groupon users.  They probably shouldn't have offered one in the first place.   Our waiter overall was nice and attentive but he was a little on the weird side.   In a nutshell, it seemed to be just an average restaurant for being so upscale.  I can't say that I will ever go back.",0.9803,0.86,0.093,0.047,0.5195842836408874
2012-12-02,1.0,"we ate here tonight via groupon deal. we were skeptical going in as reviews were not overwhelmingly positive. our experience was underwhelming in every aspect. we ordered 3 small plates and split a burger. the crab cakes were fine and were not memorable. the goat cheese tacos had a similar taste to the indian dish, lamb vindaloo. very strange. the flatbread with lamb meatballs was okay. we also ordered a side of brussel sprouts which were slightly warm and under seasoned. the burger was the best thing we ordered but it was just a burger. our server was difficult to understand - mumbled a lot. the food runners and busers were prompt which was probably because the restaurant was very empty. the atmosphere felt like a hotel restaurant. this restaurant is cannot compare to the big hitters in chicago's foodie world such as girl and the goat, carriage house, etc. zealous - you need an immediate face lift to survive in the chicago foodie scene.",-0.0283,0.857,0.077,0.066,0.496030303030303
2012-11-20,5.0,"This is my fave place in Chicago for a fancy dinner. Slight Asian influence to dishes, presentation is beautiful. Filet was fantastic. Sorbet in fruit soup is amazing--I've been here twice and the flavored were honeysuckle and caucus flower. Restaurant is quiet with ambiance music and white table clothes. Amuse to begin the meal, petite dessert at the end.",0.9201,0.805,0.195,0.0,0.4000000000000001
2012-10-27,1.0,"Terrible. I would have given it zero if I could. I'm talking about the service, well there are waiters but literally there was no service. The server who served our table was either on drugs so he did not know what he was doing, or he simply doesn't like his job. He should take an ENGLISH CLASS so he know how english should be spoken in this kind of setting, because I do not expect HIP-HOP style english in a fairly high-classy restaurant. Well I don't even know his name he did not introduce anything at all, all he said was that the five course is the five course designed by the chef (so u won't know what you will be eating, except he mentioned the 3rd course would be lamp). Other than that he barely says anything to us during the whole meal, except that I can smell his strong cologne whenever he passed by our table. Well, come on, I get way better service from Mcdonalds Burger King. You are kidding me if you are trying to sell a classy restaurant image, this is a joke because your server failed.  Or is it because I'm Asian so you guys don't think I should be eating in a classy restaurant?  PS: Food, if simply talking about the food, I would give it 1 star on my Cod fish (the halibut which i was going to order was ""no longer available""). 0.5 star was for the Chef who came out to say hello. I did not complain to him as I just want get out of the restaurant ASAP.",0.9393,0.836,0.111,0.052,0.42750626566416045
2012-10-20,4.0,I loved the food.  Ambiance and service were wonderful.  I like that the chef came out of the kitchen to chat with us.  It made me feel he cared about his customers... and we all like to feel that we matter.,0.9382,0.667,0.333,0.0,0.9
