date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-20,5.0,Went there for a friend's bday and it was great! The roof top was very nice a definite chill spot for a quick drink . The appetizers were AMAZING.. mac n cheese croquettes  and the waygu beef slider were HEAVEN. Drinks were awesome too and  staff was great . Definitely will go back,0.979,0.595,0.405,0.0,0.64
2017-08-15,4.0,I really love this place and its rustic yet Urban appeal and Decor we sat in the bar area which had a wooded modern  appeal. As we walked around to get acquainted with the restaurant we noticed another area which had plenty of greenery and lots of lighting and Astaire Clarice going up to who knew where but it was absolutely gorgeous for photo-taking in getting the correct lighting and correct perfect pose As for the food we got a variety of appetizers including the sliders the fondue  it was was absolutely amazing I was able to share that with the table of three other ladies and we had the chicken wings which we all split but my favorite I would say was the fondue I mentioned to the bartender that it was my birthday actually it was 3 of of us who share the same birthday week we present and I IDs and he confirm that we are all celebrating and birthday that week and mine was actually the same day I have one friend whose birthday was in August but she felt left out so he brought me a birthday drink more of a shot plus all three of my girlfriends and was absolutely awesome his customer service was top-notch his attentive he lives in to us and what we wanted to eat his suggestions were absolutely on point I would definitely give this place another shot for a different occasion Oh and also they were doing a free shuttle we took the shuttle there to the Godfrey Hotel so we didn't have to walk and that was another extra added bonus which was absolutely free,0.9967,0.802,0.198,0.0,0.5481481481481482
2017-08-13,5.0,"Came here for the first time on my birthday and I must say, me and all 6 of my friends agree that we MUST come back! We came for their Friday happy hour where you get a mixed greygoose drink for $4.51 and half off their bites menu. The drinks were perf, they weren't sugared down or watered down, and they were perfectly proportioned. The wait staff was amazing! Super nice and I never found myself having to wait, there was always another drink coming our way. My favorite off the bites menu was the fried mac n cheese. Crunchy, creamy and flavorful all in one bite. We will be back! We might even try the restaurant downstairs.",0.9815,0.79,0.21,0.0,0.5303418803418803
2017-08-03,5.0,"This place is really underrated. The steak skewers are DELICIOUS! I also tried the Moroccan Curry Chicken flatbread, which was excellent as well. Buffalo chicken sliders were ok, hot sauce on a sweet bun. The sweet potato tots were a nice change. Thursday's drink special was half priced wine bottles under $100. They also have a watermelon sangria pitcher for $39 if you're a fan of watermelon. What I liked the most was the staff in the rooftop bar are very attentive. No long waits during happy hour for drink and food service.",0.9827,0.679,0.299,0.022,0.7169467787114846
2017-07-28,4.0,"Love coming for Zed451's great happy hours on the roof! They have different specials every day.  The roof isn't very high up, but such nice couches and varied seating, always a great ambiance to grab drinks with the girls.  Highly recommend their Watermelon sangria - so refreshing and perfect for summer.",0.9804,0.615,0.385,0.0,0.7674545454545455
2017-07-28,5.0,"Great brunch. I love the ambiance, drinks and service. Very consistent and not pricey. Rooftop is super chill",0.9217,0.534,0.466,0.0,0.5854166666666667
2017-07-25,3.0,"Forewarning- I visited on a rainy summer night so I'm sure I didn't get the full essence of the place (didn't even see the rooftop bar). This might also explain the lack of a crowd? We came @ 9pm on a Friday & it wasn't busy at all.  The ambiance and decor was simple & modern but very cute. A good atmosphere for a nice sit down dinner. The salad bar was very very limited. A selection of light finger foods that weren't very tasty or unique. A waste of calories basically. My table ended up ordering 2 sides- mashed potatoes and mac & cheese. I'd say these were below average but edible. Now- for the meat! Most of it was delicious (the sausage was the only thing I didn't like). Be ware that most of it comes rare, which I'm not a fan of even though I know it's not the ""right"" way to eat a steak. You can request for it be done to different. Unfortunately they weren't too attentive to those requests. Also, the variety was lacking. Maybe 4 or 5 meats total? All in all I wasn't impressed with the food. I won't visit again. But I'm not upset that I went. It was an okay experience.",0.8571,0.8,0.115,0.085,0.6317166372721928
2017-07-22,5.0,A great place to bring a group of friends or have a romantic date night. The variety of side dishes and meats are absolutely amazing!  There's something for everyone to enjoy. The watermelon sangrias were delightful as well.  The fireplaces create a cozy ambiance which makes this a great spot to enjoy any occasion!,0.9862,0.541,0.459,0.0,0.70625
2017-07-16,5.0,"I highly recommend dining here if you have a large group. With a group of 8 girls it can be tough to find a place that pleases everyone and Zed451 did that and more. Most people in our group did the $50 meat and salad option, but a few stuck with the $27 salad bar. Since they're known for their meat I wasn't expecting the salad bar to be so good! I planned on getting meat as well, but once I started eating all of the different salads and appetizers I quickly changed my mind. The waitress was very adaptable and let me change my meal option without hesitation. The rooftop is also beautiful, but we were so enthralled with our food we barely took in the view.",0.9487,0.826,0.146,0.028,0.5001587301587301
2017-07-15,5.0,"First time here, and it was better than I imagined as far as scenery. I didn't eat on the inside, we went to the rooftop. The setting and vibe was nice. The appetizer and drink menu was nice. Although I think they could have more of a variety of drinks and liquors. Other than that, everything was cool. Our waitress was nice, a little timid in my opinion. I could barely hear what she was saying since he music was close to us. I'd recommend this place. The only thing that I didn't like was outside the restaurant: VALET. He didn't open my door when we got there. He didn't open my door when we left. For us to pay $16 for less than hour and him to not do his job, is crazy. He didn't get a tip. I would recommend the valet taking lessons on how the customer should be treated.",0.8997,0.835,0.117,0.048,0.5541666666666667
