date,star,text,compound,neutral,positive,negative,subjectivity
2010-04-11,4.0,"Felt like as much as we ordered, we didn't get full! Thank god it was happy hour when we were in there. Everything we had was really good... I was actually surprised! I don't know why. Maybe because of its location or something... But the interior looked really fancy. I believe it's a club at night? Not sure about now.",0.8742,0.767,0.201,0.032,0.6198412698412697
2010-03-22,2.0,"I don't think so. I mean: rolls average at best, a waiter who neither understands nor speaks English well enough to be a waiter, long waits, bad decor, cold environment.  No thanks.",0.1496,0.611,0.189,0.2,0.4615740740740741
2010-03-09,2.0,"This is a review for ""Geisha House"" Came here over the weekend.  And like someone said earlier, totally Azn.  It was just an overwhelming flood of things I hate when I go out.  There was a long ass line outside, crappy music, a cover at the door, and dress code.  Inside, was way packed, with barely any room to stand.  There are way better places in that area that have no dress code, play better music, and are cheaper. On the plus side, there was a lot of decent eye candy and a free parking lot.",-0.0,0.748,0.131,0.121,0.5606060606060606
2010-02-21,2.0,"This review is about the club/lounge Blu Coral turns into after dinner. ---- Because I am an Asian American, I can say this: This place was AZN! Imagine lots of guys outside of the door smoking cigarettes, guys with spiked hair, girls wearing 'somethin' else' heels and outfits - some on the borderline of 'hot mess', and a girl holding back her trashed friend's hair so that the trashed friend could drink water straight out of the bathroom faucet. If you don't believe me, ask Lulu R. who I randomly ran into while here! Even funnier, I ran into friends from college. Weird. Seriously, the Chicago As Am community was up in this place... So why the low rating? 1. Don't come here if you're a mature, independent female, several years out of college - like me. The clientele are young and in some cases, too reckless for my taste. 2. The idea of giving out shots by pouring vodka straight down your throat from a handle and then making you pay for it is disgusting. 3.  You know why the girl was drinking out of the faucet? Because they don't give you water here. You have to buy bottled water. LAME/Recipe for Disaster...",0.8474,0.839,0.099,0.061,0.33801169590643276
2010-02-20,4.0,"The fish is fresh and the special maki are fun. I Love their signature drink as well! This is a great date spot. It's pretty darned swanky for the price. Not the cheapest sushi in the city, but not the most expensive - and it IS some of the tastiest.",0.8943,0.731,0.269,0.0,0.6026785714285715
2010-02-17,3.0,"I promised my boyfriend that I would take him out for a great meal because he always treats me, so I choose Blu Coral for a summer visit.  We were seated right away and promptly ordered our meals. My veggie sushi was perfect but both of his orders were botched - not even the dishes he ordered - and thus were comped. So we ended up with many different dishes to try and not enough room in our bellies. The total bill was $25 for the entrees and drinks because of the errors. Obviously, I don't prefer mistakes but it is much better if  they do not pertain to my meal. It's especially wonderful when the price is super cheap when I pay!",0.9666,0.784,0.181,0.035,0.6668650793650794
2010-02-16,5.0,"Many of the reviews for Blu Coral cite terrible service and sub-standard quality.  My girlfriend and I made reservations at Blu Coral for Valentine's Day and did not read these reviews until after our plans were set. Not knowing what to expect, we showed up, were promptly seated and ordered sake and two of the prix fixe V-day specials they had going.   Our server, Jean, was awesome and very attentive.  Our food was of good quality, not the best sushi I've had, but fine for the price range. Perhaps being ""under new management"" (according to their website) has changed the place for the better.  I had a great experience and would go back again.",0.918,0.836,0.13,0.034,0.6004132231404958
2010-02-07,5.0,"This is my favorite sushi place in Chicago. I went here several times, usual for special occasions with larger parties (6-10 people).  We always had amazing food and good service. I always eat the tempura appetizer-shrimp and veggies. It's the best I've had anywhere. Their specialty rolls are fabulous. Full of flavor, texture, and just really great. Sure, Blu Coral is expensive, but totally worth it for a nice night out. Plus, if you join their email club they send you specials. And fabulous, but expensive martinis. I moved away from Chicago, but always look forward to visiting and hitting up Blu Coral. :)",0.9849,0.705,0.295,0.0,0.6561287477954143
2010-01-31,4.0,"My experience here was about 3-4 years ago...(wow.talk about being a procrastinator)...went there to celebrate my birthday..I had a blast. Came with 7 ladies, got our complimentary bottle of sparkling wine, i didnt payclose attention to the freshness of the fish or barely the food coz i was sooo happy on this birthday.I just remember having a great time, good food, and good company. And blu coral was part of it so i give them 4 stars for making my night a great moment. I should go there sometime soon and update. I do have a few pics tho i think i'll upload.",0.9788,0.756,0.244,0.0,0.55
2010-01-14,3.0,"My boyfriend and I had heard that this was the best sushi in Chicago so we had been wanting to try it out.  We waited to go for a special occassion (I had just taken an 8 hour exam).  I was excited we could get a reservation so easily for a Saturday night.   Well, the place was kind of dead when we got there which was kind of a bummer and somewhat shocking for being the ""best"" sushi in chicago.  The place filled up after a while but by no means was packed. The service was pretty good and the waitress made sure that we always had drinks so that is always a plus. The sushi?  It's non-traditional.  Which could be good or bad depending on what you are expecting.  There are some standard items on the menu but mostly rolls that you had never heard of.  Everything we got was good but it is a little overpriced.  Our bill for 2 people w/ tip was a little over 100.00 but we did have several sapporo's on there.  It was a pretty average experience.  I wouldn't make a huge effort to make it back but if you are looking for something out of the ordinary come here for dinner sometime.",0.947,0.783,0.145,0.072,0.5965506715506715
2010-01-11,4.0,"honestly i think some people just don't know their fish  you cannot make judgements by only observing how many people are there on that one particular night you are there and any good fish expert can tell you the best way to judge whether a sushi joint has fresh fish is by tasting the fish in its simpliest form - sashimi i have been coming to Blu Coral for 2 years now and aside from Katsu which remains my absolute favorite, Blu Coral is pretty up there in terms of freshness of their fish  my bf and i always order their sashimi platter plus couple of rolls, the fish is always fresh and with a great texture the short rib dinner entree is very good as well, tender and full of flavor one of the best places to get sushi in the city",0.9866,0.784,0.216,0.0,0.6383333333333334
2009-12-26,3.0,"Came over on Friday of last week for my every Friday sushi adventures. We chose this place because I have walked by numerous times and because Coast was too crowded. Walked in and the interior was pretty cool as and very well lit.  We had a party of 5 and an 8PM reservation so we had no trouble with seating. For some reason I was in the mood for an Amaretto Sour so thats what I ordered and everyone else was having a special martini (can't remember the name but it was something seductive) that included strawberries. It took a long while for our drinks to arrive and we were told it was because the bartender was busy making so many drinks which is interesting since the place didn't look too packed. For my meal I had the spicy tuna and one of their signature rolls, The Octo which is spicy salmon over spicy octopus. The spicy tuna was good as well as the octo, which I truly recommend. Blu Coral isn't as pricey as most sushi joints and the rolls are pretty good. The only real problem I had was with the service on what seemed to be a not too crowded evening. As I said earlier the drinks took awhile to get to us, both rounds and the food seemed to take awhile to get to us as well. Pretty chill place to hit up every now and then.",0.9881,0.805,0.168,0.027,0.5294047619047619
