date,star,text,compound,neutral,positive,negative,subjectivity
2014-01-25,4.0,"With amazing specials during the week, lots of room to dine, BYOB, good service, and killer rolls you will be hard pressed to find another spot with all they offer here.",0.25,0.685,0.17,0.145,0.6805555555555555
2013-06-30,1.0,They get 1 star for closing while I still have a Groupon to use there.  Does anyone know if they opened up another location?,0.0,1.0,0.0,0.0,0.0
2012-10-26,4.0,Just visited this place recently based in a high recommendation of a good friend. Sure enough he was right. The sushi here is incredible.  I ordered about three to four appetizers and each time it was fantastic. All different flavors and satisfying.  Enjoyed some good sake and the space had a great vibe. I'll check this place out again.  One of the better sushi restaurants I've visited! Update !!!  This was in my drafts and I never completed it.  I sent a friend to this place for his first date.  I was later informed it was closed for undisclosed reasons.  Sorry guys!  Especially you Ross.  Whoops!,0.9852,0.72,0.269,0.011,0.6156808688387636
2012-05-15,5.0,"The specialty rolls are very flavorful and well-made. The decor is trendy yet pleasant. Service is great. Take advantage of some of the daily specials: 2-for-1 appetizers and what not. Good quality, fresh sushi. The Blue Ocean roll is great, as is the Heat.",0.8788,0.68,0.242,0.078,0.5407407407407407
2012-05-12,1.0,"Signs on the doors saying the business was repossessed.... The phone message still implies that they have lunch/dinner hours, but don't be fooled - they are closed!",0.471,0.891,0.109,0.0,0.1
2012-05-05,5.0,"I have eaten here twice now, first on a recommendation from a friend, and second 'coz I saw it on Groupon and needed to go again! The first time there I found it hard to find, as it seemed to be hidden away The decor inside is very pretty with pinks and greens and cool lampshades overhead. The staff are all pretty nice too. The sushi is pretty amazing to be honest. My favourite has to be the Unagi tempura and avocado, it's so delicious I could order a few of them and feel as though I will never get enough. Another favourite is the Crunchy Melt, with shrimp tempura, spicy mayo and melted mozzeralla cheese. This was my first time to try melted cheese on my sushi but it didn't disappoint. I read a recommendation on their Smoky Bear, people saying that they would be dreaming of it for nights to come.... Yes it was good - smoked salmon and cream cheese, but I think the Unagi Tempura just blew me away so much that I forgot about it that night!  I can't get enough of this place, I would eat there every week if I could, probably shouldn't. $3 beers aren't to be sneezed at either! Dessert menu has a large enough range on it, they were out of Mochi the last time which I had been planning to try. Guess I'll just have to go back!",0.98,0.865,0.13,0.005,0.5313146997929606
2012-04-26,3.0,"First the positive: great and friendly staff, large and comfortable eating area, fairly good wine list (although they only sold one plum wine by the glass). So now, onto the food.  We ordered the edamame first (which is what my sister and I usually do) and it was just...tough.  I can't think of another word to describe it, but it took a lot of work to get to the edamame in the pod. I usually can eat about half a bowl in about 6 minutes but with this I finally just gave up after a while since it didn't seem worth it. Even though we ordered 2 of the waitress' favorite rolls, I was just underwhelmed with everything.  Maybe I or they had an off night, but I'm not rushing to go back right now.",0.9012,0.873,0.112,0.015,0.5054749172396232
2012-04-23,2.0,"This place was not that good for Chicago standards. The food was decent but the price was too high. You can get better Sushi, get more pieces and pay less at better places around the city.",0.7185,0.737,0.177,0.085,0.48190476190476195
2012-04-18,4.0,"I'm usually shy when using a groupon, cause I feel like a cheapskate... Anyway the hostess accepted it without hesitation :) My friend and I both ordered the bento meals.  Omigosh, these things are colossal!  there's so much food; it comes with a nice salad, vegetable and shrimp tempura, fried gyoza, two sauces and the main dish.  With such a quantity of food the chef managed to execute each element of the dish without sacrificing quality, evident with the presence of thin strands of crisp carrots in the salad and the unusual serving of the mildly spicy chili oil as the dipping sauce for the gyoza. All this for only $19? Boy was I a happy camper. Dessert time: they didn't have my favorite dessert that night; creme brulee :( but they did have this amazing double layer chocolate mousse cake garnished with an excellent preparation of sliced strawberries drizzled with strawberry syrup, it was so indulgent.  And my friend ordered a very refreshing mango passion fruit sorbet covered with white chocolate.  If that was my last meal on earth, I would have died happy :)",0.9731,0.756,0.173,0.072,0.6798611111111112
2012-04-17,4.0,"I have now been here twice and feel that this place deserves a good review. Both times I've been here, I came with a groupon. Both times, they accepted the groupon with no problem and the service has been excellent. I noticed a lot of sushi restaurants tend to have some issues when it comes to groupons, which is annoying because they are the ones who decide to use the service themselves.  Either way, the sushi here is so good and so FRESH. I had the sushi combo both times - it comes with the rainbow roll and 6 pieces of nigiri. Excellent choice for a little variety and for the price.  The restaurant is huge - I would honestly have this place in mind for a large party. It's spacious and the decor is unique. It is kind of dark inside, but they have a lot of very colorful art throughout, so it brightens the place up. Oh, and probably the best part to this restaurant is that it actually comes with a parking lot!!! Who would have thought that a restaurant in Chicago has its own parking lot?!  I will def be back for a third time.. hopefully sooner than later!",0.9769,0.82,0.154,0.026,0.5774285714285715
