date,star,text,compound,neutral,positive,negative,subjectivity
2010-04-06,4.0,This place was a gem...I loved the food and the location was key.  The space was beautiful and the food was exquisite.  Every dish we ordered was remarkable and it was ashame to see it go.,0.9081,0.737,0.263,0.0,0.9099999999999999
2009-08-26,4.0,"I was very sad to see this place go. Food, ambience and service were phenomenal. I enjoyed the sushi rolls, but do not be mistaken, this is not a sushi spot, you will not get a large sushi menu, but the rolls were amazing and creative.  Additionally, the seafood was great.",0.9602,0.654,0.311,0.035,0.7540816326530612
2009-03-22,5.0,"Very sad to see this place has closed. Food, ambience and service were phenomenal. Probably the best sushi I've had in the Midwest. The ambience is still my favorite. It was trendy without being gimmicky and exuded an aura of classiness. Sorbets were always out of the world (cranberry orange, kiwi, lemon lime...always delicious). RIP.",0.5868,0.831,0.115,0.054,0.6625000000000001
2009-03-01,5.0,"Blue Water Grill is Fantastic! To begin with, they offer some of the best sea food and sushi I have had in the city. When you enter Blue Water, you will notice a dimly lit, open and busy room. The atmosphere is perfect for entertaining friends, or going out on a date.  Make sure you save a little room for treats after. I always get the donut lollipops. I've tried to make them at home, but I never can get it right.  Prices are not bad either!",0.9465,0.79,0.21,0.0,0.5377899877899879
2009-01-15,5.0,"I really enjoyed this place.  I went with a group of about 8 people, and no one complained about anything.  The service was ace, and the food was delicious.  In fact, the more I think about it this is one of my favorite restaurants in the city.  It's gorgeous inside.  The decor is kind of asian fusion/funky and I love it.  The food is consistently top notch.  Every single person at our table was very, very happy.  The wine list is very nice, too.",0.9743,0.676,0.275,0.049,0.654945054945055
2009-01-14,4.0,I made a reservation for next Friday.  The restaurant called me back today to tell me they would not be able to honor the reservation because they were going out of business today.  WOW.  Good bye BWG.  WOW,0.9448,0.678,0.322,0.0,0.5375
2009-01-14,4.0,"I didn't know what Blue Water Grill was until my best friend started working there as a cook. I've been there twice, and both times was a pleasant experience. The second time was a much better experience than the first because we were being catered to by the sous chef!  On the menu, in order of courses: First: Trio of tartars (salmon, tuna, and hamachi) Second: Hearts of Palm, Lobster, Shrimp, Grapefruit  and Green Curry Third: White Gazpacho, Grapes, White Anchovies and Bulls Blood Fourth: Fried Quail Egg, Parmesan, Arugula, Artichoke, Tomato Relish Fifth: Halibut Cheeks, Pea Tortellini, Snap Peas, Pea Shoots Sixth: Kobe Beef, Salad of Rapini/Peppers/Pistacchios/Golden Raisins Seventh: Poached Strawberries, Vanilla Ice Cream, Balsamic Reduction, and Candied Orange Zest Eighth: Canteloup Gelato, Honeydew Mint Soup, Melon Neither myself or girlfriend could walk after this meal! Thank goodness I valeted the car!",0.9637,0.869,0.131,0.0,0.21794871794871795
2009-01-13,5.0,"Went here on a couple occasions for Sunday Brunch. Was quite elegant and swanky. The wait staff served us elegantly too, but extremely friendly. The food was delicious (entrees were about $10), and drinks were complimentary. I will go again soon! The place was not crowded at all too, which surprised me. Such a fantastic and modern place, good service, good location, fab brunch prices- I recommend it highly",0.9914,0.573,0.427,0.0,0.695
2008-12-26,4.0,"Blue Water Grill is not one of those places where the ambience is so-so, but the food does the talking. The opposite is true. This is not to knock the food, but it is overhyped and overpriced. The service is too slow, also. I love the fact that you can go here and start off with sushi (baja roll = amazing, but you can't go wrong!) but finish with a steak. The fish is supposedly excellent, and I can say firsthand that the scallops are excellent. It seems a bit odd at first that they come with short ribs, but that's just twice the deliciousness, I guess. Many people I've come here with love the chopped salad. Very good restaurant. It's decorated nicely, and you pay for ambience as well as food. This isn't the only place for that, I'm sure!",0.994,0.696,0.278,0.026,0.6223456790123456
2008-12-19,4.0,"OMG, this place is yuuuuummmyyyy. I went here on a ""date."" We went there for dinner and it was pretty busy. We had to wait about 15 minutes though with reservations... which was a bit disappointing (thats where they lose a star.) The sushi was outstanding. Seriously, if you like sushi you HAVE TO eat here. I had the Blue Water Chopped Salad and the Maine Lobster Roll. My ""date"" had the Carnival Roll and some type of steak (I can't remember...) All of our food was soooo goooood. They would use stuff that I would never have thought would have been used for sushi. (i.e. grapefruit) The restaurant was really relaxed with some very well dressed customers. (I'm a fashion student. I can't help but to notice these things...) Our waiter was very alert.. some what too alert. He kept on coming back to see if everything was okay like 500 times. At least he was there when we needed him. So we tipped him well for his extraordinary service. A-",0.9072,0.847,0.114,0.039,0.4878205128205128
2008-12-14,4.0,"On few occasions I've been able to grab a seat at the bar and enjoy a few, very strong cocktails and sample sushi.  I dig the night time scene, ambient vibe of the bar and dimly lit.  Seated at the bar, the staff there has always been friendly and thorough with knowing the menu and their suggestions.   One day soon, I'll have to try their brunch. Late saturday nights I haven't found to be too lively, though you can find some interesting people to chat with.",0.9392,0.832,0.168,0.0,0.4878333333333334
2008-12-08,4.0,"I've had lunch here several times and love it.  The Bento Box for lunch is really tasty and comes with a cute and yummy dessert. The Ahi tuna is also really good here. Recently went to brunch here for my friend's mom's birthday. The ambiance and menu were great (really good prices for brunch). I had the eggs benedict and thought it was great (kind of surprising for a seafood restaurant). My friends got spicy crab benedict and lobster benedict, both were good.  They also have fruit smoothies and offer a raw and cold bar for brunch, which seem like good additions to the meal. We weren't super hungry so opted out of those, but maybe next time.",0.9556,0.785,0.199,0.016,0.5575414781297133
2008-12-07,4.0,"What a hidden find for brunch! My sisters and I (and a good friend of mine) decided to take my mom out for a birthday brunch. There were endless brunch entrees that sounded amazing, but I ultimately decided to go with the lobster eggs benedict ($14). The hollandaise sauce tasted yummy, the potatoes were perfectly salted, the lobster eggs benedict was tasty. My only complaint is that I wish there were a few more pieces of lobster meat.  My mom ordered the shrimp and chorizo omelette ($12); this was delicious and had a tiny little kick to it. My sister ordered the crab cake eggs benedict. This was excellent! The crab cake was moist and perfectly seasoned. (The hollandaise sauce was definitely a bit on the spicy side.) My friend ordered the traditional eggs benedict ($9). Also, tasty. As you can tell, the prices were extremely reasonable and the food tasted great. I will definitely be back to taste some of their other brunch entrees!  One warning: the service is painfully slow, so be prepared to wait for your food (and even for the waiter to take your order). It wasn't busy at all, so there is no excuse for how long we had to wait for our order.",0.9935,0.714,0.232,0.054,0.5503333333333333
2008-12-03,5.0,"Ate here with my husband for dinner.  EXCELLENT!! The service was spectacular.  We were very pleased with the Baja roll-- it is a must try. The Treetini was wonderful, and the scallops I had for an entree were great. This place is so good that I went back the next day for lunch and had the Baja roll again.",0.9672,0.721,0.279,0.0,0.65625
2008-11-29,5.0,Best spicy tuna roll that I've been able to find in Chicago.,0.6369,0.724,0.276,0.0,0.4625
2008-11-17,5.0,"I will start this review by stating this place was recommended by my phone after I shook it a bit.  Man does that phone know its food. This place was actually really excellent and probably one of the best meals I have had in quite some time and I have been on a good run lately.  The menu doesn't have extensive options but what is on there is unique, well thought out and presented perfectly.  The menu is an interesting combination of sushi house and standard seafood restaurant, it by no means ""fusion"" though.  Their wine list is actually a small novel and also extremely unique.  I have been wanting to try a white burgundy, which I have been reading are excellent, under appreciated and difficult to find.  They have about 6 or 7.  We got a Pinot this time, but there is always next time which I think there will be plenty of. The wait staff is very friendly, informed and although the place was dead they managed to find a good balance of not forgetting about us or being overbearing.  The atmosphere in the spot is also very inviting.  There are plenty of windows to view outside but not enough to feel like you are monkeys at the zoo.  We sat in a booth that was comfortable and relaxing.  Their music selection is probably the best I have heard in a restaurant that doesn't have a live band or DJ.   Now to the grub, we got the hot rock beef that you cook at the table and I probably wouldn't get it again.  It wasn't bad and I had always wanted to try it but since we got it out of the way it is done.  The lady had Braised Short Ribs and Scallops which complimented each other perfectly.  The short rib just fell apart and melted in your mouth and the scallops were amazing.  I got the Sea Bass with Escarole and a real nice tomato type sauce.  It is difficult to describe properly but it was excellent on every level.  It was cool to see escarole used in a dish like that and not have it be an Italian place. So now the best part, they have a funnel cake dessert that could be the best thing I have ever had and creates the serious possibility that we could be stopping back there just to have that.  It comes with a fresh whipped cream/mascarpone dipping sauce that is kicka$$.  They really are more like French Dounuts then funnel cake but I'm not going to split hairs.  We also got the three ice cream sampler, I would suggest Ginger, Pistachio and Passion Fruit sorbet. Blue Water Tastiness for All. RrL",0.9988,0.729,0.234,0.037,0.502951388888889
