date,star,text,compound,neutral,positive,negative,subjectivity
2014-09-09,1.0,"We waited for over an hour for our food, and when I asked about it I got ""hey, sorry dude, we have a really small kitchen"".  THEN TAKE SOME TABLES AND CHAIRS OUT.  It's not my problem that you're trying to serve more peole than you can handle.  When the food finally did arrive, it was RAW - back it went.  The second one was burnt and overdone.  So just don't order anything medium and you should be okay.  The wait staff is amazingly disorganized.  What kind of waiter brings food to a table and has no idea who gets it?  Totally unprofessional.  Maybe I'm just not laid back enough for this place, but when I pay $18 for a poorly cooked 3 oz steak (no joke), I expect some sort of professionalism from the wait staff.  They DO have a great beer selection, but so do many, many other places that do a much better job.  This place deserves to sink.",0.8012,0.871,0.077,0.051,0.533502024291498
2014-06-21,4.0,"4 Stars for The Bluebird. I was having dinner with a couple of friends and one lives near The Bluebird. After I shared my craving for mussels with her she led us to The Bluebird and we had a fantastic meal.  We started out with two heaping bowls of mussels. We opted for the cider and southern French, both were delicious but the real winner for me were the cider mussels. The combination of cider with bacon, onion, and curry powder was divine. We had to ask for more bread just to sop up the amazing broth. The belgian frites they serve with the mussels are also amazing. Perfectly cooked and well complemented by the delicious aioli they were accompanied by. We also finished our meal up with the cauliflower which was good but unimpressive, especially compared with how much we loved the mussels.  Service and ambiance at The Bluebird are also spot on. I love how the restaurant is darkly lit and the tables are spread far enough apart so people are not cramped and on top of each other. The whole wait staff was equally impressive and the chef was even kind enough to stop by our table twice throughout the meal. The Bluebird is a hidden gem on Damen and definitely worth checking out.",0.9972,0.701,0.277,0.022,0.6118589743589744
2014-06-11,4.0,"Great atmosphere - relaxed, dim lighting Great food -  choucroute, brussels sprouts with chorizo and sea bass. Good Beer list. Service was good. Overall, great date spot of you enjoy sharing plates and do not mind having to hold a conversation with someone as there is only 1 tv at the bar. Will definitely return.",0.9834,0.583,0.417,0.0,0.5863636363636364
2014-06-02,4.0,"Nice evening.  Went later during the week, sat in the main barroom.  They had some selections from Jolly Pumpkin brewery, which I enjoy and is kinda hard to find, so I was happy with that. Food is pretty good, keep to the simple things and all should be good with your evening.",0.9689,0.642,0.341,0.017,0.5932142857142857
2014-05-20,4.0,"Dropped a star because of food.  Each dish was initially great, but after chowing down I realized that the food was on the salty side.  Drinks and service always top notch here however!  Very pleasant experience...",0.873,0.757,0.243,0.0,0.6347222222222222
2014-05-16,1.0,"Unfortunate experience. It's one thing when the food is bad but another when the service sucks too. Server visit #1: Took 15 mins for us to be greeted and even place a cocktail order and app. Drinks were finished by the time the appetizer finally came out. Dinner was dropped off by food runner, this was extremely unfortunate and didn't taste good at all. Bizarre flavors on the lamb ragu, and Mac and cheese was dry. Almost finished with dinner...would love another cocktail, except our server was no where to be found! Server visit #2: Dinner is done.  We are over it.  She finally shows up and at this point we just want to leave and ask for our check. This place has gone drastically downhill over the last four years since we've patronized it. We had horrible service and the food was sub-par.  Not interested in returning. Sadly, tonight was our last meal at the Bluebird.",-0.9468,0.762,0.072,0.166,0.6666666666666665
2014-05-11,3.0,"3.5 stars I hung out with friends of my wife a couple of days ago at this location.  Since it was Thursday night it wasn't too busy.  There were two parts of the restaurant; bar area in front with some tables, and more tables inside.  We sat inside, and we were the only party for the most time we were there (after 9 pm).  We liked it since it was quiet and nice for us to talk.  The overall ambience was nice.  The server was very attentive, checking on us on food and drink every 15 minutes or so. Foodwise, I had a burger with fries which was 12 bucks.  I ordered medium well, but the patty was more dry than I thought.  Fries were tasty.  I liked the hot wings, but I didn't think it was much better than the bar food from other places. Overall, I thought this was a nice place to hang out and talk with close friends.",0.9737,0.842,0.158,0.0,0.6143518518518518
2014-05-08,3.0,"Not sure I can fully judge yet and I might need to go back for a meal sometime. I went for the Oyster happy hour and was a little disappointed. The oysters were served a little too room temperature for my taste, which kind of grosses me out. They also didn't serve them with hot sauce and horse radish. But, I asked for it and it greatly improved my experience. I sat at the bar and the service wasn't amazing. Bar tender was a little cold, not super friendly.  The drinks were pretty good though and the fries not bad either. I'll go back and give it another try!",0.7313,0.735,0.154,0.111,0.6651234567901234
2014-04-26,4.0,"Go for the beer and stay for the Whiskey.  So I'm not a beer guy, but what I tried was great, but what this place also does well is whiskey and whiskey based drinks.  The selection is pretty great and the bartenders really know their stuff and can find you what you like based on your tastes with ease.  During happy hour they had amazingly cheap oysters.  I had the mac-n-cheese which included bacon.  Not like some places that will toss some bacon bits in the mix, but I'm talking good hearty chunks of bacon.  That alone is a win for me.  Good vibe, good ambience, not so loud you have to shout.  Is it the cheapest no, but most everything was worth the price.",0.9943,0.647,0.321,0.032,0.6153846153846153
2014-04-21,3.0,"Extensive beer selection and excellent wine list. The place is casual and the ambiance is great. So I was expecting better food, but to my disappointment I found it all very mediocre.  Eat at Mindy's Hot Chocolate next door and then come here for drinks!",0.3013,0.743,0.17,0.087,0.6333333333333333
