date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-28,5.0,"Wow! Wow!! Wow!!! We had a corporate Happy Hour there - it was fabulous from the time of the first email/phone call to the last sip of beer...  Adam took superb care of all my needy needs and requests for followed up promptly and courteous.  We arrived to a beautifully arranged ""private area"" where we had space to wander about, drink & mingle and still had ample space for a double sided buffet. Which brings me to - yum - the food!! Excellent. Plentiful. The chicken fingers are very good and the jalapeno poppers are to die for! Everyone was raving. But my favorite aspect was the service. We had two dedicated wait personnel who were exceedingly friendly, fast and very alert. I never spend two minutes without a drink in my hand! They were superb!!!  Boston Blackie's is THE best spot for a nice Happy Hour. There outdoor space is great and so conveniently located. We were all very happy! Thank you.",0.9974,0.593,0.377,0.029,0.7290384615384615
2017-05-30,3.0,"Blackies is nothing to rave about. You're paying for mediocre food, I would recommend getting Roti's or Just Salad which is just across the street. It's cheaper, you don't have to tip, and the food is much better.",0.6597,0.866,0.134,0.0,0.75
2017-05-08,5.0,"I was a little nervous about the service in this place because prior reviews were not very flattering.  We were going to a play across the street and needed to get out of there by 6:30.  We got seated at our table and no one talked to us for the first 10 minutes we were there.  We flagged down a waiter, his name was Enrique, and he was fabulous.  He was very attentive, he made sure we got drinks and he got our food out to us quickly.  The food was good.  I especially liked the sweet potato fries.  It was reasonably priced for the city.  Overall, it was a great experience.  Thank you Enrique for great customer service!!",0.9734,0.744,0.211,0.046,0.5725694444444445
2017-01-30,3.0,"Came here for lunch on a week day. I ordered a greek veggie wrap. The size of the wrap turned out to be awful. It was too big, and they didn't even cut it to a normal size for the purpose of decent eating.  The wrap was tasty but was awful to eat.  For the price I paid, I would expect something better.",-0.1884,0.825,0.082,0.093,0.5595238095238095
2017-01-12,2.0,"Like if Denny's launched a bar.   Same mediocre food, same mediocre service.  But drinks! Which is actually a plus in summer since they have plenty of outdoor seating and aren't quite as busy as some of the other places.  But on a nice day are pretty busy too.",0.8516,0.799,0.201,0.0,0.5325
2016-11-02,4.0,Came here for lunch. BB has outside seating and very courtesy staff. I was greeted and seated promptly.  Not a fan of ordering burgers out but BB are great.,0.8673,0.682,0.318,0.0,0.3666666666666667
2016-09-26,1.0,Simply because we wanted shots the little black haired bartender acted like she didn't have time for us. When we insisted on staying to give her our money she continued to act extremely cold and acted like we were interrupting the debate on tv she was watching. What an unwelcoming visit to Chicago..,0.4215,0.874,0.087,0.038,0.5726190476190476
2016-09-26,1.0,NEVER COME TO THIS ESTABLISHMENT!! The bartender was extremely rude. I was visiting from out of town and went into the bar with eight other people. We were looking to spend money and the bartender at first refused to serve us. Then she reluctantly served half of us. I don't know how people in Chicago typically treat their customers but this is something I've never encountered. She told my friend that she was a rude bitch. I've been in the service industry for 5 years. Never in my life have I been so offended in an establishment that makes its longevity on customer service lack so much. NEVER COME HERE unless you're an old man who gets his kicks hitting on bitch waitresses. F this place.,-0.9665,0.77,0.043,0.187,0.37187500000000007
2016-09-01,4.0,A solid burger! Had the cowboy which was prepared....smartly. Scoop of guacamole on top of the pepper jack cheese ON TOP of the pico de gallo! The burger was tasty even though it was clearly done on a griddle!  The French fries were perfectly done in between the point of soft and crunchy. I see why this place has it's stellar reputation. This burger is solid and proverbially punches above its weight.,0.9314,0.786,0.214,0.0,0.32833333333333337
2016-08-25,3.0,"Didn't try any food. Joined my husband here for his after work happy hour. I think for a happy hour hang out spot in the loop, it's perfect. It's casual and definitely crowded on a Thursday afternoon.",0.9393,0.65,0.35,0.0,0.8733333333333334
2016-07-19,1.0,"I don't know what's going on here as a long time dinner (nearly 6 years), but just about everything about the visit was just awful today, and its been slowly getting worse. Significant service delays, a Waitress that made a number of mistakes, food that was clearly over-cooked/burnt. Can't see going back there for a while after this, which is just a shame.",-0.8847,0.683,0.1,0.217,0.5072916666666667
2016-07-15,1.0,"Planned a work event here for drinks and appetizers for about 30 people. There special menu is reasonable and the location for Metra commuters is terrific. I can honestly say that the service was so bad that I will not be returning to this establishment anytime soon. Our server, Enrique, NEVER once offered us any specials in fact went so far as to tell people in our party for large groups that they do not offer specials. WHAT ARE YOU TALKING ABOUT ENRIQUE? When I called to inquire about setting up this event I was clear in the amount of attendees and given the specials with no warning that it would not apply (which I do not believe is the truth). I have never in my life have gone to an establishment were the server just places the menus down on the table and says nothing. I did have specific instructions for this party on how things were to be handled and the team dropped the ball big time! I would suggest if you look to this place to plan an event - you get everything in writing and if Enrique is your server ask for somebody else.",0.7906,0.872,0.083,0.044,0.5512626262626261
2016-07-15,2.0,"Not at all impressed. I work in the loop, and went there with a few co-workers for lunch. I ordered a hamburger. It looked like a frozen patty they just heated in the microwave. It was also very over priced. Not seasoned or anything. Just lettuce and tomato and a dry ed up bun. Terrible hamburger. However their sweet potato fries were very good. I wont be going back there again.",0.8268,0.798,0.16,0.042,0.52
2016-06-11,1.0,Do not order a steak here.  Pretty sure they are using either Cow or Ungraded/No Roll Product,0.6705,0.718,0.282,0.0,0.6851851851851851
