date,star,text,compound,neutral,positive,negative,subjectivity
2008-09-20,2.0,"Beautiful looking place. Very quiet for a Friday night with great weather and a nice patio. Should have been a tip off.  Service at the bar was courteous and pleasant. However when seated, the let down set in. Our waitress was not up for the task, either she did not feel like it or does not get it. Sloppy, inattentive and indifferent. Food was passable but I expect more than passable...... especially in light of the prices they ""command"".  I don't see myself return.",0.8045,0.836,0.13,0.034,0.768888888888889
2008-09-04,3.0,"Very good location, in River North, but somehow on a ""lonely, secluded"" street (even though parking is a bitch).  On a warm summer night the grand and opulent interior of the restaurant was totally abandoned...for the front patio, which is large and inviting.  Though close to the street, as I said, it's a lonely street with not a ton of traffic.  The beef tartare app was quite good as was the salad with poached egg and bacon (actually pretty awesome, but NOT ""light"" - hey, we're in France, right?).    The duck l'orange was rich and oh-so-French.  I hear the profiteroles for dessert are worth it, but I opted for the traditional pastis - it's been years, nearly a decade since I first had this lovely appertif at a friend's place in Bologne.  It's re-awakening my taste for anise.",0.9903,0.719,0.26,0.021,0.6598677248677249
2008-08-27,1.0,"First of all I was bitten by a mosquito and we were dining inside!   Then the food was poorly plated,  like the cooks were busy but restaurant was empty.  Food was so overprized not even worth it!",-0.4648,0.83,0.045,0.124,0.3666666666666667
2008-08-25,1.0,"Overpriced, Over hyped, Overrated! Skip it and go to Kiki's Bistro instead. Ruhlmann has a sterile feel with pompous servers that look like they just stepped out of some nightclub, the arrogant chef tries to sell you his book before you are even seated, everything is way overpriced and not one person in the restaurant had a smile on their face, not one. If you have no taste, want to show off your Rolex, enjoy saturated foods drowning in cream and would like to pay an average of $70 per person over a painful 2 hour period of dulldrum...... please keep going to this waste of space. Otherwise Kiki's is 4 blocks away!",-0.281,0.764,0.114,0.123,0.3833333333333333
2008-08-22,4.0,"it's so big, we almost missed it!  this large brasserie is so well tucked in with lighted trees in front.  it was hard to tell there was a restaurant behind this well landscape frontage.  there is a beautiful large patio dining area, covered with an awning.  we sat inside, just near the open doors to the patio.  we had blue point oysters and the scallop ceviche.  yummy!  husband had the seared tuna and loved it.  i couldn't believe that had a duck l'orange on the menu.  very rare.  i think i've only seen one other restaurant in chicago offer it.  lots of duck confit out there though.  it was very tender and tasty.  our server, mitchell, was great. the restaurant is very beautifully designed.  one minor complaint was that i had 6 mosquito bites upon leaving so keep in mind the fact that this resturant is by the water.",0.9714,0.81,0.156,0.034,0.5457671957671956
2008-08-07,3.0,"I want to love this place.  So much in fact, that I've been here several times for brunch, cocktails and dinner hoping that this time will be the time I'm bowled over.  But to no avail.   There are few spaces in the City as beautifully designed as Ruhlmann; it really is a throwback to the decadence of the 1920's.  The place is palatial!  And unless it's completely full, which it never is, the shear size of the place sucks the energy from the room.  Even a jazz orchestra or piano player would make this space much warmer.   The food and alcohol on the other hand are just okay... their mussles are good, but made better by the fact that their served in the classic Staub kettle straight from the oven.  The raw bar is good, but not fantastic.  They make a pretty decent Champagne cocktail with fresh berries... paired with the Pot de Creme, and I'm happy.   I would have to say the only time I'll frequent this place again is for dessert and/or a cocktail.",0.9826,0.764,0.2,0.036,0.5049946581196582
2008-06-17,4.0,"Brasserie Ruhlmann, French meaning of the phrase translates in English as ""Don't order 12 double Makers and Diets on Valentine's Day"" Not cool... Ruhlmann is nothing short of awesome. The decor is outstanding: Red velvet upholstery on all of the chairs, beautiful mirrors carved into spectacular shapes and placed strategically on the walls. Candle light dining at it's finest, especially for a romantic dinner on Valentine's Day. The menu from what we were told is classic Brasserie, which is good? We started off with a few appetizers, which tasted very nice. We both ordered a fillet for the main course, with sides of fried potatoes and asparagus. OMG everything we had was full of flavor and prepared perfectly! Definitely would recommend this restaurant for ambiance and taste!",0.9763,0.781,0.197,0.023,0.5087500000000001
2008-06-14,4.0,"For my graduation dinner, my family and 2 close friends headed out to Brasserie Ruhlmann.  They were very attentive to our party of six, so despite a few hiccups, I'm still giving them 4 stars, though 3.5 would be more appropriate. For starters, we ordered shrimp cocktail, oysters on the half shell, tuna tartare, escargots, and lobster bisque.  Everything was spot on except for the tuna tartare; there was some weird sesame crunch that didn't taste quite right with the dish.  Shrimp and oysters were fresh and delicious!  Escargots were lovely with the garlic-butter sauce.  And the lobster bisque was velvety smooth and rich. Some of the entrees were stars, while some were definite misses.  The steak au poivre came out very strong - in a bad way.  The peppercorn encrusted steaks may have been left on the burner for too long because my sister couldn't finish half of it - it was too smokey and spicy.  Even my friend, who loves spicy foods, had to scrape off the crust.  The duck l'orange was beautiful; it wasn't too fatty, but wasn't dry at all.  My pork chops were excellent; it was easy to cut through and very tender. Dessert was the real highlight.  Our table had a lot of fun ordering dishes.  We had the special praline eclairs, pots de creme, coffee-chocolate mousse, lemon tart, and raspberry napoleon.  We demolished the desserts.  Though the real standouts were the pots de creme and praline eclairs.  Yummy. Service was attentive throughout the meal.  Empty dishes were cleared away and empty glasses were refilled.  Servers never made us feel uncomfortable, so it was a very pleasant experience.",0.9894,0.772,0.178,0.05,0.5876911976911977
2008-05-21,3.0,"After anticipating my dinner at Brasserie Ruhlmann for quite a while, I have to say I was pretty let down. While the staff was extremely attentive with refilling my beverage, they werent equally as attentive when it came to the food. The service took forever and the meal was just so-so. If the kitchen can get it together, this restaurant will fair a lot better. But I do have to say, kudos on the tasty fries!!!!",0.9164,0.839,0.161,0.0,0.7481481481481481
2008-05-19,5.0,"From the moment we walked it we had a wonderful experience. - Our server was helpful but not snooty  - great drinks - the food was delicious and came out timely but not too fast (for those of you who said too much meat...I am a ""fish only"" vegetarian and I found plenty to eat. The fish and shrimp dishes were fantastic!) - the atmosphere is perfect for an intimate dinner or a fun gathering - the outdoor area looked great but it was a little too chilly the night we were there....i will definitely be going back! - it was definitely pricey...but this was one of the few $70 meals i have eaten that i would say was WORTH every penny!",0.9696,0.717,0.219,0.064,0.5888888888888889
