date,star,text,compound,neutral,positive,negative,subjectivity
2017-05-20,4.0,"A solid late-night eat. Good ambiance as well. The seats here were made of wood, and not very comfortable.",0.3982,0.595,0.281,0.124,0.4384615384615385
2017-03-18,4.0,"Delicious fried green tomato biscuit sandwich, great service, so many drink options, and cozy atmosphere.",0.8316,0.625,0.375,0.0,0.6599999999999999
2017-03-17,3.0,cmcw cursed.,0.0,1.0,0.0,0.0,0.0
2017-03-16,4.0,Catfish was tasty. Not a big portion as chicken dish. Everything was well seasoned and they have good pricing.,0.6124,0.762,0.238,0.0,0.47500000000000003
2017-03-16,5.0,"Loved this place. It suddenly closed this week. It now has a ""restaurant space Available"" sign outside. :(",0.25,0.688,0.179,0.133,0.47000000000000003
2017-03-16,1.0,Bucks is now permanently closed. Went last night and place was shuttered with a for rent sign outside. Staff inside confirmed permanent closure. Too bad.,-0.5423,0.868,0.0,0.132,0.37666666666666665
2017-03-06,4.0,"First time at Buck's and it didn't disappoint! We arrived at Buck's at 7p.m. and fortunate enough to find street parking only 50ft away from the entrance. On a Saturday night when the Hawks are playing and Division St. bars are packed, I say we got lucky! lol   Immediately upon entering, the restaurant felt warm and inviting! I noticed the lounge area with comfy couches and chairs for a more intimate cozy section for drinks & apps, then the bar to the left that had the Hawks game & Pinocchio playing on the screens, and lastly into the dining room with wood topped tables under the illuminated string lights.  From my chair I also noticed a selection of board games at the high tables nearest the bar and a book shelf full of DVDs and more board games to choose from! Having to compete with Blue Line Club Car & Geek Bar Beta, whom both offer table side gaming,  I thought this a great effort from Buck's in making ones experience a little bit more fun & enjoyable! We ordered: 2 PIECE CHICKEN & BISCUIT- the homemade batter was fried to perfection, not greasy, incredibly crunchy and the chicken was juicy! The biscuit was so soft and came with butter & jam. Please let me note that the butter was among the most decadent and dense I've ever tasted. Very wholesome and very freshly whipped.  MAC & CHEESE- defiantly not your average Mac & Cheese. An array of hearty big noodles in a white creamy cheese sauce, topped with bread crumbs. So incredibly  cheesy that on the last bite it accidentally  oozed onto my shirt!...proud of it! Lol  OG- Pimento Cheese Sauce aka ""The Caviar of the South."" That's exactly what's smothering this hunky piece of white chicken thigh and freshly baked biscuit. A fork and knife sandwich, essentially. The most amazingly crafted and delicious entree at the table. Prior, I was a bit skeptical having read some negative reviews but, it was big and filling, not the size of a slider. I will def be coming back for more!  PECAN PIE- again freshly made and incredibly comforting. Great crust and candied pecans with a dash of powdered sugar.  Price tag for two with non alcoholic drinks   was $57. A great place for southern comfort food rendering your table with a bottle of honey to encourage you to douse your fried chicken. Also, a brunch spot that I hope to return to try. Overall, a great place that pays attention to detail down to the floral china platers your food is presented on. Warm & loving just like in your grandmas kitchen!",0.9965,0.819,0.162,0.019,0.507030965391621
2017-02-27,5.0,"Excellent biscuits! The egg and cheese biscuit was delicious. Portion sizes seem small, but they are actually quite filling. And for the price, I would not complain at all. The honey for the biscuits is natural honey, which is delicious and I highly recommend it. Drink variety is very good, interior is very trendy and modern, ambiance is nice and the staff is super friendly and attentive. My girlfriend was a big fan of the Chicken and Waffles; very crispy, well-seasoned chicken and light buttery waffles. I tried the Cinnamon Pull Apart and wasn't a fan so I politely sent it back, my server was totally cool about it. I would definitely come back!",0.9944,0.648,0.352,0.0,0.5972463768115941
2017-02-25,5.0,I had brunch here with my girlfriend and some friends and I thought it was great. I really like the atmosphere inside and they have a decent beer garden as well. The menu is pretty small which is OK considering what they do they do really well. Great Food. The end.,0.9742,0.612,0.388,0.0,0.5583333333333333
2017-02-12,4.0,Great happy hour specials - M-F 5-8 basically half off most appetizers and draft beers. The Pimiento Cheese with pepper jelly is fantastic - we get an order every time we visit.  Friendly attentive (but not overly attentive) bartenders. We'll definitely be back.,0.9538,0.675,0.325,0.0,0.6240740740740741
