date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-02,5.0,Gui was my waiter. He did a fantastic job. Israel was my busser who kept my water glass full through out my whole experience. I asked their names because good service at times should be recognized. I've been here before & my go to on a hot day is the anti pasto salad. This time I also order the shrimp cocktail which was served with lots of lemon slices & cucumber. PERFECT for a hot day. I also ordered the Asparagus salad which was the special for Sunday. Every dish was good. This is a place for consistent good filling food with solid service. They aren't trying to re-invent the wheel they're making sure it always runs well & that's why I keep coming back.  Everything came out very fast. Service is noticeably strong here & better than many big name spots in the loop. Classics done right.,0.9805,0.785,0.2,0.015,0.5654682539682538
2017-06-29,4.0,"Always a good experience, grilled calamari salad is my go to and delicious.  Nice and friendly service.",0.9118,0.488,0.512,0.0,0.775
2017-06-28,5.0,"Excellent Italian-American, right near McCormick Place. A client took me here for lunch on a Sunday during a recent conference, and it was so good, I then brought different clients back on Monday! Pasta dishes were delicious, service was good, desserts were wonderful. Well-priced and nice atmosphere. Will absolutely recommend this as a convention-center go-to from now on.",0.9763,0.653,0.347,0.0,0.6571428571428571
2017-06-23,4.0,"everything was sooo good, we ordered the grilled calamari, Bionda salad, Nanna's gravy, zupa de Mare and baked chicken.  The Zupa De Mare had a lot of flavor and plenty of seafood.  The Nanna's gravy was delicious.  I would go back again!",0.784,0.846,0.154,0.0,0.6375
2017-06-09,4.0,"Seriously flavorful food.  The cooking here - at least on the two pasta dishes we had - was the kind I like: big, robust flavor with some heat.  Italian peasant food the way it should be.   Portions were almost too large - two people really could share the pasta dishes.  The decor is pleasant, service was attentive.  The noise level on a Thursday evening was almost too high for easy conversation.  Prices were quite reasonable. All around good place and a reasonable walk from McCormick Place.",0.953,0.769,0.212,0.018,0.5525170068027211
2017-05-27,4.0,"I really like this place.  The owner is there quite often and he is very friendly.  I love the brick chicken, cooked with lemon, garlic, and potatoes.  I also ordered my favorite pasta combination.  Linguine with alfredo sauce, shrimp, sweet peas, and mushrooms.  it was so very delicious.  The service can be a little slow at times, but overall the food is very delicious.",0.9547,0.732,0.268,0.0,0.631818181818182
2017-04-30,5.0,"OMG love this place!  On Atkins so could not get pasta or eat bread.  I had the bacon cheeseburger with the salad and the grilled calamari, all were excellent!  I can't wait to go back again and again, how did I not know this place was so close to me.",0.8585,0.841,0.159,0.0,0.5333333333333333
2017-01-10,1.0,"I have tried to like this place because a friend brought me here knowing the owner and it's location, but they refuse to allow me to.  From beginning to end, everything ranged from needs improvement to unsatisfactory.  Quantities are for dieting anorexics.  You spend 28 dollars on an entree with absolutely no sides and leave hungry.  Screw that!  Four ounces of veal and 5 cents worth of pasta......just stupid abuse of the customer.   Sunday salad with grilled calamari, a half dish for 20 dollars.  Ridiculously small and very ordinary.  For this money, one should be given organic and full. They refuse to brew iced tea.  Just refuse and couldn't care less how it annoys you.  Either drink the out of the gun swill or buy a 5 dollar bottle, period.   Two people, one glass of wine, one iced tea, 66 dollars, plus tip, nearly 80 dollars to be neglected by the waitstaff and abused.   Never again......never.  So many better options.  Go to Pearl's at 39th & Michigan, much better in every respect for less than half the money.",-0.9719,0.673,0.114,0.213,0.41111111111111115
2016-12-13,4.0,This is a nice quiet little place that is outside the south loop enoug to easily find parking. The food's pretty good for your basic Italian fare even if it's not particularly notable. Just a solid place to sit down and have some pasta,0.9035,0.738,0.262,0.0,0.4442129629629629
2016-11-29,2.0,"Had a mediocre lunch with worse service. Food was not as described in the menu, came out more as one of their daily specials. Not very good. Soda water was flat. No cappuccino available, machine was broken. The wait staff was non existent until it was time to collect the money, then they were all over it. Won't be back.",-0.6378,0.826,0.048,0.126,0.3873931623931624
2016-11-13,5.0,This is one of my favorite Italian restaurants in the city! The service is amazing and the food is fresh and delicious! The menu offers a wide variety of choices and is all very good!,0.9507,0.632,0.368,0.0,0.5725
2016-11-13,5.0,Really yummy Italian food. Homemade pasta. I had the Lobster Fettuccine from the specials menu and it was really incredible. The Pomegranate Mule is delicious. Not overly sweet but not too strong either. I started with a chopped salad which was way too big. Definitely plan to share that if you're also getting an entre. Overall I would recommend this place for a quick dinner.,0.8944,0.728,0.224,0.049,0.45833333333333337
2016-10-28,5.0,One of the best Italian restaurants in the city. The food is always great and the service is amazing. We've had Guy as our waiter on more than one visit and his service is impeccable. The chicken saltimboca is my go to order. Definitely a must try.,0.9413,0.739,0.261,0.0,0.58125
2016-10-24,4.0,"With a special work project in the South Loop this past weekend, I thought it was an opportunity to meet with my handsome son (who works at a River North supper club) for dinner before both of us had to go to work. On a tip from a friend and some Yelp research, we decided to have dinner at Cafe Bionda since it was close to the hotel where I was staying. We arrived for our early reservation and we were promptly seated.  There was what seemed to be a very crowded baby shower going on in the large back room, so that gave me some misgivings that we'd both be waiting for service and hopefully on time for work. Those misgivings were quickly laid to rest as our server greeted us and took our drink orders while a basket of warm bread and marinara was placed on our table.  A Negroni for me and a Templeton's Rye Old Fashioned for my son, both delivered after a very short wait and both spot on. We started with the grilled calamari with red wine vinaigrette, three nice sacs and three nice tentacles in a really tasty sauce.  The warm bread was put to good use to sop up the remaining vinaigrette. For mains, my son had the lobster fettuccine with asparagus special, and I opted for the first thing that really caught my eye, the veal braciole platter.  Both dishes were excellent, and my veal was accompanied by some spaghetti in what appeared to be a vodka cream sauce.  Again, the bread was put to good use to take care of the sauce that remained. To close, my son had one more Old Fashioned and I asked for a glass of limoncello.  When I asked our server if it was house made, she replied, tongue-in-cheek, that she was sure it was made in a house somewhere, just not this one!  Great! Heading off to work, both of us satisfied, we'd surely visit Cafe Bionda again.",0.9917,0.848,0.143,0.009,0.5311621315192744
2016-10-18,5.0,One of my favorite Italian places in the city. The Spicy brick oven chicken is not to be missed.,0.5978,0.777,0.223,0.0,0.65
2016-10-18,4.0,Excellent food and service. Rigatoni alla vodka with sausage is great   Also really like scallop special on Friday nights along with Bionda salad.  Quick service  great cocktails,0.9562,0.555,0.445,0.0,0.6285714285714286
2016-10-10,2.0,First visit to Cafe Bionda was 5 years ago and it was not memorable.   Second visit was last night and it reminded me why I have not been back in 5 years.  I order the spaghetti and meatball and it was very bland. No flavor and very expensive. I don't understand how a place like this justifies their high prices.  You have to offer very good food to make it worthwhile and Cafe Bionda just doesn't cut it.   I would have been better off at Mariano's hot food bar.,0.853,0.833,0.14,0.027,0.54
2016-08-30,2.0,"Been wanting to try this place for awhile, based on recommendations.  Very overrated IMO.  We went there last night. Where do I begin? The bread is forgettable & served with some overly salty marinara.  Had the worst pasta fagioli soup I've ever tasted. Barely could eat any of it.  The Bionda salad was actually pretty good, even though it was drowning in dressing.  Hubby had the rigatoni vodka sauce. Again, just ok. Nothing special.  For dessert, we split their homemade tiramisu. Meh. Very generic.  Atmosphere was lively and fun, despite being FREEZING cold. Oh, and the service was pretty bad, too.  Maybe this place is good for a south loop restaurant? For us, not worth heading down there.",0.9317,0.739,0.185,0.077,0.49964726631393297
2016-07-25,5.0,"Can't believe I'm just finding this place after living right next to it for years! Our dinner last night was delicious and quick! We were in a bit of a time crunch but were able to get in, order and eat all within 45 minutes. That's fast service.  The menu was pretty big and everything looked amazing. Lots of yummy appetizers to try in the future! We had the eggplant Parmesan, the rigatoni alla vodka, and the chicken special, which was some kind of roasted garlic chicken with potatos and peppers. Yum! The eggplant came out on a giant platter and literally took up the entire dish! It was crispy on the edges, but the eggplant wasn't too thin to where you couldn't taste it. Really good. I tried the vodka pasta and it was also excellent. The pasta was cooked to perfection and the fresh ricotta on top really made it stand out. My friends chicken dish looked and smelled amazing, and he raved about it. Looking forward to coming back!",0.9949,0.757,0.243,0.0,0.6134157509157508
2016-07-25,2.0,"This restaurant gets 5 stars for food and service.  Portions are huge and tasty. It is expensive.  If you have 2 glasses of wine, the basic wine selections can add an additional $25 per person above the cost of your food.   Salads are also very expensive. My major complaint is that it is poorly lit - gloomy - and on a winter night it is downright depressing.  What's there is not the kind of soft light with spots on each table that lend atmosphere - rather it is cold white light - inexpensive bulbs that actually make it hard to see. I sat in the main dining room recently and counted the large number of phone flash lights that came out to read menus.  Let's hope the the management watching because this place could be a five star winner.",0.5423,0.871,0.074,0.056,0.5119285714285715
2016-07-08,4.0,"One of my favorite Italian restaurants. The calamari calabrese is tender and comes with some fried peppers. This is one of 3 types they offer. I almost always get the rigatoni genovese with a wonderful crushed sausage meat Sauce. The gnocchi , pork chop with banana peppers, and the whole boneless brick chicken were also hits.",0.5994,0.838,0.115,0.048,0.5750000000000001
2016-07-01,2.0,Went here before a concert at Soldier Field based on location and previous reviews.   Nice modern decor and service was good.  Food was average...not bad but not anything special either.  My biggest complaint was portion size for the price.   Ordered $15 Shrimp Cocktail appetizer and you only got 4 shrimp.   I ordered the gnocchi which again for $22 the portion size left me still hungry.   Most other places the portions of gnocchi has me taking about 1/2 home.   For the prices I would not recommend.,-0.7752,0.838,0.043,0.119,0.48906926406926404
2016-06-26,2.0,I agree with everyone else who said this place is over-priced. My husband and I spent $90 including tip and the food was just ok. This did not include an appetizer or desert. Just one entree and one drink each. I had the chicken marsala. It was good. My husband had the salmon and potatoes. His potatoes looked like the wedge potatoes that you buy in the freezer section of the grocery store and put in the oven! We started out with bread and marinara sauce. The bread was not warm and sauce tasted like it came out of a jar. I don't plan to come back here.,0.8814,0.87,0.116,0.015,0.4583333333333333
2016-06-24,5.0,Really good food and grateful patio to eat outdoors on a nice day. It is totally shaded so it feels great even with the sun out in the evening.,0.924,0.642,0.358,0.0,0.775
2016-06-23,5.0,"I'd like to say everything on the menu is great, but I can't seem to get past the sausage and peppers, which are the best I've had.   Carmine's and Mart Anthony's s&p are also very good, but not this good.    Great bread, wine, and salads, too.   The servers are warm and friendly. Two bars, but the back one is usually only open on weekend evenings.   When it is, that is our favorite dining spot.   Bartenders are great and there are a couple TVs to catch whatever game is on.",0.9856,0.661,0.3,0.038,0.5842857142857143
2016-06-17,1.0,"I ordered Door Dash(Uber delivery).  The mussels were rubbery and tough.  I also ordered veal parmigiana.  Very dry, it arrived without any extra sauce.  If I was at the restaurant I would have ordered the extra sauce.  There was something called ""taxes and fees"" for $18.00 on a $61.00 food tab, then delivery and tip.  The tab was $96 for one edible thing which was chicken francese for $18 on the menu.  Definitely not worth it, even though I was sick and needed to stay in.  In the future, I'll stick with pizza.",-0.4149,0.901,0.029,0.07,0.48068452380952387
