date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-27,2.0,"I've dined here on a few occasions before with good experiences but a recent family dinner was not a good one.  At times a good server can make your dinner even better, this was the opposite case. We did the dinner party menu and for the most part enjoyed the food, with the exception of the pasta which was served cold and rather bland.  Can be crowded.",0.9717,0.722,0.278,0.0,0.5166666666666667
2017-08-20,5.0,"5 stars for the bread basket but 4.0-4.5 for the rest (based on one visit on the Osteria side - there's also a pizzeria side) My husband and I came to Chicago for a mini-moon and this was one of our first stops for dinner, recommended by a colleague as one of their favorite restaurants in Chicago. We sat outside - the ambiance was perfect and the drape lighting was romantic. There happened to be a street singer/keyboardist on the other side of the street which put the icing on top of the cake in terms of a perfect date night out. The bread basket was the best bread basket I've ever had period. It was warm, perfectly toasted, and the inside of the bread was full, perfectly soft and chewy. The olive oil with pieces of mushroom - SO GOOD. I could have ate the bread basket for a meal and called it a day. For appetizers we ordered the octopus - my husband loved this. It was very tender and not rubbery at all (which I personally find strange since I expect my octopus to have a slightly chewy texture, but that doesn't seem in vogue). It was VERY oily. Sitting in 1 cm of oil. But he liked it. I ordered the seasonal market risotto which happened to be sausage risotto with snap peas. It was flavorful, al dente for sure, but slightly salty and heavy. I wished there were more snap peas to lighten the dish, and the sausage pieces were very small. My husband ordered Chicken Mario which had a delicious crispy layer and was tender/perfectly cooked on the inside.  Overall, we really loved our experience here and would come back in a heart beat the next time we're in Chicago. I heard the pizzeria has amazing thin crust pizza and will definitely be trying that as well.",0.998,0.757,0.231,0.012,0.5300158730158729
2017-08-19,1.0,Ridiculous staff Pizza ok Hostess placed us in two tables - both in awful spots by wait stations ( asked for different table and put us in a worse spot) One Pizza decent - one burnt  Server didn't pay attention  Didn't have Bear's game on in chicago - asked for it and they ignored  Tables in middle of room empty whole time we were there Staff just not nice,-0.8894,0.751,0.047,0.202,0.6060606060606062
2017-08-13,5.0,"We made a reservation and thought we would have to settle for the pizza menu because the main restaurant was closed due to a wedding but when we checked in we were offered the main dining room menu on the patio.  It was a gorgeous early evening.  The host was very helpful and friendly, our waitress was wonderful.  The house specials - trout with capers and spinach was fantastic.  My friend had the risotto was so good the rice was melting and not sticky at all.  The food was a little slow due to the wedding but we made our theatre reservation with no issue and didn't feel rushed to eat.   Great place, definitely recommend!",0.9938,0.668,0.313,0.019,0.5104166666666666
2017-08-11,1.0,"I've dined at Osteria previously and had a wonderful time. On my husbands birthday we decided to come back - wish I would have treated him to somewhere else. While the food was great, the service was terrible. The server never came back to check on us, we were constantly flagging bus boys for anything we needed. Although she didn't seem to have a problem stopping by every other table near ours. It took us over 30mins to attempt to close our check because we were repeatedly ignored by our server....we actually had to walk up to her to get it. When we complained about the service I was told by management while they ""usually try to make the Birthday experience memorable but our server is too busy and since we've closed our check, there's nothing they can do to make it better"" - wow great customer service. I will never waste money at this restaurant again.",0.9625,0.806,0.143,0.051,0.4328947368421052
2017-08-07,3.0,"My sister and I had a quick bite - the penne and the gnocchi. I don't consider it authentic Italian, but very good and simple. I cleared my plate of gnocchi. The complementary garlic oil and bread was eh: bread was great but the garlic oil was overpowered by sweet balsamic. The service was not great. The waiter never checked in and we had to request our check, but it was probably an off night for our server. Everyone else employed by the restaurant was great.",0.9832,0.736,0.264,0.0,0.5874603174603175
2017-08-04,1.0,I just got seated and quite honestly seems like a trash place. They give you two menus but you can only choose one menu. The two menus are either pizza or pasta and entrees. Like wtf why can't they combine them ? Weird place.,-0.2433,0.712,0.144,0.143,0.975
2017-07-31,5.0,"A friend wanted to bring the guys out for dinner at one of his latest finds for good Italian food, so we made the trip to the city to give it a shot. The restaurant is located in/next to Embassy Suites, but do not let the location fool you, this is not your typical hotel restaurant. They had a very nice but crowded sidewalk seating area, we preferred to sit inside and were led through the bar and into one of a few back dining rooms, which were spacious, nicely decorated and had beautiful brick arches that made it seem like we had just walked into Italy! My brother and I split a Caesar salad, we liked it and thought the portion size was just right to split. I really enjoyed their bread and oil, plus the (roasted?) garlic cloves they give with it. I had a glass of wine from the northwestern Piedmont region, which was nice and dry, flavorful, and enhanced by probably the biggest bulb on a wine glass I've ever seen. Each of us ordered our own dinners. I had the short ribs with a side of pasta cacio e pepe, my brother had the wild mushroom ricotta cavatelli, friend 1 had chicken Mario, and friend 2 had a meatloaf special. Everyone thought their food was fantastic! The pastas are all clearly handmade, cooked perfect al-dente and were super flavorful. The last time I had cacio e pepe was in Rome last summer, and I was very impressed at how close Osteria Via Stato's was to what I remember having. Spot on! My short ribs were also delicious. Perfectly melt-in-your-mouth tender with a nice zing in the wine sauce, as well as the potato puree on the bottom. I've had quite a few amazing short ribs, and while this one isn't #1, it is definitely towards the top of the list. The service was another high point of our dinner. Although it did take quite awhile for us to get our food, we were in no hurry and our server, whose name escapes me, took good care of us as well as was engaging and even a little witty and funny to our group of 4 younger guys. All too often servers are too quiet, and sometimes even too talkative, but this was perfect. Overall we really enjoyed our dinner at Osteria Via Stato. It is a straightforward place with a simple in a good way menu, high quality ingredients and good service. It isn't exactly inexpensive, but many choices are very reasonable, and they have an interesting family style prix fixe option as well. A nice, easy option for quality River North Italian food without splurging. Will be back for sure!",0.9994,0.709,0.278,0.012,0.5873029100529101
2017-07-24,5.0,"""When life gives you LEMONS make LIMONCELLO."" According to Osteria Via Stato. This is exactly what everyone who attended the Limoncello Course at Osteria Via Stato did on July 22, 2017!  Participants learned how to make limoncello ""the Italian way.""  The course highlighted the restaurant's Chef David DiGregorio's 'cello program which is seasonal and highlights various fruits and ingredients which are infused with grain alcohol or Vodka at their peak. There were approximately fifty people in attendance and the course was $20.00 per person. The course provided an informative history of Italian limoncello production from the regions of the islands of Capri, Ischia, and Procida; the Sorrento region; and the Amalfi Coast.  The course was based upon Osteria Via Stato's house made recipe and tasting the process of limoncello as it evolves over time.  All participants also received a complimentary recipe card and a generous sample of house made and creatively bottled limoncello to take home. Participants were seated at tables and learned the steps of successfully peeling the skin from lemons ensuring not to have any pith or the white part of the lemon rind in the peeling process.  Participants then were walked through the process verbally and tasting wise with the production of limoncello.  Participants tasted what the process was like at three days, one week, and finally the finished product. Upon the completion of the course about limoncello preparation, the class was provided with tasting samples of seasonal raspberrycello and chocolacello.   The course was lead by Wine and Beverage Manager Matthew Dolin.  Mr. Dolan gave a thoughtful and informative introduction and overview of the process after which he circulated around to all of the tables engaging in pouring the cellos and interacting and answering all questions by participant guests.  Mr. Dolin also stated that this was the second year that Osteria Via Stato has held this course and that it is open to the public. I wish they would offer this course on a more regular basis as they make other seasonal cellos such as blood orange cello and grapefruit cello which would be fun to sample. The cellos (Limoncello, Chocolacello, and Seasonal Cellos) are available on the Osteria Via Stato Dessert Menu at the restaurant listed under the ""Digestivi & After Dinner Drinks"" under the section of ""House Made Liqueurs.""   Truly a magnificent and unique concept for a Chicago Italian restaurant to make house made limoncello and other cellos and to invite the public in to learn about and enjoy ""the fruits of their labor."" FYI-Fun Facts 1. Limoncello should be served cold 2. In Italy unique cellos such as Limoncello of Pistachio are available 3. It is my understanding that individuals can purchase limoncello or their seasonal cellos by the bottle by calling the restaurant in advance as the restaurant makes cellos on a regular basis.",0.9902,0.913,0.087,0.0,0.4677933177933178
2017-07-19,4.0,"The bread here is absolutely delicious. We started off with the caprese salad and then moved onto entrees. The gnocchi I had was very fluffy, but also seemed a tad undercooked possibly? I warmed it up the next day and it was even better than before.  They have a nice big patio out front ... great for people watching and enjoying the Chicago summer weather. I definitely recommend that you get the bread pudding with the caramelized bananas!! Sooo good! Will definitely return!",0.9908,0.64,0.36,0.0,0.5891666666666665
2017-07-17,5.0,Amazing! We had a party of 7 people and we sat on the patio. Our  server was Jack and he was wonderful. Helped with all of our questions and all of his suggestions were right on. The bread with olive oil & balsamic garlic was outstanding! We asked for extra which was brought out promptly. The price point was very good and affordable with small or large plates on some items. I had the ricotta cavatelli which was absolutely outstanding! My husband & friend had the Chicken Mario which they really enjoyed. Everyone kept commenting on how delicious their food was & the service was great! We will definitely be back!,0.9911,0.702,0.298,0.0,0.6638775510204082
2017-07-17,4.0,This is a relaxing and comfortable Italian restaurant. The risotto was excellent and our drinks were also very good.  The bread was also very good. The server was friendly and knowledgeable.  Good restaurant worth checking out.,0.9738,0.523,0.477,0.0,0.5700000000000001
2017-07-17,4.0,"Nice restaurant for an evening out.  We went on a nice day, they had all of the windows open in the bar area and got to people watch a bit.  After happy hour we went into the dinner side of the restaurant.   When seated the server puts down fresh bread and olive oil, which was delicious.  For my entree I went with the gnoochi, which cooked to perfection.  Overall our entire table left happy, I would come back.",0.9709,0.747,0.253,0.0,0.5761574074074074
2017-07-14,5.0,"Food is top notch!!! They bring you out fresh baked bread with olive oil and garlic soaked in balsamic vinegar and it is heavenly! Entrees were delicious, we had the Penne and Chicken Mario and both were exceptional. My husband is not a huge fan of Italian food, but even he was raving about this place. I can't wait to return.",0.7274,0.815,0.139,0.046,0.692857142857143
2017-07-09,4.0,Good Italian food in casual eatery! I enjoyed the food--from pasta and pizza to meatballs they had good food. The desserts were delicious too. Waiters were helpful in keeping our wine glasses filled. They are located off the main Michigan avenue.,0.9493,0.658,0.342,0.0,0.625
2017-07-08,5.0,"I was in Chicago for a about a week and on my last day there I was looking for a quick meal I could eat some and take the rest to the airport for dinner. I walked in because they had a good lunch special with a salad, a sandwich and dessert for $10.95.  The waiter was really polite and helpful.  I had a beer and it was delicious! The food was good too, the salad was small but tasty and the warm bread and olive oil filled me up!  The waiter (I can't remember his name) then packed up the calzone and dessert for me to take to the airport and it was such a nice way to leave the city.",0.9255,0.848,0.141,0.011,0.5781746031746032
2017-07-07,5.0,"We sat right away when so many other places had a 45 min+ wait. EXCELLENT service, so friendly and helpful, kept drinks full, food was great (loved the roasted garlic). Atmosphere was beautiful with soft lighting and cozy decor.  My 15 year old son said ""this is a good place for a date"".  My 11 year old daughter said ""you definitely need to write a good review for them Mom!"" We loved it.",0.9857,0.654,0.346,0.0,0.5888655462184873
2017-06-28,4.0,"Very nice Italian joint in River North. I came here on a Tuesday night with a group of 4. We preferred to sit outside on the patio, but were informed that one half of the patio only serves Italian food (The Osteria side), and the other half of the patio only serves Pizza (The Pizzeria) side. We opted for the Italian. We started off with the complimentary water (yes, the waiter asked us if we would like complimentary water), and got the roasted garlic for an appetizer. It was delicious and we asked for seconds. When ordering, the waiter allowed us to order pizza, which was nice. We ordered a Vegetarian pizza for the table, Penne (no chicken), and a Spaghetti Arrabiata for the entire table.  The food was light and delicious, and our group enjoyed it very much. We had the Chocolate Tart for dessert, which was divine. Highly recommend this restaurant and looking forward to coming back soon!",0.9921,0.781,0.219,0.0,0.5242424242424241
2017-06-17,3.0,"3 stars for the food 5 stars for the staff I had the pleasure of attending a wedding and reception here, so I did not get to experience Via Stato on a normal evening for dinner.  The staff was kind and helpful. I know the bartenders were slammed for this event, but they were super generous.  I am not sure what the food is like during regular service, but the buffet wasn't as good as I had hoped.  There were tons of options:  salad, creamy pesto pasta, penne and marinara, salmon, chicken, meatballs. I did not try the salmon or chicken.  The pastas were well cooked, but bland.  The star of the evening were the meatballs.  The dessert buffet also offered a lot of choices - I was not wowed here either.  They also had a taco bar later that evening, but I did not have any room to try that. For sure, order meatballs.",0.9283,0.774,0.154,0.072,0.6731546231546232
2017-06-16,5.0,This place is great since my friends and I was finally able to get a reservation. The restaurant decor and interior is really elegant.  We started out with the small plates of grilled octopus and antipasti board which were delicious. For entrees one of my friends had steak with mash potatoes. My other friend had ravioli with tomatoes and a sage brown butter sauce. I had a steak with sautéed greens and my husband had pork shank with spinach and cannelloni beans. We all agreed my husband dishes was the biggest compare to our dishes. Nonetheless the overall experience was great and our waiter was really helpful to us. I have to definitely go back to try their pizza and other dishes on the menu. It is a great place for any occasion and make sure you make a reservation.,0.9899,0.755,0.245,0.0,0.5472222222222223
2017-06-15,1.0,"I attended the event ""Prosecco on the Patio""  last night, it is a tasting hosted by Osteria with 20 different Proseccos and pass around appetizers. I bought tickets weeks in advance as it was sold out. Firstly, the cramped room and patio they held it in was shoulder to shoulder.....you sometimes had to wait at a table behind 10-20 people just to get a partial pouring in your flute. They sold way too many tickets. Secondly, instead of serving appropriate tasting fare like cured meats or cheeses (which actually enhance good wines with their fat content) they served extra spicy bacon wrapped items and very garlicky meatballs and fried vegetables. The appys totally destroyed your palate and made it impossible to discern the subtle differences between the beverages we were there to taste. The people who orchestrated this event have absolutely no concept of what to serve at a tasting. I mentioned something to one of the staff who said he would let them know. We left after 20 minutes.....a full refund should be offered to the people who had to endure this event! They should know better.",0.383,0.924,0.045,0.031,0.4368421052631579
2017-06-11,4.0,Visited this past weekend with a group of 7 and had a great meal. We split some of the pastas and salads as well as the meatballs. The highlights were the spicy penne and short rib. Service was quick and happy to help with suggestions. Another solid Italian offering in River North!,0.9259,0.752,0.248,0.0,0.41428571428571426
2017-06-07,5.0,"Loved it! Home run all the way around. There were plenty of highlights throughout the meal: - Our server (really wish I could remember his name) was funny, engaging, and attentive. - For appetizers, the veal meatballs and burrata were off the charts - Our large group had a number of entrees but the gnocchi was really memorable. Handmade with an incredible sauce. I can say that was the best gnocchi I ever had. The sweet pea & ricotta agnolotti was another favorite. My only regret is that it took me this long to try it. I'll be back for sure.",0.9659,0.736,0.232,0.033,0.677830687830688
2017-06-05,1.0,"This was my first bad meal in Chicago.  Very disappointing!  I ordered the scallops with risotto. The scallops had a funky taste,but I was starving and ate them with bread.  I don't send back food in a restaurant because of the worse things that could happen. The risotto was absolutely inedible. It was basically pea purée that had a bitter taste. The server asked about the scallops being delicious. I said the risotto was inedible and he must not have heard me and walked away. They don't have Cabernet on the menu which was surprising.  They do have sparkling water and tasty roasted garlic and bread. It did seem like others around me were having a different experience which made it difficult to bear my disparity.",-0.855,0.779,0.076,0.145,0.6372727272727272
