date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-24,4.0,"Finally made it to this joint, after passing it for years, and I will say, I liked it!  Food was good, drink was tasty, and the waitress, was rude as ever, but in the most fun way! Loved her negative/ positive energy that she brought. Lol . Very reasonable prices, and the fact that the location is right off the Chicago river made it that much better. Not a swanky spot, but who needs that all the time. Laid back, fun place to enjoy with friends. Glad I chose this one, to celebrate my birthday with my bestie, in the most fun way.",0.9959,0.583,0.403,0.014,0.5533982683982684
2017-08-24,1.0,"If I could rate this place lower I would.  The concept of having the servers yell at you the entire night is hard enough to take but the food and drinks were absolutely terrible.  The place inside is old and beat up.  If we had gotten to sit outside maybe I would give in a one star.  The server even yelled as us as we left the money on the table as we just wanted to get out of there.  She yelled out if we were stupid.  Yes for coming here we definitely are STUPID.  She then ran out to us on the street to tell us we left her a terrible tip.  Another table came after us and after the server started in on his tirad they all left, I wish we had done the same.  The best part of the place was the band but they seemed oddly out of place here.",-0.703,0.781,0.093,0.126,0.4432291666666666
2017-08-23,1.0,"Horrible concept.. to me.  Here it is.. huge place with huge drinks, and huge attitudes.  All Jokes aside, not  complaining, but their big idea is to be as nasty and rude to customers as humanly possible.  Cussing, loud service providers,  insults galore.. I thought it was actually a joke or just the hats based on pictures but i wouldn't bring kids here  and they need adults with them pass 6pm... I see why. We sat down she loudly asked if weve been here before... but we said no. And she told us the concept upfront and rudely  said something along the line of ""okay? no shit thats my f---ing job."" Like wait what just happened? Not my thing. Enjoy if you can. These reviews dont do anything to them thats fine...  they wont care. But dont waste theirs or your time if you cant get pass the cursing and yelling at people. I was taken back so quickly after sitting at the bar that my husband got 1 drink and we left. I couldn't bring myself  to endure that for an hour. But hey to each their own.",-0.9542,0.749,0.097,0.154,0.5813131313131312
2017-08-22,5.0,I met my bestie here after work today to celebrate her Birthday. What a rude way to celebrate another awesome year. LOL Dick's Resort location on Chicago Riverwalk gives you a nice lake view and skyline scene. You can sit and enjoy watching many different boats shore along the river.  This place looks a bit of old fashion but its a very creative place to come with your friends and enjoy a bit of rude sarcrastic waiter(s) The food and drinks are specially delicious. The price menu  is reasonable. We both had the Catfish dinner that came with fries and cole slaw. The Catfish was cooked and seasoned to perfection. Golden Brown and crispy on the outside and well done on  inside Its just a place to come eat drink and enjoy yourself to live laugh and have an amazing time of your life. They even make a speacial white hat for you to wear when you fine in. Made specially for you lol I forgot to ask our waiteress for her name. She was extremely rude Lol She made my Bestie bday a great experience. We laughed the whole time we were there today. Her rude humor kept us with laughter. I really enjoyed the food the drinks and fun.,0.9977,0.616,0.333,0.05,0.5475446428571428
2017-08-12,1.0,I understand that there suppose to be rude to you but They just took it too far they were calling people ugly gay fat monsters.,-0.7543,0.773,0.0,0.227,0.7958333333333334
2017-08-07,1.0,"So, i do not write too many reviews but this supervisor  was so unprofessional  that i ne eded to warn people.  This place is pn the river  so I  obviously wanted to sit bear the river and they refused to serve is even though another table got service 10 feet away. When i tried to complain the manager was such a bro and started shouting. This was the most unprofessional  behavior I  have ever seen.",-0.9656,0.768,0.0,0.232,0.5
2017-07-31,5.0,"Great experience, not to crowded, servers are great , margaritas are good and you get a souvenir cup to take home we'lll be back soon!",0.908,0.637,0.363,0.0,0.525
2017-07-26,2.0,"Went in at 345 for lunch. Expecting to grab a burger, have a few beers on the river with a nice view. Got seated, got our beers. No one came to our table until after 4 and was told they don't serve off the lunch menu after 4. The dinner menu is more expensive larger meals with no burgers - or anything resembling lunch items. At 4pm, no one I know is hungry for dinner yet. We told the server we just wanted the check. Instead of realizing money was walking out the door, he was perfectly fine telling us there was a good burger joint next door. Which there was.",0.7269,0.841,0.101,0.057,0.4875
2017-07-25,1.0,"I understand this is a concept establishment, but the staff uses this theme as a free pass to be A-holes. It doesn't surprise me that this place only has 3 stars on yelp. I am surprised that they survive on the river walk.",0.6787,0.795,0.154,0.05,0.9
2017-07-22,1.0,"This place is so f-cked up,food is junk,waiters trying to play rude game,so stupid,they have good location,they could make a killing with this this spot,very sad,I hope they change their business model.",-0.0516,0.625,0.197,0.178,0.6000000000000001
2017-07-17,2.0,We came here to view the river. We've been here in the past. The food has definitely went down hill. We ordered Nacho's and the chips were stale tasting. The toppings of a cheap spicy beef concoction tasted was very blah as well. The portion size was not impressive. The ribs & wing combo again just ok. We also had crab cakes which were ok with some tasteless rice & canned corn tasting concoction. The food for being downtown was not at all impressive. The view is a 5 star rating. The food isn't impressive. The servers are rude but that's the point of the place so that's understandable. Great location if they could make the food worth the price.,0.8035,0.812,0.118,0.07,0.5925925925925927
2017-07-09,1.0,"Worse restaurant I've ever been. The minute we sat down we were told that this is a theme restaurant. The theme was to be very rude, loud, and in your face. Really! As if that wasnt enough, their food selection was very liimited and truly AWFUL! Do yourselves a favor and stay far away from this restaurant. There are way too many great restaurants in Chicago.",-0.1892,0.737,0.127,0.136,0.6108080808080808
2017-06-30,4.0,"Very hilarious staff with intentional rude comments and the view on riverside  was great A+.  Took an outoftowner there, she loved the atmosphere, that includes live band. Food was a B+ (based on appetizers only). Good beer selection. The Killer Rita had a great punch to alcohol.",0.8932,0.6,0.284,0.115,0.75
2017-06-22,4.0,"Dropped by last night with gf and omg, bartender and Rob was off the hook. We both were on the ground laughing, the place was oddly decorated and prices were reasonable. Definitely came for the humor and humor did not come up short....thanks guys for an evening to remember....!",0.6996,0.759,0.179,0.062,0.35416666666666663
2017-05-27,3.0,"The service is actually pretty good they are supposed to be ""mean"" but it's more comfortable, like they are a sarcastic friend, than vulgar. The food is eh, I wouldn't go here if you're looking for a mouth watering meal but it fills you up if you're looking for a fun place to eat.",0.9631,0.643,0.319,0.037,0.6734375
2017-04-26,1.0,"Im giving this two stars because although the experience was enjoyable and you get your own hat,  the food and the restaurant itself was not great, actually the food was TERRIBLE. I came in during dinner hours and was told the dinner menu is all that is available (and the appetizer) I was hungry for a burger and was disappointed to be only limited to a dinner  menu  I ordered the BBQ combo which came with a scoop of pulled pork, a piece of chicken, a piece of a rib and cole slaw. the chicken and rib barely had any meat on it and the chicken was burnt. the place looks not well taken care off, for all the fuss I hear about this restaurant this is not the scenery i imagined. Save your time and money not worth it (except the hat) Wont be coming here again.",-0.6168,0.799,0.084,0.117,0.628061224489796
2017-04-26,3.0,"We come here a couple of times a year to make the teenagers happy...the food is quite average.  The restaurant is pretty loud and obnoxious but definitely worth ""the experience"" once.  The location is great. We always use the valet at the adjacent restaurant :) Average bar food but fun times with kids.  For those of you who don't know - the restaurant is supposed to give you bad service and the wait staff is meant to mistreat you. Towards the end they give you goofy paper hats with offensive writings such as ""I give myself hickies to make me look cool"" or ""I make out with my Justin Bieber poster"" etc... they keep it pretty age appropriate. If you are into this sort of thing - try it at least once :)",0.9738,0.726,0.207,0.067,0.6479166666666668
2017-04-22,5.0,We stopped in here for jalapeño poppers and a drink and it was a lot of fun as they yell at you and abuse you but that's what you can expect when you go to this place,-0.2263,0.838,0.056,0.106,0.2
2017-04-15,2.0,"The restaurant is known for their ""rudeness"" and giving guests paper hats with crass and obnoxious sayings.  The food and atmosphere were very unimpressive.  Our waiter was just okay and the sayings he wrote on our hats were the same as others around us.  The waiter next to us seemed much.better and way more clever and original.  Was excited to see what all the hype was about, but left very unimpressed.  I would not waste your time or money here.  Chicago is too big to settle for sub par.",0.3379,0.805,0.12,0.075,0.34652777777777777
