date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-18,5.0,"This place is a neighborhood gem.  Authentic Italian food that is reasonably priced.  Enjoyed the special offered this evening swordfish - well prepared and seasoned just right.  Bread freshly made with a side of roasted garlic mixed with olive oil and some other secret ingredient.  Place it on warm home made bread. So much better than just butter! Our table also tried the veal ravioli, linguine with white clam sauce, and the Italian sausage.  Everything was tasty -white sauce in clam dish had a nice kick too it - not too spicy. Parking can be a challenge in this area, but well worth the visit.",0.8997,0.832,0.168,0.0,0.4128968253968253
2017-08-17,4.0,"Had the salmon special, perfectly cooked. Very good food. Loved the atmosphere and service.  Read all reviews and they were correct.  Highly recommend.",0.952,0.514,0.486,0.0,0.7382857142857142
2017-08-03,4.0,Came here after a few recommendations and were not disappointed! The staff was nice and attentive. We came on a Thursday for the prefix menu- my husband did the prefix and I got an entree.  We started with a bottle of chianti that for under $30 was good! Got the bruschetta as a starter which was nice and acidic. Their warm bread with the garlic paste was addictive.  For entrees I got veal ravioli and he got rigatoni. Both were flavored well and not overcooked. However I'd say mine lacked a little of acidity and his salt.  A cannoli at the end was gone in seconds. Very good! Overall we'd definitely come back here for more meals. Great neighborhood spot.,0.9748,0.799,0.201,0.0,0.592
2017-08-03,4.0,"I would recommend this place. Good, real Italian place. Nice people and parking not terrible.",0.8675,0.482,0.518,0.0,0.65
2017-06-23,5.0,"This is quite seriously one of my very favorite restaurants in the city of Chicago. It pains me to share this review because I'm so worried that people will FIND OUT about this place! It is always such a quiet, pleasant atmosphere in the restaurant and the food has been consistently amazing for the 5 years my wife and I have been going to the restaurant.  Big time recommendation for this.",0.7372,0.748,0.158,0.094,0.6380952380952382
2017-05-24,4.0,"Cozy, un-crowded, great view of California Avenue from the window seat.  Respectable wine and bruschetta and attentive service.",0.7906,0.696,0.304,0.0,0.725
2017-05-14,5.0,"Had an 8:15 reservation and got seated at 8:15. Food was excellent, service was great, wine was fairly priced and desert was excellent. We will return.",0.91,0.667,0.333,0.0,0.9125
2017-05-13,5.0,"Kathy and I had the Best Diner at our favorite restaurant in all of Chicagoland. To begin with as you enter the front door you are greeted as if you are family. The owner Jose and  his wife Eileen make sure you are well taken care of.  The food is fantastic, the adult drinks are fantastic and desert is unbelievable.  Why go downtown or near north when you can have the best meal ever here.  Celebrated our Wedding  Anniversary last night at our favorite restaurant.  Words can not describe the fantastic food, friendly service and great staff.  If you haven't tried this restaurant yet you are truly missing the best.",0.9944,0.615,0.37,0.015,0.6062091503267975
2017-05-03,4.0,"We went here last night to celebrate my 45th birthday.  We had reservations and were seated immediately, even though there were not many empty tables-they held to their promise.  We started with the Proscuitto wrapped mozzarella which was awesome; alongside we had a great Martini (I don't know the name).  The garlic spread they serve with the warm bread is to die for!  If you have never had fried sage on your ravioli-you have got to try it.  The last time I had this was in SanFrancisco and I thought I would not find it again.  Well-here it is, served with Butternut Squash filled Ravioli and drizzled with brown butter.  I swear I died and went to heaven.  This was amazing!  Smooth and creamy on the cold night just made me so warm inside.  I was torn between this and the Veal stuffed Ravioli; luckily my other half chose that one and we were not let down.  Service is great!  I will be going to this place again! It made my birthday memorable!",0.9765,0.765,0.18,0.055,0.5861111111111112
2017-04-15,3.0,Great female bartender! Yummy cucumber martini. Then we sat down at table...waiter was useless...couldn't answer any questions about substituting items due to gluten free issues and a friend with an allergy to broccoli. Could have made it so simple...lots of options on menu but he couldn't make that happen. After way too much discussion he left and returned saying they could handle more veggies to replace potatoes...end result was REALLY good but it took too much hassle to get there!?????,0.9426,0.823,0.177,0.0,0.3880555555555556
