date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,So sad that the Paramount Room is closing. Tonight is the last night. Never had a bad meal. You guise are awesome and will be missed!,-0.6468,0.609,0.119,0.272,0.6833333333333333
2017-08-18,1.0,"Found this place on a whim, they were listed for best Oyster Happy Hour, decided to give him a shot for my wife's birthday, the oyster's were tasty & quite hefty, but the service wasn't good, not sure if the server was having a bad day or wasn't expecting patrons so early, but we actually cut our gathering short because of the service.  There was a also a mishap with the checks and misplacing our credit card. I hear the place in closing due to rent but I wonder if it's because of the service or if in fact the service was what it was because they're closing.",-0.5706,0.828,0.079,0.094,0.503395061728395
2017-06-03,5.0,Brad was an excellent bartender. Made my boyfriend a great cocktail and kept our glasses filled with good beer! Also left us a great list of places to visit before we head home to LA. $1 oysters after 9 were great! A very enjoyable experience. Definitely recommend!,0.9825,0.552,0.448,0.0,0.67
2017-06-02,4.0,"I'm giving this place 4-stars because we had so much fun on our first visit! We came here with a Gilt and were able to try several things on the menu, including mussels, scotch egg, poutine, oysters, fried green beans, and even a dessert! (It also included 2 drinks.) It was one of the best Gilt deals I've ever purchased.  All of the food was incredible. The portions are huge, so you feel like you're getting your money's worth. We couldn't finish everything, so I recommend ordering less than you think you'll need. Okay, I have to say that the place looks a little sketchy. If you look on their website, it looks like some elegant restaurant, but it is far from it (or maybe it's fallen from grace since opening?). In reality, it reminds me of a hole in the wall place you'd find in New Orleans. No frills and slightly run down. Also, if they're having an event downstairs, there is very little seating in the main dining area. There are only about 4 tables and some of them are very awkwardly positioned. Despite the appearance of the place, it somehow works. I think it even added a sense of adventure to our night out. The bartender is real serious about his job, doesn't seem to have much of a sense of humor, but is professional and attentive nonetheless. He made good recommendations for us and made sure we never had an empty drink. I would go back! I want more of those mussels and scotch eggs!",0.9712,0.816,0.144,0.04,0.5102441077441077
2017-05-31,5.0,"I went here with my husband last weekend and had a great meal! Such a cozy spot with amazing food. If you go here, you need to get the eggplant - it's to die for. We will definitely be coming back.",0.7901,0.69,0.228,0.082,0.4952380952380952
2017-05-29,3.0,"Came here last weekend with my husband for dinner. We ordered the beans, the burger, the mussels and beer.   It started off really quiet, not a lot of people in the bar. However it picked up quickly, around 11 PM with many more people. The mussels did not taste fresh but the beans and burger were great. Their collaboration beer pairs very well with the burger.  The only reason I wouldn't give it five stars is because the server gave our burger to another patron, and he started eating off of the plate and then brought it over to our table. We had to flag it for the server and ask him to get us a new burger - that was terrible. I wonder what would have happened if we didn't see that. The bartender was kind enough to comp the burger and then proceed to apologize to us and explain to the server that it was unacceptable. Also we wanted to host a party here but we never heard back from the planner. Would come back but somewhat disappointed in the lack of response on the party.",0.7749,0.817,0.105,0.078,0.5034090909090909
2017-05-22,4.0,"Great brunch spot! Took a handful of family/friends visiting to Paramount. A pretty tiny little spot but it is comforting.  Paramount has a bit of history linked to the building. They have a really cool old school speak easy room with a little hidden exit way in the back that leads to the old railroad tracks. Next time you are there, ask them if you can tour a bit of the basement. Love the tempura fried green beans to start. The brioche French Toast is heavenly. It is butter griddled, hardwood smoked bacon, gruyere, warm maple syrup. You must get this dish if you stop in for brunch! The Wagyu burger and chicken are very good too.",0.9863,0.733,0.247,0.02,0.4831481481481481
2017-02-26,5.0,"Updating my review from earlier last year. Came back to Paramount after about a year's absence, since I was bummed about the menu changes. Since checking it out again I've been back 3 times, and fully plan on sticking around as a 'regular' like I used to. There is something to be said about a restaurant listening to feedback as well, which means a lot to me as a customer.  The wagyu burger is perfection, as per usual. I think adding the two sandwiches back on really rounded out their menu, there are a lot of great options while also having some casual fare. Beer list continues to be stellar. Rarely a wait. Nice space. Totally recommended.",0.9524,0.838,0.162,0.0,0.374017094017094
2017-02-22,5.0,"How to explain why I've selfishly justified - for years - hoarding my appreciation for Paramount's existence from all but my closest friends, foolishly thinking that it will somehow change if everyone discovers it? Because, I've told myself, it's conveniently hard to find, small, and fills up quickly with regulars who appreciate great people and great food. And beer, really awesome beer. But mostly, it's because of Bartender Russo. When we go for weekend brunch, it's quite clear that it's not just my husband and I who have fallen for her loving sarcasm and absolutely hysterical stories. And Stephen's food is probably some of the best ""pub"" food around; our favorites are the superb wagyu burger (I'm equally infatuated with the frites and tempura green beans that may accompany the burger), fish & chips, BLT and omelets - when there isn't a special. If there is a special, order it! They are fantastic and usually limited. I haven't been there for nights in years, but when it's open, the lower level/former speakeasy is enormous and screams for private events.",0.9912,0.624,0.256,0.119,0.6107142857142857
2016-12-21,4.0,"One of my favorite bars for food and beers in town! Good rotating beer selection. A little bit off the beaten path which is actually kinda nice. Always welcoming bartenders. The burger used to be better, but you can't go wrong with fried green beans dipped in aoli. Yum.",0.8479,0.732,0.234,0.034,0.6125
2016-12-07,2.0,"Just had dinner here and wow, how disappointing. Let's start off with the service, bartender/server who waited on us just had a terrible attitude. I don't understand why you work here if you clearly hate it, don't take it out on customers especially not those who didn't ask for much other than basic drinks and food. Second, food was just not good. Mussels were salty and there were so many empty shells and the poutine was disgraceful.  1 star for a decent burger which was still not that good and 2 stars for the busser/food runner who was more attentive and caring than the girl waiting on us and who will most likely keep most of the tip we left.",-0.712,0.798,0.075,0.127,0.5982456140350877
2016-11-26,5.0,"For years, my friends and I have been coming here for ""Friendsgiving.""  They make fun drinks (I'm a big fan of the Whiskey Mule) and the apps and entrees are great.  I recommend the spicy chicken skewers and fried green beans to start and one of the Ruben, Waygu Burger, or awesome boneless pan seared chicken with potato pancake and spiced apple sauce.",0.9607,0.736,0.264,0.0,0.6071428571428571
