date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-28,1.0,"Unfortunately I havent been impressed with Big Bowl as of lately. I dont know who cooks the food but its WAAAY TO SALTY. I went there for lunch on day and got the Kung Pao chicken....to salty. OK, so everyone is entitled to an off day. Went back again for the Curry Chicken....same thing. They really need to taste this before putting out. One heavy hand can cause these bad reviews.",0.6147,0.761,0.138,0.101,0.5074074074074075
2017-08-06,4.0,"This place is really cool!  My SO and I stumbled in here not realizing it would be such a robust 'food court.'  I'm especially impressed by the fact that it features local cuisine rather than the standard mall fare.  There's a really tasty bakery with decadent fudge brownies, a pizza bar, a burgers/shakes spot, and a gourmet grocery store among others.  The only reason this review isn't 5 stars is because the seating area was dirty (floors and tables) despite eating at a low-traffic time of day.  Still, I'd definitely recommend giving it a peek if you get the munchies while shopping on Michigan Ave.",0.9077,0.823,0.15,0.027,0.5166666666666667
2017-07-04,4.0,"I go here every time I shop at watertower. It is convenient and the food is pretty good. Just a little pricey, but not too bad. There are many options, from friend chicken to barbecue to soups to salads to Chinese to Mexican food. They have everything and none of the food is amazing, but it is good and does the job. It is generally fast as well. I like the Italian food there. The chicken Parmesan and garlic bread is good. So is their salad bar and their barbecue. You can't really go wrong here.",0.9867,0.71,0.29,0.0,0.5844444444444445
2017-06-25,1.0,"Very disappointed. I use to come here all the time and the food was always fresh and the service good. Not this time! I got a salad- the ingredients were gross. The lettuce was brown, the tomatoes soft and all the other ingredients looked like they were chopped days ago. Salmon was just sitting out on a tray in the sink area- eww. And the service was awful. I understand that it's Sunday and it's a bummer to be working, but being curt and rude with customers is not the way to handle things. This used to be one of my favourite lunch spots- very disappointing to see the decline.",-0.914,0.809,0.046,0.145,0.5900000000000001
2017-06-24,3.0,"Foodlife is great when  you don't know what you want to eat and your not a picky eater. There are a few good things that are fairly priced and then there are items that are over priced. Like really over priced. Like you have to do a double take because your like wait, what???? The staff is nice and friendly. The servers know what they are selling and are pretty honest about the food they are serving. I value their honesty. I do enjoy the soup bar. Hey it's Chicago and cold outside!",0.9885,0.662,0.338,0.0,0.576923076923077
2017-06-19,3.0,"So many choices, and most of them mediocre. If you're out shopping on Michigan Avenue near Water Tower Place this is am ok spot to grab a little bit of EVERYTHING. There's a wide variety of dining choices for anything and everything that you might have a taste for (Mexican, Italian, Asian, or just a burger & fries.) Something for everyone and none of it great. It's sorta like the old expression ""A Jack of all trades, a master of none."" Odds are you won't be disappointed with whatever you eat at Foodlife, but you won't remember it the next day either.",0.2104,0.928,0.05,0.022,0.39285714285714285
2017-06-16,4.0,So many choices and it's good for family as everyone will find something here. You are given a card and swipe it any food station. You pay when exiting.,0.3612,0.858,0.096,0.046,0.55
2017-06-09,1.0,"if you give instructions to flip the card to finished when you are done, why wouldn't you then wait for the card to flip before throwing out someone's barely eaten food?  ordered food. had a bite. got up to get something in addition only to wait 30min for it all and then when i came back everything was thrown out. not only that but after i sat down to eat what i had left, another customer came to tell me it was their table - meaning they had thrown my food out and gave my table away. they need to either staff their restaurants better so that when one gets up to get something it doesn't take a lifetime or figure out a better system of tracking customers and tables.  manager refunded my order, which i appreciated, but the experience was nonetheless anything but pleasant and definitely made me not want to come back.",0.9675,0.867,0.125,0.008,0.412962962962963
2017-05-27,5.0,"The perfect spot for a family of any size. Fast, healthy options. Something for everyone without breaking the bank or waiting forever.",0.7506,0.748,0.252,0.0,0.7000000000000001
2017-05-15,4.0,"One of my go-to lunch places because they have something for everyone. Right now I am a huge fan of the street tacos. $2 for 4.99 or 3 for $6.99. You can choose between pork carnitas, chicken, or steak. Pork carnitas is my favorite.  In the winter when my bones are cold, nothing warms them up better than the bottomless soup bowl.  Save room for desert- if I am not full or can share its time for a crepe. If I am stuffed, I'll take a cookie to go. Tip- if you like shortbread then ask for the Samba cookie.",0.9391,0.808,0.175,0.017,0.7765306122448979
2017-04-27,5.0,This here is one of my absolute favorites.everything from bbq-sushi.you can go there and get different types food from each restruant.love this place!!,0.0,1.0,0.0,0.0,0.75
2017-04-16,3.0,"FoodLife needs a new life... I hate to say it, but I'm tired of FoodLife, and I think Foodlife is tired of itself. This place needs something new. My kids typically love going there, but the truth is on our most recent visit nothing excited any of us. It was still the best option for dinner, since we're all really picky, but our food was just A-OK. I ended up getting a chicken breast with mac 'n cheese and baked beans. It was pricey for a small piece of chicken, and the beans weren't very good...I would have preferred them out of a can. They were tough and chewy. The mac 'n cheese was just good but nothing memorable. The truth with FoodLife is nothing is memorable, except for maybe the pizza. This time around the kids and hubby ordered from MBurger, but that's still a fast food dinner burger option IMO. I still love the concept of FoodLife, and the staff working there is typically really nice. However, I find the food to be a bit overpriced for what you get (though the pizza is worth it).  The best part about FoodLife is you always know what you're going to get, but I think I'm ready to try Foodease across the way now. It's bright and cheery over there with a more ""fresh"" perspective on dining. Seems healthier and less dated.  Sorry FoodLife. :-(",0.9904,0.743,0.188,0.068,0.6190340909090909
2017-03-31,3.0,"I never really enjoyed why people liked this food court before I was a dad.  But now that I have a son, it's such a convenient place to bring my little guy to.  The food is pretty good and the prices are reasonable. Be warned, it gets really packed on the weekends.",0.5969,0.747,0.162,0.091,0.6124999999999999
2017-03-11,3.0,"Basically an enclosed mall food court. The offerings within are... mediocre, at best. Definitely a bit over-priced. I do appreciate that it eliminates the issue of everyone having to decide on what to eat, as there is something here for everyone, whether it be pizza, bbq, asian stir-fry, sushi, or italian. Personally, after closely scrutinizing all of the kiosks, and finding very little of it appetizing, I realized you can still access the M Burger from inside of Foodlife, and charge it on the card. If and when I come again, this will probably be my M.O.",0.8625,0.903,0.097,0.0,0.41875
2017-03-05,2.0,"The food was pretty good once we got in, were given cards, seated and figured out we weren't being served.  We only wanted a quick bite and it took alot longer than we thought  We also waited about 10 minutes to check out after we ate.  No one explained anything to us about how the cards worked. (or how dirty they could be) They charge a 7.5% service charge; I guess because they clean the tables? The card states that it's optional. I paid since it amounted to only 97 cents; but we did clean off our own table.",0.7096,0.873,0.093,0.035,0.8111111111111112
2017-02-12,5.0,Foodlife is simply amazing. We planned a dinner for  31 people at this venue and it was PERFECT! It was hard convincing people to buy into the concept of 14 kitchens and a 3 hour tasting window.  I worked directly with Ana to plan the event! Ana is amazing good and accommodating. She suggested the Green Room for the event. After seeing the room with the linens and flowers it was absolutely gorgeous. The group consist of varying ages and it was nice to see all enjoy their night.  LEYE knocked it out of the ball park with this concept! I can't wait to plan another dinner in the spring.,0.9825,0.761,0.228,0.011,0.7310606060606062
2017-01-30,5.0,Comfort in foodlife has by far some of the best food in have had! The customer service was amazing and made you feel welcome 5 stars for sure!,0.9467,0.573,0.427,0.0,0.7977777777777778
2017-01-26,2.0,"The food is mediocre at most of the kiosk spots. For some reason they don't seem as fresh tasting as they should be.  Although, there's a wide variety of foods to choose from, it just isn't enough.  Popular place for CPD.",-0.5096,0.898,0.0,0.102,0.6333333333333333
2017-01-06,5.0,"Foodlife is so fun! My family and I have been coming to Foodlife for years. It's one of my favorite Lettuce Entertain You restaurants. The atmosphere is super unique and I always thought the swipe card concept was awesome. Whenever I go to Foodlife, I cannot resist the stir fry bar. I love all of the stations, but I am loyal to my stir fry! There is actually something for everyone at Foodlife.",0.9486,0.763,0.237,0.0,0.6749999999999999
2016-12-20,3.0,"An interesting concept. They everything from bbq to Asian stir fry noodles. So no matter what a person is in the mood for, they can find something.  I got the Mongolian bbq and it was more than serviceable.  Others got bbq and liked it.  If you with a big group this is a pretty good place to go because everyone should find something and they can pay on their own.",0.8436,0.778,0.171,0.051,0.5625
2016-12-19,4.0,"My wife and I wanted to grab a quick dinner somewhere in Water Tower Place and stumbled upon Foodlife on the first floor. We built a salad plate for the both of us for $14 ($9 per lbs) and you can combine whatever salads / soups / warm food that you want in it. We went for just salads and the beet salad, spicy cabbage salad and the caeser pasta salad were great. The chopped greak salad was one of the best I've had in a long time. Not as cheap as I hoped it would be, but not terrible for a two person meal. Really nice place to sit at if you're in a hurry and up for a quick salad.",0.9328,0.861,0.139,0.0,0.6083333333333333
2016-10-21,1.0,"I had a strawberry, banana and berry smoothie  yesterday.  Worst thing I've EVER tasted in my life! For 5.49, I want it to taste good or ANY price for that matter! Girl was very rude!  This juice bar is located next to the Mity Nice Grill on the Mezzanine Level in the corner.  Had to ask for my receipt when I told her I wanted it.  Put the paper in the bucket, thinking it was a garbage. It was the tip container.  She looked at it like, ""Oh my god, that's not a garbage."" Said I was sorry, and took it out.  Just a bad time.  Smoothie was watery, not thick.  I can't wait to get one @ Mariano's! BETTER AND CHEAPER!!!!!!!!!!!!!",0.5119,0.771,0.135,0.094,0.669074074074074
2016-10-05,5.0,"Foodlife is so convenient if you live in the area because there are so few grocery stores around and sometimes you want fresh food, but want to take it home and not eat out. I'll stop in and grab a salad from the salad bar, something hot from the hot bar, or a bottle of wine and some high end chocolate as a gift on the way to a party. It's super convenient and everything tastes good. Their premade salads are awesome too!",0.975,0.703,0.269,0.028,0.622962962962963
2016-09-30,4.0,"The staff was friendly and my cheeseburger was tasty. I was able to get a table in a quiet area and enjoy a glass of wine while I ate my food. If you are very undecided like me, it's a great spot with lots of options to choose from. You can try a bit of everything if you want!",0.9132,0.729,0.236,0.035,0.5013888888888889
2016-09-05,5.0,What a great way to try a bunch of different foods. A fun place to eat especially with the kids.,0.8126,0.67,0.33,0.0,0.6375
2016-09-01,4.0,"Foodlife is perfect when either you don't know what you want to eat or everyone in your party wants something different. When you enter you are given a card to use for all your purchases so you can go to any of the mini restaurants that you want. You pay when you exit the cafeteria.  All the food stands have different types of food from homestyle, bbq, big bowl, m burger, salads, pasta, cookies, ice cream, smoothie, pizza, etc. All the stands are good quality food and delicious!  You are given a table when you enter so your party knows where to sit after getting their food.  Overall, if you want a quick easy lunch without having to tip, this is a great place! Would definitely come here if I was shopping in the water tower.",0.9787,0.79,0.2,0.009,0.548611111111111
2016-09-01,4.0,TOP SECRET INFO  the brisket sandwich at the Bar B Que station can hold it's own with anyplace anywhere Nice clean LEYE operation--big bargain when on NoMi.,0.8331,0.691,0.309,0.0,0.78
2016-08-19,1.0,"I got food poisoning from the Chinese Station. Terrible service from the Grill. Long wait, small portions food was over priced.",-0.7845,0.723,0.0,0.277,0.44999999999999996
2016-08-02,1.0,"Very confusing ""stations"" system. My plate was served with twice as much food as I could have. The brisket was cold and fatty. I also found it overpriced.",-0.2944,0.919,0.0,0.081,0.53
2016-08-01,1.0,"When this place opened it was kinda cool and innovative. Now it is overpriced and confusing. After waiting 5 minutes for someone to come man the sushi ""station"" I gave up and tried their brisket. It was cold, very fatty, and so were the sides. It was also overpriced. Sad.",-0.0917,0.82,0.087,0.093,0.7616666666666667
2016-07-13,1.0,Homeless man taking a bath in the sink was a bad way to end the day. Security lets these bums roam freely.,0.2023,0.659,0.205,0.136,0.7333333333333334
2016-07-02,4.0,Foodlife is collection of different food booths under one roof. Expect decent food for the prices they charge. We had the orange chicken and rice at 'Chinese by Big bowl' and it was really good for the portion size. The staff in booth and the juice bar were all friendly and courteous.  We will come back when we visit Chi-Town again.,0.8655,0.857,0.143,0.0,0.49074074074074076
2016-06-27,3.0,Mediocre food but great variety and pricey. The place can get pretty crowded during lunch hours but cashier line moves pretty fast.,0.9455,0.571,0.429,0.0,0.8699999999999999
2016-06-20,1.0,The deep dish pizza is good but the service sucks. Apparently they have to reheat the deep dish before giving it to you. The guy took and served orders for 5 other people before he remembered to heat mine up. If you don't wanna wait 20 minutes just go for the regular slices.,0.2023,0.855,0.088,0.057,0.3574175824175824
2016-06-15,4.0,"I am not gonna lie, but my 4 stars is based off the nostalgia of eating here as a teen.  When you were younger eating at Food Life, you felt like you made it. This is an upscale food court, with the upscale part factoring into the price. The food is mostly delicious, but the ambience makes for this being a great experience. I usually knock out a little orange soda with some cheese ravioli.",0.9428,0.826,0.174,0.0,0.4166666666666667
2016-05-13,3.0,"Sometimes I come into Foodlife not to order anything but just to ponder what I like more: the variety of refined, quick-serve options at my fingertips or the casual, approachable ambiance that is inviting to both tourists and kebab-enthusiasts, alike.",0.8126,0.806,0.194,0.0,0.6833333333333333
2016-05-11,4.0,"Kevin, one of the managers got in touch with me to give them another shot and I did. Let's just say it was a world of a difference. The food, of course, is always up to par but the customer service matched! I am inclined to believe that I simply caught them on a bad day on my earlier go round, which happens at times in the restaurant industry. Thank you, Kevin, for proving me wrong! Foodlife is great!",0.0,0.795,0.103,0.103,0.5956349206349206
2016-04-26,1.0,"This ""restaurant"" was recommended by two people. We were looking forward to a great meal. I have to say, the concept is excellent. But the quality of the food was unacceptable. The food was cold and tasteless. To quote my 10 year old son, ""the baked beans were cold and just gross.""  My mothers dinner tasted like it was ""cooked in dirty dish water."" Overall, with all of the great options in Chicago were are sorry we ate here. The concept of this place is good, but the quality of the food wasn't. I DO NOT recommend.",0.5838,0.805,0.12,0.074,0.6666666666666666
2016-04-22,5.0,"I love dining at Foodlife. I have been going here every time I shop at Water Tower for as long as I can remember. When you get to the door, they give you a ""credit card"" and you use the card to pay for food you get at different restaurants within the ""food court"". I put food court in quotations because it is much nicer than a food court. After you're done eating, you give the cashier your card and pay for all of the food. The food court has a wide variety of options. There's an m burger, a pizza restaurant, mexican food, etc. Definitely a good place to go while shopping because it doesn't take too long and has options for everyone.",0.926,0.854,0.123,0.023,0.4
2016-04-15,5.0,This place has everything from A-z you name it they have it and the quality is amazing and your in and out quick .If someone rated the food here bad they hand no taste buds .Its not a place you should miss coming to Chicago,0.1779,0.732,0.131,0.137,0.6888888888888888
2016-04-12,4.0,"Amazing place to go grab a bite Sunday through Thursday they have $10 meals. You can get a free beverage, soup or side salad and entree for $10 that is a steal! You can get salmon, fried chicken or Ahi tuna or ribs for an entree. Their is also delicious sweet desserts all over. Staff is friendly and efficient. It's a food court with class and better food and service.",0.9628,0.689,0.273,0.038,0.7571428571428572
2016-04-11,5.0,"Food life is really innovative. It's a cafeteria style spot, you grab a card and go around to the various kitchens and order whatever you please. We try to go each time we're in Chicago, I haven't seen anything like it. The food is about fast food quality, maybe a bit better, but the experience is definitely worth checking out. Just for fun.",0.9259,0.747,0.231,0.022,0.4833333333333334
2016-03-31,4.0,"Not a bad option for a quick and, if you are so inclined, healthy bite. Foodlife offers a rich buffet-style lunch (or dinner), but it also features sandwiches, (I believe) a carving station, and a decent selection of bakery items.  Don't be put off by the cramped eating area--there is a much larger room in the back.",0.2591,0.88,0.079,0.041,0.44791666666666663
2016-03-26,5.0,"Whenever I'm on the Mag Mile, this is usually my one-stop place to eat. It has various cuisines at different stations: BBQ, sushi, soups, Mexican, Chinese, you name it. It's usually very crowded and loud, but it's also at the bottom of the Water Tower Place, c'mon what you expect! You're given a card which you use to ""pay"" for your food at each station and when you leave they then actually charge you for everything you've bought. Food tends to be on the pricier side which isn't surprising since you are in the Gold Coast. It's a good place to go if you're looking for a good lunch. Definitely recommend to others to eat.",0.9227,0.853,0.119,0.028,0.3958333333333333
2016-03-08,5.0,"Think of Foodlife as fine dining in a cafeteria or a food court on steroids. There are food stations everywhere. You are handed a plastic card upon entering and whenever you get a dish or item, the server swipes the card. We both had unlimited bowls of fresh hearty homemade soups. There were so many varieties to choose from. This place is much more than we expected. It's located in the vertical mall Water Tower Place. When you are finished eating, take the card to the cashier. No need to leave a tip for the person cleaning the table - a modest 7% is added to your total.",0.1779,0.928,0.039,0.033,0.5785714285714285
2016-03-07,2.0,"***I have to give Foodlife credit. After posting my original review, they contacted me twice asking if I would let them reconcile the situation. I didn't take them up on it, because I just didn't enjoy the experience and don't think I would even if they were 100%. But your experience may vary - and the line in my original review about how they don't care if you eat there clearly isn't true. Still, in the words of Yelp: ""I've experienced better.""",0.3208,0.8,0.113,0.087,0.6749999999999999
2016-03-03,5.0,"I recently hosted a training for 70 people with a variety of different food and dietary preferences. We brought our group to Foodlife and it was great! Not only did everyone have their own choice of what they wanted, but the restaurant managed everything super well and our dinner ran so smoothly. Highly recommend this as an option for large group dinners when you want everyone to have delicious food options!",0.971,0.741,0.259,0.0,0.6928042328042329
2016-03-02,4.0,My fiancee and I stopped in here for a quick lunch and we really liked it here. This is a great little place that has a wide variety of food and is conveniently located. The quality of the food is actually very good as well and you get good portions. We were very pleasantly surprised overall and would definitely recommend it for anyone looking for a quick meal!,0.9753,0.647,0.33,0.023,0.5663636363636364
2016-02-18,3.0,"There's a couple of basic, fair criticisms to be made of Foodlife:  first, it's super-touristy.  That is absolutely true.  You're gonna be surrounded by Iowans at this place, and if you aren't careful, they will kite your seat. Second, it's extremely corporate.  That is also true, and part and parcel of that is the fact that its concept is no longer as unique as it once was.  So I really can't say it's a transcendent eating experience.  All that aside, it is a pretty inventive concept, and one that is, for the most part, well-executed.  I've never gotten bad service at the various kiosks, and the food is of surprisingly high quality for what is basically a high-toned buffet.  It can get a little spendy, but that's less because of the reasonable price of the food than it is the temptation to overdo it.  The addition of M Burger is also a good pickup.  If you gotta eat in a tourist-laden location like Water Tower, you could do a whole lot worse than Foodlife.",0.842,0.85,0.103,0.047,0.5378030303030302
2016-02-10,4.0,"I ve said this before this place is great, very clean, many different choices of entrees, and the music is just right, plus its a good people watching place. I had the Chicken Parmesean over pasta with a side of Italian sausage, the pasta was good with a nice garlic flavor, but i think you should ask for an extra scoop of gravy that would make it just right, the Chicken  was tasty, the itslian sausage was very good with the right amout of spice, i cant wsit to come back and try the stir fry section",0.9201,0.838,0.162,0.0,0.5841964285714286
2016-01-28,3.0,"Hmmm...Foodlife.  I have somewhat mixed feelings about this place.  When we visit family living in downtown, they always want to go here.  Would I choose it if it was just my wife and I?  No, probably not.  Am I annoyed to go here with family?  Not really.   They food is fairly standard.  Expensive, though.  Their main selling point is choice.  You can go with family who has many different tastes and each get something you want.  I usually always go to the Asian 'stands'. Fairly good, if simple and unimaginative food.   BIg, loud, and kinda 'weird' atmosphere.  You get a card at the start, and 'pay' at each location with it.  You then pay for everything at the end by turning in your card.  Seems like its a way to get you to buy more things with a 'credit card' mentality.",0.832,0.881,0.094,0.025,0.43690476190476185
2016-01-11,4.0,"M burger .  Really good  Pull pork.  Mac and cheese , mashed pot , really good  Stir fry.  Was very blend  Oatmeal cookie. Really good   Good service",0.9146,0.598,0.402,0.0,0.5400000000000001
2016-01-02,4.0,"Foodlife is a great choice when going out with a big group. There's a wide variety of food, it's well priced, and you don't have to worry about splitting the check. The food is pretty okay. Their caramel banana crepes + strawberries are magic.",0.9137,0.719,0.281,0.0,0.625
2016-01-01,2.0,"1.-After waiting for almost 10min at the meat station for someone to serve us, trying to get some pulled pork the guy tolds us there wasnt any. 2.- the pasta was plain and flavorless and the guy giving us attitude while attending us. 3.- the chinese food (kungpao chicken n rice) was awful and plain.   The only reason that im giving 2 stars is because the parmesan chicken was good. But i wont be back ever again.",0.5719,0.867,0.095,0.037,0.5793650793650793
2015-12-31,2.0,"Hmmmm. Not quite sure what to make of this little food market / buffet. Well, I used my 'gold-card' and plumped for a safe soup, it was bland but edible. I just didn't get the whole card malarkey and felt like a caged animal once I'd decided to venture in though. Odd. Very odd.",0.0534,0.743,0.148,0.11,0.5745370370370371
2015-12-07,4.0,"A required stop for me every time I'm in Chicago, for one very special item - the cinnamon crêpe at the Magic Pan station inside Foodlife.  The Magic Pan once had locations in various parts of the country, but they're down to two right now - one at Foodlife, and the other in the Mall of America - so when the opportunity presents itself to have one of their crêpes, you have to go for it.  Nicely browned, perfect consistency, what I guess to be 1/8 stick of butter, and some excellent whipped cream. Get it à la mode, along with an Intelligentsia coffee from Sacred Grounds, then kick off your tour of Michigan Avenue. BTW, for those of you in DC, a Magic Pan location is slated to open in the B Concourse of DCA... yay!",0.9828,0.802,0.187,0.011,0.7032661782661782
2015-11-28,4.0,Cafeteria style with weird service is kind of awkward. The options were exciting and the deep dish pizza was quick (2 minutes) and tasty.,0.1548,0.756,0.115,0.129,0.7666666666666667
2015-11-12,3.0,"So glad that they have big bowl- for a LOT less than big bowl's prices! I had the kung pao chicken and the lady working was an absolute sweetheart. The card system reminds me of Vapiano, and this is a pretty cool idea for a food court! However, the hostess was completely rude and made me nearly turn around and go eat somewhere else.",0.8856,0.764,0.19,0.046,0.5766666666666668
2015-10-07,3.0,"I'm not exposed to a lot of comfort food and fancy food courts back home (L.A.) so this is something new to me! The whole experience is interesting since you just get a card that you keep on swiping, and forget about how much you've had... Service is friendly but some of the items are a little pricy for a food court. BBQ pulled pork sandwich, comes with a side of mac n cheese (4/5): The pulled pork was pretty on point. But I wish there's something else in the sandwich besides the pulled port itself. That would add in so many more dimensions of textures and flavors. Mac n cheese was a little cold but the crispy burnt crust was pretty amazing. Tuna Poke Salad (2/5): Don't get this. I got it because i was missing Poke back home. But the tuna is visibly NOT fresh and they made it a little spicy. No. Cinnamon Crepe (5/5): It's a five star crepe. Soft and full of cinnamon. It's just so good!! MUST GET",0.9808,0.788,0.176,0.035,0.5002164502164502
2015-09-30,2.0,"The variety of the food is a plus and is worth checking out if you're looking for a lunch option. However, the price for what you get in the food and the overall quality is just okay. Think of a cafeteria with just average food.",0.4215,0.913,0.087,0.0,0.25
2015-09-23,2.0,"I stopped at Foodlife again on a recent trip to Chicago...the excitement had definitely worn off. The lines for food were either too long (i.e. pizza, burgers...) or the staff messed up the orders. My BFF is vegetarian and the stir-fry station mixed her order with meat but didn't seem apologetic about it. Also, the staff didnt know how to take her messed-up order off of her card...it was a pretty big hassle.",0.8083,0.799,0.14,0.06,0.4166666666666667
