date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-13,4.0,"Is this the best most authentic freshest Chinese food in the world? No.  But is it delicious and exactly what you need when you're having a Chinese food craving? Yes. Big fan. Highly recommend the Crab Rangoon, Szechuan Chicken, and Sesame Chicken. Yum.  Order for delivery or pickup though - the place itself (if going there in person) has kinda a strange decor and vibe (and most people are usually doing delivery/pickup).",0.9238,0.758,0.196,0.045,0.44571428571428573
2017-08-12,3.0,"I ordered take out for pickup at 5:15, picked up at 5:15. However I had to drive home to the West Loop from here but my crab rangoons were warm and my egg roll was hot even when I got home. The egg roll was tasty, but a bit on the greasy side. I also ordered the dinner sweet and sour chicken. (~$10 with chicken fried rice and an egg roll included) I would advise you to order the sweet and sour sauce on the side because it became very gelatin like by the time I got home. The chicken was no longer crispy and was soggy. Gross. It was edible but not that great. I would advise the business to also include the sauce on the side to avoid this because it really ruins the meal. I do think there prices are a little high for the quality. It's ok if you're craving Chinese and are nearby like I was.",0.2511,0.781,0.115,0.104,0.5052941176470588
2017-08-05,5.0,This is my go to restaurant for Chinese food. I will never order from anywhere else! Their delivery is always super fast. The Crab Rangoon is absolutely awesome.,0.862,0.744,0.256,0.0,0.5666666666666667
2017-08-04,4.0,First time having lee chop sueys Mongolian beef Dumplings Black bean chicken Bbq beef Shrimp fried rice Fast delivery *came around 40 min we were told 45-115  Paid online over yelp! Great not to have to phone them! Food came hot! Only thing is i was worried to eat the dunplings as the meat inside was pink color so i wasnt sure if thats how its suppose to be (inexperienced maybe),0.3039,0.858,0.054,0.087,0.6705555555555553
2017-07-29,1.0,"I know it's late and all. I don't expect the BEST food but what I received was disappointing, I ordered the orange chicken and it was stale and hard. I didn't pay 30 dollars to get old food, the egg drop soup was so watered down it was tasteless. Not to mention he asked for his tip before handing me the food. Thinking back I should've never given him a tip. Will not be ordering here again.",-0.8612,0.839,0.019,0.142,0.4980555555555556
2017-07-23,1.0,"Rude phone worker, and they lied about not delivering to my home after trying to convince me not to order because the wait time was long. Poor business practice.",-0.7717,0.7,0.056,0.244,0.5333333333333333
2017-07-12,5.0,"Lee's has the best Chinese food outside of Chinatown. Great big portions, fair prices, excellent food. My favorite items are Egg Rools Pot Stickers General Tso Chicken Beef Chop Suey Hot and Sour Shrimp Been coming here for years and the quality is always great.",0.9698,0.646,0.354,0.0,0.5576923076923077
2017-05-18,4.0,"This is my first review of anything, EVER! I have never been disappointed in the whole 3 times I've ordered from here. The first time I ordered I waited inside forever but the inside of this place reminded me of China. Yes I've been to China! My fiancé gets Kung Pao bc that's all she ever gets. I've gotten beef noodle once, but the beef with gravy is worth every penny! I usually get beef. The pot stickers are a treat. If you like to keep your tummy full get two orders bc the re-heat O.K.! They did add a spice on one order that seemed odd. If it ain't broke don't fix it, that's what I say. Krab rangooners. I didn't remember them being good but I gave it another ""old college try"". The Last time the mix was weak but they must have changed something bc they were on point this time! Feel like that is just hit or miss with the prep... anyways ordering is hard. Why waste your money on something you don't know about when you can take my word for it. This place is almost perfect in the Chinese-Food-Delivery-Chicago-World. Pretty surprised I haven't hit a word limit! Long winded, you bet I am! ;)",0.9785,0.771,0.169,0.06,0.48947368421052634
2017-04-30,3.0,A bit expensive but have good food. Staff seems nice.  Gave me extra sauce like i asked with no problem. Wish they had Better prices id eat here all the time,0.9161,0.473,0.391,0.136,0.58
2017-04-11,1.0,"Wow, Lee's quality has dropped off immensely since my last review. Only a handful items (potstickers, wonton soup) from the menu is ok but, much like their other dishes it's starting to slip in quality.  I dont know if its a whole new cook or the cook just doesnt give a shit anymore. For example, they had great eggrolls where you can taste every individual ingredient inside. Now it's glop whch looks like peanut paste inside the eggroll which makes it taste like it's unfinished.  General Tsos chicken came out too sweet even after I ordered it extra spicy. Its wasnt even mildly spicy. Nor was our Szechwan shrimp. Whats the point of having an indicator on their menu showing that certain dishes are spicy hot when theyre not. If anything, its barely mild. Chicken chow mein has always come in a light sauce but here it comes out watery and dark. Even when they were good they had some of these issues but it was minor at the moment. But now they let these problems grow and its out of hand. It shows they no longer care. You pay more for bad quality now. I know this is Americanized Chinese food but that doesnt mean they should drop in quality in making delicious food.  As a former loyal customer of Lee's for over 20 years, tonight was the last night I'll order from them.",0.9897,0.755,0.187,0.057,0.5374060988031575
2017-03-18,1.0,It was not good :( I was so hungry too! The egg rolls where filled with mush and the chicken and gravy was all wrong.,-0.5255,0.719,0.082,0.199,0.8700000000000001
