date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,1.0,"Out of town, here to eat. If your driving here to eat...no. Ribs were dry and average. Hype only. Food is edible. Service: okay. Location: loved area and has street parking.",0.7003,0.833,0.167,0.0,0.6599999999999999
2017-09-03,1.0,Terrible food accompanied by even worse service! If you want bland food and rude servers this is your place. With so many great places near by I would highly suggest steering clear!,-0.3054,0.577,0.197,0.226,0.622962962962963
2017-08-28,4.0,"Old school, with a great bar and ambience that takes you back, you can just imagine Sinatra in one of the back tables. Ribs are some of best I've tasted, I like them a bit crispy with the tangy sauce. Delicious. Great onion rings. Service is prompt. Expect to wait.",0.9618,0.693,0.307,0.0,0.42857142857142855
2017-08-27,5.0,"Exceptional ribs in a VERY casual atmosphere. Love this place. Great, friendly service. Wide selection of beers. I will definitely return.  Positively no dancing!",0.9659,0.386,0.557,0.057,0.6619318181818181
2017-08-20,4.0,"A Chicago institution worth visiting. Given Twin anchors is well known for their chicken and ribs, I was happy with my reasonably priced ($21) combo plate. They unfortunately don't have any healthy options for side dishes so I ended up with the onion rings to complete my pig out meal. Portion sizes are generous which made up for the 45 minute wait.",0.7463,0.772,0.16,0.068,0.6500000000000001
2017-08-19,5.0,"Outstanding!  Have been wanting to go here for many years. I finally broke down and went last Friday!  The ribs were some of the best outside of Memphis, TN. THE SAUCE WAS FLAVORFUL, with just a hint of spice. The ribs we cooked to perfection and the meat just fell off the bone. It was some of the best BBQ I've ever eaten in Chicago!  I will be going back again and again!",0.9474,0.764,0.203,0.033,0.3756172839506172
2017-08-12,4.0,"Solid American Bar and Grille with BBQ. If you picture what you expect from an American BBQ place, this place should come to mind. Her Royal Highness (wife) , my daughter had just left the Ginza Fest when my daughter pointed to this place and said that they had good BBQ. I asked the boss and she allowed it. I had BBQ sandwich, chili and a baked potato. All of them matched up to my expectations and since that is what I wanted, I was satisfied.",0.743,0.913,0.087,0.0,0.2833333333333334
2017-08-06,2.0,"I moved to the neighborhood and was really looking forward to going here. I had heard they had the best ribs in all of Chicago. A lot of people go visit this place because of the hype. I think this place used to be good, but now it has just turned into a business. Get as many people in and make as much money as possible. The food quality is just not there. The ribs were burnt and everything else was from a freezer bag. It's not terrible food, but the quality is not there.",0.7834,0.916,0.084,0.0,0.5428571428571428
2017-08-01,4.0,"Fun old school restaurant clearly with a lot of history. Place was from the 30s/40s which was cool, and they had been making their ribs the same ever since. The only move according to the waitress was to get the ribs so I complied. I got a full rack with zesty sauce and prohibition (spicy) on the side. The meat was really tender and charred to perfection. The sides of fries and cream spinach were great too, and a good balance with the meat. The service was outstanding, and we were not rushed at all like we thought we may be.",0.9764,0.775,0.225,0.0,0.503030303030303
2017-08-01,5.0,Such a great spot and place. Food is amazing. Staff is so nice and friendly. Great spot to people watch.,0.9642,0.423,0.577,0.0,0.7333333333333334
2017-07-31,5.0,I like this place a lot. Unassuming and comfortable. Ordered the full slab of ribs and wasn't very hungry yet I ate the entire thing. Get the Probibition sauce. Order a few extra sides of sauces with the ribs (it's free) you will need it by the gallon. Some of the best ribs I've ever had. Also ordered 2 cocktails that were amazing. I see why Frank Sinatra frequented the place. I would definitely return.,0.9477,0.792,0.208,0.0,0.49750000000000005
2017-07-26,3.0,"Pretty good ribs, amazing ice cream bars from Cupid Candies, and excellent service.  Been around forever and featured in a number of movies. Do The Second City tour or show, then walk around the block to this place.",0.9001,0.635,0.305,0.059,0.7
2017-07-15,5.0,What a great place to eat. Cute area and the food was amazing.,0.8979,0.452,0.548,0.0,0.8833333333333333
2017-07-14,5.0,"Excellent ribs.  Wish they were smokier but they are what they are and I don't think there are better ribs in this part of Chicago. Sauces make up for the lack of smoke.  Great selection of beers complement the meat.  If you get there early, you can avoid a long wait, especially on weekends.",0.8381,0.703,0.209,0.088,0.6583333333333333
2017-07-06,4.0,"I've been wanting to visit this place since I saw it in ""Return to Me.""  We were in town to to see a baseball game at Wrigley, so I surprised my wife with a visit to the Twin Anchors.  It has that definite neighborhood feel to it and the staff makes you feel right at home.  The menu is varied enough for even the pickiest of eaters.  Service was great and the atmoshpere was what I was hoping for, too.  I hope to go back to both Chicago and the Twin Anchors.",0.9245,0.849,0.151,0.0,0.5122448979591837
2017-07-02,4.0,Good old fashioned ambiance! Like going back in time in old Chicago. We had the burgers and ribs. Kid friendly too.,0.8356,0.669,0.331,0.0,0.3
2017-06-23,4.0,"Great food and a fun atmosphere. A bit buys, but I guess that's what you get when the place is this good. The ribs were to die for and their creamed spinach - YUM!",0.4947,0.636,0.234,0.131,0.5166666666666667
2017-06-21,5.0,"Fall off the bone ribs like you read about.Lot of variety in the sides (beans and onion rings are great, skip the fries). Great beer selection and awesome atmosphere. Very busy, but after you put your name in, try to snake your way into a bar seat and enjoy this tavern for everything it is. Thank me later. PS get prohibition sauce",0.9428,0.764,0.236,0.0,0.5650000000000001
2017-06-20,4.0,"Got there right at 5:00 on a Monday, so got in right away.  Great atmosphere, friendly service, average sides.  As everyone else mentions, the meat falls off the bones on the ribs.  Tender, melt-in-your-mouth, all meat no fat.   But, because they have been cooked so long they are short on flavor.  All you can taste is the sauce.  I would go back just for the atmosphere.  Walk there from Lincoln Park on a nice day.  It's in a lovely neighborhood.",0.9136,0.815,0.16,0.025,0.5171428571428571
