date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,1.0,Horrible food. Ordered about $100 worth of food from here and literally ended up just throwing all of it away. Absolutely inedible. Never get food from here,-0.3818,0.822,0.062,0.115,0.6666666666666666
2017-08-18,5.0,Great place for get together with friends and family not just bar food they serve it is actually great tasting restaurant food Great combo all the sports on tv and real food with of course all the drinks too,0.9468,0.694,0.306,0.0,0.6375
2017-07-23,4.0,"Great place to hang out.  We walked in with a group over 20 people.  They were very accommodating and pushed 4 tables together so the group could sit. On a nice summer day they open up the windows, which are really just big garage doors.  Very airy.  Plenty of big screens to watch your game.",0.7845,0.879,0.121,0.0,0.40555555555555556
2017-07-12,4.0,"Great place to watch a a game. There are tv's in every corner of the place, including the bathrooms. The place has a great variety of beers and spirits, but also a great dining experience. Not the best place to come if you're looking for the most healthy of meals, but the food is very tasty. Another yelper was having a fit of not being able to tip using the gift card, but that's how it's always been. Usually that's how places run because they take the tip after from the card, so using a credit or debit card ensures the servers get their tip. So stop having a cow Steph U, get over yourself, and just don't come to the place again. The restaurant has a great, upbeat vibe and probably doesn't want someone like you dragging it down.",0.9871,0.73,0.226,0.044,0.48075396825396827
2017-07-11,5.0,"Tuesday Trivia at State is the best! It's super competitive but the prizes are great (as is the raffle.) My team plays nearly every week, and I'm always excited to eat dinner here. The cilantro lime chopped salad, the truffle mac and cheese and the California fresca wrap are a few of my favorites, but almost everything is really delicious. Great service too!",0.9902,0.581,0.419,0.0,0.5895833333333333
2017-07-08,1.0,"This place sucks. Plain and simple. Where do I even begin? I haven't been here since 2014, so I thought I'd give it another try. Big mistake.  They were out of a ton of different things??? Like we tried to order the Spicy Christopher and they were out. We tried to order a cookie skillet and they were out. I ordered the carnitas bowl and it was missing half the ingredients. It was also extremely salty and my water glass was empty for a long time before it got refilled. When I asked the waitress about all the missing items as we were finishing up, she gave them to me as sides, which was nice but why the F weren't they already included in my meal?? When it came time to pay I paid with a gift card. After waiting 10 minutes to ask if I could add tip on the gift card, we were told by a hostess that we couldn't with no explanation. She then awkwardly runs off. We flag down our waitress again and ask why we can't and still no explanation, so instead we had to charge a personal card for a penny and then add tip. It was ridiculous and we still didn't get am explanation as to why we couldn't use the gift card.  There were so many instances in which a manager should have come over to explain or apologize but she never did. This place is the worst. Anyone want a $96 gift card? Because i will not be coming back.",0.8236,0.82,0.102,0.078,0.4720969089390142
2017-06-10,4.0,"I came for trivia night.  Service was fast and very attentive. I appreciated that they kept bringing water to the table without being asked, the waitress stopped by frequently to see how we were doing, we tried different beers each time- the list is pretty expansive. The food was delicious. I got the Korean lettuce wraps and our table split the nachos- didn't take us very long to clean the plate!  Over all great experience, trivia was good.  Only draw back was the music was SO LOUD we could barely hear each other talking, felt like I was shouting at my friends all night and my ears were aching after I left from all the bass. It was a Tuesday night for trivia and I couldn't hear myself think.",0.9692,0.781,0.184,0.036,0.5525
2017-06-04,5.0,This review is long over due. We have had many great experiences at State. The food and service is always amazing- not to mention the portions are huge! Great drinks and specials as well!,0.9515,0.631,0.369,0.0,0.6535714285714285
2017-05-25,5.0,"Great food, great beer, excellent service and a fun time! Trivia night on Tuesdays are fun and they give away free raffle prizes at the end even if you don't win! $5.99 and $6.99 food deals the rest of the week.. what a steal! Anyone who thinks their food is too expensive needs to come back during the week. Come during a sports game and you'll find a better atmosphere than any other sports bar around. I'll definitely be back soon!",0.9783,0.636,0.304,0.06,0.46730769230769237
2017-04-25,4.0,State is my favorite restaurant! But when I went for lunch with my friend last Friday we ordered the state fries and the fries had changed.  They were too crispy and did not compliment the feta cheese and herbs.  Please change the fries back!! :),0.8696,0.723,0.229,0.047,0.5166666666666666
2017-04-22,2.0,Pretty hard to review a place when they lose your card. I handed them my credit card and when I asked for my bill they said they couldn't find my card. The manager talked to me like I was stupid and told me there was nothing he could do even tho I handed them the card 3 minute prior and I showed him that they charged it on my debit card app. Bad customer service all around.,-0.5423,0.746,0.1,0.154,0.6416666666666666
2017-04-19,3.0,"Pretty average bar food. Had boneless wings the other day followed by green pepper chicken soft tacos as a entrée. Food was good, if unremarkable, and portion size for the green pepper chicken was decent, as each soft taco was fill with a healthy portion of cilantro lime rice(actually quite refreshing) along with some chicken and pico. My boneless wings came in bbq flavor, and they were ok though I would have appreciated if they a bit crispier on arrival. Didn't mind my meal, but in no hurry to return anytime soon.",0.5927,0.868,0.102,0.03,0.5807291666666666
2017-03-26,5.0,"A great local option for the young go-hard with not too much money to spend. Great drink and food specials and enough TVs to put you into a state of epileptic shock. I recommend the ""morning glory"", it will take the wheel and put you on cruise control. If I had to describe this place in one word it would be ""pleasant"".",0.8442,0.802,0.159,0.039,0.5095238095238095
2017-03-16,1.0,"So I'm not to write reviews unless you keep me sober. We come here for the first day of the NCAA tournament and my order is.....  ""Hey, can I get a bucket?""  Response.  ""Sorry we're out of domestic beers. We have green line pitchers for $15.""  I'm pretty easy going so I order a green line pitcher. Waitress comes back. ""Uh sir, no more Green Line.""  I'm like give me what you have. Please keep in mind it's 5:00 on the first day of the tournament and the staff basically told me they are doing illegal buying by going to the store and purchasing beer. Next order. ""Can I get the Korean lettuce wraps?""  Uh......  we don't have that either. Okay I'm cool just wanting food, beer and basketball. I ended up ordering some shitty tacos instead (insert their tacos are awesome below) I get that places run out of things, but on one of the biggest bar days of a year by 5:00?  SERIOUSLY?  Than you tell your customers you're going to the store to get more beer?  Bro, it's still light out and you're out of beer. You guys kinda mis managed this.",0.3737,0.877,0.07,0.053,0.48583333333333334
2017-02-28,5.0,"I am so glad I put my name in the raffle box at STATE. I won a happy hour deal and it was so much more than I expected. The deal was for 10+ people for 5$ you call its and a free appetizer for every 4 people I brought. The happy hour exceeded all my group's expectations. Everyone had the best time and everything went smoothly. When we got there, we had our table already set up and one of our friends was already sitting at the table waiting for us. We were 30 minutes late, but the host made no problem of that and directed us to our table. As more of our friends joined our table, we ended up having 17 guests- we did not plan for that many people to show up! The manager and two other employees were so kind and made accommodations so everyone could have a seat. It was also nice of the server to periodically check in on our group to collect additional orders/ to make sure everyone had everything we needed. When it was time to close out the tab, our server flawlessly split our bills per person (it was a surprise everyone remembered what they ordered). To summarize: food was great (the buffalo chicken flatbread was our favorite), service was even better. We would love to do this again! I received positive feedback from everyone. Thanks for the great time. STATE is now one of our favorite places for a good time with friends and bites! And thank you to Bekah for helping me schedule this!",0.9978,0.71,0.27,0.02,0.6984362859362859
