date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-30,5.0,"I stopped in for a quick bite and a glass of wine. Upon entering I was very impressed with the room. Gorgeous architecture and history is very evident in every detail.  Although the hostess was lacking in any personality or courtesy, the General Manager, Head Server and our actual Server were attentive and professional. They were friendly and personable, which added a warm touch to our experience.  They offer a great Happy Hour. We tried two delicious wines and sliders from that menu. The slider bun was soft and squishy and the sauce had a hint of horseradish. We also added shrimp cocktail that was fresh and delicious. Lastly we tried the crab cakes and were equally impressed.  I cannot wait to visit again before cold weather arrives. Their outdoor patio/garden is just as incredible as the dining room. Shrubbery with tiny lights coupled with white tablecloth service creates an atmosphere of your own personal backyard.  Street parking is abundant and they also offer valet service.",0.9883,0.784,0.205,0.01,0.6296666666666667
2017-08-26,5.0,"Love that Firehouse is back open! Cutest patio with tons of greenery and nice street separation. Staff is wonderful and food is always exceptional. Oh, and brunch.. yes!!",0.9588,0.56,0.44,0.0,0.6833333333333332
2017-08-23,5.0,"I can only comment on the service I received at this restaurant at a corporate event.  The food was standard heavy hors d'oeuvres you see at a good corporate reception. They were good, nothing wildly out of the ordinary.  The service was exceptional.  As soon as you finished a drink, someone was there to refill it or run to the bar to get you another.  As soon as you put a straw on the table, it was snatched away.  The minute your plate was finished a smiling face removed it from the table. I really haven't experienced attentive service like that in years.  Everyone was talking about it next day.  So, while I can't comment on what a regular diner experiences, I can recommend them for a group without hesitation.",0.9276,0.878,0.122,0.0,0.44512820512820517
2017-08-21,5.0,"We had dinner here last night.  Wow, this is one of Chicago's best kept secrets!  The food is top shelf and the prices are reasonable for the quality of the cuisine. (although a generous ribeye will still set you back).  The atmosphere is both unique, with tin ceilings and fire poles in this beautiful old firehouse, and elegant.  The staff is fully engaged and friendly and very attentive.  We had a great night at this Resturant and if we hadn't gotten up at 4 am for our flight that morning we would have lingered at their beautiful bar after dinner.",0.9881,0.69,0.291,0.019,0.636904761904762
2017-08-13,5.0,"We found the Chicago Firehouse on Open Table as a last minute choice, as they had room for  us.  Jerry is a retired NYC and Naples, Florida fire fighter so it was a no-brainer to go and see what it was all about.  The building is magnificent. They have kept the shell original and it is beautiful when you arrive.  The interior is just as beautiful, large, beautifully decorated rooms, big comfy chairs and oval booths. We were seated in a booth.  Our water, Ralph, is on top of his game and made great recommendations to make sure we had the best dining experience possible.   The chef's special appetizer was a crab stack salad with avocado mouse and was out of this world. Jerry had the 14 oz. rib eye and I had the crab cake appetizer as an entrée.  Our sides were the au gratin potatoes with truffle (OMG!) and sautéed spinach.  Everything was delightful, perfectly cooked and tasty.   We would definitely return and can't wait to do so.  Oh, and if Ralph's mother Christina ever reads this, Ralph is great at his job and definitely knows what he's doing. Make sure you tour the entire building it's just beautiful. The banquet rooms are even special.  Lovely restaurant!  Highly recommended!",0.9964,0.718,0.272,0.009,0.6807730746619636
2017-08-12,3.0,"Excellent food but quite possibly the worst service I have ever received at a fine dining establishment.  Entrees arrived before the salad, no silverware, silverware finally brought and placed perfectly in the pasta sauce. No napkin to wipe it off in either.  Finally get clean silverware and napkins so we can try our ice cold steak.  Sent it back and did receive another.  Very disappointing",-0.54,0.645,0.163,0.192,0.8281818181818181
2017-08-02,5.0,1st I want to Thank Lance Peterson for accepting my late reservation (930pm) knowing they close at 10pm ..      That courtesy  will never be forgotten Lance !!   My entree was the Alaskan Halibut in a mushroom sauce with a side  asparagus...      I chose  Lambchop lollipops as the appetizer..     All orders arrived lightening  fast and looked picture perfect even near closing time  !   The bread and butter is addictive !!   Last but not least.. A Large slice German chocolate cake for dessert...  My server was Michael and he was very outgoing and accommodating .. Definitely coming back soon..,0.9336,0.821,0.179,0.0,0.43293650793650795
2017-07-30,3.0,"Good: The food was good. We had shrimp cocktail, caesar salad, tomato burrata, 8 oz filets, sauteed spinach, potatoes au gratin, french fries, and key lime pie with decaf. All were well prepared and met expectations. Although I would have chosen a fuller flavored coffee. Meh: Service was a little dismissive. We go to high priced restaurants enough, but here we felt like we were viewed as first-time visitors to the big city, even though we live only blocks away. When we ordered a bottle of wine, the waiter tried to up-sell us from a $40 bottle to a $52 label that in his words was from a better family (a pretty snooty answer)--not a very good reason to judge how wines will taste. When asked to describe The Tower appetizer, waiter's description was short: ""it's on ice. ""Throughout the meal our waiter was technically efficient, just not very friendly, not much interested in talking with us, and he was a fast talker at that. He also seemed to be interested in taking our order and ""moving us along"" at a pace faster than we would have chosen for a $285 dinner for two. This was a Saturday evening, 7pm, the restaurant was just over half full. We were seated in the ""breakfast room"" which was nice because of the daylight and all the windows. The dining room, darker of course, seemed to be serving a higher caliber of folk than the likes of us. Final opinions: This is not the pre-fire Firehouse, which had an almost indescribable charm, and a wait staff who treated you like royalty even if you had saved up to dine there. While the food was good, it was not worth the price. We've spent the same (or less) at Gibson's, or Tavern on Rush, and had equally good (or better) steaks (and friendlier service).",0.9913,0.792,0.164,0.044,0.49396608767576505
2017-07-30,3.0,Brunch was disappointing.. Dutch babies are not supposed to be slimy and chewy. Expensive and left still hungry.,0.0,1.0,0.0,0.0,0.4666666666666666
2017-07-22,5.0,"We had a great dinner here.  My husband's father was a Battalion Chief in the Chicago Fire Department and we wanted to go here... and then they had the fire.  They re opened in February and we went for an early anniversary dinner.  It was terrific!  I had the crab cakes and the salmon.  My husband had the oxtail soup and the pork porterhouse.  Both of us loved our dishes, but my husband felt really full! ( This is a good thing as he doesn't feel right leaving a restaurant and having to grab a bite on the way home!). The manager stopped by and offered us a free drink to check out there rooftop patio!  We took him up on it and had a great time admiring the surroundings.  We will definitely be back!  We absolutely loved it.",0.9858,0.746,0.218,0.036,0.625974025974026
2017-07-16,5.0,"We had a great time here for dinner on their outdoor patio. Delicious drinks. Loved the halibut, scallops, corn bisque. The sides are meant to share. The brussel sprouts were ok, nothing I would crave or order again without first trying something else. The potatoes were good. I can't wait to come back for brunch.  The decor was adorable. They also have a small rooftop. Service was friendly and relaxed. I would not call it slow, but they allow people to enjoy their food and take their time.",0.9659,0.739,0.261,0.0,0.5652777777777779
2017-07-15,5.0,I gave Chicago Firehouse another try after the remodel. It is beautiful and the food does seem a lot better. The service was amazing. My only complaint is lightning is too high in the dining room. It is beautiful though.,0.9231,0.664,0.292,0.044,0.7342857142857142
2017-07-12,4.0,"Having lived across the street from here for nine years, I was a frequent visitor who sat in the bar.  They still to this day had the best baby octopus I've had anywhere and that's saying something!  However, the chef is different from who they had pre-fire (pix posted).  In fact, everything is quite different starting with entering on 14th instead of Michigan.  The dining area is wide open now which is preferred to the dark decor the old restaurant had.  They also have a sunroom, which would be great to sit in if I wasn't sitting at the modern oval-shaped bar.  Both of the guys behind the bar were outstanding and Lance, the manager, was wonderful as well.  I think the service has even been stepped up since reopening.  Another huge improvement: the bathrooms.  No more single room facilities with a line waiting.  The ladies' is very clean and has like eight stalls in it.  The bathrooms were one of my least favorite things about the old space.  Also no upstairs dining room (which I never liked to sit in).  Upstairs is now only for private events and looks nice.  What is on the downside is the patio is probably only about a third of the size of the old one.  It's unfortunate but then it does have the sunroom so it's a give and take on that.  Another improvement is the addition of happy hour specials.  From 4-6 there are cheap drinks and snacks.  The snack sizes are perfect! We started with the fish tacos (per Lance's recommendation) and chicken sandwiches.  The fish tacos had an aioli that was just killer.  I mean like one of the best aiolis I've ever had good.  The first was halibut (I just don't care for tilapia but will do cod or halibut) and fried lightly and not greasy.  The only thing missing was a nice slaw but for $6, these were outstanding and came with two.  The chicken sandwiches were just okay.  I liked the addition of honey but other than that they were quite dry.  Although again, for the price point not bad at all.  I had to try the octopus and it was not as good as the old one, but not bad either.  It was a tad chewy but had a great char and smokiness.  The chorizo that accompanied was super tasty.  The foie was very good.  The preparation was a pate, which was a great texture.  However, they really needed more cherries on top to balance it.  They gave a tangerine slice, which wasn't bad but didn't pair nearly as well as the two cherries that came with.  If they just put a few more cherries on the plate, I think it would be much better.  Also, they only take one half piece of bread and cut that in half.  For the amount of foie, we had to ask for more bread, which they brought.  But they should just put at least one full piece of bread on the plate to start with.  But the dish was tasty.  We also got the lamb lollipops.  The relish on top is amazing and the quality of the lamb was wonderful as it was very tender.  The only miss here was that when asked how we wanted it cooked, we of course said medium rare and he agreed that is what the chef recommends.  So why it came out clearly medium is beyond me.  I understand these are small pieces of meat but I never have trouble cooking mine to medium rare at home.  So a few small flaws but overall, back and perhaps even better than the original!",0.9988,0.762,0.197,0.042,0.5695112044817926
2017-07-08,5.0,"I can't say enough good things about our experience at Chicago Firehouse Restaurant! We were waited on by Ralph and Hector who provided impeccable service and were so accommodating and friendly (even got a great book recommendation from Ralph!)  They surprised us with an order of ""Monkey Bread"" (see photo) which was one of the best things I've ever tasted. The mimosas tasted like they were made with fresh orange juice and the champagne was the perfect amount of sweet and dry.  The omelets were cooked perfectly and the potatoes were also amazing! A definite must visit when in #Chicago!",0.9884,0.672,0.309,0.019,0.6300000000000001
2017-07-02,4.0,"I went here for my birthday dinner last night, very classy place. I wore jeans and a nice top - and that worked. Things I liked: they bring you delicious buttery bread, the steaks were amazing and well done, lots of side options and the wine (per bottle) is not bad at all, we did a bottle and it was enough for all 3 of us to have 2 glasses. Things I did not like: appetizers are extremely overpriced, you pay like $19 and only get 3 pieces of something that's absurd (ex: the shrimp cocktail). Service can be a little slow as well. Overall good experience for my birthday :)",0.9755,0.7,0.253,0.048,0.7019607843137255
2017-06-18,2.0,"I just had dinner at the Firehouse Restaurant with my book club members.  This is my first visit since the fire.  The restaurant was spacious and had a wonderful open feeling. The wait staff was very attentive.  I ordered the filet medium well. When my steak arrived, it was medium rare and I had to send it back. The waiter agreed that my steak was not cooked as I requested.  I patiently waited for my steak to arrive while the other members of my party ate their dinner.  I finally stopped a manager and asked about my order.  When the steak arrived, instead of a replacement steak I was presented with the same steak. It had been refired.  Now I had a dry hockey puck!  Not wanting to make a scene in front of my book club members, I accepted the dry piece of meat.  I had the peppercorn crust which did not help at all with the taste. I was given a free dessert for the inconvenience. The dessert and rolls were the highlights the entire meal. I will not return again for dinner !  The food was much better before the fire!!!",0.8782,0.831,0.111,0.059,0.5970238095238093
2017-06-17,5.0,Very nice ambiance with a lively bar. Drinks were good. We started dinner with burrata and tomato salad & potato and black truffle soup. Both had very nice flavor.  This was followed by a strip steak for me and halibut for my wife. Both were cooked perfectly and tasted great. The Brussels sprouts were excellent. We ended with a delicious piece of carrot cake. Service was great with nice attention to detail. They have a nice wine list as well.  This place has been an anchor in the south loop and we will definitely be back.,0.9916,0.646,0.354,0.0,0.7717948717948718
2017-06-10,3.0,"I so want to love Firehouse. We came here years ago and it was a five star experience.  Let's start with the service...it is absolutely impeccable. Next, the space.... unbelievably beautiful.  Finally, the food. My wife is a pseudo-vegetarian and when we asked for a vegetarian option, they were gracious enough to send out the chef. He whipped up a vegetarian dish that blew us both away. I ordered a prime ribeye.  It was supposed to be medium rare but it came out well done. The manager checked in with us and agreed the steak was well done and had a replacement steak brought out. This steak came out blue rare. It was still cold on the inside. I took a couple of bites and I was done. The Robuchan Mashed Potatoes may have been the best mashed potatoes I have ever had. The steak aside, I am willing to go back in search of tge 5 Star review that I know this restaurant is capable of.",0.9752,0.846,0.154,0.0,0.5857142857142856
2017-06-08,3.0,I wish that they would fix the nice clock on the pole outside of the restaurant. It has been broken since well before the restaurant fire.,0.2732,0.604,0.23,0.166,0.4833333333333334
2017-06-05,5.0,Just had dinner at Chicago fire house  The steak was fabulous the whole Dover sole was phenomenal But best of all was the manager by name of Lance he made the night Excellent  On top of it all he made sure that everything was perfect and gave us a grand tour of the place  I be back for lance as well as one of the best steak and key lime pie ;)  Leila,0.9796,0.647,0.327,0.026,0.6527777777777778
2017-06-04,3.0,Came in for a leisurely baby shower brunch. It's a classy venue with comfortable leather chairs. The menu has something for everyone. The staff was very patient with us since all the guests arrived late and the kids were....well kids.  The skillet cinnamon bread (I actually don't know what it is really called) with cream cheese butter was addictive but great to share if you don't want diabetes.  I ordered the crab benedict but the flavor was just not good to me. The bread wasn't a muffin it was a different bread base and crab was subpar. The hubby's skirt steak was fine though.  I won't mind giving their dinner menu a try. Overall great venue for small occasions and helpful staff.,0.959,0.772,0.177,0.051,0.56
2017-05-17,4.0,"The staff and servers here are warm and welcoming. The interior design is really nice and not what you expect to see when you walk in after seeing what it looks like from the outside. I had the grilled cheese sandwich for lunch and it was heavy. There are four different kinds of cheese inside the sandwich (Brie, cheddar, Parmesan, and provolone).  I'm a huge cheese lover, but this sandwich was a bit much.  I ended up eating a very light dinner later.  The soups are really good here. I suggest the French onion soup or the cream of mushroom with truffle seasoning.  They have two different sizes  (small or big) The big size can be filling for a lunch meal. My friend got a lot of cheese on her French onion soup, but when I ordered mine (when I visited again) I had half amount of the cheese so it depends on who makes it. The French onion soup is tasty and rich!",0.972,0.852,0.148,0.0,0.3935087719298246
2017-04-22,5.0,"This was my first time eating at Chicago Firehouse. It just reopened about 8 weeks ago, after being badly damaged by a fire, and completely rebuilt. They did an incredible job with the renovations. It's a beautiful place. The front room has a classic old-school look, while the rear addition is clean and modern. The middle room is a bit crowded (tables close together) but the rest of the restaurant feels very open. The high ceilings help. Upstairs there are very nice private rooms, and they plan to open a balcony this summer. I also love the atmosphere -- it's both casual and classy, if that makes sense. The patrons were dressed mostly casual (I felt perfectly comfortable wearing jeans and a sweater) but the servers wear nice white jackets and are very professional.  Moving on from the physical environment... The cocktails we had were good, and not too expensive (there were quite a few for $10 or $11, which, sadly, seems ""cheap"" these days). We had a caesar salad and oxtail onion soup -- both were outstanding. Our main dishes were salmon and skirt steak. The salmon was very good, and reasonably priced. We got the skirt steak mostly because the other steaks were very expensive; skirt steak was mid-$20s, the others were all over $40. Aside from the steaks, I'd say this is a $$ restaurant, but the steak prices push it up to $$$. The skirt steak was just ok. It is soy-marinated, which gives it a pretty overpowering soy flavor. It was properly cooked. We also had an excellent side of grilled asparagus. One dessert -- the key lime pie -- was incredible. Probably the best I've ever had. The other -- rum cheesecake -- was disappointing.  What makes it a 5-star rating for me was the service. The servers were extremely professional, knowledgeable about the menu, very attentive, and friendly. The service was definitely ""as good as it gets."" I don't think I could afford to go here on a regular basis, but it's a great spot for when you want to do something a little more fancy than a gastropub.",0.9979,0.747,0.22,0.033,0.581021414482953
2017-04-21,5.0,"Had a great time at the completely renovated neighborhood landmark. Our server Ron was super attentive and kept checking on us . He helped me surprise our niece celebrating her bday with candles on the dessert . Also, since our son didn't like the lobster bisque he didn't charge us for it Ps: we had to go somewhere right after and had to take the dessert to go and Ron  ran out to give us plastic spoons to eat. Thats awesome customer service ! Overall a lovely experience !!",0.972,0.743,0.236,0.021,0.6252976190476189
2017-04-15,5.0,"Great restaurant loved everything about it, it was my first time here and left with a good impression me and my wife shared the ribeye cab with the roasted vegetables Hector was great with the recommendations i will definitely come back",0.9682,0.593,0.407,0.0,0.4666666666666667
2017-04-09,3.0,"Great service.  Food and drinks were good.  However, I was there this past Friday.  I had the bone-in ribeye.  It was tasty, but not warm at all.  The mashed potatoes were not warm either.",0.1285,0.767,0.123,0.11,0.56
2017-04-05,5.0,"Awesome awesome awesome!!! Was always fantastic and still does not disappoint!!! Ribeye, drinks, atmosphere, people were all excellent!!",0.9751,0.343,0.657,0.0,0.9800000000000001
2017-03-26,5.0,"And so, the Phoenix has risen from its ashes to become an even better version of what it once was! Glorious brunch. Very much looking forward to our next visit. Welcome back old friend. It's been too long.",0.9273,0.714,0.286,0.0,0.3228571428571429
2017-03-25,3.0,"Not the same great restaurant as prefire. I was thrilled to hear Firehouse kept its same staff from before the fire, but you wouldn't know it. The service was so terrible and the food hit or miss.  We went on a cold Monday night and there were only a handful of people at tables. Our group of 4 was put into a booth were we waited 5 min before seeing our server.  I ordered the bisque, which is still as yummy as I remember, with the goat cheese salad. The salad was coated in a heavy vinaigrette which was so vinegary it was not edible. When they came to clear the plates the waiter asked if I wanted the salad boxed and I told him it had way too much dressing. He nicely apologized but didn't ask anyone else if they liked their food. Only 1 person cleared their plate everyone else only ate half. I would have expected the waiter to at least ask if we enjoyed the meal especially with so much food left untouched.  The manager nicely came over to ask if I wanted another salad but his demeanor was appalling. He leaned against the wall with hand on hip and said I heard you didn't like your food. I felt like I was being scolded.  Then a ring was dropped under the table. We pulled the table out and had to get under the booth trying to find the ring. 4 staff members stood 10 feet away and watched us.  Not one offered any assistance.  I hope this was an effect of Monday night service, so I'm still giving 3 stars. Plus I used to love the firehouse so I want to see it be successful. I'll try again in the summer.",0.9918,0.769,0.177,0.054,0.6359999999999999
2017-03-25,2.0,"let me first say the ambience, the service, the wait staff was five star.  The restaurant has a great vibe the bar is outstanding,it  makes you want to come back time after time. With that said I have to say the food was just average which is was very disappointing. We had 10 people for a birthday celebration so we were able to try several  entrées and sides so let's start from the beginning. Seafood tower for an appetizer: we switched the oysters out for jumbo shrimp. The shrimp, the crab and the lobster tail all tasted the same. Disappointing Wedge salad- we asked the waiter if he could serve the wedge salad family style and they accommodated us. The wedge salad was extremely good Great dressing crisp lettuce, bacon was fantastic. One of the best wedge salads I've ever had Entrées: Slagle New York strip steak: very disappointing it was dry and the steak was kind of thin. Definitely not worth the $60 I paid for it. I got a better strip steak across the street at Armand's Italian restaurant. Amish brick chicken: my brother-in-law had that and said it was good but he has had better brick chicken at bionda's Grilled swordfish: my son-in-law said it was very good Skirt steak My wife and my sister-in-law both had the skirt steak they said it was  good but I do not take their recommendations. They order their meat well done.....enough said New York strip steak not the Slagle My other son in law had that, he said it was good but has had better at several steak restaurants. Matros, joes, etc.... CFH burger Daughter had a burger also just average. Better burgers at burger point and the burger bar in the Southloop Sides Creamed spinach-good Hassle back potatoes- average...would not order again Roasted Cauliflower- nothing special Sweet potato pancakes-interesting dish I would definitely order it again it's good So overall again the food was disappointing. It's the same feeling I had before the fire in the rebuild. They really need to step up their game because the restaurant (the building)itself  is absolutely amazing",0.9904,0.791,0.154,0.055,0.4995765104460755
2017-03-19,5.0,"Highly recommend this restaurant. Everything was excellent! The food, the service, and management.  We were a group of 8 we ordered several apps they were beautifully presented and excellent. The seafood tower was awesome. I had the filet which was cooked perfectly. The cocktails were also really good!  We also had a ordered a birthday cake made there which was unbelievable. Everyone enjoyed the experience. Great restaurant.",0.9884,0.597,0.403,0.0,0.7809090909090909
2017-03-08,4.0,This place has reopened with all the right touches; expanded bar with live music and a warm welcoming room. Plenty of things from before the fire and many improvements for newcomers. The steaks are still great and the service matches expectations of the River North spots without the arrogance. Great neighborhood restaurant. Thanks for reopening,0.8802,0.671,0.246,0.083,0.5479591836734694
2017-03-07,5.0,"This is the best steakhouse I have ever visited.  The lobster tail with my petite filet was so flavorful. The atmosphere was perfect for a Tuesday night out. All items are a la carte, so ordering is easy. My boyfriend order the brick chicken which was also decadent.  Overall a gem. Parking is easy across the street or valet is available.",0.9352,0.788,0.212,0.0,0.6166666666666666
2017-03-07,5.0,"These guys really pulled it off! The food was delicious (petite filet, mushroom side, kids noodles with parmesan and fried chicken). Delicious rolls made in house. French 76 cocktail was made well and the red wine was a great choice. Ribeye could have been better, but they still have time to improve (typical for new openings).  The new decor is stunning with hand painted walls (looks like wallpaper) and elegant tables. Service on point. Great for dates, friend or family gatherings. Really accommodating to food allergies and restrictions.  The staff was so friendly, they took their time with us and offered us a tour of the whole space! South Loop fine-dining at its best.",0.9948,0.655,0.345,0.0,0.5532828282828283
