date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-30,4.0,We came here for desserts and ordered almost everything on the dessert menu. Portions were on the smaller side. My favorite is the turron bon bons. I can eat that for days! The rest were just okay. Next time I would like to try their tapas menu. Great atmosphere! Service was perfect and desserts came out in a reasonable time. A tad bit pricey for small desserts.,0.9411,0.786,0.214,0.0,0.59375
2017-08-13,5.0,"What a great place to celebrate my birthday. Every dish we ordered was perfectly prepared. The flavors were amazing, Dante our server was so amazingly attentive and knowledgeable, I enjoyed every moment. And the desserts were to due for. People have tons of choices in Chicago, so choose wisely. I'm not an easy sell, so BIG time kudos to Mercat!! Thank you for making my birthday special!! I'll be back.",0.9856,0.61,0.364,0.026,0.6129761904761903
2017-08-12,5.0,Breakfast was incredible! Alex made excellent recommendations and the food came out picture perfect! The potatoes were a great appetizer for our fillet and lobster breakfasts,0.9199,0.645,0.355,0.0,0.9125
2017-08-11,5.0,"I visited here with friends. They have outdoor where you have an awesome view since the restaurant is situated on the Magnificent Mile and indoor seating. The restaurant is an short stroll from Hilton Chicago and Congress hotels. Service is attentive with EXTREMELY knowledgeable waiters--they recite the menu items from memory, offer detailed explanations and recommendations. You can tell they are used to serving exacting clients. The tapas were exceptional, we had scallops, octopus, paella, a potato dish and flourless chocolate treat. All delicioso..! The restaurant is actually a hotel restaurant but you would never know it. I thoroughly enjoyed my visit (I had frequented this restaurant many years before as a medical sales rep with my physician clients) and the service has remained consistent. Amazing!",0.9616,0.855,0.145,0.0,0.6461538461538461
2017-08-07,4.0,This is in the property of Blackstone hotel. It's quite a huge place. The servers are professional and courteous. The food is good. Loved the lamb ravioli !,0.9183,0.629,0.371,0.0,0.68
2017-08-01,2.0,"If you like overpriced and overly fancy tapas, then you'll like this place.  If you like tapas that isn't trying too hard to be super gourmet, in other words real tapas, forget this place.  How can you even screw up patatas bravas?  It looked and tasted like hush puppies with way too much weird sauce.  In short, this place is just trying too hard to be trendy.  I'll take tasty over trendy any day.",0.8883,0.749,0.193,0.058,0.6138888888888889
2017-08-01,4.0,"My husband and I came here as a celebration dinner. We both loved the food we had in Spain so we thought this would be a good choice. We ordered 6 tapas and felt as though this was an adequate amount of food for the both of us. I had been to Mercat a few years ago with friends and remembered absolutely loving the food. We had gotten a variety of meat, seafood, and veggie options. This time, my husband and I only got seafood and veggie options. The food was good, I just wasn't ""wow-ed"" like I was the first time. I think the veggie options just aren't as interesting or exotic as the meat options. We were pleased with the service and ambiance, but the food is expensive for small portions. Overall, we enjoyed our dinner, but will probably head to other restaurants before dining here again.",0.9282,0.853,0.126,0.021,0.5869791666666666
2017-07-27,5.0,How is this NOT on the top 10 list for Chicago? I went to Mercat la Planxa 5 years ago and it was so memorable I returned with a group for my husband's 40th. TOTALLY amazing and I'm so glad we came back. We ordered the chef's tasting menu and it was unbelievable. The drinks are great. The charcuterie is great. The tapas are fantastic (by Spain standards) and I can't wait to return.,0.9753,0.72,0.28,0.0,0.7555555555555556
2017-07-26,5.0,Brunch (9/10)  Ordered a set and got some weird tasting food out of it. Wasn't bad at all but just not the usual tastes my tastebuds were yearning for. It is something unique that should be experienced and it is still quite delicious! Many of the foods seem to be something that are ordinary  but there is a spin to it that makes it unique that make it slightly better than what It would have been following the old recipe.,0.9103,0.837,0.148,0.015,0.6347222222222222
2017-07-14,5.0,"Amazing. We let our sever, Jenn, choose our menu and are so grateful that we did. The whole staff was amazing. The owner walked us to our table and everyone was so attentive, filling our drinks and clearing the table. At the end of the meal he came and talked to us about the food and really cared about our experience. The decor is very classy and elegant, but don't feel the need to dress up. It is in the famous Blackstone hotel which is also very nice. All of the food was great. The best was the Pluma de Ibiraco. It was this super tender, perfectly charred, and beautifully seasoned. On the side was some kind of onion; I loved it, it was so so sweet. There was also a nice sauce on the side but the meat is so good that you don't need it. When we didn't really like one dish, Jenn replaced it with another and took it off the bill. And, when the owner came to talk to us after the meal, he had been told that we hadn't liked that dish and he cared. Lovely restaurant, amazing service, wonderful food.",0.9981,0.65,0.327,0.023,0.7444444444444445
2017-07-14,4.0,"I am a big fan of tapas and when I got a $25 off mailer from them I figured I would give it a shot.  Me and a friend of mine stopped in for lunch recently since my coupon was expiring. Its located in The Blackstone Hotel on Michigan Ave. which is convenient for me since I don't live too far from this place and its not a far walk from my job. The place wasn't too occupied and we were able to score a table by the window as we could see Michigan Ave foot traffic. I looked around at the colorful decor and the cool looking bars surrounding the dining room. Looked at the menu and saw what looked like goodies. We got the following: Garlic Shrimp - the best of all Beef lamb & meatballs, pickled vegetables, smoked yogurt and almonds - very good! Charred asparagus -yum Ham Croquettes  - meh Rosada Sangria - yeah was real nice Service from our server Joanna was nothing short of stellar as she took good care of us the whole time and is a very cool girl.",0.9808,0.817,0.166,0.017,0.5352941176470589
2017-07-13,5.0,My husband and I had an excellent meal here on a rare date night. Everything we ordered was delicious and we found a new cava that we now love (Naveran Brut Cava). Highly recommend this restaurant and I hope that we get to come back sometime soon!,0.9558,0.684,0.316,0.0,0.642077922077922
2017-07-08,5.0,"I stopped by for an early lunch and had the Tortilla Espanola, the pimentos Padron, and the garlic shrimp all to myself which is how I like to eat Tapas and all were succulent, as good or better as any I have enjoyed in Spain. Large airy swanky space, I had a table with a big leafy view of the street outside, all this for $36 dlrs though I'm sure the bill mounts up if one came for dinner with friends when you tend to drink more and order indiscriminately",0.9337,0.803,0.177,0.02,0.45194003527336857
2017-07-05,5.0,"Four years later, am updating my review, and the mushroom dish was once again my favorite, and I tried almost every tapa on the menu over the four nights I was in town. Every dish I ordered each night tasted wonderful. Prices are high, but it is Chicago, a popular place, and worth every penny. When I go to Chicago, I get a hotel near the restaurant just so I can eat there each night. Very friendly wait staff and manager.",0.9342,0.818,0.182,0.0,0.57375
2017-07-02,4.0,"Excellent dates, tortillas. But if you like your olives on the ""salty"" side then go for it.   Very pricey for tapas which is normally affordable option. Expect to spend at least $10 per plate. Very good. And beautiful decor inside. Don't let the outside fool you.",0.8923,0.714,0.236,0.05,0.5971428571428572
2017-06-27,2.0,I'm sad that my last experience at Mercat disappointed. Seven years ago I came to Chicago for a conference and met up with a friend at Mercat. I thought the food was so amazing I went back two days later. I loved the short ribs topped with scallops and the patatas bravas. Back in Chicago for a conference and I stopped in Mercat for lunch and was sorely disappointed.  The lunch menu in limited... No patatas bravas (which I feel is a tapas staple). They also took the short ribs off the menu...  Why???   I had the scallops which lacked salt and flavor and the fries bravas (not the same!).  The best thing I had was the rose sangria everything else was meh.,0.7429,0.761,0.128,0.111,0.42563492063492064
2017-06-26,1.0,"I had high expectations for this experience.  However, the food was poorly prepared, over-salted, and not fresh.  We asked the server to have the kitchen reduce the salt to no avail.  I highly recommend avoiding this restaurant.",-0.284,0.722,0.113,0.165,0.5449999999999999
