date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-22,4.0,"Mon Ami Gabi is one of my favorite places to dine. Intimate room, very good service, great wine and drinks and the food is wonderful.  Can get busy and at times a bit noisy but well worth a visit.  Steak frites is a favorite!",0.9439,0.625,0.349,0.026,0.69125
2017-08-05,5.0,"This is the one of the best restaurants by far that's in the Lincoln Park area. The salmon, hash brown and egg Benedict is definitely a dish one should opt for when dining in for breakfast or lunch. There is usually a very short wait (if at all) in the morning. My family and I really enjoy coming here- especially for special occasions. Rate: 5/5!!",0.932,0.806,0.194,0.0,0.6087755102040816
2017-07-30,4.0,"Lettuce Entertain You always does a good job with their concepts, and Mon Ami Gabi is no exception. Although it is one of the oldest concepts in the portfolio, it is showing no sign of age. This is probably due to its classic French Brasserie theming, which is perfect. As others have mentioned, the French bread served at the start of the meal is 100% authentic. We started by sharing the chilled seafood platter, which was a good deal considering all that it included, and was a perfect starter for a table of three. The artichoke appetizer is served chilled, which isn't my favorite, and I prefer a mayonnaise based sauce, but my companions like it. I liked my mousse pate, and it was even better with the brioche that accompanied the smoked salmon, which was also excellent. The mussels were also good, another classic preparation. Trout was just okay, a bit on the dry side, but my Prime New York strip was a top notch steak. As others have mentioned, the accompanying frites are unusually thin, more like ribbons than traditional pomme frites. We finished with chocolate mousse that was light and fluffy. The wine list is the weak spot of the restaurant. Somewhat logically it is all French. But except for some nice Champagnes there are no great wines on the list. They've obviously made an effort to keep prices below $200, but since the markup is about three times retail, there aren't really any wines on the list that manage a rating above 90 points. Service was professional and attentive.",0.9893,0.79,0.17,0.04,0.5364081996434937
2017-07-14,4.0,"Mon Ami Gabi is a very nice upscale restaurant in Lincoln Park.  We went for a special birthday and were greeted and treated very well.  The food was good, I had the steak frites and they were very nice.  The service was very good.  Would go back for another special occasion or date night.",0.9632,0.663,0.337,0.0,0.6028571428571429
2017-07-11,4.0,"What separates really really good from great? Mon Ami Gabi has been around forever- it was an early Lettuce Entertain You restaurant and it was in Lincoln Park way back in the 80s/early 90s. So how are things 25+ years later? I'd say excellent. The service is excellent- on par with the great Chicago steakhouses- you know, filled with a professional waitstaff that know their shit....that takes eating and wine/food pairing seriously....but isn't pretentious. The tables are tight together and this gives it a....French bistro....type feel. Yup. Imagine that. My only complaint? I like big California wines and France really doesn't offer that. Or....Mon Ami Gabi doesn't offer that. I ordered a 2012 Chateau Louvie St Emilion for $80+ (frustrating because it sells for $25-30 at liquor stores) and it was ok. I think they could probably reconfigure their wine list, still keeping it French, still maintaining good margins, but perhaps bring up the wine quality. The food, the service, the atmosphere? Wonderful. This is an older, well established institution in Chicago and it deserves your visit.",0.9738,0.843,0.149,0.008,0.50995670995671
2017-07-03,3.0,"I went there thinking the food will blow us over. The decor is nice French bistro (with the necessaire signage in French and the usual clichés). It was a posh place in a posh apartment building in a posh neighborhood. The service was good! I ordered the fish and chips ( so not french) and my friend got chicken breast with ratatouille. Honestly, for amount of money, my food tasted okayish and the fries were skinny fries. I even was hungry after my meal. My friend's dish was not bad but nothing exceptional. The baguette they served us complimentary was re-heated in the microwave was chewy and inedible. i believe it is the location and the ambience l we paid for.  Comes to make a point : there are so many bars and restaurants in Chicago, which are posh and have great decor, but fail miserably at food, which should be the essential soul of a restaurant. Ô",0.8302,0.826,0.12,0.054,0.5447916666666667
2017-07-02,3.0,"The food: 3/5. I tried a tartare which was the highlight of my meal. The complimentary baguette and frisee salad were good as well. Ratatouille was just ok, a little overdone for my state and pate was so bad, I barely touched it.  The service: 3/5. The service is indifferent. Everyone seemed rushing, so it was hard to get recommendations out of the waitress.  Overall: 3/5. Decent but soulless food. With the abundance of great restaurants in Chicago, I'm unlikely to return.",0.8369,0.776,0.162,0.062,0.4840909090909091
2017-06-27,4.0,"I have been here many times and the food is always phenomenal! We made a reservation about 2 weeks out for 8 people to celebrate my mom's birthday dinner. Wine and food selection is always fantastic but the service was subpar. We had a large graduation group of 20 people next to us and we were in the back corner. It was very loud! Once that group left it was better but because of how busy it was, we all started sweating after awhile. Our waitress I think was overwhelmed because she was running around and not making eye contact with our table often. She was very nice when she did stop but it took a very long time to get our food. She also brought out an ice cream with a candle for my mom but she had finished her dessert before we were ever even brought menus for dessert much less order dessert. We got there at 630pm and left at 930pm. The only reason they didn't get 5 stars is that the service was poor this time. I have been when it was just my boyfriend and myself on a date and the waiters were more attentive than this past Sunday night. Won't deter me from coming again because the food and drinks are that good but just a heads up on the speed of service.",0.8866,0.892,0.078,0.03,0.47826190476190467
2017-06-07,5.0,Wonderful food & service. An authentic French bistro. Charming room. The outside seating facing Lincoln Park is wonderful.,0.9042,0.556,0.444,0.0,0.6333333333333333
2017-06-04,5.0,Love their steak! Ask for medium rare. It's so good so are their homemade fries and charcuterie board. Our server was french and really  helpful during the evening!,0.9121,0.683,0.317,0.0,0.4600000000000001
2017-05-31,3.0,Good steak frites and variety of wine options. Attentive service. The only complaint is that they let u wait over 20min even if you have a reservation. This shouldn't happen at a LEYE restaurant.,0.1779,0.85,0.085,0.065,0.675
2017-05-28,2.0,"This is for the Sunday brunch. Seems like the dinner is much better here. The hostess and server were great, as well as the busboys. The food was not great (We got the blinis and poutine). Specifically, the blinis were incredibly small portion... we laughed at the portion size difference between the blini and poutine.  The coffee was also not great.",0.9712,0.703,0.297,0.0,0.5583333333333333
2017-05-13,5.0,"A nice French bistro in an upscale residential building. The decor of place is very nice. The bar is small but you can choose to wait in the lobby of the building. Bartender was helpful and chose a delicious non-alcoholic yet suitable for socializing drink which was served in champagne glasses. Food was overall tasty. We had goat cheese, beef tartare, and the seafood platter. We loved everything.",0.9676,0.73,0.27,0.0,0.61875
2017-05-09,5.0,"Excellent!  Again! 6th time this year and it just keeps getting better.  Here for a birthday celebration and just had a fabulous time.   Attentive service, warm, smiling team all of who were all knowledgeable about wines and the food.",0.938,0.674,0.326,0.0,0.8
2017-04-19,5.0,"From the moment you walk in to Mon Ami  Gabi, you feel welcome. The service is spectacular. Our waiter (seemed like he was French) was helpful and courteous--totally the opposite of the stereotype. For example, I ordered a beer and he asked if I preferred a glass or to drink from the bottle (which I do). Throughout the meal the service continued to be excellent from the server and back waiters. There were three of us and we all had some type of steak-- au poivre, Bearnaise,and filet with truffle Bearnaise. All delicious. Cooked exactly to our specifications. The aupoivre and Bearnaise came with pommes frites. Some reviews (and my wife) complain about the french fries as being too thin and crispy. Me, I loved them. Definitely different. Not your typical American french fry. For dessert we split a profiteroles. It was delicious and plenty for three. With two drinks and a 20% tip, the meal for three was about $150. If you look on the web, you'll find Mon Ami Gabi in other large cities. If they are as good as this one, they may also be worth a visit.",0.9788,0.82,0.157,0.023,0.46517857142857144
2017-04-17,3.0,"I love the food here and the restaurant itself is very cute/romantic vibe very close to the Lincoln Park Conservatory. Great for couples.  My low amount of stars is for the seating. The tables are VERY close together! I'm talking a little boy sneezed on me close together.  I went here with my fiance for Easter and they sat us right next to a family with two small children- when I say right next to, I am not exaggerating- I was touching elbows with a 4y/o.  I understand that on a holiday maybe they had limited seating but I actually got up to use the restroom and noticed 3-4 two top tables, not seated on top of a family. I thought maybe my visible annoyance would be enough for them to move us but I'm naive and should have just asked. (Updated because the owner reached out about this)",0.6061,0.844,0.098,0.058,0.40864661654135337
