date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,"Very decent food and really great beer menu. This place was an oasis for us when we came to visit downtown St Louis. The restaurant sits in an old converted warehouse and has nice tall ceilings and wooden beams, the windows all open to the outside as well. A couple dart boards in the corner kept us entertained for a couple hours.",0.8999,0.824,0.176,0.0,0.4809523809523809
2017-08-25,4.0,"Unique, Hipster brunch place. *CASH ONLY* and they don't really split tabs for a group over 5. There is an ATM onsite.  I ordered the country friend steak - it's amazing! Full, crunchy, and served with grits, and a biscuit & gravy! Very filing and was desperately needed for my hangover!  The vegan/vegetarian options satisfied my friends as well - although I didn't get to taste.",0.9228,0.742,0.222,0.036,0.74375
2017-07-26,3.0,"I came to this place with my guy. It only takes cash. The place is pricey for just a sampler meal for two. The eggs could be better but they where good. When you ask for a small I would suggest a large because it was served  on a very small cup. 32 dollars for two samplers, a small orange juice and a coke. Service wasn't that great especially since we were the only ones there. Probably just an off day. I wouldn't go back just I could get alot more for a cheaper price.",0.0923,0.888,0.064,0.049,0.5915476190476191
2017-07-13,5.0,"Great coffee, lots of veggie options.. I always order the breakfast burrito. Cute place!",0.8122,0.598,0.402,0.0,0.875
2017-06-18,5.0,"I seriously heart this place. I do remember during the pitchfork music festival I dined here for brunch/breakfast 2 days in a row.  On to the food, my absolute favorite is the trucker bowl and a cup of the rather deliciously caffeinated cup of Metropolis coffee. However, I've seen some pretty awesome breakfast dishes like French toast or waffles laden with fruit, whipped cream, etc... Also, the black bean cakes are very good, an exceptional item only served during brunch (I think).",0.9657,0.741,0.241,0.019,0.7981818181818183
2017-06-11,5.0,Me and my friend wandered in here after getting lost to meet up at church. Its a really cool intimate diner. It's small in space mind you. I had the Huevos Valando which was so good. The waitstaff was really nice. Definitely going back! Side note: like any diner it can be busy in the weekends.,0.9442,0.694,0.272,0.034,0.50625
2017-05-31,1.0,"This place is absolutely awful. I have eaten here on 3 separate occasions and have been disappointed each time. The staff is rude, the dining room is tiny, and the food is terrible.  I am all for this ""vegan"" revolution that's popular now but some people such as myself still enjoy meat......and frankly as far as breakfast goes I don't consider chicken sausage meat. I had a skillet...The eggs were under cooked, the potatoes were burnt and under cooked at the same time....HOW DOES THAT HAPPEN?!?!?! I don't think I will be giving this place another try.",0.6672,0.812,0.106,0.082,0.7113636363636364
2017-05-17,5.0,Great food! Great service! Great atmosphere! The vegan pancakes were HUGE and delicious. I'm a huge fan of metropolis coffee- big plus that they have it on drip! Can't wait to try their lunch menu :],0.9818,0.491,0.509,0.0,0.76875
2017-05-08,1.0,I used to take people from the neighborhood here for the organic food but I got sick on a chewy country fried steak dish and when I called they did not offer a remedy which made my job as the healthy eating fairy that much harder as it drove a wedge between Humboldt Park folk and this cute little diner. The tables are too close and the space nazzis will definitely remove your jacket if you have it taking space in an adjacent chair. I wouldn't mind the intimacy if people were actually happy to intermingle in the boujie conversations but this dream is squashed with a timid blushing smile if you overhear a convo or attempt to make friendly small talk with the person sitting a few inches away. Did I miss an etiquette class lesson that said no talking when sitting at farm tables packed like sardines? Also I found it interesting that there was no sugar alternative for beverages.. so a sugared up version of me was probably even worse suited for the weird isolation of the 14 inch bubble of elbows in eating,0.9173,0.729,0.158,0.112,0.539795918367347
2017-04-29,3.0,"My experience here was pretty disappointing. I came alone and instantly marveled at the cool pink chairs at several tables. Unfortunately, when you come to flying saucer alone they punish you and you can't sit at the fun colorful chairs. You're relegated to the corner or, cringe, the bar.  The whole time I was there I was wishing I could be sitting at another table, and their inflexibility with me really turned me off considering how empty the place was. The whole time I was there no one sat at the table I initially wanted to sit in. And then my waiter just completely disappeared. No one checked on me, at any point during the meal. I was turned around looking for my waiter, no one saw my blatant customer cues of needing something. I had to get up twice and ask for a saucer of soy milk for my coffee, and again for cream cheese, and when my waiter was nearby helping another table I asked for more coffee- which, since it's free refills, should've been coming pretty regularly. I understand the restaurant business is hardcore and food service industry is no joke, but I was completely forgotten.",-0.5462,0.822,0.073,0.105,0.48064713064713077
2017-04-28,5.0,"I love this place and the passion and dedication of the people who run it.  They provide a great experience with exceptional food.  The atmosphere is comfortable and inviting without being overbearing.  Their homemade granola is out of this world, and I have yet to try a dish I wasn't thrilled to get.   Each time I come to Chicago from Detroit I make a point to get out to Flying Saucer for a great brunch and a good interaction.",0.9702,0.699,0.274,0.028,0.742857142857143
2017-02-03,4.0,"Flying Saucer was a very interesting brunch experience for me. When I first received my Bazza Bowl I was so excited to see the size of the portion. It was huge. I had no idea how healthy this place was until I looked over the menu and there were a lot of vegan/vegetarian options. I'm not a vegan or vegetarian but even as a carnivore, I can appreciate a good bowl of black beans, brown rice, tomatoes, some cilantro and a little bit of sour cream. The overall restaurant had a little bit of a 80s diner feel. Interior was colorful with very random photos all over the walls but there was a little coffee bar where people who come alone don't have to feel any kind of loneliness or pressure. Great!",0.8707,0.77,0.15,0.079,0.5291666666666668
2017-02-02,5.0,"Great little breakfast spot. Food was amazing. They had options for everybody (vegan, vegetarian, etc.)",0.836,0.622,0.378,0.0,0.7166666666666667
2016-12-19,1.0,"I came here with some vegetarian friends who love the menu (it caters strongly to veggie people). I, an unabashed meat eater, ordered the meatiest thing on the menu--something that resembled chicken-fried steak. The steak itself was so dry and chewy that I could barely eat it. Knowing this is a veggie-centric place made me wonder if a vegan employee had been forced into the kitchen to cook the steak for me against their will, with their hatred and scorn making its way into my dish. In any case, I'd advise against their meat options. I tasted my friend's non-meaty food and it wasn't too bad, so there may be some hope there. Also, cash only. Oh--and they don't give you water unless you ask for it (with an explanation as to how this improves the environment). Meh.",0.802,0.806,0.121,0.073,0.5571428571428572
2016-12-06,5.0,"Amazing fresh food, nice and attentive service and great prices. Favorite breakfast place! Even there simple Saucer Sammy (breakfast sandwich) is above average. Lots of vegetarian options and a special quiche every weekend. What is not to love?",0.9395,0.573,0.363,0.064,0.6435064935064934
2016-10-05,5.0,Was just there! We love this place.  Perfect location and breakfast spot to meet friends or family who live downtown when we are coming from west suburbs.  Food so clean and flavorful and delicious!  Iced coffee fresh and perfect accompaniment to my breakfast.,0.9771,0.592,0.408,0.0,0.7571428571428572
2016-08-23,4.0,Delicious food! Nice big portions. Good vegetarian options. I like the diner quality and that it wasn't pretentious. Only negative is that it's cash only. Don't know many people in my generation that carry around cash regularly.,0.9348,0.671,0.329,0.0,0.6376923076923078
2016-07-21,3.0,Skinny guy with the accent is the worst. Only redeeming quality to this place is the food.,-0.6249,0.796,0.0,0.204,0.8333333333333334
2016-07-17,4.0,Great food Trucker bowl Sampler Huevos volando - Eggs a little more sunny side than I wanted but still very good  Cash only though,0.8293,0.673,0.327,0.0,0.7060000000000001
2016-06-26,5.0,"I was hesitant at first to try this place based on the poor reviews of the service, but I went around 11 am on a Sunday and the service was friendly, fast, and generally on point. I tried the breakfast bowl with steak and the eggs Benedict. Both were A+. I was especially impressed with the sauce on the eggs Benedict and the tenderness of the steak in the breakfast bowl.",0.9009,0.791,0.163,0.046,0.5888888888888889
2016-06-12,4.0,Our group of two adults and two kids went to Flying Saucer for breakfast- we had read some reviews and it was walking distance so we thought it'd be good-  We ordered the corned beef hash and the eggs Benedict and side orders for the kids since they aren't big breakfast eaters. First the food: original and delicious and good big portions.  Second the price: we were a bit taken aback by the price - the total was $64 including one coffee and small ojs- we didn't mind the cost so much since we're on vacation but thought it was significant to mention for others to know.  Overall a good neighborhood breakfast spot but be prepared to pay higher prices than normal.,0.9136,0.861,0.126,0.012,0.46614583333333337
2016-06-03,5.0,"This is my favorite place in Chicago.  If you want a great plate of food with generous portion sizes, this is the place to go for brunch!",0.8999,0.647,0.353,0.0,0.875
2016-05-21,1.0,"One of the most humiliating and disrespectful experiences I have ever had in my life. Here is the build-up. I was treating my brother and father to some breakfast after running in the  Hope for the Day run in Humboldt Park, a race that sought to raise awareness about suicide. It was my father's birthday and my brother's birthday the week prior. We got seating immediately in the middle of the restaurant, at a table that was situated in what seemed to be the epicenter of traffic. My father sat down first, and I noticed that he had moved the table in such a way as to avoid unnecessary friction within the restaurant, as the original configuration was oddly in the way of every possible path. After a minute, the manager/possibly owner, came by and straightened the table to its original configuration, which was awkward and obtrusive. After he left, I adjusted the table's position. This person, a balding, tattoo'ed, tortoise-shell glasses wearing, effete monstrosity of a man with an English accent, came by and moved the table again. After the first time, where I saw him correct my father's positioning of the table, I was a little irked. But now, when he moved my configuration of the table, I got more agitated. He returned. I asked him, ""Is there some sort of fire code enforced that you have to keep moving the table?"" ""No, it's so that people have room to move about in the restaurant,"" he said. ""Well, there seems to be even less room to move, now,"" I said. I noticed that a better table had opened up. I sighed and thought of a resolution. ""You know, this is not working, what if we moved to that table over there,"" I said. In response, he furrowed his brow and spat out, ""You know what, your attitude is not working. Why don't you get the fuck out of here?"" I left, in shock and disbelief. Angry, but compliant and hurt. It affected me for hours after, and I thought about the reasons that would lead a man to disrespect a fellow human being so badly. Was his life so petty and shallow that the only power left he had was dictating who goes and who stays during the brunch hours? I felt angry, but I also felt sad for him, and for us, as humans.",-0.9888,0.871,0.018,0.112,0.48409961685823744
2016-05-21,1.0,"Service is pretentious and food is average. I asked my waiter for my breakfast potatoes ""well done"" and he responded with ""they are quartered potatoes that a cooked on a grill top, they dry out when over cooked"". I responded ""that's fine with me, I would still like them well done"". Sure enough, food comes out and the potatoes are BARELY cooked and had the outside texture of slime.  I took one bite and spit it out. They didn't say anything when they picked up my plate with the potatoes untouched. The breakfast sandwich was average. Glad I paid $8.50 for a breakfast sandwich with an inedible side dish. (And yes, I believe the waiter is the same d-bag with and accent that is mentioned in numerous bad reviews below.)",0.8957,0.837,0.137,0.026,0.4950396825396825
2016-05-02,5.0,"Excellent food! Great place to eat healthy! Love the Bowls! Highly recommended to vegan, vegetarians or carnivorous people. Truly a hidden place in the hood... Love it.",0.9771,0.434,0.566,0.0,0.6176190476190476
2016-04-10,5.0,"Love this place.  Their black bean cakes are amazing!  They make those special for the weekends, and my goal is to come just about every weekend to enjoy them. The trucker bowl is also delicious, if you are looking for something to cure a hangover. :) They are vegetarian/vegan and meat friendly all rolled into one, so it's a great spot to go with friends who have various diets. Awesome and friendly staff, who are great with coffee refills which is always a win in my book.",0.9936,0.601,0.399,0.0,0.6717687074829932
