date,star,text,compound,neutral,positive,negative,subjectivity
2017-05-15,2.0,"Awful excuse for a JJs to be honest. Food is horrible. They try hard to be typical chicken joint but this honestly the worst I've ever had, it's sad that's in right in the loop so even tourists have to taste it. Rude owner/cashier, you'd think the food would offset the bad attitude but it doesn't.",-0.9513,0.584,0.104,0.311,0.7418498168498169
2017-04-27,5.0,"I come here once a week because it is close to my work. I get the chicken tenders every time and they are the exact same every time: huge, juicy pieces of chicken that is so good you'll eat it all and need a nap.",0.7678,0.833,0.167,0.0,0.6291666666666667
2016-12-06,4.0,"I am totally not understanding the low reviews here! JJ has like the best fried chicken in the loop. Actually, it might be the only fried chicken in the loop aside from Popeyes. I am a huge fan! The chicken is always piping hot, made to order, fresh, AND they sprinkle lemon pepper seasoning on it for you and this just sends it right over the f*cking edge when doused in the hot sauce. Yall, even the fish is lit. The perch and the catfish are the best. JJ reminds me of my father and his fried meats and seafood. And, its all reasonably priced. It gets cramped, and can be a bit of a wait since meals are made to order, but its so worth it. Try the cakes too. Notably the red velvet and caramels.",0.9419,0.854,0.146,0.0,0.5913533834586467
2016-10-26,2.0,Pretty standard greasy fast food. Nothing to rave about. It's the kind of food that taste like everything was just cooked in the frying machine. I had the Buffalo Chicken Salad.,0.6908,0.831,0.169,0.0,0.6900000000000001
2016-08-28,5.0,Love the mild sauce on my chicken. JJ's is always a quick and easy eat type of place,0.7964,0.679,0.321,0.0,0.6766666666666666
2015-12-10,1.0,"I'll just start and end by saying I ordered 4 wings. I opened the bag and there were wings. Ok so the wings were so small there was nothing on them. I didn't even get one bite because under the fried skin was nothing. 6.00 wasted, I should've went to the Harolds food truck.",0.5897,0.907,0.093,0.0,0.3
2015-11-19,4.0,"Pretty near perfect. Stopped in for liver and wings combo. Got my food quickly, server was friendly and didn't begrudge me 4 containers of hot sauce. The place seemed like a decent value, although I would have preferred more wings and less liver (or at least 50/50), but that might just be personal preference. Overall, solid South side style wings in a bit more convenient location with better service than you might get in other chicken shacks.",0.9062,0.791,0.192,0.018,0.5063725490196078
2015-11-09,1.0,The worst customer services ever .. Mean cashier with mood based menu and prices. I don't like his sauce so I asked for tiny cole  slaw he ignored me and after I asked him for the fourth time gave it to me frowning like I killed his son!!  Didn't gave me the drink with my meal though I had the time before with same order lied and said he didn't give me a drink that time. I will not come back again,-0.9486,0.738,0.034,0.228,0.33035714285714285
2015-06-18,1.0,I received food poisoning from this joint. No bueno,-0.7184,0.5,0.0,0.5,0.0
2015-03-18,3.0,"Decent deep, fried, salty, greasy chicken, fish, shrimp with fries and everything else in between that will probably cause bad things to happen to your health if you ate there every day. It's also reasonably priced. Nothing less.. nothing more.  It's a solid spot to get your fried fish and chicken fix in the area. It's not the best, but it's exactly what you'd expect. I recommend getting the hot sauce. The service is pretty decent too.",0.5846,0.84,0.091,0.069,0.5690476190476191
2015-01-19,4.0,"Word of advice: if a rapper names themselves off of a restaurant and goes on Tosh.0 to get made fun of for it, we're looking at a winning establishment. Luckily, it's right around the corner from where I work and it's a welcome alternative to McDonald's and other nearby sad excuses for lunch. I'd suggest going for the catfish nuggets and shrimp lunch combo special they often have, for about $7 with soggy fries to meander through for the last 45 minutes of your American mid-day break. Their mild or hot sauces are a must, and the actual fish/seafood and chicken options are delicious.",0.946,0.802,0.171,0.027,0.5570578231292517
2015-01-19,1.0,"The chicken wings is little salty and i found out 1 of chicken wings uncooked... yet. If you have time, just walk down a few blocks to Harold's chicken shack. They cook the same but much more delicious...",-0.1154,0.959,0.0,0.041,0.5463888888888888
2014-11-25,2.0,"I ordered the jumbo shrimp which was ok along with the perch dinner. The perch dinner I had an issue with because it tasted too fishy and wasn't what I thought it would be. Will I go back? Probably not, I will try my luck at Lawrence.",0.6369,0.885,0.115,0.0,0.25
2014-07-13,2.0,"The food was ok, the prices reasonable, could have been better if everything didn't taste like it was fried in old grease. The breading on the fish and chicken was very nice and crisp and tasty otherwise.",0.7255,0.762,0.189,0.049,0.5952380952380952
2014-03-01,5.0,If anyone gives this awesome place anything below 4 stars then thwy don't know seafood....I love this place any truck driver that sees this....its a must stop. ...shrimp are huge and delicious.....really good flavor...and they have lemon pepper anything. If I'm in a hundred miles radius if this place I'm going out of route for some good seafood.,0.813,0.725,0.192,0.082,0.74
