date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-29,5.0,"Love it. Unbelievable service. The owner was super nice, gave me complimentary potstickers, and he even called me after I left to check how I liked my takeout. Wow. Great food too.",0.9783,0.455,0.545,0.0,0.7018518518518518
2017-08-23,1.0,"You know, I use to love this place, and order from here about 2x a week, but lately their customer service has gone to shit.  I recently did a order from here, but we mistakenly put the wrong item, and they refused to change it out.  What food establishment does that???  Thats insane, needless to say, there are many Chinese/Thai options in the City, and this will no longer be one. I just noticed they have had problems all year based on recent reviews, Stay away from this place, its just not worth it.",-0.9763,0.729,0.024,0.247,0.6
2017-06-20,1.0,"I really had a taste for some egg fu yung, but before I can actually come in good enough into the restaurant, I was greeted with ""who are you?""  By looking at my work name tag, You are not supposed to ask questions like that if someone is coming in to eat. I'm sure you didn't ask the white lady what she was in there for. Also, do not rush someone to order food if they addressed that they never been in your restaurant before. That is just common courtesy. So thank you for being rude before I spent my money there.",0.9151,0.771,0.17,0.059,0.38765432098765434
2017-04-24,3.0,"Came in for some dumplings and spring roll snack First was quick I just thought the eggrolls had a little extra of something I didn't like, maybe salt or msg?  Not my style  Place was messy  The three stars are strictly for the fresh dumplings",-0.4423,0.796,0.049,0.155,0.3888888888888889
2017-04-10,1.0,"I ordered garlic shrimp for takeout, the food was bad. Bad as in, I should have cooked something myself. Bad as in, I could've donated the $10 paid for the meal to a charity. Bad as in, don't go here and go somewhere else. SMH!",-0.9385,0.635,0.051,0.314,0.6666666666666666
2017-03-28,1.0,"I only give this one star because it's not possible to give less. This has been our go-to for Chinese delivery for a year. Apparently under new ownership, with changed recipes and not for the better. The grilled pot stickers were flaccid lumps of thick over-stuffed dough (with the filling falling out of several of them), burned on one side. Overcooked vegetables, mediocre sauce. Nope, never again. Do yourself a favor and go somewhere else. Very disappointing.",-0.5857,0.873,0.034,0.094,0.5232920110192838
2017-02-27,1.0,Wanted to eat some cheap chinese food but got inedible pile of meat. Ive never felt so bad after a meal. It also took a pretty long time to get our food even though the restaurant was completely empty during dinner rush hours. The lady at the desk was nice but food was too mediocre.,-0.2207,0.744,0.121,0.135,0.6583333333333333
2017-02-27,2.0,"Ventured a bit outside of my realm and decided to try this place. Not the greatest. Fried rice tasted like really bad oil. I couldn't really call anything good, egg rolls tasted funny and after I grabbed them out the fridge the next day they were spoiled. Mongolian beef was extremely salty, but otherwise would be good if it wasn't badly seasoned. Orange chicken was pretty meh. Fish was alright, but it's just your typical sole, nothing special. Can't believe I stumbled across the one Chinese restaurant that can't get anything right. Delivery even took over 1.5 hours when it was a couple miles. Not worth it.",0.9544,0.739,0.206,0.055,0.5152116402116402
2017-01-03,5.0,"i've been on the hunt for really good Chinese food in the city. We got General tso, lo mein (veggie), and the red curry fried rice (veggie). So flavorful and delicious! I've literally been thinking about since we ordered. Can't wait to try this again.",0.8151,0.852,0.148,0.0,0.42000000000000004
2016-11-25,1.0,"I decided to treat my friends after a rough week & we decided to try this place. Mistake!!! Absolutely the WORST Chinese food I have ever eaten. Everything is greasy and mostly flavorless. The egg rolls are so gross we couldn't even eat them. The fruit smoothies are super sugary, in a nasty artificial way, almost like they use a syrup instead of just real fruit. All three of our main dishes (sesame chicken, beef broccoli, beef egg foo young) sucked. The sesame chicken didn't taste anything like sesame chicken, and the beef items were rubbery. You know it's a flop when the steamed rice was the best part of the meal...",-0.6205,0.701,0.138,0.161,0.603125
