date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-07,5.0,"I love this place! The workers are very nice and always try to accommodate to your needs. The lunch special is a good lunch portion for only $7, which comes with an entree and appetizer. I love that they allow you to choose how spicy you want to have your dish and appreciate that everything comes in a timely manner.",0.9694,0.673,0.327,0.0,0.7285714285714286
2017-08-06,2.0,"Avoid no matter what. The worst Thai food I have ever tasted. The Thai chix wings are not Angel wings--just fried chicken wings with no sweet chili sauce. Thai beef salad was overcooked and terrible, and the pad thai was done with thin silver noodles, rendering the dish tasteless and clumpy when delivered. Never again!",-0.8748,0.721,0.063,0.216,0.8916666666666667
2017-05-15,4.0,"This is my first time at this location but not my first time at Thai Aroma. The location was great, the food was really good and it tasted (pad thai) just like I remembered it.  The lunch special was $6.99 and it came with soup, appetizer and entrée. I was really excited about the fact that lunch cost me less than $10; I haven't had that in a while. This will def be my to go lunch spot as there are about 10 lunch entrees to choose from.",0.9693,0.796,0.204,0.0,0.48639455782312924
2017-03-11,5.0,5 star check in - this place is amazing and the quality is excellent. The food come out LIGHTNING fast and delicious ! I definitely recommend it! Give it a try - the pad Thai and egg rolls are delicious!!!,0.9693,0.568,0.432,0.0,0.8333333333333334
2017-01-18,2.0,"I've been eating red curry for years and years. I judge a Thai place by its red curry, a staple thai dish. Save your money or go to the next thai place in walking distance when it comes to Thai Aroma. I ordered curry to go, the red curry is bland and made with frozen veggies. The dish has nothing to offer; watered down curry  (who ever wants that?) with a little side of rice for $11. Will not be returning unless I am legitimately starving. Maybe it's just this dish, but you had to use mediocre veggies? And frozen at that?? I've never encountered this with thai food.",0.2869,0.953,0.029,0.018,0.30246913580246915
2017-01-07,4.0,"It's definitely not the greatest but is no dive either... my kids love the food here and we have been regulars for a number of years. For the consistency and never disappointing I'm giving 4 stars... they are v accommodating with the level of spice, just ask as they tend to default to 'not spicy' without being asked... we like it hot and ask for as much! My only complaint would be the website that is run by a 3rd party. I just call directly and pick-up... much quicker for us. They came out to the car the last time when it was raining... great team here! Never eaten it though...",0.9534,0.726,0.195,0.079,0.5222222222222223
2016-12-28,4.0,"My go to spot when I'm spending the day in Old Town. The selection is great and the intimate seating makes a great date night. I usually get yellow curry with shrimp, pot stickers, and shumai. Even though this spot is on the pricier side of thai, I am always satisfied.",0.9001,0.804,0.196,0.0,0.5071428571428571
2016-12-03,1.0,"WOULD NEVER VISIT THIS PLACE AGAIN!!  The only reason we order food from this place is we get decent food quickly as we stay close to this place. We have been ordering food from this place from couple years with just 2 extra customization and on one order they charged us full amount and did not give us the extras. We called the restaurant and all we get is RUDE behavior, poor customer service and no refund at all even after explaining the mix-up.",-0.8864,0.874,0.0,0.126,0.5738095238095238
2016-11-11,5.0,Food is excellent. You get a decent sized portion for your dollar. The Crazy Cousin is my favorite dish!,0.68,0.615,0.287,0.098,0.8916666666666666
2016-09-11,4.0,Pretty good food and fast. It's BYOB and the service is great. The Pad Thai is as good as any in the City and the green curry is fine too.,0.9313,0.627,0.373,0.0,0.6214285714285713
2016-09-09,3.0,"Great food, but portions keep getting smaller, and prices don't go down. I ordered panang curry with broccoli and got 3 pieces of broccoli - 3!!! For $11, seems a little pricey.",0.5308,0.887,0.113,0.0,0.5097222222222222
