date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-11,5.0,Amazing breakfast!! We both enjoyed our food. Our server was wonderful (Juan Q) all around great start to our day in Chicago,0.9476,0.538,0.462,0.0,0.8375
2017-08-10,4.0,"Had lunch here today and it was a wonderful experience! What struck me the most was the service. Our server was so informative and engaging. The menu wasn't overwhelming with choices but he still pointed out some favorites and genuinely seemed to love the restaurant.  The food was definitely tasty! I had the braised beef sandwich which was so indulgent. I substituted fries for a salad which made the dish lighter and easier to eat. The shrimp cocktail was delicious as well - especially with the chips.  Would love to come here again for dinner! It was great learning that they're open for breakfast, lunch, dinner, and on holidays!",0.9932,0.666,0.323,0.011,0.7208333333333332
2017-07-22,4.0,Nice ambience and live music on a Friday night! Food was good and not expensive.,0.7177,0.667,0.333,0.0,0.7
2017-07-21,5.0,We had brunch and it was amazing! I had the pulled pork omelet and my husband had their biscuits and gravy. Very good and service was wonderful!,0.9057,0.671,0.329,0.0,0.8933333333333334
2017-07-16,5.0,My wife and I came back again to our favorite restaurant. We saw a show on Sunday night  at Chicago Theater. We arrived at the restaurant around 6pm. The host greeted is right away. She  sat us in the corner of the middle of the restaurant. Our server came right away after we were seated. She suggested us there hand crafted cocktails. I had the Smaug Revenge & Strawberry Mule. Both were outstanding and flavorful.  We had PEI mussels and grilled octopus for our starter. They were cooked perfectly. Asian Manager came by and she check on us and she suggested to try the white fish. My wife ordered it and I had the Smoked chicken pasta. Both were tasteful and flavorful.  We didn't have room for dessert but we will definitely come back!  Top notch service and delicious food!,0.958,0.838,0.147,0.015,0.45357142857142857
2017-05-20,5.0,"Awesome place, Mylin is so professional!  I came here to burn a couple hours on a Saturday at noon, beer selection is good, food outstanding",0.906,0.627,0.373,0.0,0.64375
2017-05-19,5.0,"Service: FIVE STARS Desserts: FIVE STARS Breakfast: FIVE STARS Other food: Three stars We've come here for both dinner & breakfast, & tried multiple things.  Our faves were: DESSERTS Cherry Chess Pie - a buttery pie crust, a layer of cherry goodness, & a top layer of custardy chess pie, topped with a coriander whipped cream.  This was DELICIOUS!! Mango Khaffir Lime Sorbet - creamy mango sorbet texture, with tropical fruit exotically perfumed with khaffir lime leaves.  I love creative ice creams, & this was amazing! Seriously, the pastry chef here makes a return visit just for dessert a GREAT IDEA. BREAKFAST/BRUNCH Ricotta Toast - a slab of bread, a thick smear of ricotta, thinly shaved prosciutto, a sprinkle of chopped pistachios, & orange zest (which took it to another level).  Served with eggs too, which made this a really delicious & satisfying breakfast.  It was so good, I swear the pastry chef had to have something to do with it. We tried a bunch of other dishes (Liver Mousse, Scallops, Duck Breast, Salmon), & while they were fine, nothing wowed us like the desserts & that amazing breakfast toast. Service at both dinner and breakfast was impeccable.  Like Thomas Keller-level, Tom Colliccio-level impeccable, gracious, warm, polite, spot-on.   : )",0.9916,0.728,0.224,0.048,0.6948412698412698
2017-05-19,5.0,"I don't understand how they could not have a higher star rating!  Food was so unique, fresh / local, and delicious!  Staff was so friendly. I had the mushroom salad and the chicken salad pasta.",0.8996,0.718,0.282,0.0,0.6357142857142858
2017-05-18,5.0,"I can't say enough about this place. Everything you would want and more. I come back here every time I can get to the city. Food selection is the best, have enjoyed every option I have ever had. The service is incomparable- the friendliest folks completely dedicated to a personalized overall great experience!!! The BEST.",0.979,0.627,0.373,0.0,0.40499999999999997
2017-05-08,1.0,"Not too happy with State and Lake Chicago Tavern.  My husband and I had reservations this past Saturday.  The host was great - sat us down right away - after that downhill!  A couple next to us were complaining about the food (not hot enough), we sat there for about 10 minutes without one acknowledgment from wait staff or bus service and then 2 ladies were seated on the other side of us and were given water before they could even sit down.  WTH!  I wish I would have expressed my thoughts to the host (again he was great) but we just wanted to get out of there.  I wish this would have worked out - we go to a lot of shows in the city and this place is really close.",0.7856,0.887,0.083,0.03,0.4823743386243386
2017-05-05,3.0,"This place is decent, a little pricy for what you get in my opinion.",0.0,1.0,0.0,0.0,0.5833333333333333
2017-04-02,1.0,"First of all, I'm giving the review 1 star because that's the minimum. My wife and I walked in and asked for a table. After we told them we didn't have reservations, the waiter snorted and laughed. They sat us at a communal table where people who don't make reservations sit.  After sitting for 15 minutes, the waiter took our drink order. I got Candied Bacon Old Fashioned that was two fingers of cheap whiskey in a glass and some undercooked bacon. My wife got summer thoughts that was tequila and juice.  Another 10 minutes went by, and the waiter came by to take our food order. We asked for the check with our two appetizers, because we had a show and couldn't wait for him. We got 7 wings for $12 and also ordered mussels. The mussels came out all shells and no meat.  TL;DR Went here for two drinks and wings, spent $50(with tip) and sat for over an hour. Take the other suggestions and go to Chick-fil-a or Potbelly",0.4939,0.955,0.032,0.013,0.3180555555555556
2017-04-02,5.0,"Came here for a pre show dinner before Aretha Franklin. We were waiting for the rest of our party to arrive, but the seating hostess greeted us and seated us. Then, out server was wonderful! She was so nice and polite and brought everything out very quickly. We had the scallops as an appetizer which were probably the best scallops I have ever tasted in my life! For my main course, I had the tavern burger, which was just as excellent! The onions added a sweet caramelization to the juicy burger. I would definitely give this place a 5/5 because the service was excellent and the food was scrumptious!",0.9933,0.683,0.317,0.0,0.7148148148148148
2017-03-25,2.0,"Great food, good service, friendly server. I asked 3 separate people, including a host and the hostess, (her 2x )to bring a brownie or treat for my husbands 71st, before our concert.  Never arrived. When I told the manager on our way out she said, oh I'm sorry its hectic too nite. It was 1/2 empty at the time. Rude, ineffective and not up to par for the city, yet alone the Wit Hotel.",0.743,0.727,0.156,0.116,0.6583333333333333
2017-03-25,5.0,"Great service! Went today for a friend's going-away gathering. The staff was hospitable and eager-to-please. I will def be back for bunch. Prices are nice & ambiance is ideal. Yay, S&L T!",0.9358,0.636,0.364,0.0,0.6875
