date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,3.0,"I think that I am being generous with 3 stars. I ordered an O'Hare Stout and BBQ chicken wings (to go)...the wings were expensive..$12.00+.  When I got home I discovered that they were ""Buffalo Wings"" and not the BBQ wings which was disappointing.  I had ordered the BBQ as this place boasts about their BBQ specialties and fried chicken on the menu. The first team member Darren was really interesting and told me about the history of the place...which brags that Harry Caray and Bill Veeck as well a Jimmy Durante used to frequent the establishment. Darren stated that Harry Caray and Bill Veeck would hand out complimentary tickets to patrons when they were eating at the restaurant.  There is even a ""Bill Veeck"" wall of pictures some autographed by famous baseball players. The odd thing is that the couple sitting at the bar right next to Bill Veeck section asked a portly bartender with short brown hair if he could change the TV channel near them from Football to The Cubs Game and the bartender abruptly stated that he would not and told them...""Go ask the manager.""  Really....how rude and odd considering the place oozes of baseball.....I am sure Harry Caray would be rolling over in his grave if they knew about this....... Will not be returning.",0.624,0.86,0.081,0.059,0.5293650793650793
2017-09-02,4.0,Pretty cool place with some neat history to it. Great atmosphere all around on the inside. The food is just as unique and great tasting as the atmosphere on the inside.,0.9493,0.609,0.391,0.0,0.8300000000000001
2017-09-01,4.0,"Peter the man up front really helped me out of a jam, what s great guy! Chicago is busy, like I can't get a dinner reservation anywhere busy, anyway I eventually got in to Millers after a wait. What a great environment, so much cool history and charm. All the food we had was delicious! I will definitely be adding this place to my list of places to visit every time in Chicago!",0.9728,0.714,0.286,0.0,0.5562499999999999
2017-08-23,4.0,"I've always walked past this place when I worked in downtown Chicago. I always assumed it was a smaller pub with very few draft beers but boy was I wrong about this place. This pub was a lot bigger than I thought. They serve a varir of craft beers on tab and in bottles. They have great food options such as there wings, which were great by the way. There portion was great as well. I had a prime rib sandwich that came with cole slaw and good amount of French fries. Everything I had was really good. The service was good as well. They were always checking up on us and making sure things were great. Overall, the atmosphere was great for a pub and food was good.",0.9953,0.633,0.341,0.025,0.5454938271604939
2017-08-21,3.0,"Stopped in after work on a Monday night, place was busy, but seated quickly. Took about 10 minutes for server to take my drink order. Once she started, food came fairly quickly. Greek salad is amazing, cheese curds are good. I thought the prime rib was okay.",0.899,0.761,0.212,0.027,0.46666666666666673
2017-08-21,3.0,"Classic Chicago bar/eatery. Great long bar and large dining area. Food is pretty average, 2 stars but general vibe gets them to 3. It's not a corporate chain!!!",0.6732,0.813,0.187,0.0,0.4556547619047619
2017-08-20,4.0,"Okay, this restaurant totally made me think of the 1980's.  We ordered a couple of filets and a prime rib.   The cuts of meat were huge, and came with a potato side, and a salad.  I upgraded to the Greek salad and it was good.  The rolls before dinner were appreciated.  The beer menu was extensive.  We were seated near the bar, so it was a little loud. We wouldn't come here for dinner too often, but once in a while it would be a nice throwback. The prices were not cheap, but they were also not nearly as expensive as the other a la carte steak houses nearby.",0.8074,0.883,0.102,0.015,0.5470238095238096
2017-08-15,4.0,"Miller's Pub is open until 4 AM. I started going here because there were very few places to eat if you worked a late shift. I did--years ago--they were still on Adams St at the time. It was such a blessing to be able to go to a nice restaurant like this!  They made a great cup of coffee--which I really needed!  I also fell in love with their ""egg lemon rice"" soup--which also has a Greek name.  I don't go downtown very often these days. After Summer Dance this Sunday we went to Miller's Pub. The place still has a lot of charm. The coffee is still great. The egg lemon rice soup wasn't on the menu :(   I asked the waitress about it. She said you have to ask about the soup and they happened to have some that night.  So I was able to have a cup :) and it is still great!  I ordered the Beer battered cod sandwich--it was not great--just okay. I liked the coleslaw but the fries were not very good. My favorite soup saved the meal for me! I suggested this place, so I hoped my friend liked her meal. She had the Broiled Salmon with mushrooms and rice. I asked her about it for this review:  ""Minimally, but perfectly seasoned.  Just about licked the plate clean"".  It is nice when your friends enjoy the place you picked.  It got very busy shortly after we arrived and it was difficult to get the waitress' attention.  Also, Ladies room is small and rather clumsy. If there is a line, you have to watch so you don't clunk someone with the door--or get clunked! Still love this place and hope to be back soon.",0.9949,0.752,0.203,0.045,0.5767132867132867
2017-08-13,5.0,"We loved this Chicago icon! Right around the corner from the Palmer House so we stopped in to make a reservation for that night. When we arrived, the gentleman in the front remembered us & we were seated right away. Water was at the table immediately & the server was there in 5 minutes. We discussed entree specialities & our drinks were served along with a basket of bread - the bread basket includes these yummy garlic toasts - we asked for more & he brought us a whole basket! The ribs were wonderful! I had the Greek chicken which was so flavorful & juicy! Everyone loved their dinner + service was prompt so we could be on our way to the concert - all done in just under an hour.  Reasonable prices too.  We will go back...",0.9422,0.867,0.117,0.016,0.5564935064935065
2017-08-10,3.0,"We stopped by here on our quest for late night dinner (we're talking 11, so most other kitchens in the area were closed or closing).  The host was friendly when we arrived.  It was a little dark and felt a little dreary inside, but not totally outside of what you'd expect for an Irish/English pub.  We were seated on the dining side, away from the bar and televisions.  I was fine with that since we just wanted to eat.  I'm not sure if you can eat in the bar, but that might be nice if you were out with friends and wanted appetizers.  Our server was polite but a little absent as we were looking to pay the check and leave.  Even though it was very dead and the servers were mostly standing around.  I ordered the tuna melt and my date ordered fish and chips.  Both were fine.  Nothing amazeballs, out of this world (but not that I'd expect Irish food to be amazeballs in general).  But also nothing wrong with it.  The portions were sufficient; I walked out with leftovers.  Overall, not super memorable but not a bad experience.  I'd stop in again if I find myself in the area but I'm not likely to seek it out.",0.1781,0.812,0.093,0.095,0.5278009259259259
