date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-04,1.0,Food is good but to be told the wait is 45 minutes and end up with over 90 is misleading.,-0.3818,0.766,0.083,0.151,0.6000000000000001
2017-09-03,1.0,Told 40 minute wait. Waited 45 minutes before inquiring about time and was told 'at least another 40 minutes' and it's 'not my fault'. The courtesy of not lying about wait times cost them a regular customer.,0.6458,0.866,0.134,0.0,0.23846153846153847
2017-09-01,5.0,"This is only my third time eating at the Phoenix., and the second time having dim sum. Yesterday's dim sum that was so delicious that it wouldn't matter what else I ate, it still would have made me give the Phoenix 5 stars.  I don't know what it's called, but it's a Chinese eggplant stuffed with shrimp. The egg plant was cooked to tender and savory perfection! It just might be the most delicious Chinese dish I have EVER eaten in my 49 years! By the way, everything else was pretty good, too!",0.9788,0.769,0.221,0.01,0.5083333333333333
2017-08-21,1.0,"One star for the incredibly careless and stingy service. Came to the restaurant at 3pm and finished eating by 3:45pm, waiting for a remaining steamed dim sum dish that we waited for 30 minutes on. Service began as mediocre as expected in a Chinatown restaurant, however, it proceeded to unacceptable as waiter interactions were hurried and orders were missed. Additionally, the man refused to give us the advertised 20% off dim sum order as we did not pay before 4pm (although he watched us wait for our tripe dish for 30 minutes and made us pay after 4pm without fail and the ad stated no fine print stating so). I will admit that the actual food served was at least four stars, but the mean delivery of customer service would never make a trip to this restaurant worth it. We were prepared to pay with cash but wish we had read the Yelp reviews even more closely: just hoping we won't be victims of credit card fraud.",0.8327,0.772,0.143,0.085,0.4906249999999999
2017-08-15,5.0,"First dim sum experience! So fun, we went on a Monday and it was so busy. A definite must try - like tapas but in steam baskets. The dumplings (any of them) were our favorites. We chose 8 different things to try between 3 people and left satisfied. Great for kids, too.",0.956,0.661,0.315,0.024,0.46481481481481485
2017-07-27,2.0,"My friend and I tried out Phoenix restaurant per the recommendation of our chinatown tour guide.  Big mistake. I shan't be this trusting ever specially when it pertains to food. This place was $$$, service was non-existent, and food was so-so.  Not sure how this place is Michelin recommended...",0.7371,0.796,0.16,0.044,0.5201058201058201
2017-07-26,2.0,Food actually tastes ok but serve sucks. I've been waiting 30 mins to get my check as I type this. I asked for a drinks menu but they never came to take my order.,-0.3919,0.857,0.047,0.096,0.3
2017-07-26,1.0,"Horrible service. Especially the hostess. Absolutely unacceptable behavior. Would not recommend anyone to come here. We were waiting 20 minutes for a table, however another party of 4 came by and wanted a table they were quickly given one. As any customer would, we'd demand for an explanation as to why such cutting line is acceptable in any restaurant. The hostess bluntly said ""you don't have to wait, they are vip."" What kind of behavior is this??? Definitely would be bother returning again. We were regulars to this restaurant as well. Absolutely stunning as to how rude employees are. Hostess should not be working in such industry if she can not uphold the responsibilities of one especially when the business is busy.",-0.5754,0.776,0.095,0.129,0.7384615384615386
2017-07-25,1.0,"Dim sum 4 stars. Customer service negative 4 stars. Definitely not first come first serve, more like first come we will seat you when we have a table that exactly fits the number in your party. Service is basically non-existent essentially serve yourself, or try to hunt down someone willing to help you without a scowl on their face. Unfortunately service and attitude is bad enough to ruin the dining experience. Come during the week or really early for better luck or just go across the street to Ming Hin, better food and phenomenal service.",0.7286,0.693,0.189,0.118,0.46797385620915033
2017-07-25,4.0,"I consider this to be the best place to eat in Chinatown. The dim sum is good. I came here on New Year's Day and waited 45 mins for a table. Not bad considering it was a holiday and everyone and their mother was here waiting for a table too but on regular weekends and weekdays the wait is 15 mins if not right away. If I'm in the mood for Chinese seafood, this is the place to order from. Their steamed crab and lobster are delicious. If you are in a big group consider getting the 6 course lobster dinner that comes with a 6 lb fried lobster tower. Wow.",0.9371,0.836,0.145,0.02,0.4758044985317713
2017-07-23,3.0,"We did not have the best customer service at this location.  There were lots of waiters just congregating together instead of assisting customers.  On a few occasions, we had to chase the waiters down.  I like the fact that they do not go around with the carts anymore but rather you order from a menu and hang them the menu.  The menu had pictures for easy reference to what you were ordering.  The food tasted great, but overall the service lacked customer service.",0.8769,0.85,0.126,0.024,0.3787037037037037
2017-07-14,4.0,"Returned to Phoenix after a year, again by water taxi.  The dim sum is still good but really can't compare to what's available in SF. I guess I'm spoiled.  Still worth the trip to Chinatown.",0.5106,0.878,0.122,0.0,0.36000000000000004
2017-07-14,1.0,"I first saw Phoenix Restaurant when I first moved to Chicago summer of 2015. My friends and I noted that it was a Michelin Guide restaurant but never bothered to venture there. It wasn't until May 26, 2017, that my friend from out of state wanted to try a Michelin Guide dim sum place so we decided to go here. On their door, and hanging up on the terrace was a sign saying Dim Sum 20% off Monday - Friday, until 4pm, so we thought to ourselves, awesome. However, as the meal progress, the service got worst and worst, it appeared that we were forgotten, took forever to order additional dishes. When we asked for the check, I noticed that it wasn't 20% off like it had advertised on the door and then they decided to tell us that it is 20% off cash only and that it was posted on the door. I said it wasn't prescribed that in English and they said it is written in Chinese. I was taken back by it as my friend who has taken a few courses in Chinese said there's nothing on there indicating cash only on there. I asked why it was not written in English and they said that they tell people when they ask for the check, I felt offended as I was a paying customer who did not speak Chinese and felt it was false advertisement to be told something in a written sign and only to find the truth after asking for the bill. When I asked if I can speak to the manager, the hostess proceeded to speak to the manager and just walked away. I was taken back as I was not done with the conversation. I then called the hostess and she said she was busy doing her job, wasn't her job to help the customers? As I never got an answer nor talked to the manager. She then pointed to the manager but never got the manager for me.  Finally, the manager came over and asked what can we do to resolve this, I said that they needed to honor the 20% off. Evidently, my friend who paid for the meal received a $400 fraudulent charge on his credit card after coming to this establishment, but we don't know if it was related, so just beware..",0.9691,0.839,0.106,0.055,0.44855072463768114
2017-07-11,1.0,Very bad experience overall! The host was on her phone and placing people that came after us at tables. The girl pushing the cart just threw everything on the table. There's two of us and we had a fairly small table. Yet she puts it on the edge of the side farthest from us. Went there for dim sum and during lunch they advertised for 20% off from 11-4pm. However when we ask for the check they said cash only or we don't get the 20% lunch special! That's not something that was noted on the poster anywhere! If you take cash only then you should include that on your ads. You can keep your 20%! Thank you!,0.3767,0.918,0.051,0.031,0.6197278911564625
2017-07-07,2.0,"I was going to give it 1 star based on my experience last night. Decided to up to 2 just because I have eaten here a few times before and it wasn't as bad. We went in for dinner yesterday (Thursday) and the place wasn't very crowded. The food and dim sum is good. But the service seriously could not have been worse. I would suggest if you do consider coming here, maybe plan on the weekends, even though it is crowded. Everything was so slow yesterday. Ok that's fine. But then they didn't even bother making almost half of the stuff we ordered. One item wasn't even available (or maybe it is because they're too lazy to make it for us?), but they didn't tell us this until after we waited for nearly an hour. We had to call a waiter over to ask if they were going to serve the rest of our food or not. Of course he came back and said the kitchen hasn't started making any of those. We ended up still hungry when we left but were too exhausted to order anything else there. Nobody wants to waste time on a weeknight dinner. We drove from Evanston for the meal as well.  I'm sure Phoenix won't care about this review. Even though I have come here for dim sum for a while now, after my experience yesterday I won't be coming back. There are other options in Chinatown.",-0.1506,0.882,0.064,0.054,0.3929398148148149
2017-07-06,1.0,"Service super slow , waiter handsome but rude , look like he goes funeral ,price expensive",-0.1154,0.374,0.324,0.301,0.6733333333333332
2017-07-06,5.0,"Food excellent at the restaurant and delivered via eat24. On the second order they made a mistake and eat24 reached out and got it all resolved quickly better than expected. Thank you, will return and tell everyone about it.",0.8316,0.687,0.262,0.052,0.475
