date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-04,5.0,"Such a great place. So authentic...as evidenced by all of the Spanish-speaking families filling the dining room. While this is a Colombian restaurant, the menu bares many similarities to Panama, the country in which much of my family lives in. The empanadas were exquisite and flavorful (and well-priced). The fried red snapper and tostones brought me back to better times at fish shacks on the beaches of Central America.  Great service, strong drinks, and excellent authentic cuisine. I will gladly return!",0.9674,0.776,0.224,0.0,0.5666666666666667
2017-08-12,4.0,"I was in love with this Colombian restaurant from the moment I saw walls made out of pennies and men with margaritas. There are three things every Chicago city girl wants when she goes out on the weekend. The first is good drinks. Like a martini or a margarita. We like them refreshing as we like them fruity as we like them picturesque. The second thing is ambiance. We like a cool sign, different decor. Something to text our tinder boys about or at least we do it for the gram. The last is a dance floor. I get that we are sophisticated, but we're also fun. And there's nothing more fun than dancing the tango. We started off with a martini - the bartender makes a fabulous French 75 and some apps. Here you won't find salsa and chip or tacos, but what you do find are mouth watering gordita's and empanadas. There are so many good dishes to choose from on the menu. It is filled with traditional dishes, using high-quality, locally sourced products. Classics include Bandejas, seasoned skirt steak served with red beans, rice, fried pork rinds, sweet plantains, egg, and arepa; Churrascos, flame grilled outside skirt steak, with fried sweet plantains, cassava, salted boiled potatoes and chimichurri; and Sanchochos, rich beef rib stew with potatoes, cassava, green plantains, and corn. After some light bites, we went big and had the most amazing steak on the menu - Churrasco Pueblito Viejo. This steak came out on a huge wood tray plated with fried sweet plantains, cassava, salted boiled potatoes, and chimichurri. We couldn't even finish half of it - so if you order this, I suggest sharing it. Then we couldn't turn down one of the most classic margaritas on the menu, which came with an upside down beer poured halfway into it. It was epic to hold and even more fun to drink in between runs to the dance floor.",0.9966,0.807,0.193,0.0,0.45026455026455026
2017-07-30,5.0,"Came here to try their traditional Cuban dish. Simply the most delicious. Great food on top of great service! Jeffrey the owner is easily the most courteous, even offered to let us use the restaurant on a closed day for a short film. This place is beautiful with ornaments and decor. A must visit!",0.977,0.64,0.36,0.0,0.6415750915750915
2017-07-24,5.0,What a cool place to visit and eat! The decor inside is so vibrant and colorful. You have to come here and see it for yourself. Good food and drinks. I want to come back to try more of the menu.,0.8795,0.758,0.242,0.0,0.4138888888888889
2017-07-24,5.0,Great food. Great drinks. An ambience worth experiencing for itself. 'Check it out baby',0.8779,0.521,0.479,0.0,0.5333333333333333
2017-07-15,5.0,"Drinks were amassing, great vibe inside it's so cute. Great neighborhood spot. I live in west loop and came up here for dinner. Very impressed.",0.9496,0.56,0.44,0.0,0.8
2017-07-15,4.0,"Eveyrhing in this place is good the only problem with this place in my opinion is the music the dj he is not a dj  where is the old colombian salsa ,merengue,bachata 3 of each and that set, many people find the places when usually play this kind of music , come on sometimes u need to go back with the old  music grupo niche, son de cali,guayacan,el torito,Elvis martinez?",0.3818,0.887,0.075,0.038,0.45625
2017-07-11,5.0,5  STARS NO DOUBT. Nothing on this menu will disappoint. I actually dream about the skirt steak though. Literally. But honestly everything on this menu is AMAZING. Went for my friends birthday and had the best time.  From beginning to end our service was amazing. The cocktails were delicious and everything was so authentic.  I will continue to return until my body will no longer allow me to eat that skirt steak.,0.9448,0.604,0.278,0.117,0.6928571428571428
2017-07-10,5.0,"Had a blast!! My husband celebrated my birthday at Pueblito Viejo on a Friday and we arrived arround 8pm. We were a party of fours, and we were seated as soon as we arrived (no line no, wait).We started off with apetizers (arepas de chicharon & empanadas) and they were delicious. The arepas can be shared with another person because the platter is large enough for two people. I ordered the breaded steak that comes with white rice and a plaintain. The food was well cooked and very tasty. My platter was large and it could have easily been shared with another person. I don't remember what everyone else had, but I loved my food. I drank a regular mojito, and it was very well prepared. The restaurant has a DJ and the music started around 9pm or so. There is a dance floor for dancing and that was the highlight of my day, because I danced all night long. Loved this place and will definately be back.",0.9825,0.804,0.187,0.009,0.4726713762428047
2017-07-02,5.0,"Amazing. Just amazing.  Get the skirt steak. Any of them. Honestly the best skirt steak I've ever had. Being from the southern parts of the Midwest, and having traveled quite a bit, I know good steak. The house skirt steak is hands down beyond what I'd expected.  The interior is very authentic, the staff is incredibly friendly, and the drinks are amazing. I heard all of this from a friend of mine, and decided to take my girlfriend here to try and impress her. Needless to say, she was blown away by the quality of service we received.  I will be going back, many times. Maybe I'll even learn to dance and get on the dance floor some day...",0.9853,0.77,0.23,0.0,0.5831349206349207
2017-06-30,1.0,Worst customer service from the son of the ....he reheated empanadas that were hard as a rock and got mad when we accused him and threw us out...shows no respect and shows how he was too prideful to admit his wrong doing...and we apologized and offered to pay for it still....it's ok karma happens to all... Oh p.s. I'll be contacting an attorney to review your business and BBB You say you threw out the food in front of us? You threw out what we munched on and served us exactly 7 EMPANADAS BACK because I poked a hole in one and it came right back to us in 4 mins. Any Hispanic would know it doesn't take fucking 4 mins to make new empanadas!,-0.8172,0.798,0.069,0.132,0.5438114915387642
2017-06-16,5.0,"Stopped in here during my visit to Chicago, and was blown away with the decor, food and drinks. I would recommend to anyone visiting.",0.1531,0.827,0.098,0.075,0.0
2017-05-23,5.0,"Epic Colombian food here. We usually get the same elderly waiter who is surprisingly energetic. The plates are massive and delicious. You should basically fast before coming here to enjoy all the fried goodness. If you come on the weekend later in the day, the atmosphere is quite different with people on the dance floor and loud Latin music. Coming earlier in the day or on a weekday is more chill.",0.9325,0.812,0.188,0.0,0.5211538461538461
2017-05-12,5.0,"The atmosphere is inviting and festive, the servers are kind and knowledgeable, but the best part of the restaurant is the food. Everything is fresh, authentic and delicious. I will come back often and bring all my friends.",0.9744,0.558,0.442,0.0,0.5750000000000001
