date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-01,4.0,"Service is surly, but prompt and accurate. Duck carver is quick, clean, and polite. Flavors are great! Authenticity is best outside of Chinatown.",0.9538,0.567,0.433,0.0,0.4888888888888889
2017-08-23,3.0,"Maybe I should have tried the Beijing Duck Feast, but I just wasn't impressed with Sun Wah as I wanted to be. Fearing that the duck feast would be too much food, I ended up trying the Roast Duck, BBQ Pork, and Roast Pork over rice.  I found the duck to be too salty and lacking the tenderness I had anticipated. The BBQ pork was good, but just on par with other places I've had. The Roast Pork was okay - definitely not the best I've had.  My fiancé was more impressed with his Beef Chow Fun. I tried it, but I didn't find it to be that great. Perhaps my standards for Chinese restaurants are high, but I tend to compare the Chinese food I have in the States with the Chinese food I have in China. Obviously, I don't expect China quality, but I do expect to be better than just okay. Would I try Sun Wah again? Sure. But I'm not going to be running back on a future Chicago visit. Overall: 3/5 Food: 3/5 Service: N/A Atmosphere: N/A",0.9472,0.758,0.162,0.081,0.4081313131313131
2017-08-22,5.0,"Peking Duck is a must get. For $40 you get a whole Peking duck, Duck fried rice and duck soup. In my opinion it is the best duck I have had in the city. Also recommend the crispy pork. The crunch!",0.7901,0.837,0.163,0.0,0.35
2017-08-19,3.0,"We got to the restaurant 30 min before closing, which may have tainted my experience. They were out of the BBQ pork, any duck dishes and pretty much anything other than soy sauce chicken and roast pork. The roast pork was good with crispy skin. It had lots of fat marbled in which I wasn't a huge fan of, and parts of the skin felt a little tough under the crunch indicating not as fresh. The overall flavor was still pretty good though and salty. Tried friend's soy sauce chicken which was pretty much boiled chicken with soy sauce, and felt no need for a second piece.  Also ordered the beef stew noodle soup, which I will state is NOT a stew. Do not get misled like I did. The stew refers to the beef being stewed - which had an odd flavor and was mostly tendons and fat. Noodles themselves were the thin egg noodles and soup was pretty light. Wasn't a fan.  I can see Sun Wah having potential if I get in early enough and can order a variety of BBQ meats, but from my first experience, wouldn't expect it to blow my socks off.",0.5373,0.877,0.063,0.06,0.6150641025641025
2017-08-14,5.0,The duck 3-way dinner was positively delicious. The serving presentation was also very professional. The wait staff was responsive and always hustling. I've only been here twice but must get back to try some of their other dishes. The whole roasted pig looked amazing....next time.,0.6486,0.87,0.13,0.0,0.48416666666666663
2017-08-14,4.0,"Been here once, so I will have to try this place again to secure my review and rating of this place, but... Food: the ladies and I had the Beijing duck feast. First off, I am not a duck fan. Had some duck dishes in the past and didn't like it. Tried many times, but its a bit too gamey for me. But then I tried the aforementioned dishes and they were all very tasty! But the roast duck with the bao, daikon and the sweet sauce - YUMMY!!! Okay, the gamey taste of duck was a bit diluted from the bao and stuff, but it was a delicious combination. The accompanied duck broth and duck fried rice was also tasty and freshly made. Service: In a word: Efficient. The nice young lady who served us (and burnt her fingers, bless her) expertly and quickly cut the duck in many slivers, then the wings and other portions so we can easily eat them. She was also friendly and seemed gung ho on doing her job, with many refills of drinks and made sure we were okay. Misc: Its kinda like a shared open space, like a cross of being in a warehouse and a large and well furnished place, like Bob Chin's. Its functional, without too much on decor, but that can definitely be excused because I came to eat, and not for the atmosphere. Okay, its a bit loud here, but that's why its so good and popular. Takeaway to home is also very much an option as we had quite a bit of leftovers (also yum too!). Paid parking is available on the streets, and had no problems with the neighborhood despite I was there rather late at night (11pm). This one is definitely a place to come back too! Wish I didn't live in the suburbs...",0.9953,0.74,0.203,0.057,0.4948321995464853
2017-08-14,5.0,"Fantastic Peking Duck dinner experience. Definitely can't beat $40 for a whole duck, side dishes, soup and duck fried rice. I've been coming here for a few years now and the duck is always crispy on the outside and juicy and tender on the inside.  We noticed a huge container of ginseng vodka on the counter and decided to try it. The owner came by and told us the history of how it started, which was a really cool experience. If you ever decide to give it a chance, I must say it is very bitter, but a cool experience overall.  The only negative thing I have to say about this place is that they charge a $10 corkage fee per bottle of wine.",0.3377,0.845,0.099,0.056,0.5166666666666667
2017-08-13,1.0,Stay away. We ordered dinner. Went to pick it up. They gave our order to someone else. So we had to then wait for them to remake our food. No discount or anything.  ALSO I WATCHED THEM MICROWAVE MULTIPLE MEALS AND DELIVER TO TABLES. The food is not fresh. There are plenty of places to eat Chinese in this city.,-0.4874,0.932,0.0,0.068,0.16666666666666666
2017-08-07,1.0,"I have been here before but I will not return. My friend ordered a dish and it was not what he ordered. He received his ""correct"" dish but it was not good. Apparently their lo mein noodles are different than most Chinese restaurants but that was not explained to us. The man took off the dish and brought the correct bill to us and said to my friend ""I don't want to see you!"" Seriously?! That is how customers are treated here? I WILL NOT be back. We still had to pay the bill. Do not waste your money or time on this place! If I could give a zero rating I would!",-0.8874,0.851,0.026,0.123,0.3395833333333333
2017-08-06,1.0,"This place really sucks. Waiter is rude, ignores me as well as having a bad attitude. He should be fired. Ordered a whole chicken,we waited for over 1/2 hr. & never got our chicken. The soup came out in 2 minutes plus within 10 minutes we had all our food except the chicken. Waiter stayed away from our table because he had no answer except it's coming. Finally they said there cutting it but 10 more minutes passed & they said do u want to cancel. I said cancel because they either forgot to put it in or gave it to someone else. It doesn't take 10 minutes to cut a chicken. Not sure it was even cooked. Tofu with mushrooms (2 mushrooms) Corn soup with chicken (what chicken) pork looks great in menu picture but was salty, rubbery.Food was not good anyway so I will never eat there ever ever again. Bad food bad people.",-0.9477,0.748,0.067,0.185,0.7464052287581698
