date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-17,5.0,"Honest to goodness pricing, and the friendliest staff. Great quality food that's almost like having them back home - as the regular aunties and uncles (Andrew Zimmern included) can fully attest. Note of the method of ordering ""carinderia"" style - just point at the food you like, they'll prep it, pay, and you're good to go.",0.9634,0.669,0.31,0.02,0.46538461538461534
2017-08-01,5.0,"Quality Filipino food at very reasonable prices. My family had 1 buffet, 2 combinations, and 1 halo halo. We had not experienced good Filipino cuisine since we moved from southern California. Everything we had at Ruby's met or exceeded expectations, including the lechon kawali, kare kare, shrimp dish, and desserts. Another indicator of the excellence of the food in this small restaurant is that they were busy preparing dishes for a couple of weddings. The icing on the cake was the friendly service. This is a place that cares about making customers happy. We will definitely make the pilgrimage to Ruby's whenever we are in Chicago. Ruby's is another reason that Chicago is a great place to live.",0.9606,0.819,0.162,0.019,0.5663636363636364
2017-07-21,4.0,"I love their Tapsilog, the best one I've had so far here in the US. The tapa is cooked just right, it's really savory, they serve it with runny egg, and a hefty amount of fried rice. Just one taste transports me back to the Philippines. I also love their palabok, I could probably finish a whole tray all by myself because it's really good. What I also enjoy in Ruby's is their all you can eat deal, affordable and yummy. I'd give it 5 stars but sometimes the wait takes forever (even when we've ordered the food in advance over the phone-- ie. palabok was ordered days earlier, scheduled a time for pick up and all, but upon arrival we still waited for about 20mins or so). Also, you will smell like fried food after eating at Ruby's. Personally, I don't mind but others might.",0.9376,0.882,0.118,0.0,0.4613095238095238
2017-07-13,5.0,"BEST FILIPINO FOOD EVER! Great quality, great price, authentic ambience, great employees, great service... Making Filipino Food Great Again! LOL",0.9856,0.306,0.694,0.0,0.6875
2017-07-10,5.0,"Got a taste of Chicago Filipino Hospitality at its finest at Ruby's.  Been craving for good Flip food ever since I moved to Washington from Los Angeles .  After driving 5 days to get to Chicago, Ruby's sure didn't disappoint. I didn't catch the guy's name at the counter but I'm assuming he was one of the owners. He hooked us up with free Lumpia that if I bought that in Seattle would have cost at least $15.  Saved us money on cost of buffet as well.   Definitely wasn't expecting that which makes his show of hospitality even greater.   Highly recommend Ruby's for their great customer service and great food.",0.9897,0.711,0.289,0.0,0.6365432098765431
2017-07-06,4.0,I would have given them 5 stars if it wasn't for the fact they only accept cash to avoid paying taxes. The food was really delicious they even gave us a free dessert. My favorite thing was the chicken asada. Never had that before and loved it! For sure will go back and try their buffet when in Chicago.,0.953,0.694,0.275,0.031,0.804861111111111
2017-06-27,5.0,"The complete Filipino experience! Complete with a fan to keep you cool, someone offering you endless amounts of food until you're so full you can't move, and TFC. This place was delicious. Tastes even better than my mom's homemade Filipino food. (Mom - I hope you're not reading this, but if you are, how did you download yelp?!) Anyways, definitely a must try especially on the weekdays!",0.8996,0.803,0.197,0.0,0.6388888888888888
2017-06-17,5.0,"This place is good and cheap.  We came here on a Saturday and had the buffet.  This was a must stop in our 4 day vacation in Chicago from SF.   I can't remember the exact price, but I know it's under 10 dollars per person. The customer service is great and the food is delicious, I wish I had a second stomach because I would definitely eat more.  When we were there they had dinuguan, kare-kare, lechon kawali, sinigang, flipino spaghetti and desserts.  Since we came when they opened, we missed the kaldereta which we were told will be ready at 1pm.",0.9666,0.756,0.205,0.039,0.5333333333333333
2017-05-27,4.0,"This place serves up a filling lunch that's cheap and high quality.  I can't tell you what I've had; it's been an array of interesting stews with rice each visit, but all of them were delicious.   It's cash only, but I don't care.  Eating here reminds me of dining at someone's home.  You know, those people who can burn, so you eat whatever they serve.  Yeah.   Eat here.",0.7398,0.823,0.131,0.046,0.748
2017-05-08,5.0,"I'd never had Filipino before moving to the neighborhood.  But this place couldn't go unnoticed with it's long line outside the door & people shuffling into what appeared to be a no thrills ""fast food"" joint.  So I worked up the courage & gave it try.  Let's just say it was amazing & has warranted countless trips since. I've got to be honest, you have to be a little bold to go in here the first time. It's tight & the regulars know what's going on & you'll feel like you're in the way as you stand in line in the center of the little restaurant, which also serves as a buffet so people are constantly moving about its tight quarters.  If you're not familiar with Filipino, the food is different and will take some explanation. Luckily the folks behind the counter are the nicest people you'll ever meet & they'll walk you through ever dish and offer you samples (most food is already made on the buffet line).  It's a really great cultural experience & really great food. And it's cheap to boot!  Give it a try.",0.9848,0.823,0.166,0.011,0.5161706349206349
