date,star,text,compound,neutral,positive,negative,subjectivity
2017-06-05,4.0,"Authentic, good food with a great patio for the summer to enjoy. Taking it to-go is the way to do it in the winter. For what it is, I was ready to give it five stars but the cleanliness and food prep practices are - from what I can see - not up to par with other hole-in-the-wall taco and Mexican joints in the neighborhood.",0.7469,0.87,0.13,0.0,0.49642857142857144
2017-04-10,5.0,"Amazing, authentic! The food was so good! Had a breaded and fried steak Torta that was out of this world. I live right there and will be back often!",0.8562,0.748,0.252,0.0,0.5476190476190476
2017-03-21,5.0,"There's plenty of places in Irving park to get a good burrito,  but this place is special to me.  Its a tiny little shop that's easy to miss,  and it kind of looks like it's probably violating lots of health codes,  but the staff is friendly and the food is great!  Be prepared though, they do take a while to complete your order.maybe it's because everything is made with love :)lol",0.9775,0.609,0.321,0.07,0.6545634920634921
2016-09-29,3.0,"El Potosi is solid, cheap, and authentic Mexican.  Made to order means everything is piping hot and portions are quite large.  Our group ended up ordering a good amount of the menu and agreed the chicken taco was the standout.  If you are a glutton for spice, or a glutton in general, you'll approve.",0.6808,0.879,0.121,0.0,0.542063492063492
2016-09-28,4.0,This is a small family owned establishment. Very friendly and the food is great. I usually order take out and haven't been disappointed.,0.8792,0.639,0.361,0.0,0.5599999999999999
2016-07-20,4.0,"This place is really great for some authentic Mexican food. It's not anything fancy, but it's really, really good. FYI, it's BYOB and cash only. Worth trying! My sister and I go here all the time.",0.9344,0.686,0.314,0.0,0.5333333333333333
2016-06-23,5.0,My favorite. Forget the rest. El Potosi is the best!,0.7644,0.427,0.457,0.116,0.65
2016-05-05,4.0,"So this place is far from glamorous, and even qualifies as a hole in the wall, but overall the dining is good!  I got a carne asada burrito and my husband ordered three tacos, one pastor, and one lengua.  The carne asada in my burrito was somehow different than that in my husband's taco, but they were good in they're respective ways.  My burrito was pretty greasy, so I'm not so sure I would order the burrito again.  I was jealous of my husband's tacos.  All three were spot-on representatives of what that type of taco should be. The red and green salsas were both very good. I'll definitely go back and try more items.",0.9624,0.753,0.193,0.054,0.48991452991453
2016-04-14,3.0,"3.5, really Ok so here's the upside: rice and beans are good; the lengua, asada, & pastor are seasoned on point AND the lady cooking is very very nice, albeit have to speak slow and thrice just to get my order across.  Now the iffy part- she goes back and forth handling money and cooking food - ok meats get cooked but she handled the onions and cilantro with bare hands (no wash)... So kinda ew?????? Otherwise this would've been a solid 4. The price hike is a lot $1.90 to $2.50",0.7745,0.895,0.105,0.0,0.38333333333333336
2015-09-23,5.0,"Love the patio, byob but best of all the veggie burrito!!! Fresh and cooked to perfection. Go here and not to the new place next door who has mushy burritos. And no patio! And the owner/chef/waitress is so nice and welcoming.",0.9797,0.535,0.421,0.044,0.47575757575757577
2015-09-01,5.0,"El Potosi. There are few places like it, a true family operation. I've had the good fortune of enjoying meals on the patio for several years, and although I no longer live around the corner, my taste buds summon me back every couple of months.  The salsa verde and complimentary chips set the meal off right. I usually go with tacos that feature the perfect blend of cilantro and veggies (carne asada, al pastor and lengua are all on point), or the Bistec a la Mexicana platillo. Both options are fantastic.  It's also BYOB. The proprietor is always smiling and she makes you feel right at home on the patio. Truly one of the most relaxed environments to enjoy a meal, you feel like you're on your own porch.",0.9869,0.74,0.246,0.015,0.5107142857142857
2015-08-24,1.0,"Woman is a scam artist, or at least tried to scam this gringo. Her restaurant put out out certs on  restaurant.com , I bought 1. I figured it was an excuse to finally try a neighborhood establishment. When I got in there, She was speaking decent amount of english up to the point she was denying the use of the cert. She then offered no tax and she'd keep the cert too, thats a 10 dollar cert, I'm not buying a 100 worth of food to get no tax. She's a scammer and will never go back to this joint",-0.9269,0.83,0.013,0.157,0.3166666666666667
2015-08-06,5.0,"I was working behind this place for 2 days and I've eaten here twice and I actually felt good after eating the vadgeterian burrito. This place is great and the woman Maria who runs the kitchen does a great job making the most Authentic Mexican cuisine. It doesn't look like much from the outside but the food that comes out is damn good, I'd definitely eat here again this is real Mexican food",0.8536,0.76,0.177,0.063,0.4230769230769231
2015-06-23,5.0,The patio alone is worth 5 stars.  Good food.  Cute building.  Friendly service.  Will definitely be back to enjoy warm summer nights by eating tacos and having some drinks on the patio.  Highly recommend.,0.9558,0.504,0.454,0.042,0.48000000000000004
