date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,4.0,"Excellent for Chinese delivery on a rainy day, or if you're under the weather and too lazy to go out. Great hot & sour soup and combination fried rice. The staff is also very accommodating - I ordered the Mongolian Beef, but only wanted scallions & beef, nothing else (onions, peppers, etc). They delivered all the way. If ordering on Yelp, please leave a generous tip (I left 20%). Was told to expect food in 1.25 hours, got it in 30 minutes.",0.8779,0.807,0.144,0.049,0.5555555555555556
2017-04-10,1.0,Average American style Chicase take-out. Very Poor attention to detail.  Bits of meat in my vegetarian egg foo young.  Won't be going back.,-0.5256,0.866,0.0,0.134,0.316
2017-03-13,4.0,"This is our favorite place for Chinese take out. I won't say this is the most amazing food I've ever had, but I do love the veggie fried rice. They are dependable with cheap prices and quick delivery times. My husband loves the orange chicken.",0.9468,0.717,0.283,0.0,0.64375
2016-11-16,4.0,"The restaurant is small, cramped and seats about 8 comfortably in the two booths, so it does mostly carry-out. Popular with the locals, it also does a brisk delivery business to the surrounding ""old-timer"" bars that can't afford on-site kitchens. Yes, it's not the fanciest place in the world and has a divey quality, but I would take their General Tso's Chicken any day over any other Chinese food establishment in the area. The chicken's coating retains its crispiness in the sweet heat of the GT sauce, and I feel less guilty about the fried food since it's served with a few sprigs of perfectly steamed broccoli. Tom Lee's offers two combo sizes for most of its entrees, and I usually order the small combo that comes with a large amount of chicken or veggie fried rice, an egg roll, and soda. Did I mention the small combo has enough meat and fried rice to feed two people!? A great value for the price!",0.9789,0.813,0.168,0.018,0.5378364389233955
2016-11-01,2.0,"Cheap, sloppily prepared food pushing fillers that has gotten much worse over the years.  I can no longer overlook the filthy surroundings and overflowing garbage cans.  Needs new ownership, a thorough washing, and a menu revamp.",-0.5267,0.806,0.051,0.142,0.7009090909090909
2016-08-31,3.0,"I've been living in this area for about 35 years. This is the third owner of this business Tom Lees that I have patronized. Over the years it has declined  considerably but maintained an inexpensive Cantonese food alternative in my area. In the last 4 years it slipped quite a bit. They substitute celery for water chestnuts and fill the meat dishes with green peppers and celery instead of bamboo shoots, water chestnuts and bean sprouts. My biggest complaint currently is the chicken fried rice usually has very little chicken in it and the rice is not fully fried nor does it have enough soy sauce in it so you get batches of white rice in your fried rice. It seems that's the way they're saving money now instead of putting the prices up. I told her if she makes a better product I'll continue to eat there and the neighborhood has a higher median income now and will support an upgrade to the product. They're lovely people and they've had the business now for probably 10 years but I think that they've grown tired and are NOT putting out the product they used to. If you want cheap Chinese food it is a good place to go. The lunch specials and the dinner specials for 6.95 or 7.95 are very reasonable. The crab rangoon is pretty good but the egg rolls don't have any meat in them they're basically just cabbage and carrots with a little bit of shrimp and a little bit of pork. You might think that I am asking a lot from a Chinese restaurant, but americanized cantonese can be very good food, just go to Chinatown and see for yourself. But a close alternative is the Orange Garden. It's probably 25 to 40% more expensive then Tom Lee but the food speaks for itself. Another place in the area is Chop Suey Huang at Foster and Lincoln. I used to rank them third in the area but now they've moved up to second over Tom Lee.",0.9757,0.896,0.085,0.019,0.47505376344086014
2016-07-27,5.0,"Great place for solid Chinese takeout or delivery. The crab Rangoon is the best I have had in a long time. They are big, crispy and the filling always tastes yummy and fresh. The egg rolls are ok. The sweet and sour chicken and orange chicken are both good. My boyfriend always gets the combination noodles, I think the Lo Mein, and it's always delicious. Delivery has never been an issue, they usually come early. Overall, good place for the price and if you're craving takeout style Chinese.",0.9823,0.712,0.288,0.0,0.42368421052631583
2016-07-25,4.0,"Delicious, fast, hot and tons of food. Egg roll, so so.  Crab rangoons were huge and just the right amount of filling vs shell, crispy, not oily. Pot stickers were huge as well. Def ordering from here again. Delivery was fast. Ordered close to closing time as well.",0.8885,0.775,0.225,0.0,0.7693877551020407
2016-07-09,4.0,Love this place. Lived in the neighborhood for 16 years now and have been going here for years. A little greasy but all the food is delicious and cheap. I would definitely recommend coming here!,0.9407,0.663,0.337,0.0,0.6599999999999999
2016-06-17,5.0,You get so much for your money. I absolutely love their food. The lunch or dinner specials are amazing.  I dont have a favorite cause i like a lot.     I love their pot stickers too. Their combination is amazing too!,0.9578,0.562,0.389,0.05,0.7000000000000001
