date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,"Maggiano's downtown may become a staple for me and the young lady. We've gone twice in the past 6 weeks and both times have been excellent. We didn't make a reservation last night so we had to sit in the front ""bar"" section, but there were plenty of good seats available with room and we had the pleasure of Amy being our waitress. She was very nice and attentive and informed us of the great deals. The food was outstanding and we have plenty of leftovers for the next day. See you again soon Maggiano's!",0.9832,0.762,0.238,0.0,0.5674242424242424
2017-08-30,4.0,"Maggianos is that perfect family restaurant but they are starting to rebrand as spot to bring your girlfriends or spend Happy Hour (I believe they have a $6 Long Island and other drink specials). The real draw is the pasta dinner for two. It's under $50 and you get 2 meals each out of it.  Marco's Meal for Two Choose any Appetizer or Flatbread or Two Side Salads Choose Two Classic Pastas Choose One Dessert Plus Two Classic to Take Home! I like the atmosphere and environment here. Their pasta is good (minus their fettuccini - I wasn't impressed). Their Chicken  Parmesan and spaghetti and one giant meatball are my favorites. Their lasagna is also good. In terms of drinks, their sangria is weaker but flavorful and we had two pitchers of the red sangria during our girls night. As far as brunch is concerned, they really out did themselves. Their lemon ricotta pancakes are insanely good and fluffy. Their crab benedicts make my mouth water just thinking about them.  Love this location and the food.",0.9836,0.819,0.162,0.019,0.5279166666666666
2017-08-22,4.0,"I've been dining here for many years. It might not be as nouveau Italian as some restaurants in the city but it does deliver on hearty old school Italian dishes.  Service is usually very good, at times that can vary depending on servers. Nonetheless if you're looking for a pleasant place to celebrate an occasion or a family dinner check it out. You will not leave hungry.",0.9434,0.803,0.197,0.0,0.4077777777777778
2017-08-18,3.0,"Decently good restaurant with great value but for all the Italian places around town, you could probably do better. We got a two person meal that included one starter, two pastas, one dessert. Bruschetta sampler was hit and miss. The classic was hard as a rock. Some interesting flavours though. Pastas were on the salty side but decent. You could choose one to eat and take one pasta home in pre packed boxes. The tiramisu was the definite star of the night though. It was double the size you'd normally expect and was delicious in all the right ways.",0.9571,0.78,0.189,0.031,0.4931318681318681
2017-08-15,4.0,"Maggiano's has good food, and you know what else?  REALLY good allergy accommodations.  I took my son here for his second restaurant visit ever.  The menu is somewhat limited if you can't have dairy, but they were very very conscientious about preparing a safe meal for him.  It was awesome.  Thank you Maggiano's!",0.9488,0.712,0.268,0.021,0.4618367346938776
2017-08-10,4.0,"Pleasant servers and overall nice ambiance.  The marinara pasta was pretty average, but the meatball had nice flavor. I'd definitely recommend the mushroom ravioli and the tiramisu cake.",0.9398,0.569,0.431,0.0,0.6952380952380953
2017-08-06,5.0,"Maggiano's was one of the best authentic Italian restaurants that I've ever been to. This location downtown was a very good experience. They have various seating options. The main dining room requires a reservation, the lobby area and patio are usually available for seating in a few mins.  Go ahead and pay for valet ($20)  because downtown parking is just downtown parking lol. The staff is very greeting and attentive. The food is even better. We got food to go with our meal for free. Also they gave my wife and I a free dessert for anniversary. The chef brought us our food and the GM came out and talked to all the guests on the patio. By far some the best service we've had.",0.9788,0.79,0.2,0.01,0.5289583333333334
2017-08-04,4.0,"I have been here many times, one of my favorite company Christmas parties was held here. I enjoy the decor of the place, it is very nostalgic, I expect Frank Sinatra to walk in at any minute. The food is very good too. The have your basic pastas that are very reasonable, tastes great, and they give you another one to take home. Then they have their specialty pastas, these are excellent, and sometimes you get a free one with the pasta of the day. The teas, and lemonades are very good, and they make some decent cocktails too. I find the gin and tonic's here, very refreshing. My favorite dish is the basic baked ziti, I love it. I hate to say that this time here, my server was not very good. He was MIA several times, we had to grab passing servers in order to get another drink, or more bread. Overall though it was a very good experience.",0.9871,0.741,0.223,0.036,0.6385547785547785
2017-08-03,5.0,"Love this place! The service is always fantastic, and the staff is always pleasant. I ordered my meal with a few exceptions and it came just like I ordered. Love the fact that they offer a ""lighter"" version. Finished off our meal with the cake bites. Fabulous!",0.9712,0.629,0.371,0.0,0.6944444444444445
2017-07-29,4.0,"Tiramisu was heavenly!! Meat ball pasta & Meat sauce was good. Tuscan shrimp & chicken wow! But, Sautéed veggies - they put cauliflower instead of broccoli yuck. And the photographer was an amateur. We clicked beautiful pics from our phone. Overall awesome food and ambience. Service done by Ali was great. She was very sweet and friendly.",0.9854,0.602,0.398,0.0,0.6895
