date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-29,4.0,Came here because of the positive Yelp reviews and was not disappointed! The restaurant looks tiny from the outside and I was afraid we would have to wait to be seated but they have an entire back room as well as a little mini patio in the back. The food was okay and definitely fill and satisfied my Mexican food cravings but the real star of the night was the margs. They have half off margs Tues and Thursday so take advantage of that! You can get them iced or frozen (like a slushie) and with or without salt on the rim. They're also HUGE which is great for sharing or even for yourself.  I would come back for a good time with those margs.,0.9892,0.746,0.254,0.0,0.4519537480063796
2017-08-08,4.0,Came here on a Tuesday for their $4 margaritas and they did not disappoint!! I did felt pressured to order a meal.... so I just ordered some quesadillas which were definitely better than something I'd make at home.  I would come back just for their margarita deal and chips and salsa.,0.7609,0.802,0.161,0.036,0.25
2017-07-13,5.0,This place is very cute. GREAT margs half off on Tuesdays and Thursday's! The food is solid as well. The front looks a bit small but they have a large back room and small patio as well. Servers are super friendly too. If your looking for a great date spot you really can't beat it!,0.979,0.623,0.377,0.0,0.4468253968253968
2017-06-24,5.0,"This was the very first place I visited for Mexican food when I moved to the city.  Didn't know anything about it, just that it was a quick walk from my place.  Years later, we still come back here for the margaritas and the (secret menu) fish tacos.  Jorge and Augustin are wonderful guys who know how to take care of you!",0.8016,0.888,0.112,0.0,0.3761904761904762
2017-06-13,1.0,"I had been at Mayan Palace before, I was so excited to come in again and enjoy their Queso Fundido again. But, nothing went right this time. It's nothing worse than being served by a rude server and also she was not knowledgeable about their menu, our lunch was ruined by her today. Food was not even ok. Queso fundido not completely melted, and flour tortillas were sort of warm. I ordered chilaquiles with green sauce, they were the worse ones I have ever had in my life. Not coming back in the future.",0.6178,0.794,0.128,0.078,0.45922619047619045
2017-06-12,2.0,"This review is strictly for the wait staff. The lady who was our waitress wouldn't let us split the bill. I can understand if we had a huge party but the bill only needed split between 3 people. While asking her if we could split the bill, she rudely walked away before we could even finish talking and went immediately to a different table and completely ignored us until we put our card out to pay. The food was excellent but our waitress was absolutely rude for no reason.",-0.8546,0.751,0.083,0.165,0.7285714285714285
2017-06-06,2.0,"I live close by and walked right in one night. The dining room was small with only around 10 table, so it wasn't busy, but I found the food very underwhelming.  The chips were very salty and the salsa was runny, so I didn't eat much of it. I'm usually the one to jump on free chips... The Queso Fundido was the MOST disappointing dish of the meal. The cheese has the taste, texture, and color of canned generic nacho cheeze sauce and didn't seem fresh at all. We couldn't even finish it.  I enjoyed the chorizo in the Chorizo Taco, but felt the corn tortilla was too soft, undercooked, and the shell broke in half. I did enjoy the tang of the Ceviche, the seafood was freshly chopped and covered in avocado (which is always good to see). The enchiladas were small, room temperature, and wrapped in the same corn tortillas as the taco, so they were flimsy and seemed undercooked. The flavors in the sauce were balanced, but overall, the dish wasn't that great. For the last dish, I had shrimp in a spicy sauce and it was too spicy to eat, so I took it home to try later, and found I could only eat a few pieces at a time.  Overall, I didn't enjoy much of my meal, so I won't be back.",0.712,0.844,0.088,0.068,0.3885176651305683
2017-06-03,2.0,"They can keep two stars for their margarita deal but otherwise there is no reason to go there. We had their queso dip and it was the worst I have ever had at a ""real"" Mexican restaurant-they basically took a jar of Tostitos queso and put it in a bowl and microwaved it and served it up. It was really gross and fake tasting. Also didn't like their chips - really thick and too hard to bite into. Also tasted like grocery store tortilla chips. Also want to comment about the service. As I said my friend and I shared margs and queso and salsa. Well at one point in the evening (when we were on our second PITCHER of margs), I politely asked for more chips for the remaining salsa we had. The waiter rudely said ""ok are you gonna order soon because I'm not just going to keep giving you chips."" I totally was not trying to freeload-our bill was already $40 at that point! Made me feel super uncomfortable.",-0.8947,0.727,0.112,0.161,0.541025641025641
2017-05-14,5.0,"One of the best Mexican restaurants in a city full of great Mexican eateries. The food quality is consistently great (no surprise bad meals because of a different chef on duty), and the portions are gut-busting good.     What's brought me back to this place though, is the service. They're attentive without being bothersome, and will inquire about seconds without being pushy. After just one visit, we were regulars. They may not remember your name, but they'll remember you the next time you visit. We'll continue to come back again and again when we've got a hankering for Mexican food, or a food coma.",0.8333,0.848,0.131,0.021,0.34111111111111114
2017-04-19,3.0,We ended up coming here for dinner after a long day of moving. We ordered a burrito and the chicken fajitas. The food was ok and the service was very attentive however I don't think I will be back. Good Mexican food seems to be hard to find in Chicago. My quest for a good sit down Mexican restaurant continues.,0.765,0.844,0.132,0.023,0.4436868686868687
2017-04-16,5.0,"This place has the best steak tacos and great deals on margaritas! My favorite tacos in the area! Also, the queso dip is a great appetizer with endless chips!  The service is great and they are very kind! There is also a party room where you can make reservations!",0.9819,0.596,0.404,0.0,0.7571428571428571
2017-04-11,5.0,Mayan Palace is my go to spot for solid food and strong drinks.  The other day I last minute changed a reservation from 20 people to 30 on a Saturday. Not only were they accommodating but our service was quick and everything handled well. The servers are super funny and make a boozy bday fun. Plus they have a front area that is quiet and back area where all the loud groups are. Definitely recommend.,0.9789,0.7,0.3,0.0,0.48269230769230764
2017-03-31,5.0,"Visited couple of times. Service is excellent, food is amazing. One of best Mexican restaurants ever.",0.9136,0.526,0.474,0.0,0.5499999999999999
2017-03-17,4.0,Pretty good margaritas and good selection of vegetarian options. Food comes out super quick. Staff is also really really friendly. Small space so it fills up quick at dinner time.,0.9491,0.6,0.4,0.0,0.5958333333333333
2017-03-12,5.0,"I've been going here every year for my birthday for the last seven years. The food is so good, the service so personable, and the margaritas so deep that each member of my family has started to join in on the tradition! Truly, marvelous salsa, spectacular fajitas, and solid ambiance. One of my favorite restaurants in the city.",0.9488,0.747,0.253,0.0,0.5809523809523809
2017-02-14,2.0,"Disappointing experience on the infamous 1/2 price margarita night. My fiancée asked a waiter if the 'skinny' margaritas were part of the 1/2 price deal. We were told unequivocally 'yes, all margaritas are 1/2 price.' The bill came and it was $33 for 3 skinny margaritas. Our waiter (a different waiter - they seem to rotate them around) said they were not 1/2 price. I told him we were told by the other waiter (now nowhere around, conveniently) they were. He said to me ""You come here often, right?"" I thought he was going to say he'd take off one of the three margaritas, which I think would have been a fair make good for the misunderstanding especially for a lung time patron which they knew I was.  Instead, he said ""you should know which margaritas are 1/2 price."" Seriously? For saying that, let's just say he chipped in on the difference with his tip.  This place has decent food and you can't beat the margarita special nights as long as you don't order the wrong kind.  But they need to learn a thing or two about treating their long time customers!",0.7786,0.887,0.074,0.039,0.6810317460317461
