date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,1.0,"I used to love this place.  My boyfriend and I went recently, and I paid $1 extra for sweet potato tots, and literally got 10 tots.  They didn't even cover the plate.  We'll never be back.",0.802,0.812,0.188,0.0,0.32
2017-08-20,4.0,"My co-workers and I came to Wild Goose Bar and Grill for lunch. The restaurant was really quiet and we had a very attentive waiter. He came by frequently to check on how we liked the food and provide additional condiments and replenished our drinks. I ordered the buffalo chicken breakfast sandwich. The sandwich has a fried egg, bacon,  and spicy chicken. It comes with your choice of a side. They have wild fries which are fries covered in nacho cheese, secret spice sauce, and ranch dressing. I decided to pass on that and stick with the old fashion type. Wild fries sounded like a whole meal on its own. I'll try that next time I come.",0.6486,0.953,0.047,0.0,0.5595238095238096
2017-07-29,5.0,Love the food and service. Good class of people and bartenders always nice. Very clean bar as well as bathroom. Also has a place outside in back where you can hang out,0.9324,0.634,0.366,0.0,0.5266666666666667
2017-07-26,3.0,"I came here for trivia tonight with a crew of my friends.  I hd never been here before and got there before the rest of my group.  The bartender was really nice and talked me through the beers and specials like the lost deer that I was.  This bar actually has an extensive draft list and more bottled and canned stuff.  However, then I decided to sit down at a table and wait for my group.  It's a bar, there was no host doing seating, and it's a bar.  So I grabbed the closest table.  Our waitress immediately asked if I had closed my tab at the bar and if not, I needed to close it and re-open with her. I tried explaining to her that I was waiting for a group, to which she responded by saying that I could sit at the bar while I was waiting... I don't want to sit at the bar... I have a group coming... things got awkward.  For at least 20 minutes towards the end of trivia I wanted to order more beer, but I saw her standing off to the side, on her phone.  I didn't want to go to the bar and order a beer and risk getting yelled at for ordering from not her.  It's too bad that she was such a frustrating part of the experience because the rest of the bar seemed great. I would probably not go there again unless something really fun was happening there.",0.2828,0.86,0.066,0.074,0.5170634920634921
2017-07-06,5.0,"I don't know the little Latino girl's name but she was doing a great job keeping everyone hydrated, drunk or fed all by her lonesome all while answering phone calls asking about chicken wings! I think I heard someone call her Melo?",0.1511,0.74,0.119,0.14,0.8
2017-05-21,5.0,"The amazing wrap, salad we had here was unforgettable. Price was very affordable. Beer was so fresh such thay I could smell the hop.",0.7777,0.756,0.244,0.0,0.6399999999999999
2017-05-16,2.0,"Went last night and just about everything was off. Their website said 25¢ wings and we were charged 50¢. The service was terrible! It was very busy so we understood that the waitress had a lot to do, but she got our order wrong, never apologize for it, ignored us for the greater majority of the meal, and took 20 minutes to get us our bill (which was wrong). The food and drinks was decent but not worth dealing with awful service.",-0.9191,0.772,0.034,0.193,0.6137037037037036
2017-04-24,2.0,"A place is as good as its bathrooms.  Awful restroom..awful. Everytime I walk into this place I'm so confused because I'm greeted by no one. No take your own seat sign, so we're always just standing their awkwardly. Always seems to be short on waitresses. But hell, what do they care about yelp reviews..they get good business. My summary: For the good neighborhood it's in, they are not up to par. They are THE BEST OF A BAD SITUATION.",-0.38,0.609,0.183,0.208,0.6766666666666665
2017-04-24,3.0,"Have had this place on my wing radar for a while, and finally having car access for a day I made the trip to try them out. Luckily it was Monday so there was the famous 25-cent wings deal, and got two orders, Hot and Chipotle BBQ. This place has won a few awards for their wings and after having a taste of them, honestly I'm having a hard time thinking why. Not to say that they were bad by any sense, but the two flavors I tried were largely pretty average. Texturally they were crispy, made in the variety of frying the skin without a coating and then saucing afterwards. I have nothing against this style but some of the smaller wings suffered from this as it made them more susceptible to becoming dry during the frying process. As for the sauces, they were pretty indistinguishable from any other hot or bbq sauce at any corner bar. While I didn't try their other options, these two seemed to be some of the most popular, and I wasn't particularly impressed. 25 cent wing Mondays seems like a dream, but remember you have to get a drink with each order of 10 which largely balances out the value. I came for lunch and having to drive afterwards decided to just stick to getting a soft drink, thinking that it would be $2, $2.50 max. Bill comes and each Coke ended up being $3.50, so just be wary that even on Mondays you'll end up minimum $6 per order of wings(or probably closer to $8-9 if you choose to get a beer like most do). Still, at the end of the day I got 2 sodas and 20 wings for $12 on Monday, so if I need a wing fix and I'm in the area during the start of each week, I'd come back. But if there were a wait, or it was a trek, I probably wouldn't feel the need to go out of my way.",0.9635,0.872,0.095,0.033,0.6430860805860805
2017-04-23,1.0,"I've been here a few times before, but tonight was definitely my last. My friend and I arrived around 5:00pm, it wasn't that busy so we took a seat and waited for the waitress to greet us. We sat there for what felt like over 20 minutes before we were even noticed. We ordered and waited for what felt like forever before we got the food. The waitress never checked on us in between to see if we needed anything. Overall bad service, and in between ordering and paying, we weren't sure if we'd ever get out of there.",0.8781,0.784,0.152,0.063,0.337037037037037
