date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-04,4.0,"Cute restaurant. Good customer service. A group of four of us did brunch around 11am on Labor Day and were seated and served in a very reasonable amount of time. If you are looking to indulge, and have no food sensitivities or allergies, Orange is a great place for breakfast or brunch. While I was happy to be able to make substitutions as needed for my own dietary restrictions, it did not seem quite worth the price for my food. I got an omelette (Omelet Five minus the cheese and sour cream) with grilled onions, spinach, and locally-made sausage, and a side of fruit. Tasty, but maybe not worth $13.00. Also, bottomless coffee is $3.50, and very average tasting. It seems like the restaurant is more famous for their french toasts and unique pancake flavors. My roommate absolutely loved his order of Thai-Tea French Toast -- four giant pieces of ricotta-stuffed toast in a sweet, creamy sauce. Unfortunately, those are dishes I cannot have.  And so, that being said, I would not recommend this for people looking to make a lot of allergy-related substitutions. The staff is certainly able to accommodate, but it just doesn't quite feel like you get the bang for your buck if you do.",0.959,0.824,0.126,0.05,0.6022727272727273
2017-09-01,5.0,"One of my Chicago faves! Food: You're going to love whatever you order on the breakfast menu, and I've had it all. I especially recommend the chorizo hash...if you love chorizo, theirs is phenomenal! And if you're in that boat, you're going to be between the chihuahua omelet and the hash, but go with the hash...the omelet is fun but doesn't pack the robust flavor that the hash does. The green eggs and ham are great, as are their other omelets...there's a pretty good value when you go with one of their signature omelets (omelet five is my favorite, comes with chicken apple sausage and a nutty sour cream on top) instead of building your own. The breakfast burrito is killer and you can sub regular chorizo in for the vegetarian stuff if you'd like. Also, their peppercorn raspberry breakfast sandwich is incredible!  They do super creative and delicious pancake flights that rotate weekly (this week was ""smoothie-themed"" pancakes, including a wildberry, banana chocolate, almond plum, and pineapple mango). Full disclosure, one weekend I ordered a burger that sounded delicious, but came out very well done and it was the only time I didn't enjoy my meal...not enough to knock any stars off, but also means I can't vouch for the lunch menu items. All that aside, what keeps me coming back are the plain old pancakes. I don't know how you all make them, but they are to die for...perfectly spongy without being dense, and just sweet enough so you don't need a ton of syrup. Beverages: Good regular coffee as well as ""orange"" coffee, which is orange-flavored...give it a shot. There's a super fancy juice bar and frushi (fruit sushi) selection, but I haven't dabbled with that to keep the cost of my bill down. Staff: Awesome, they keep coffee and water refilled even when they're busy, and are accommodating and friendly. Atmosphere: It can get crowded, but they have some cool artwork on the walls that's available for purchase and very fun to look at. There are a few tables outside for when the weather is nice. Overall: This is just such a cute place with great, humanely sourced food. Instantly sold since day 1 several years ago, and glad to be closer to frequent more often. When you go, order whatever from the breakfast menu and then the weekly flight of pancakes!",0.9985,0.732,0.231,0.036,0.5525448660354322
2017-08-30,5.0,"After having regularly eaten here, I can say it has been the best option for me and my son. My son has Celiac and they serve great gluten free pancakes. The service is great with a pleasant atmosphere for a great morning breakfast. All the servers are friendly, but my hat is off to Joseph who always goes out of his way to make things just right!",0.9318,0.771,0.229,0.0,0.6032560032560033
2017-08-13,5.0,Ate here during Roscoe fest and the service was amazing. We got in close to closing time and Ariana was our server we never felt rushed!,0.6239,0.859,0.141,0.0,0.9
2017-07-23,5.0,"The food looked delicious and although it looked like it came in small portions, the meal was very filling. The artwork in the restaurant was representing amateur artwork and it was beautiful. The service was great as well!",0.9485,0.665,0.335,0.0,0.6166666666666667
2017-07-15,5.0,"After a misunderstanding about an order, we opted to stay and I'm so glad we did. Attentive management not pushing the servers under the bus, excellent overall service, and while the meringue pancakes tempted us in we chose the Mexican Benedict and veggie sausage. Nothing short of fabulous. Do try the fresh juice - it's well worth it, and places that offer bottomless coffee are in short supply. We left with no quibbles about quality, service, or atmosphere, and happily stuffed.",0.942,0.73,0.218,0.052,0.5083333333333332
2017-06-25,5.0,"What an amazing little joint in Roscoe Village! We came here right when they opened, and were able to find parking right in front. Upon entering, we were allowed to pick where we wanted to sit since we were like the 2nd group of people to show up. The place is quaint, and the walls are covered with artwork that you can purchase.  Our server was super sweet, pleasant, and attentive. And the food, amazing!! My coworkers and I chose this place mostly based on the pictures of food we saw on instagram and on yelp, and boy it did not disappoint! I got the tijuana eggs benedict with an additional avocado, and they were phenomenal. My friend got the caprese eggs benedict, and I had a bite of the pesto hollandaise sauce, and it was simply pure pesto. We both loved it. The house potatoes that were served with the dishes we extremely tasty and quite rich, too. We also ordered the pride pancake flight, and it was a delicious and eclectic order of four different pancakes. It was not just visually appealing but very appetizing as well.  We all were extremely impressed with this place, from the service and the quality of the food. I'll definitely be back here, and would absolutely recommend this place to others.",0.989,0.825,0.175,0.0,0.6670734126984127
2017-06-23,1.0,"terrible service !! waiter had no patience with us and was very rude, never coming back . very skimpy on the portions for the price they're sold at",-0.8472,0.723,0.0,0.277,0.52
2017-06-21,4.0,"The food was OUTSTANDING!  the service was lacking.  The server seemed frazzled and we felt like we were putting him out when simply asking for another condiment. Maybe because some of the other establishments I have been to recently have been so amazing in customer service, I was hoping for more.  Definitely not the same feel I have gotten from other shops and restaurants in roscoe village.  I would give it another shot because the food was pretty good and the fresh OJ.  Everyone has an off day and that is what I'm hoping is the case here.",0.9824,0.743,0.257,0.0,0.5297619047619048
2017-06-20,4.0,"delicious gluten free pancakes, juices and house potatoes. Friendly and helpful​ staff make the place enjoyable to be there. I lool forward to coming here again.",0.9201,0.616,0.384,0.0,0.725
