date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-16,4.0,"Grabbed a quick snack here.  Crab cakes are tasty.  Ambience is ok, very clean.  Staff is friendly.",0.8122,0.608,0.392,0.0,0.6025
2017-06-19,3.0,"My husband and I had dinner at The Grill last night, and have to say that we weren't too pleased. Since we arrived early around 5PM, the dining area was still practically empty. We ordered the calamari to start (tasted great, no complaints), and ordered dinner shortly after (this is when things went downhill). I ordered the lamb chops, and my husband ordered the steak salad. Our dinner took much longer than expected to arrive (we noticed multiple people arriving after us who were already paying their bills). We didn't mention anything, but our waitress also noticed the delay and was very proactive about it. When she went back to the kitchen, they informed her that they had gotten my husband's order wrong and had to redo it. Our waitress was extremely sweet and offered us a free dessert to make up for the delay. I really didn't mind the wait; the real disappointment occurred after the food arrived. My lamb chops had been burnt to a crisp. After I scraped away all of the char, there wasn't much left to eat. I really was hoping that the meal would've been worth the wait, but that wasn't the case. In the end, I left feeling hungry and disappointed.  No complaints about the service (our waitress was amazing), but I can't say the same about the chef. As this is a high-end restaurant with good reviews, I'm assuming we just ran into some bad luck with the chef, who may have been having an off-night. The free dessert was a delicious plus though!",0.8746,0.751,0.136,0.113,0.4473214285714286
2017-05-14,5.0,My wife and I were in town to see the play Hamilton. Decided to give it a shot on a friend's recommendation. I ordered the double cut lamb chop medium rare and my wife ordered the filet medium well. When they came out mine was medium well and hers medium rare. By now you're probably wondering why I gave them five stars. When we told them there was a mixup they did everything but backflips to make us happy. They brought us new entrées which were both absolutely perfect. I will definitely be back next time I'm in Chicago. Pricey...... Yes. Worth every penny...... Absolutely.,0.974,0.769,0.218,0.013,0.5254545454545454
2017-05-08,5.0,"The Grill on the Alley is a very nice and very pricey. Don't be fooled by the outside exterior because we were! From the look on the outside your thinking that this will be just another downtown watering hole...Nope! It is a very fancy high end steak house, (some may argue that it is not just a steak house). The food is very good and the portions are very filling. You may have take home if your into that. We ordered the NewYork Steak, the Braised Short Ribs and a side of Loaded Mac & Cheese. Both meals were very tasty.  The restaurant is very spacious and has a very open feel to it. The Bar area is also very lively. You will not feel like you are right next to other guests. The service is above average and the servers are not overbearing. I would recommend if you are not making a reservation before arriving that you dine during the week for dinner. It seems as if it could get crowded after 6  pm on the weekend. On a Wednesday night there was a bit of a crowd. Also, I would recommend that you come dressed to impress. Most of the men were dressed in suits and the women are dressed to impress as well.  bon appétit!",0.9137,0.869,0.092,0.039,0.39109022556390977
2017-03-19,5.0,"The Grill's drinks and food are spot on. That probably a good reason so many professional sports teams stay here.  Brick Chicken, Pizza ,Steak,Spinach and Artichoke dip are great gotos!!",0.8217,0.781,0.219,0.0,0.5800000000000001
2017-03-17,3.0,"Inside/connected to the Westin hotel, we found this restaurant to be very convenient after a long day of traveling.  Food is a little pricey, but thank God for a bar menu (that you can have either in the restaurant or the bar area).  My daughter and I had the fish taco, which were good. The rest of the family had the crab cakes bits/sandwiches was told that it was good as well. We also had 1 small order of wings that I really enjoy (very crispy), had a really nice flavor--Dinner was over $200 for 4 people (including 2 drinks, no dessert) again pricey and we had breakfast the next morning, 2 omelets and 2 eggs benedict and this came to over $100 which is outrageous, so for that reason, I'm giving 3 stars.",0.9684,0.764,0.19,0.046,0.509090909090909
2017-03-12,4.0,"We arrived in Chicago this evening, and after a very long day we decided to just have a nice meal at The Grill which is located in the lobby of the Westin. Our server was exceptional and took great care of us. We started with the sashimi tuna as an appetizer and it was a nice start. I thought it was unusual that the tuna steak was seared on the edges, but it was still very good. They should really reduce the amount of ginger on the plate and double the delicious cucumber ribbons that came with the appetizer. They were refreshing and a great addition to the tuna. We then decided to split a bowl of lobster bisque which still left us with large individual portions. It was very good- probably the best we have had in awhile. My husband had the 14oz filet and it was nice. It could have used some butter or some type of sauce, but overall was well executed. For my main dish I had the lobster salad. The portion was perfect. The salad was loaded with lobster, tomatoes, cheese, walnuts and other goodies. The salad dressing lacked flavor. I think a vinaigrette would have been a better choice. My husband had the frangelico cappuccino which he really enjoyed. I do appreciate our server when it came to my wine selection. I initially had the corvo pinot grigio which was ok. I decided to try a glass of the match book chard next, and I didn't really like it. Our server asked if I did, and I mentioned that it wasn't my favorite but would finish the glass since I ordered it. He was nice enough to insist to swap it out for the pinot I was drinking previously. It was very nice! It was great service.",0.997,0.766,0.216,0.018,0.586281512605042
2017-02-21,4.0,"This restaurant at the Westin Hotel has a very stately appearance. We were greeted and seated in a beautiful dining room of dark woods and artwork covered walls. We began our meal with lobster bisque and steak tartar. Both were excellent! The bread that accompanied the meal was a very nicely crusted sour dough.  I ordered the filet of Dover sole. It was a generous portion pan fried in brown butter and seasoned perfectly. My dining partner ordered the crab cakes. They served two croquettes of nicely seasoned crab. A very nice sauce accompanied the dish. We also ordered skin-on mashed potatoes. They were hearty and well seasoned. The second side dish we ordered were the brussel sprouts. The brussel sprouts included carrots, pecans, celery and turnips. Way too much going on in this dish. We finished the meal with an excellent key lime pie and a six grape port.",0.9858,0.802,0.198,0.0,0.5625
2017-01-29,5.0,"I work across the street and  been here numerous times and the food has always been yummy. The waiter, Steve, however, is a standout wonderful person and fantastic at his job. Complete sweetheart and very kind, courteous, and funny. Whenever I go in, I always hope he's there and that I get him as my server.",0.9819,0.605,0.395,0.0,0.8285714285714285
2017-01-29,3.0,We had bigger ambitions to have lunch outside the hotel as we were in town for a friends wedding.  However timing and convenience won out.  We sat at the bar at The Grill for lunch.  We ordered the spinach artichoke app which was good but took a REALLY long time so defeated the purpose.  I ordered the filet quesadilla which I expected to be very good considering we were in a steak house....the steak was def not filet and had very little flavor.  My husband had the California turkey sandwich- I can never understand why sandwiches are built so they you can't get your mouth around them?!?,0.5212,0.855,0.097,0.049,0.48285714285714293
