date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-19,4.0,"A friend lives in the area and suggested this place for some late-night Mexican food. The inside is interesting, its kind of narrow and long, there's quite a few tables, and they even had a karaoke/DJ music going while we were there. Decorated nicely with murals and a taqueria type theme, there were several other people there at about midnight on a Friday. The free chips, bottled salsa as well as pickled vegetables were very good. I really like how they put the whole container of them on the table. Chips were warm, crispy and didn't taste like they were out of a bag. I had 4 tacos, but went out on a whim and ordered 3 meats I've never had before, plus a chili relleno. I had lengua, cecina, and suadero. They were all very good but unfortunately I was unable to confirm which taco was Cecina and suadero. I liked the darker of the two and it reminded me of barbacoa.  All the tacos except the chili relleno were under $2 each, which I would consider cheap. The meat seemed to be of decent quality and each was pretty flavorful.  Great option for cheap, late night, authentic Mexican food.",0.9811,0.816,0.168,0.017,0.5654487179487179
2017-08-05,1.0,"This place used to be My favorite Mexican joint  but  now it sucks. Back in the day they used to hook it up and serve you well, but now they skimp you on tortilla chips and napkins. It sucks. Not trying to bash but it really does. I came in here with my SO for breakfast before lollapalooza but was completely unsatisfied with the service provided (the food was great) For example, we placed our order (as normal) but were told that their square scanner wasnt working after our order was placed in (20 min ago).  THERE IS NO SIGN IN FRONT OF THE RESTAURANT that says there is is no cards accepted and the waiter made me go across the street to the pharmacy store to takeout cash in order to pay my breakfast. That was the last straw. The food was good but the service freaking sucked!!!!! Please take out for your sake. I'm so disappointed in this review because I've been so loyal to this restaurant but it's not what it was. It sucks now. I'm sorry",-0.9355,0.753,0.09,0.156,0.4766666666666667
2017-07-20,4.0,Stumbled on this place late Friday night around 130am but was pleasantly surprised. The food is good and cheap. Free chips and salsa. Entertaining karaoke late into the night with a diverse crowd. The music is VERY loud. There was an older abuelita and her family here having a blast. She had more energy than I did and was fun to watch the singing and dancing while enjoying our food. My favorites were the lengua and tripitas. Tacos had good fillings and the burritos are huge.,0.9919,0.636,0.364,0.0,0.6452380952380953
2017-07-11,3.0,"Very unimpressed with the tacos, but that was all I had, might give it a second shot and try a burrito or combo meal. Service was great and quick, food by itself gets 2-Stars",0.7007,0.795,0.155,0.051,0.3875
2017-06-11,3.0,The food was authentic and flavorful. The tacos pastor met every expectation and the chili rellenos were acceptable. The service was the only thing keeping this review from being an easy 4 star review. We were a larger party on a slow Sunday and any hopes of paying separately were void.,0.8658,0.804,0.196,0.0,0.6966666666666667
2017-06-04,5.0,"Mhorchata please! XOs for VELOZ, I've been eating here for many years, I'm vegetarian and I have no problem ordering delicious, non-boring food here. The veggie taco, burrito, torta, enchiladas are all delicious and the portions are extremely generous. Fairest prices in all the land, if you're not having drinks you could easily have a delicious meal for $10 per person. Decor is thoughtful, with landscape murals and a changing array of lighting and the vibe is fun. Karaoke nights include some amazing local talent and all are welcome, bring your kids, bring your parents, dance if the spirit moves you! (Dress nicely, the crowd in this place looks good.) Good selection of booze and non-alcoholic beverages. Leave your smoothie behind, the ORCHATA here is the best, it will keep you going strong all summer long. (Dear new people in the neighborhood, let's protect this place from the suburban-esque influx, support these guys if you want to keep the neighborhood fun.)",0.9939,0.683,0.287,0.031,0.641060606060606
2017-05-08,1.0,First visit was on a Sunday night. The tacos were very plain tasting. I had the taco dinner. Steak. The rice and beans seemed to have been reheated but not fully. I tried this place because the prices are lower than most. I added the hot sauce to the tacos but it was lacking in flavor as well. I will not be returning.,-0.0387,0.911,0.043,0.046,0.536904761904762
2017-04-28,4.0,"the tacos are amazing and they are under $2, really liked the tripe one and the one with the stomach. the carne su jugo is very nice too, really enjoyed the soup and the hearty portion the decor is colorful and lovely very good price for the generous amount of food",0.9747,0.648,0.352,0.0,0.7614285714285716
2017-04-18,1.0,"I have to start off by saying, as a business owner Im not really a fan of writing bad reviews. This place however is the exception. So, My husband and I were searching for a good taco joint near my studio. We stumbled upon this place and although it was crowded and loud ( we were there on ( kareoke  night) we initially thought we found a decent place. Service was ok. We waited for a while to be given menus and get our order taken. The waitress was juggling about 6 tables full of drunken kareoke goers. I chocked it up to a crazy busy night. We still enjoyed what we had ordered. First visit was good enough that I even referred a few of my clients to the ""restaurant.""  Tonight was a HORRIBLE  experience. My husband decided that we should return with a friend of ours since the food was good the first time. I have NEVER in my 37 years of life have EVER, EVERRRRR been discriminated against by my own race.We waited 30 minutes for the waitress to come take our order. There was a couple who came in right after us. They received their menus with water and chips. They were given a few minutes (like 5 minutes) to place their order. They even got their food BEFORE us. When they got their food, we had to flag down the waitress to place our order. We finally got our food and she never came to check on us to see if we needed anything. My husband had to flag her down to ask for limes. We finished our food. (It was ok) My friend asked for the check and the waitress told him he had to get up and pay at the counter. Immediately after, the white gentleman sitting behind us had also ordered a taco in the time we were waiting for our food, finished it and asked for the check. She graciously went got the check, took his car and charged him for his tab. I initally thought that maybe I was imagining things, but after my friend got up to pay we walked out and I shared with my husband and him what I thought had just happened. I decided to walk back in and ask for the person in charge. The waitress who served us got the other woman who served us the first time. I explained to how we were being serviced and asked if our money was good enough to pay for the food. The waitress who was serving us said that the reason she told my friend to pay for the check up front was because it was busy. There was only 4 tables occupied at the time. It was not busy at all. I also noticed there was a white bucket of green and red salsa that were uncovered sitting at a booth the entire time we were there. I didnt think much at first because I thought that maybe they were filling the jars with salsa. I pointed it out to her and asked her what she thought would happen if the board of health walked in at that very moment. She responded with "" Theyd probably shut us down.""    If you are not hispanic you'll be served quickly and efficiently. If there is anyone who has been seated before you and theyre hispanic they will have theyre order taken after you and get to eat last.. (Im really not trying to be racist. Im just merely explaining my experience.) If you're hispanic, or look hispanic be prepared to have to wait to be attended to. You will not be seated, you will be given chips and salsa with no water or anything to drink. You will be given menus to look at for a minimum of 30 minutes. Then you will have to wait for your food to be served yup you guessed it, AFTER all the nonhispanic customers are taken care of. Oh and if you ask for the check, be prepared to get your butt up to pay at the counter. But if you don't look hispanic, youll be waited on hand and foot. You'll get your food to you in a jiffy. Youll even get checked on and asked if you need anything else.",0.9783,0.899,0.066,0.034,0.4401215805471125
2017-04-15,2.0,"I can't believe you people gave this place a four star rating.  For one, the service was terrible.  I clearly said I wanted a Pozole (available only on weekends but since today is Saturday I thought what the heck)... and enchiladas.  The enchiladas come (cold) and no pozole.  The server really didn't come by the table after that at all.  Not going back to this place, the food is better at Uncle Julio's, I'm afraid to say.",0.2144,0.864,0.074,0.063,0.5981481481481482
2017-04-12,5.0,This is the best Mexican place in Chicago! I love the Carne Asada the most but no dish disappoints. Staff is super friendly and decor is quirky!,0.8695,0.476,0.367,0.157,0.5095238095238095
2017-04-07,1.0,Too bad negative stars is not an option . Came here with friends one of whom went next door to the pizza place and brought in a slice a pizza. We were treated so disrespectfully simply because my friend brought a pizza slice from next door. My friend and I were paying customers and eating in the restaurant. To top if off tried joking with the waitresses about it and they acted even worse . Customer service and the attitude of the serving staff Horrible !!! The food not even worth the awkwardness!!! Never again will set foot here !!!!,-0.7298,0.725,0.115,0.16,0.40264550264550264
2017-02-20,1.0,"Came in here 2 nights ago for take out & had a pretty terrible experience. As soon as I entered through the front door, one of the cooks slams his spatula on the flat top grill yelling ""no more orders! I'm tired!"". Well, that was pretty odd considering the restaurant wasn't even very busy and it was only around 7:00pm. I then proceeded to put my order in with one of the waitresses, who was very polite. I ordered a flauta dinner, an avocado tostada, and veggie burrito. As soon as the ticket made its way to the kitchen, the same cook yells ""pinchis flautas!"" (which means f***ing flautas) directed towards me as I was sitting on the bench waiting for the order. He then proceeds to slam refrigerator doors, stomping around pissed off that he had to continue working & making the order. I've been to this restaurant a number of times and have never been made to feel bad for ordering their food. It's such a shame that I have to write a negative review because of one cook and the whole restaurant has to suffer. Chances are I won't ever go back to this place because of the incident. I don't think anyone should have to go through such hostility for ordering food at any restaurant. No one working in the restaurant was standing up to him and was just going on with their evening, laughing at whatever he was saying. I was about to get up, leave and demand my money back but I had just gotten in from a flight, was tired and just wanted to get my food and get the hell out of there.",-0.9723,0.835,0.041,0.124,0.5028333333333334
2017-02-20,5.0,"this place seriously rocks.  the decor, the staff, the prices, and of course...the food. mmmm....juicy beef.  soft, tender, tasty & hot. me likey.  lengua taco.  carne su jugo.  probably the best i've ever had.  menudo.  and everything else. get it.",0.5423,0.862,0.098,0.04,0.5416666666666666
2017-02-15,5.0,This place is great and has THE. BEST. Veggie burritos. Always a nice experience here. Affordable and hearty.,0.9158,0.542,0.458,0.0,0.6833333333333332
2017-01-31,3.0,"I like the decoration of the place and the jukebox nice detail. The food is average a little burned and it looks ingredients are not fresh.  Nice variety in the menu, i giess is quantity over quality. The place could be cleaner (come on is food ,) ). Friendly staff.  The tamarind fresh water was more sugar+water than tamarind.... again quality.",0.6052,0.756,0.151,0.093,0.6125
2017-01-28,5.0,Love this place. The cheese enchiladas are amazing. Tons of great vegetarian options,0.9201,0.452,0.548,0.0,0.75
2017-01-09,5.0,What can I say.  The food is delicious and very tasty.  Service is excellent.   Tacos were exceptional.   Definitely coming back here again.  The cowboy store next door is also worth a visit before or after.,0.9001,0.707,0.293,0.0,0.4875
2016-12-07,3.0,"Only reason I come here are for Taco Tuesday deals. $1 for flank steak, chicken, chorizo, pancita, and ground beef tacos (each of course) is a pretty great deal.  Be careful though, when you order bulk tacos (10+), they tend to miscount. I've been deprived of at least 3-4 tacos in the past 3 months.",0.7003,0.8,0.148,0.052,0.7642857142857143
2016-12-05,5.0,"This is my go-to neighborhood taco place, which is saying something because we have four! The picked veggies they serve with their tacos are amazing. But the best thing they have on the menu is their chili relleno taco, it's huge.",0.8908,0.782,0.218,0.0,0.7000000000000001
2016-12-03,5.0,"Went late night while walking the dog, got 4 tacos and a gordita, all of which were INCREDIBLE!!! Very friendly staff, good service, great price, amazing out of this world food! What more do you need?",0.9495,0.656,0.344,0.0,0.7000000000000001
2016-11-09,5.0,"My go-to Mexican place. Has been for almost 8 years. The food is authentic, the prices are more than fair, the service is fast and friendly. There are half a dozen Mexican places near here but this beats them all. Family-friendly good for groups or solo.",0.7743,0.841,0.159,0.0,0.4416666666666666
2016-11-04,5.0,"great chicken burritos, very nice service and atmosphere. the chips and salsa was good too.",0.8777,0.543,0.457,0.0,0.8250000000000001
2016-10-15,2.0,"There is absolutely no way this is a four star gem.  We came here because I was starving and my favorite place, de pasada was closed today. What a big mistake. I'd rather stay hungry. I got three vegetarian tacos. It was about $6. Chipotle would been a better choice and would have been more 'authentic'. Let me say there wasn't any flavor even drenched in sauces. The avocado seemed to have no taste. The beans seemed to be reheated worth no flavor. Actively the only flavor came from lettuce.  My wife ordered Barbados tacos and had to stop half way through as she came across bone pieces twice! People must be either drunk when coming here or longing the karoke or both, because there is no way a sober person coming in middle of the day would step in this place, let alone ever come back.",-0.8769,0.792,0.063,0.145,0.46111111111111114
2016-09-17,1.0,The food is good when you are already drunk and nothing else is open. But when you are not boy is it greasy. And most of the meat are pre made that's why it comes out fast.,0.128,0.868,0.072,0.06,0.64
2016-08-07,2.0,"We came late Saturday night where there is super loud karaoke goin down. I was like 'interesting' let's try it.  My maragarita was not too bad. The guac a bit tasteless, so I had to add my own lime and salt to give it some flavor. The tacos were also ok. Loved the al pastor.  Now our waitress was a lil salty with us. We had ordered a flan TO GO and when she brought us the flan on a plate, we had politely asked her that we wanted it to go. She rolled her eyes and looked at the other waitress and threw the bag back on our table. My bad girl. If you would have listened before, it wouldn't have been an issue. Maybe the karaoke was too loud :p",0.9595,0.855,0.145,0.0,0.6375925925925926
2016-07-19,2.0,"I like to try one item from many restaurants for me to decide on a "" to go spot"", unfortunately for this place the carne en su jugo did not meet my standards .  It wasn't flavorful , I would compare it to boiling water with salt and beans . The meat if any in the stew was chewy and not soft . There are way more places that offer this item for much less and more more . It didn't take me back to grandmas home cooking .",0.0258,0.94,0.031,0.029,0.42708333333333337
2016-05-29,5.0,I popped in for breakfast and I was greeted with some of the best Mexican food I've had since I traveled to Mexico. I had the dried beef gordita and the eggs Mexican style. The service was also top notch. Would absolutely go back.,0.7964,0.82,0.18,0.0,0.2333333333333333
2016-05-22,5.0,Hands down the best burrito I've had in the city of Chicago.  The Pacifico was cold and atmosphere perfect!,0.8478,0.675,0.325,0.0,0.6472222222222223
2016-05-19,4.0,"I love Mexican food so you already know I'm on the lookout for some authentic places in Chicago. Right off the bat, the service is super fast. My food came out within five minutes or less right after giving the waitress my order. I ordered three lengua tacos and a steak burrito. I liked the chips they give you because they weren't salty and tasted homemade. Taste: The lengua was really tender and juicy so those were pretty bomb. The steak on my burrito were also very tender and juicy. The only con would be that I felt that there was too much cheese in it and that caused the taste to be a bit overpowered at times.  Price: Relatively cheap at $1.80 per taco and $5.15 for the burrito. Will I be back? Probably. Cheers.",0.9468,0.843,0.135,0.022,0.49717261904761906
2016-05-13,5.0,"Their aguachata is super good.  And you could get hot chocolate when it's cold for like two.  Sometimes they add cherries.  And I always come here with my dad, my mom, my grandpa, and I have some friends. You could get a load of cherries.  When you finish you get them for free, if you ask when you're finished.",0.9403,0.765,0.235,0.0,0.7833333333333334
2016-03-10,2.0,"I will start with something positive, which was that their michelada was delightful. I will say, though, that the reviews of this place are very high given the meal we had last night. Let's just say everything tasted and looked less than ""made fresh daily"". The beans weren't totally reheated and had those dry crusties on the side, and the rice had seen fluffier days. The cecina was tasty, but drenched in oil. Our meals certainly weren't inedible, nor did either of us suffer any digestive issues as a result, but I have no need to go back for another try, which leaves me right where I started: still looking for a ""go to"" Mexican joint.",-0.3883,0.871,0.066,0.063,0.4106100566100566
2016-01-31,1.0,It should be called taco veloz which stands for fast tacos. Every time I go it takes about 15 to 20 minutes to get my food which is longer than most places. Food isn't all that great either!,-0.5553,0.909,0.0,0.091,0.6166666666666667
2016-01-15,4.0,"A rock solid taqueria. It's been around for years, as evidenced by the ""cozy"" interior. I personally prefer eating my food here as opposed to taking it to go, because you get complimentary chips with their delicious salsas and pickled vegetables. The prices are dirt cheap, the portions are large, and the food is tasty. Not necessarily my first choice for Mexican, but a good changeup when I want to go in a different direction. I particularly enjoy the al pastor here, because it is cooked and marinated with stewed onions and pineapples, giving it a particularly unique taste that I haven't found elsewhere.",0.9407,0.814,0.171,0.016,0.523992673992674
2016-01-08,4.0,"Only gotten takeout from this place, but can't say many negative things about it. Whether it's a quick lunch break or a 2:30am craving, this place is reliable and speedy.  Roommates and I frequent this spot for taco tuesdays ($1 for any taco!), but also stop by once in a while for a random meal at cheap prices. Great, fresh salsa with all orders adds to any meal.  Just based on walking in for pick up orders, seems like they also have karaoke once in a while if that's the scene you're looking for.",0.9365,0.814,0.158,0.027,0.5722222222222222
2015-12-20,4.0,"Getting off the bus at the wrong stop has the occasional benefit: forcing you to search for new places in new areas. Taco Veloz was about the only place in the neighborhood that seemed to have a liquor license, a must have in my book for any Mexican food place. And with that, it made the cut.  Chips seem home-made: thicker and crunchier than most places, and served unsalted (I think). Big container of brined veggies was not appealing.  We went with the enchilada dishes and were not disappointed. Bigger than most people could eat, but up to the task for those who skipped a meal earlier in the day.  Drinks became progressively stronger with each round.  Live music ably supported by a karaoke machine seemed to be a hit and pulled in some late-night diners.  Recommend to passers-by.",0.8472,0.872,0.093,0.036,0.5181818181818182
2015-12-04,5.0,"Delicious green salsa ,!!!! Must try !!!! Tacos 99 cents every tue !!!",0.7067,0.711,0.289,0.0,0.65
2015-11-15,4.0,Two words: taco Tuesdays! That means $1 tasty tacos!!!,0.0,1.0,0.0,0.0,0.0
2015-10-16,4.0,"OMG I always have a blast in this place and I mean always!!!!!!! The karaoke is so much fun it's always the same people.  Big Woman who looks like Paquita La Del Barrio"" sings just like her also. Older man who always wearing a tejana and botas who sing very good also.  On occasions I got drunk enough to get up and sing. I had so much in this place and the food is really good.",0.9291,0.775,0.195,0.029,0.4525833333333334
