date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,1.0,"This is one of those bars that has a tight knit feel to it. That is to say, the servers are unfriendly, slow to take your order and quick to get irritated when you ask a (any) question.  Bad service is one thing, but they also support bullies who physically threaten people all while while they're blacked out drunk.  Instead of kicking out the bullies, they ask them to calm down, even after violence has been clearly insinuated.  I've been here a couple of times before, but it feels like this is the last piece of the puzzle in figuring this place out. When an unprovoked 6'6, 45 year old man that everyone knows all staff by a first name basis can come and intimidate customers simply because he feels like it, that's an establishment to be avoided.  I seriously thought I was going to have the call the cops to get out of there in one piece.  But I quickly or ordered an uber  and jumped in the car before anything could escalate.  Be wary of this bar after 11:00.",-0.7876,0.792,0.082,0.126,0.4525793650793651
2017-08-30,5.0,"I love Corcorans! They have a great vibe awesome food and good specials! I had the Kale salad with salmon and it was amazing. Jackie was a great server and sitting on the back patio was awesome, super secluded and nice. I will definitely be back again soon!",0.9903,0.468,0.532,0.0,0.6606060606060606
2017-08-27,1.0,"This place is an utter disaster.  Ordered an appetizer right away, but waited 30 minutes for a it-hot pretzel mind you- only to have it come out at the same time as our lunch order. No sense of urgency from wait staff or consideration that both courses arrived simultaneously (also disclaimer, the inside restaurant was fairly empty as was the patio). We finished our waters and never had an opportunity to ask our server for more. She never checked on us or asked if we needed anything else. Other folks sat down near the end of our meal and no one came to their table for at least 15 minutes. Food is decent but service is absolutely awful!! There are plenty of other bar/grill spots in Old Town that I would much rather visit on a beautiful Sunday afternoon.",-0.9005,0.845,0.035,0.12,0.5353918650793652
2017-08-15,3.0,"Food was decent, not amazing. The problem I had was the fact we sat there for 20 minutes without getting helped once. No water or silverware. Only saw the menu because I grabbed one. The waitress walked past many times to help other people. I kept wondering if we were invisible?!?! Weirdest thing. Just from being so annoyed I won't be back.",-0.7597,0.76,0.072,0.168,0.5614583333333333
2017-07-06,4.0,"Decent sized back patio that is great for a laid-back summer evening. Their daily deals are worth checking out. I had the goat cheese, pear and chicken salad which was pretty tasty. Only complaint is that the salad had a mere 2 blackberries in it. The curried walnuts were different and enjoyable. Also tried the pub burger which I'd say was your average bar burger. We were seated on the patio right away on a Saturday evening which was nice, however the food did take a while to come out.",0.9136,0.82,0.157,0.023,0.5534920634920635
2017-06-21,4.0,"Fun atmosphere and good back patio (lined up right with Wells on Wells). Can't go wrong with the food here, just pretty standard bar food, but done well. I got the chopped salad with chicken, and it was a good size salad and had good ingredients. Tvs within sight both outside and inside which is nice. Not too loud which is good as well.",0.9774,0.638,0.362,0.0,0.5596938775510204
2017-06-21,1.0,"Was excited to try this place after a game of sand volleyball at North Avenue Beach.  It was crowded with other post-sports teams, so I won't go into detail about the slow service or missing appetizer, because I understand that stuff happens on busy nights. The reason I won't be back is because one of the men in our group was called an a**hole by the manager when we pointed out that one of the entrees was missing.  The manager got really frustrated and claimed it was the burger with an egg on it, NOT the burger with goat cheese on it that was missing.  Mr. Manager made sure to put his finger about 2 mm from Goat Cheese Burger to point out that it was goat cheese NOT AN EGG on this burger and that Egg Burger isn't at the table.  But it was my friend that was an ""a**hole""... The missing burger came out about 25 minutes later, after the rest of us were done eating, but not before Mr. Manager decided to yell ""SHUT UP"" to our entire table as we discussed the night's absurd events. A different man (another manager?) felt sorry and told us we could leave without paying our bill.  He was really nice.  That night, a girl in our group reached out to the owners about these events, and they graciously offered her a gift card - unfortunately we won't be going back for another Shut-Up-It's-Goat-Cheese Burger. Good luck to all who choose to dine here!  Don't make the managers angry :)",0.9484,0.82,0.112,0.068,0.49299516908212554
2017-06-21,3.0,We have been going here for volleyball the last few weeks and last week was not great. I know it's busy but our server took forever to stop by and check on us. There were multiple times when we all had empty drinks and wanted another. One of us even made eye contact with the server to come over and she didn't come. I was a server so I understand being busy but at least let us know you'll stop by in a few. The food was also very scattered. One of our members got their food like 20 minutes before the rest of us and we all ordered together. We are planning on trying it once more this week because it could have just been a bad night. Hopefully it will change our minds!,-0.8014,0.848,0.047,0.104,0.31153846153846154
2017-06-19,3.0,Rather decent bar food. A tad elevated with decent portion sizes. This fish and chips and the burger were quite good. The big table booths can hold 6 or  so people well. The service was a tad slow for food service even though the place was only half full.,0.6779,0.888,0.112,0.0,0.5187499999999999
2017-06-03,4.0,"Hidden gem!! This place looks tiny but it is an endless hallway with so many seating areas. The back garden bar is super cute with several TVs. We ordered the flatbread (tomato basil mozzarella) and side salad (which was excellent with extremely fresh veggies- mixed greens, yellow and green peppers, onion and a lemon vinaigrette dressing). Bae got the ""muncker burger"" (beef patty, coleslaw, choice of cheese, fried egg, bacon) with choice of side. He said it was great.  I don't think people come here for the food, although it was decent and affordable. Peep their menu. Brunch wasn't available this morning. The bottomless mimosas though!!! $12. Choice of grapefruit, cranberry, pineapple or orange juices for mixing.  Typical bar juices, nothing fresh. For $12 we don't mind! This place was popping with families, intramural sports teams, port workout yogis, and large group gatherings. Most important-- our server Cara was excellent!! Very attentive to our mimosa requests and so friendly! We will definitely be back .",0.9933,0.784,0.216,0.0,0.5218095238095238
