date,star,text,compound,neutral,positive,negative,subjectivity
2017-06-29,3.0,"Decent bar and outdoor patio. Beer is about $6 and they have a fair amount on tap. If you're in the neighborhood it's a good, low key place to hang out.",0.4767,0.781,0.156,0.063,0.6933333333333334
2017-06-14,5.0,"I love Third Rail! Always clean, good, consistent food and John will always put the NY Giants on for me. Very good customer service always from everyone that works here. Sweet Potato tots are the best too, try them out !!",0.9673,0.621,0.379,0.0,0.48500000000000004
2017-03-22,3.0,Overall: super average sports bar. Has a cool back patio.  Came here during the NCAA March Madness tournament and we're able to find a seat fairly quickly.  Our waitress was very nice and got our drinks along with handing us food menus as well. Drinks were decently priced for liquor and beer.  There was one small incident where the someone spilled water and it seeped down the small counter where we were sitting and got all over my shirt and coat. The staff was pretty quick with helping us out but it wasn't the best for the first experience.,0.225,0.833,0.107,0.061,0.48315972222222225
2017-01-01,1.0,Hard to rate after waiting 20 minutes for a server then waiving only to be ignored.  It was not busy the staff was gabbing amongst themselves so we left.,-0.4019,0.875,0.0,0.125,0.46041666666666664
2016-11-27,3.0,"We were walking to the west loop from UIC pavillion after Amy Schumer show, and my bad, I was underdressed for the Chicago evening and freezing my butt off. We walked into the first bar we spotted - Third Rail Tavern - to warm up. To our surprise, it was a decent dive bar with several options for draft beer and a selection of whiskey (if that's your cup of tea). I don't know if this is ever going to be a destination bar, but if you're walking by in a cold evening then it's not a bad choice.",-0.7351,0.884,0.031,0.085,0.49166666666666664
2016-07-26,1.0,"So, I've frequented the bar since it opened and it has slid downhill so much in the past year. So much so, I'm finishing my last drink here as I write this.  The last straw that prompted this, Cubs & White Sox are about to start...1/2 full or more to F people to watch. Not sound. They insist on putting the wants & needs of the staff over that of the customer.  It's the last straw of disappointment.",-0.5106,0.957,0.0,0.043,0.23333333333333336
2016-07-10,2.0,"Maybe this is a favorite of the locals, but being visitors from out of town, we had a terrible experience. First off, there were 4 people at the bar,  and 3 other tables outside. Hardly busy, so that excuse is invalid. After waiting 25 minutes for our first round, 2 drinks were wrong,  and one never showed up. The locals sitting next next us were served 3 rounds to our one. We ordered food,  which took another 50 minutes. Each time we approached the bar to get a glass or the correct drink they sort of looked at us like why would you expect to have your drinks Ina timely manner,  and correct. We will skip this place on our next trip",-0.4909,0.877,0.057,0.066,0.3647435897435897
2016-05-01,5.0,"3rd rail is like no other... My wife and I have been here for 6 years and the place is awesome. Food is great, and the staff treats you like family.",0.9001,0.609,0.335,0.056,0.53125
2016-04-08,3.0,"Came here to meet up with some girlfriends I haven't seen in a looong time so needless to say drinks (and lots of it) were in order. Oh and it was also $3 Thursday night so... #winning! But, the experience was dampened because the bartenders here just could not get it right! All the drinks were watered down and not even what I ordered. For example, I wanted a Raspberry Vodka martini...I get back a bright red fruity drink. Ma'am that's Bartending 101. I just want a flavored vodka martini. Anyhow, my girlfriends all ordered the burgers and all of them looked amazing. They ate them in record time so I'd think to say they were delicious. Our servers Anthony was so great! He was so accommodating to our loud and boisterous banter and even joined in on the fun. Loss of two stars because of the messed up drinks. I go to a bar to drink-I have to love my drinks to return so I don't think I will be returning any time soon.",0.9706,0.837,0.138,0.026,0.5865079365079364
2016-03-16,4.0,"Third Rail is a great bar for a quick meal, happy hour drinks or beers before a Blackhawks or Bulls game (although it will be packed so get there early). One of the few bars left with Hopslam (unique perfect IPA available on a limited basis), a good juicy burger but messy and hard to eat + great bartenders.",0.8608,0.68,0.224,0.095,0.49278273809523815
2016-03-06,1.0,"I gave this place a try a few months ago when I had friends in town.  The experience wasn't good. We had to remind our server multiple times for more beer and she forgot to put in one of our orders (there was 5 of us and she didn't write anything down). Today, I was with a friend that really wanted to eat at Third Rail so I decided to give it another try.  This time the food and drinks were fine but I waited for almost 25 minutes for the check.  We asked for the bill and after 10 minutes, my friend had to leave. The server came back and cleared the table and so I asked for the check again.  After awhile, a group of patrons came over and asked if they could have my table since none were available.  I got up and moved aside standing right next to the table.  The same server came and took drink orders from them, waited on several other customers and talked with some regulars.  I was waving my hands and called out to get her attention and she ignored me every time. I ended up getting the bartender and another server to call my servers attention.  I watched her then run the tab and she says to me ""I guess I lost you, couldn't find you"". Find me? I was sitting at the table or next to it for 25 minutes.",0.284,0.915,0.047,0.038,0.2265376984126984
2016-02-20,5.0,"This place is amazing. The people here are stand out human beings. We showed up with a large group and a table next to ours decide to shift over in order to make room for us. When I approached the bar tender to buy them drinks he offered to cover it, as a nice gesture. Never had customer service as good as this.",0.8591,0.855,0.145,0.0,0.5047619047619049
2015-12-27,5.0,"Excellent place To go for a few ""pops"". Always friendly, no matter what time u go and food is pretty damn good. If hawks are in town , go early",0.8481,0.513,0.362,0.126,0.5833333333333334
2015-11-30,5.0,"I'm writing this post to specifically address Blake M.'s comments from 10/31/15.  Blake M., I don't even really know where to start with you. Did somebody do you wrong? Perhaps you fell down, intoxicated on Halloween night before you wrote this? Are you feeling unfulfilled in your life? Do you enjoy...anything? I'm referring, you're probably wondering, to the 91 Yelp reviews that I personally took the time to read after first coming across your review of Third Rail Tavern.  The pattern looks something like this:  Summer House...ONE STAR River Roast...ONE STAR Osteria Langhe...ONE STAR  Celeste...ONE STAR Here's one of my favorites from your review of Wildberry Pancakes ""Waitress also upsold me a pour over coffee, which wasn't on the menu, and told me it was only $1 more than a normal coffee order. Will never go back."" BLAAAKKEEEE. WHY? This woman has done nothing wrong, yet you belittle her. Even when you like something, you refer to it as being 'not horrible'. This is no way to live your life.  Or Osteria La Madia  ""Servers have no idea how to make recommendations for wine with food, and when they do, they point at selections and say 'guests like this one.'  Who is training these people on the beverage?? Pretty lackluster showing.""  WAIT. Are you industry?  Or II Sogno  ""The inside is stale and old, and pretty much lacks character and is upstairs so kind of strange, and stairs are dirty and not clean either. Pretty good idea for a first impression."" Thanks for pointing out that the upstairs is...strange. Oh, and for making the distinction that the stairs are dirty and ALSO not clean. Because those are two entirely different things.  Lastly, from Bar Siena ""The little donuts they promote for dessert, at the end are pretty cruddy. Greasy and flavors a seem to be made from processed foods catalogue. Lazy and unimpressive."" Jesus, Blake. THEY'RE DONUTS. You either have expectations that are unattainable or the palate of a god damn panda bear. I really feel for the woman who you'll one day make your wife.  ""You could stand to lose a few pounds, Carol."" ""Are you really going to wear that out tonight, Carol?"" ""Your performance was inspired, but honestly I've had better. ONE STAR, CAAAAROLL."" Poor Carol M.  In fact, I found almost ZERO Five Star Reviews. Of those I did find, one was a storage facility that you deemed 'perfect for my needs'. Funny how easy you are to please when your persistent and insatiable hunger isn't involved.  Listen, Blake. I get it. For whatever reason, you feel the need to prove you have superior knowledge over what's good and what isn't. When a highly anticipated restaurant opens in the neighborhood and rave reviews begin popping up on whatever pretentious fine-dining blog crap that you read, you cannot wait to get on Yelp to proclaim that it was, 'just okay'. Look. It's fine. This is who you are. But why. WHY Third Rail Tavern?  ""This place has awful burger."" - Blake M.  Blake, Third Rail has nine different burgers. NINE! Not to mention their great selection of mouthwatering sliders. Is there a specific burger that you're mentioning here? Are you implying that because a burger that you ate here was 'awful', this would suggests that all the burger(s) are then also awful? Or has the word 'burger' become just a word that you throw around in the singular in so many of your reviews, like 'concept' and 'beverage' to prove once and for all that YOU ARE BETTER THAN US.  At this point it doesn't really matter. I've spent the last six hours trying to figure you out but I just can't anymore. Blake, there are many things that Third Rail 'IS'. A One Star Tavern is not one of them. So when you 'head over to Beer Bistro and enjoy good beer and better food', I'll be at 1133 W. Madison with a Tavern Burger in my left and the best bloody mary in Chicago on my right, enjoying my life. You should try it sometime. Cheers.",0.9958,0.801,0.135,0.064,0.5462046096977605
2015-10-31,1.0,This place has awful burger and the fries were soggy.  Beer selection isn't very good either and no longer really competitive in the west loop.  Not sure what would attract clientele here unless everywhere else near the united center was already full. Probably should just head to Beer Bistro and enjoy good beer and better food.,0.6425,0.638,0.218,0.145,0.5518888888888889
2015-10-29,5.0,I really liked this place. My husband and I were there for a gathering with 20 other people. The staff was attentive and were great about placing our tables close to one another. The atmosphere is wonderful. It doesn't feel like a yuppie bar. The waitresses are very nice and dressed decent. I would definitely recommend this bar. The food was ok but could be better. My carrots and celery were crispy and fresh but they could have made sure the ends of them were freshly cut because that had started to slightly oxidize. Like I said they were super fresh though and a few more piece of pita for the hummus would have made it perfect. The burgers others had ordered looked great! Everyone was happy!,0.9913,0.625,0.318,0.057,0.6458994708994709
2015-10-17,4.0,Good bar for a game and some food. Relaxing atmosphere. Never too crowded and the staff is great! Didn't have to wait at all!,0.8953,0.65,0.35,0.0,0.5833333333333334
2015-10-11,5.0,There was a waitress there name lisa.H best ever by far very knowledgeable. Recommend anyone to go there you can ask for her good times great place will go back again.,0.9322,0.65,0.35,0.0,0.4916666666666667
2015-07-17,4.0,"Third rail has a pretty good tap menu, with some of my favorites usually on tap like Zombie Dust. It has reasonable prices and specials most days of the week, with $2 burgers on Thursdays. They have outdoor seating when it's nice and it's a good place to watch sports. The people that work there are awesome. They're super helpful and friendly, and one bartender, Mike, always remembers our names when we go in. It's a good neighborhood hang out spot:",0.9861,0.663,0.337,0.0,0.6097222222222224
2015-06-17,5.0,"Love this place!!! Great bartenders, great food. This is quickly turning into my go to spot for a few drinks and a quick (and not super expensive) dinner/lunch.  If you're in the neighborhood, make sure to stop by.",0.9048,0.589,0.306,0.105,0.6061728395061728
2015-05-17,5.0,I don't have enough good things to say about this place. It has become one of my go to bars to watch sports and have one of their Amazing bloody marys. John the manager has always been so kind to me and will truly make you feel at home in this neighborhood bar.,0.7757,0.742,0.175,0.084,0.76
2015-04-24,5.0,"Good spot to stop in while in the west loop. Eclectic music choices,  when we were there it was 70s 80s classic rock which I like (lynrd skynrd, etc), bartenders were very cool (read complimentary tequila shots) and attentive, plus a cool atmosphere. Food menu looked good, but I was there after a dinner elsewhere so can't say for sure. Definitely worth a stop if you're in the area.",0.8117,0.688,0.224,0.089,0.5833950617283951
2015-04-06,3.0,"Comfortable, easygoing neighborhood bar with good service. Chicken on Caesar salad was delicious-best part of the meal. Wanted to find a good Macaroni and Cheese but it wasn't here, unfortunately. I heard their burgers are good. Will try to go back and find out.",0.9023,0.719,0.281,0.0,0.6500000000000001
2015-02-18,4.0,"Third Rail is a friendly neighborhood place on Madison Street in the West Loop, convenient to the United Center. For a somewhat small-ish place, they have a really good draft beer list and an amazing variety of whiskeys, bourbons and tequilas. We were there on a Wednesday before a Blackhawks game and they had half price appetizers. We had the onion rings and the buffalo wings, both were exceptional bar fare. Some other places on Madison Street don't do specials on game days and don't open until 4pm which can be inconvenient if you want to relax and have a few drinks and some good food before getting to the UC for a game. The service is really great, Amy and Mike were very professional and genuinely nice.",0.9755,0.787,0.196,0.017,0.49564814814814817
2015-02-01,3.0,I used to go here quite a bit until having a problem one night with one of the bartenders.  After returning the next day to discuss the issue with the manager I was just kind of turned off by the response so probably wouldn't go back again.  Otherwise the food is decent and they have a beer selection comparable to most places nowadays.,-0.4019,0.955,0.0,0.045,0.4133333333333333
2014-12-04,1.0,"WORST. BAR. EVER.  Placed a burger order.  Which is pretty simple.  Got EVERY aspect of the order wrong.  Wrong bun, wrong cooking temperature, wrong type of cheese, and wrong side.  I was so frustrated when I got home and realized that the order was incorrect.  So I called and they're phones were off....30 mins later now and their phones are still off....weird how they shut off their lines at 8:30pm and the voice mail says they're open until 2am.....",-0.9702,0.706,0.034,0.26,0.6870129870129872
2014-11-10,3.0,"I was walking along Madison after watching the Bulls barely defeat the Pistons, semi-aimlessly, when I finally decided to stop for a beverage. Had a Goose Island Mathilda and some mediocre fries. What's cool about this place is they have an actual six-pack of legendary Billy Beer on display! I had never seen one in the wild before.",-0.4402,0.87,0.04,0.09,0.6071428571428571
2014-10-27,2.0,"Go for the excellent beer selection and the sweet service from the redheaded bartender. The burgers are tiny! About ""3 in diameter which wasn't all that. You can substitute a less than fresh side salad for the fries. But I saw people bringing in outside food and sitting at the bar so if that's an option, I may go back.",0.8407,0.857,0.143,0.0,0.3952380952380952
2014-09-29,5.0,This is exactly what I want from a neighborhood bar. They owner is always there and super friendly. I stop by here for lunch relatively often and am always pleased with their well done sliders and burgers. When my group of friends goes out here it provides a nice ambiance without being too much of a crazy bar.  #why:friendly #why:local,0.9287,0.658,0.276,0.066,0.6166666666666666
2014-09-18,4.0,"Love this place for just relaxing and having a drink.  Their staff is friendly, food pretty decent, and a sizable selection of beer and liquor.  Amy took great care of us.  Seems like she does it all there.  They recently opened a new patio behind the place that is not so obvious upon walking in that you may want to check out in the warmer months.  All in all, a very comfortable bar in a neighborhood that is expanding all the time.",0.9829,0.686,0.314,0.0,0.6421212121212121
2014-09-17,4.0,Laidback neighborhood bar with excellent daily deals. Sliders were juicy & tasty. Can't wait to return!,0.6696,0.703,0.297,0.0,0.5
2014-09-05,5.0,"We found this place a few years ago and went back because of the server we had Amy.  She was awesome and so we continued to go back and found out that everyone that worked there was so friendly and nice.  The Bloody Mary's are the BEST, the food is good and we have our favorites.  The bartenders already know what we like, they quickly new our names and always remembered who we were when we arrived.  We are frequent customers and just love evryone that works there and the cook, he's friendly and wants to make sure you like your food.  I couldn't think of a better place to go watch football, baseball games and most especially my all time favorite for HAWKS games!  If you go there and are not happy, you haven't given it a chance.  Now that they have opened a patio in the back, on a beautiful day or night it's great to sit outside and they have a TV out there!   It's a must go to place for a relaxing and fun day or night.  A great staff and we miss the staff that have left! :(",0.9937,0.682,0.256,0.062,0.535479797979798
2014-07-30,4.0,"This place is great - awesome cheeseburgers, cheap prices and nice staff. A coworker and I went there for lunch & loved it.  I had their cheeseburger with Merkt's cheese and bacon. This thing was juicy, tender & oozing cheese - just how I like it! That first bite was pure bliss. I also had the tavern fries, which were tossed in Parmesan & garlic. Pretty yummy. I will definitely be back for more.",0.9844,0.638,0.362,0.0,0.6583333333333333
2014-07-30,2.0,"Its OK.  This is 100% a bar as its food should really only pass for decent food if you are drunk.  Do not go hear for a meal but if you are just having a appetizer with your drinks, you should be ok.",0.4707,0.851,0.11,0.039,0.7333333333333333
2014-06-27,5.0,"My place - every time the BLACKHAWKS play !  The game is ON ! And I mean ON with full sound ! Love the atmosphere ! Yes it gets crowded sometimes, but that's how it suppose to be when Hawks are playing ;-) Great selection of beers and food is yummy. Love the spinach salad!  It's also my place when Hawks are not playing :-) With the outdoor seating area in the summer you can enjoy crafted brews and have a conversation.  Overall great place!",0.9904,0.607,0.37,0.022,0.603125
2014-06-07,5.0,"It's been awhile since last review, I was very busy the last year running a Badminton Camp for the nation's top players...anyway this is a nice little Pub with great Pub Fare. The Pub has a great staff and you never wait long for your delicious Pub Fare to reach you.  They also have a patio area at this Pub so you can enjoy the weather while waiting on your Pub Fare. An endless amount of cute Pups will walk by the Pub as you enjoy the Pub Fare. So you get to get Pups at a Pub while eating Pub Fare.  Sounds like a Win-Win to this fella.",0.9808,0.757,0.243,0.0,0.5838095238095239
2014-05-19,5.0,"I came here at 10:30 on a Sunday night because I was disappointed with the bar across the street (Crossroads), who didn't notice we walked in the door, didn't acknowledge us for 10 minutes, and had crappy late night food options on top of it. I figured I would go into Third Rail Tavern, knowing nothing about it. When my boyfriend and I walked in, we were immediately welcomed by the bartender who said their full menu was available until 11pm.... this hardly happens on a sunday night in the West Loop, so I was thrilled! Our server was prompt, funny, energetic, and informative. His presence actually made me want to order more and more. We sat at the open windows, warmish night, great ambience. I ordered the mac n cheese w/ bacon and the grilled cheese w/ merkt's cheddar. I have to point out that not alot of restaurants offer merkt's cheddar, so you can only imagine how excited I was. I have to say, the food was A+ My boyfriend had a spicy bloody mary, which he thought was very nice and savory. The bartender came over to tall us more about how he made the bloody mary - with spice as a flavor and not as something burning in your mouth --- absolutely perfect! Upon exiting, the bartender made sure he remembered our names and thanked us for coming in. Friendliest bartender in the world!!!!!!!!  Thanks, definitely coming back!",0.9842,0.779,0.174,0.047,0.5973290598290598
2014-05-15,3.0,"Cute little spot.  It was a sunny Saturday and I was walking around the area.  I stopped in here and there were only a few patrons.  The waitress was really sweet and the food was pretty good.  I ordered a chicken sandwich and onion rings. Nothing too special, but overall had a nice time.",0.9041,0.695,0.279,0.026,0.6701298701298701
2014-05-05,4.0,Good Spot to stop at before a Blackhawks Game!  Inside it's a large dark bar with a great beer list.. lots of cool old Chicago pictures on the walls.  They have really great burgers!  Highly Recommend this joint.. get dat did,0.939,0.628,0.329,0.043,0.5242857142857144
2014-04-19,4.0,"We've now been here a handful of times since moving to the area and can say that Third Rail is fast becoming one of our favorites for a low key beer and a burger.  Simply put, it's a great neighborhood place with well-made pub fare and a very strong beer selection.  The service has always been friendly and prompt, and we've always enjoyed our experience here.",0.9422,0.742,0.229,0.028,0.601047619047619
2014-04-07,5.0,"I went here a few weeks ago with a friend for the first time & loved it! It's nothing fancy, which I like. Just a nice clean bar with reasonable drink prices, tons of variety, & healthier bar food options that won't empty your wallet. I can't wait to be back in the warmer weather & sit outside!",0.9308,0.688,0.278,0.035,0.45370370370370366
2014-01-24,5.0,Love this place!  Staff always made me feel welcome every time I have come in.  Haven't been there in a little while cause I moved to the Gold Coast but this is a great local tavern and the staff are really great and very friendly!  Delicious burgers and food in general.  Go there on Thursday for the burger special.  Go there for a Hawks game and you will have fun.  There is a good local crowd that comes in there too.  I dig the music that's usually playing too!  Great beer and drink selection too.  This is a real Chicago tavern that has a great vibe to it!,0.9955,0.623,0.377,0.0,0.5261904761904763
2014-01-22,4.0,"A great neighborhood bar with good food and drink selection. Can get pretty busy as it's fairly small, especially on Blackhawks game nights but went on a night that was manageable. Good staff, and an atmosphere with great pictures and linkage to Chicago's railroad history, especially the CTA (whose rapid transit trains are powered by the electric ""third"" rail). I definitely found it an electric but relaxed place.",0.9749,0.708,0.292,0.0,0.6083333333333334
2013-12-27,1.0,"Very rude bartender here.  Overcharged, and clearly some issues with racism permeate reviews and our experience wasn't any different.",-0.6901,0.613,0.103,0.283,0.5877777777777777
2013-11-27,4.0,"As far as bar food goes, this place is pretty damn good. The burgers and wraps are great, and the beer selection isn't too shabby either. Staff are outstanding, and the guy who I think is the owner, was awesome. Friendly, attentive, and seemed to genuinely care about our experience. The reason it gets 4 instead of 5 stars is because of the Tavern fries. I remember them being better a couple years ago. Something changed there. Still good, just not great. Minor detail though: overall, highly recommend.",0.9879,0.639,0.337,0.024,0.6476666666666665
2013-11-17,4.0,"4 stars only for the beer menu. I'm happy at any bar I can get leffe and alagash white at the same sitting. Came here before a Hawks game and were able to get the last table. Don't expect much of the food, but once again, the drinks are good.",0.7351,0.879,0.121,0.0,0.4462962962962964
2013-10-10,5.0,"Third Rail has opened a nice little outdoor patio in the back, beautiful in the fall weather.",0.7717,0.676,0.324,0.0,0.5
2013-09-30,1.0,"I honestly don't write a lot of Yelp reviews, but I was so offended by an employee at this bar that I had to say something.  My husband and I went in for a quick lunch while out running errands one Sunday.  It was just before noon, so football was kicking off and they had plenty of TV's on.  After waiting forever to place our order, another employee walked up to us and told us he was changing the channel to the ""Red Zone.""  Then he looked at me and said ""do you even know what the ""Red Zone"" is?  I was so startled by such an odd question that I just looked at him.  Then he looked at my husband and said ""She doesn't even know what the Red Zone is, does she?""....all while laughing.  It was so sexist...and odd...and RUDE.  My husband assured him that I do, so then he kept going....he says to me ""well what's your favorite team playing today?"" I told him I didn't have a favorite, that I was a hockey fan, and he just laughed at me.   We almost walked out, and really should have.  The food was horrible, it took forever, and the entire time I was just waiting for this guy to come back so I could tell him how ridiculously rude and sexist he was.  Luckily he didn't pass by again as it saved me from a confrontation that was unnecessary on a beautiful Sunday afternoon.  You want to be a sports bar?  Fine.  But you have enough competition on Madison street that you can't get away with being an asshole to ANY patrons, especially women.  It was easily one of the rudest encounters I've experienced at a restaurant...ever.",0.9358,0.743,0.153,0.104,0.5767361111111112
2013-09-05,4.0,This place is solid. Super cool bartenders and managers floating around. Nice selection of brews to be had and as a guy that lived in Buffalo NY for 5 yrs they put a damn good plate of wings. Perfectly cooked every time and outstanding sauce.,0.9584,0.582,0.372,0.046,0.6988095238095238
2013-07-31,5.0,"This is by far my favorite neighborhood place.  Always a great selection of beers on tap, but plenty more in bottles if you don't find anything you like.  The food is excellent, with a pretty decent sized menu for a small kitchen.  The weekend brunch menu is good as well, and they make a mean bloody mary. Like any great bar, the staff absolutely make this a fun place to be.  Always friendly with great service.  Can't wait for the back patio to open!",0.9935,0.557,0.41,0.033,0.6724537037037037
2013-06-19,4.0,Love the way the chicken wings are cooked. Friendly bartender and nice beer selection.,0.8807,0.519,0.481,0.0,0.7625
2013-06-19,2.0,"I have to say my 2 stars are solely based on my recent experience there while watching the blackhawks playoff game.  Unfortunately, crossroads (my go-to hawks bar) was packed therefore I was forced across street to third rail.  The good: service and food were great and as a place to catch a bite to eat prior to going to the UC I would still HIGHLY recommend this bar The bad: watching a hawks game here was extremely frustrating.  Yes, they play the TV audio during the action and yes they have a lot of TVs however unfortunately the place is way too packed to really enjoy the game and the TV's were dated.  Unless you are adjacent to a TV I felt that most people in the bar were more concernd with socializing  than actually watching the game.  Definitely not the same vibe you get from other west madison hawks bars.  Furthermore, many of their flat screens have AWFUL and i mean AWFUL pixelation already and need to be updated. One last thing, I admire the head bartenders enthusiasm and beating of the drum to get everyone fired up for the hawks, however the ""Detroit sucks"" while comical initially became fairly played out by the 3rd period of a stanley cup game.  Especially because we were playing the LA Kings in game 5 of the western conference finals.  This was even more frustrating when, with 1minute left in regulation, the chant morphed into ""Boston sucks""- again a bit premature in a game that wasn't over.  You can imagine how pissed off I was when LA ended up tying the game with 14seconds left.  The hockey gods surely didn't appreciate that one.  Most probably wouldn't have cared, however for those non-bandwagon fans looking for a great Hawks bar I would look elsewhere.",-0.2604,0.749,0.124,0.127,0.46301504629629625
2013-06-10,5.0,"Good food, lots of selection, and the best staff in the West Loop hands down.",0.7964,0.647,0.353,0.0,0.39629629629629637
