date,star,text,compound,neutral,positive,negative,subjectivity
2017-06-28,5.0,Best sandwich shop!!! Since I was a child my mom has taken me here for good comfort food. And I have never been disappointed. And now as a mother I take my son here who feels the same way. Great Chicago landmark restaurant,0.9547,0.635,0.365,0.0,0.5050000000000001
2017-05-05,4.0,"This place has comfort food and damn good comfort food at that. I've been once for breakfast and it was the largest, richest, unhealthiest breakfast I've ever had, but it was DELICIOUS!  My fiancé and I ordered the Jumpball All Day and split it and it was more than enough food to fill up both of us. With Italian sausage, eggs, cheese, onions & potatoes, it's every desirable breakfast item all in one!  This place is small, crowded, loud and bustling (Hint: Not an ideal place for an intimate first date). Our meal took about 40 minutes to come out because it was so crowded on a Sunday morning, but it was worth it!",0.971,0.794,0.191,0.014,0.5303030303030302
2017-02-20,1.0,"This place used to be good. The last three deliveries I had from them they messed up my order. This last time was the worst. I called to let them know that they forgot a hamburger and the lady kept yelling at me that she didn't charge me for it. Like that was going to make it all better. She was so rude, left me on hold and told me that she would charge a delivery fee for one hamburger and it would take a half hour. I only have a half hour lunch break. I will never order from here again.",-0.4707,0.825,0.078,0.097,0.4166666666666667
2017-02-18,5.0,"This is, hand's down, the best sandwich shop in the area, perhaps all of Chicago. They open for breakfast before anyone else and their ""Corned Beef Jumpball"", made with grilled onions, cubed potatoes, and corned beef, is unbelievable. I actually drive to Chicago to get this Jumpball. You have to ask for it because it is not on the menu, but their regular Jumpball is just as good and made with Italian Sausage, 3 eggs, cheese, onions and potatoes. BJ runs it and he was a Chicago Cop who walked this beat before picking up Moon's, which has continually been in business since 1933. The people watching is as good as the sandwiches, especially in the morning when you get a lot of night workers coming off their shifts. The place is a mixing pot of cultures and values and races all brought together at the counter of Moon's to share a sandwich. I love this place!",0.9754,0.856,0.144,0.0,0.4605283605283605
2017-02-10,5.0,"A killer corndbeef sandwich very good chili with the best water, I grew up across the street , never had a bad meal there.",0.7134,0.524,0.335,0.141,0.5822222222222222
2017-01-24,4.0,"Food was good. Sandwich was a little cool on delivery, wrong soda (requested A&W, got Dr. Pepper). I may order from them again...Just hard to order $15 worth of food/drink for lunch...",0.3197,0.689,0.187,0.124,0.548611111111111
2017-01-09,2.0,The food was ok. The corn beef i guess is supposed to be 1 of the highlight it wasn't bad a kind of diner. Lets just say i wouldn't  drive out of my way for it. 1 thing i notice is why they get good reviews is they definitely treat there locals different a lot better...,0.9294,0.732,0.268,0.0,0.6095238095238095
2016-12-10,4.0,"Fast Delivery, Phat sandwiches, and tasty!!",0.0,1.0,0.0,0.0,0.6
2016-11-15,1.0,One of the most ghettoest places you could ever go out to eat. The staff there is horrible a bunch of THOTS.  The food is full of grease and is unhealthy for you,-0.7845,0.813,0.0,0.187,0.6875
2016-10-30,4.0,"Great Corn Beef sandwich.  They give you a lot of meat, and USUALLY quick service despite being very busy.  Breakfast is good too.",0.7906,0.741,0.259,0.0,0.56
