date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-30,2.0,"Went there years ago and was NOT impressed. I'm Mexican and I know good Mexican food when I have it. The first thing that hit me was the stench of filthy mop all over the restaurant. Try eating a meal with that lingering all over...gross. The food was nothing to write home about. Unless they've improved GREATLY, I have ZERO desire to visit this place. I rather go to Los Comales in Niles which is good food and cheaper in price.",0.9067,0.787,0.176,0.037,0.5354166666666667
2017-08-29,1.0,"I decided to come here for 'taco tuesday' because my friend recommended it. Definitely a mistake, my boyfriend and I sat at the bar and initially ordered drinks. The bartender who is probably co-owner or something was not very friendly, everything he said felt forced. He only made eye contact with me, never looked at my boyfriend and only spoke to me. It was offensive and rude. The food and drinks are overpriced and the margarita was weak considering the place was dead on a popular day for the restaurant. I can see why it was dead. Service was lacking, food wasn't anything special and we definitely will not be back.",-0.9413,0.691,0.099,0.21,0.5057888540031398
2017-07-20,2.0,"On the night that my fiance and I wandered into Don Juan Restaurant there was a sign hanging above the entry way saying, ""In a taco emergency, Dial 9-Juan-Juan"".  I have to give them mad props for that clever little sign of theirs, but if I were in a taco emergency, I would definitely be going down the street to Hay Caramba or a different Mexican Restaurant.  I didn't have tacos here, but if they're anything like the food I did have, then I have no intent or desire to ever eat them.   Whilst here, we ordered the chorizo quesadillas as well as the macaroni and cheese with chorizo...it was a light dinner for us that night.  Though, I'm sure glad that we didn't waste our money on anything else as it would have been a complete rip-off.  We ordered apprehensively, seeing that the prices of the items seemed to be a little high - and for the portions and quality, the prices were absolutely too high.  You must be mad at your money if you waste it here. As the quesadillas were coming to the table, I could see right through them...that wasn't a good indicator. Quesadillas should be filled with cheese, right?  These weren't...there was hardly any cheese and I think the chorizo must have been a figment of my imagination - I maybe found 2 tiny pieces of chorizo in there.  The quesadillas looked like they'd been store-bought from the freezer section...not good, my friends.  And the macaroni and cheese?  Well it was a little better, but it was nothing memorable.  It had some more chorizo in it, and it was a cheesier mac n' cheese...but still. Perhaps the drinks are better than the food, you might be asking.  Ehhh, that's a longshot.  The margarita was okay, but I've had way better ones at rinky dink dive bars.  My fiance ordered the sangria and though he drank it all, he didn't necessarily like it.  I surely didn't - it didn't taste like any sangria I'd ever had.  The best part of the meal was the flan, but it was so tiny that I barely got to enjoy it.  If only it had been a little bit bigger... Now, the service wasn't that great either - our waiter looked like he was just floating through the restaurant without any sense of direction, leaving me to wonder if he was going to get our order correct.  He did get our order correct, thankfully...he just moved at such a slow pace, though - it made me want to scream.  At the end of the day, Don Juan is a no-go for me - I would rather get greasy Mexican food down the street...at least I know  it'll be stuffed with caloric goodness.",0.9941,0.781,0.159,0.06,0.5435098801425332
2017-07-08,1.0,"Had a Groupon and the 3 of us spent $90.00 plus change for 2 taco dinners and a burrito plus 3 alcoholic drinks.  VERY OVER PRICED for the meal we purchased. The steak tacos had no more than 6 pieces of steak-room for at least double. When we ordered the guacamole for the table and needed additional chips, about 10 minutes they came with the main meal.  Mexican restaurants are a dime a dozen.  They proportioned very little meat and most of the taco was lettuce.  Spoke with the manager and told him of my disappointment and told him I would never be back again.  Very Overpriced for the small portions received. I suggest Hay Caramba in Park Ridge where the prices reflect good portions.   Otherwise DON JUAN-VERY OVERPRICED-",-0.3818,0.932,0.023,0.044,0.33222222222222214
2017-07-03,2.0,"Food was average, but pricey...not a combo I look for. Service was intermittent for being slow.",0.0,1.0,0.0,0.0,0.39999999999999997
2017-06-24,2.0,"I saw the menu beforehand and I was set on getting fish tacos. They've been my favorite! Maybe it was because I had higher expectations for this restaurant or maybe it was because my fish was undercooked, but I didn't enjoy this place at all. The first couple of bites I took of the tacos were good, but then I took a few more bites, and I bit into this squishy raw piece of tilapia. I was utterly disgusted. I just ate the side salad that was provided as well as the rice and beans. The waiter didn't check up on us much... I constantly had to ask for water. The staff acted as if they wanted to get us out. We were here on a Wednesday night and it was not busy. They constantly kept asking if we were done/finished eating yet. I felt rushed. We stayed for desert. The staff was cleaning up after everyone was done. We asked the waiter to not take our drinks. I came back from the bathroom and my drink was gone. Ugh. I hate giving bad reviews, but I'm disappointed. Most likely won't be back.",-0.9573,0.815,0.056,0.128,0.49891025641025644
2017-06-10,4.0,"Not a fan of Mexican food but if I must eat it, this is the place. The fish tacos are really tasty and I am always scared to order fish, not knowing if it is fresh or not! Kids get ice cream at the end. Extensive menu, good portions, the pork tamale was tasty too.",0.5983,0.792,0.144,0.064,0.32666666666666666
2017-06-01,2.0,"Thursday evening. Ordered chicken sopes, they were okay. My friend ordered steak sopes and hated them. She said they had no taste and very bland. The salsa had no taste and no spice.. we ordered margaritas.. not very good. Service took a long time to take our order but the waiter was very pleasant.",0.3023,0.718,0.135,0.147,0.7159340659340659
2017-05-26,4.0,"I had the three choice enchilada menu- chicken, steak and vegetarian- with tomatillo sauce and home made guac on the side. Delicious! Our waiter was helpful and attentive. The atmosphere was pleasantly  relaxed. After a horrible experience at nearby 'hay caramba' restaurant where we found hair in our food and dreadful customer service, eating at don juan was such a welcome surprise. Will definitely go back.",0.9259,0.664,0.257,0.079,0.8018518518518518
2017-05-10,2.0,"Not my choice for an authentic Mexican restaurant. Food was okay. Just okay. Nothing super special, and I felt that everything was overpriced. For example, $13 for 3 tacos and a really small side of rice/beans (literally- probably enough to finish with 3 bites using a teaspoon). The margaritas and pina coladas were good, but not sure how I felt about $9 for a 8 oz cup (or maybe less). But that's just me.",0.5729,0.838,0.128,0.034,0.4948773448773448
