date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-04,5.0,We had a reservation and we were seated immediately. The wait staff was friendly and knowledgeable. The food was superb. We had the steak and the chicken entrees. Both were cooked to perfection. The foie gras was rich and creamy. This was our first time at La Sardine. We will definitely go back.,0.9538,0.731,0.269,0.0,0.5888888888888889
2017-09-03,4.0,"We have been regulars since it opened and La Sardine never disappoints.   Last visit was Saturday 09/02/17.  Had some really long wait times to get our food.  So long that the waiter comped a charcuterie platter and a bunch of desserts.  Our waiter had excellent recommendations for bottles of wine (under 60.00).  5 of us at dinner- The classics : onion soup, steak frites and roast chicken where all great.  The monkfish special was excellent.  My daughter the vegetarian of the group had the eggplant, also very good.",0.9616,0.799,0.201,0.0,0.6575661375661376
2017-08-21,5.0,This place is a great place to go to even on a busy night we had great service very nice people they melt made us feel it at home fried sardines or sautéed sardines as appetizers are amazing and definitely make it a visit when you're in Chicago,0.9571,0.692,0.308,0.0,0.6999999999999998
2017-07-18,5.0,"Such an amazing place! Waiter Dan was knowledgeable and so friendly, ambiance and food was amazing. Kitchen sent out an array of desserts (soufflé and crème brûlée were the stars) for my birthday that were impeccable....perfect birthday dinner, will be back!",0.9232,0.755,0.245,0.0,0.5599999999999999
2017-07-14,5.0,"Service was exceptional, all the food was delicious but the chocolate soufflé is just out of this world!!",0.4468,0.853,0.147,0.0,1.0
2017-06-24,5.0,"Bouillabaisse. If you remember nothing else about this review, remember to order the Bouillabaisse and a soufflé!  LS is an adorable restaurant across the street from what used to be Harpo Studios. Food and Service are consistently of great quality and valet parking is available on weekends alleviating the need to find metered parking in what is most definitely area full of restaurants and nightlife.  While I have visited only a few times, each time I do, my plan is return again soon and then everyday life gets in the way. That said, it is certainly a slightly hidden treasure with amazing bread, seafood and steak frites. Ordering is never easy because there are so many great items to choose from.  I highly recommend the Bouillabaisse (seafood stew) and if seafood is not your thing the Steak Frites (steak & fries) is pretty spectacular too. For those with a sweet tooth, a soufflé will have you hooked line and sinker! ...... the mussels are great too.",0.987,0.79,0.197,0.013,0.6608771929824561
2017-06-18,4.0,They have happy hour everyday and wines by the bar are all french - good bottles at happy hour prices. Was there on a Tuesday and there's pre-fixe menu. It was delicious and portions are huge. Good for groups!,0.9612,0.614,0.386,0.0,0.7125000000000001
2017-06-13,4.0,"Came on a Tuesday night and discovered they were offering a special. Had the cheese platter to start, bouillabaisse and the soufflé for dessert.  All courses were tasty and quite filling.  The bread to start was a good welcome - French bread - crispy but soft and chewy inside the crust.",0.5859,0.881,0.119,0.0,0.4842857142857143
2017-06-12,5.0,"Never get turned down at La Sardine. One of favorite French restaurants in Chicago area. Great food, (always) friendly servers makes me come back again when i visit Illinois. ++ Ample bites of escargots in perfectly herbed garlic butter. French onion soup is a must-order here. Ribeye is a great choice also. La Sardine seafood soup is second to none. Chocolate soufflé is A choice of finish. (Scallops with perfectly matched sauce can't be missed either).",0.9769,0.725,0.275,0.0,0.4808080808080808
2017-06-12,5.0,Authentic Southern French dining with an Italian influence. A festive atmosphere with a great wine list (half price on Mondays).  Everything is great. Escargot appetizer was fantastic. Steak tartare was flavorful and the Dover Sole looked great.  Highly recommended.,0.9682,0.596,0.404,0.0,0.44151515151515147
