date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,3.0,"The River Walk is just a few blocks from my condo, and it's my early morning walk almost every day. It's beautiful when the sun is rising, spectacular at night. Definitely the most positive addition to Chicago since The Bean. Had dinner at O'Briens with a friend last week and was pleasantly surprised. From the other reviews, I was expecting mediocrity, but the food and service were pretty good. The prices are in line with restaurants in tourist areas. And you can't beat the ambience, being surrounded by the lights of the city and sounds of a busy waterway.  My friend and I both ordered the steak sandwich. A generous portion of meat covered with mozzarella, caramelized onions and mushrooms. Included a skimpy container of sloppy slaw and a dill pickle spear. On crusty Italian-style bread (which I discarded because I've been Yelping way too much and can barely get my jeans zipped).  Our server Hasket was friendly and very attentive, checking back with us several times to make certain we were taken care of and our wine glasses were full. My first issue is with the disposable plates and glasses. Wonder if it's mandated by the city or perhaps insurance. My second issue is with the two single restrooms, which are little better than portable toilets. Yuk. The city does provide a few permanent types on the River Walk, but they are not convenient to O'Briens.",0.9914,0.799,0.179,0.022,0.4346954769368563
2017-08-28,2.0,"It was a beautiful night and my boyfriend and I decided to find a happy hour on the river walk + sit outside. We walked up and down the river walk to find a good happy hour deal and made our way to O'Briens. When we showed up, 3 employees were standing at the host stand and, even though they made eye contact with us, chose to finish up there conversation before even greeting us. We stood there for 30 seconds and almost walked away. I have been in the service industry for over 6 years and know how things should be done. Once we finally were taken to our table, our server came up to us after a couple minutes and just dropped waters and said ""I'll give you some time"" but at that moment we had a few questions about the drink specials. At this point we were super unhappy and things were not looking up. We ordered the sweet potato fries - good. The chicken sausage - it was okay but very small portion for price. The vegetables and hummus - again, it was okay - the pita was super dry. I would maybe try again but first we will choose other places to try.",0.9746,0.809,0.154,0.037,0.6150277777777777
2017-08-27,2.0,"Pretty Disappointing!  Been to a couple of other O'Brien's and always thought they did a good job---not this one.  I'm not sure there is even a manager present as service very slow to the point I had to get our won napkins with silverware after about 8-10 minutes. Sliders seemed warmed up like a Jimmy Dean breakfast muffin.  The sweet potato fries were limp and cold.  Potato chips at $4.00 were an embarrassment to any decent restaurant. For  4 sliders chips, fries and 2 lemonades the $32.00 was way too much. -----Try anyone else on the River walk.  Even if it's a bit more money you probably will not walk/run away disappointed.  GREAT VIEW THOUGH----wish I would have gone to Smith & Wollenskys for appetizers",0.9518,0.758,0.183,0.059,0.6067037037037039
2017-08-12,3.0,"Beautiful scenery, sitting outside along Chicago's new River Walk, across from Trump Tower. Friendly, fast service, with options for sitting in the sun or shade. Ordered the Cobb Salad, and it appeared fresh, however topped with a package of Newman's Own dressing, of my choice. All food came delivered on biodegradable dishes. It was a shock that they had portable washrooms located in a trailer, hidden behind the patio. For me, that threw the trendy vibe of the umbrella speckled patio across from Trump Tower, but I wouldn't let that stop me from enjoying this place again.",0.8842,0.854,0.129,0.018,0.603443526170799
2017-08-12,1.0,Very limited menu.  Sandwiches were bland and tasted like warmed up frozen food.  Meals are served in paper plates with little appeal and presentation.  Not good!,0.6807,0.688,0.244,0.069,0.5297619047619048
2017-08-11,1.0,"Although the view was beautiful, it was not worth the overall dining experience. Prices would have not been so bad if you were given a decent portion. However, I ordered a $10 salad which consisted of three pieces of lettuce. Our server was very unfriendly- he did the bare minimum and did not smile once.",-0.7319,0.759,0.063,0.179,0.36666666666666664
2017-08-07,1.0,"It looked like it would be a cute place to have a cocktail for happy hour along the river walk. The hostess was busy talking to her coworkers to barely notice that we were standing there and wanting a table. However, she does seat us quickly(as it wasn't very busy) even though it seemed like we had put her out of her way. We were given water. We then sat there for 20 minutes and nobody came by to take our order so we decided to leave. What a big disappointment.",0.802,0.833,0.12,0.046,0.47000000000000003
2017-07-24,3.0,"Location Trumps Menu. Open air cafe on the river - tough to beat that on a beautiful Summer night. Nothing special about the menu though. Waffle chips seemed like they were from the bottom of the bag. Burger bun was burnt. Waitress, although authenticity Irish (Meavh) didn't seem to know what an Old-Fashioned was.  Worth a visit, wouldn't return.",0.8591,0.803,0.173,0.024,0.5007936507936509
2017-07-20,1.0,"So disappointed in this location. Do yourself a favor and visit any O'Briens but this one. There are too many restaurants on the water or on nearby rooftops that offer equal views to put up with the weirdness of this place. Paper/plastic utensils, slow and inexperienced servers and seemingly out of half the menu. It all seems wasteful and underwhelming. City Winery just a few yards away uses real plates and glass, so you can't use the excuse that there are restrictions. Skip it unless you're starving.",-0.7737,0.875,0.02,0.105,0.34629629629629627
2017-07-18,3.0,River walk prices. But the view and the ambiance are amazing. #supplyanddemandpayswell If you're wondering. I'm really not impressed with anything but the view and the weather. The food and drinks are way over priced for its presentation. The staff seem unhappy. It was a nice first visit but if the fun is inland next time I'll go upstairs for the drinks.,0.7126,0.776,0.146,0.078,0.619047619047619
