date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-14,1.0,Too bad that Pat's no longer allows simple substitutions on their menu. I always liked the fettuccini alfredo and an extra piece of their good bread instead of the side salad. Apparently can't do that anymore.,-0.0,0.731,0.134,0.134,0.478968253968254
2017-08-04,1.0,This pizza place provides horrible customer service. I will never order from here again. Hope this shitty ass place goes bankrupt. Yeet!,-0.9223,0.47,0.085,0.445,1.0
2017-07-23,1.0,"1hour and 10 minutes into delivery called pats. oh the driver had an accident . talked to manager, oh hes stuck in traffic. be there in 20. ill pass",-0.7845,0.76,0.0,0.24,1.0
2017-07-09,4.0,"Best and most affordable pizza delivery in the Printers Row/South Loop neighborhood. Ticks all the boxes on the heralded and much revered ""Four F's"" of the pizza delivery game- Fast, Friendly, and aFFordable.",0.8934,0.737,0.263,0.0,0.4166666666666667
2017-06-20,1.0,"BAIT AND SWITCH BE WARNED- their actual prices are NOT EVEN CLOSE to what shows on the Yelp menu. Very deceiving. Called to ask why the receipt was so expensive on delivery (medium pizza no toppings, soft drink, and mozzarella sticks $37 before tip?!) and got a lot of BS from the owner about ""competitors"" putting false prices on Yelp and how they can't get Yelp to change it.  Do you really think we're that stupid? Suggest corrections is right there on the Yelp menu with a link to log in for priority corrections as a business owner. ""Mozzarella sticks, fried zucchini"" $5 on the Yelp menu is actually $6.50 + $6.50 (two separate items) so it rings up as $13 instead of the $5 you thought you ordered. Pizza is $17.50 instead of $14. ""i'm very sorry, I'm deeply sorry"" if you're so sorry than comp the bill so we pay for what we thought we ordered, not waffle your way through excuses and BS and nonsense about how you're going to get your ""attorney"" to call Yelp in the morning. I have half a mind to go dump your greasy pizza back on your front door and start a chargeback. Thought it was strange that they didn't confirm the price on the order, and now that looks even more suspicions. I mean, I don't think I've ever ordered food without a price confirmation before they hang up. I know Yelp is pretty awful but this place comes across as a borderline scam themselves.",-0.9541,0.885,0.008,0.107,0.5468358395989975
2017-06-02,2.0,"This was our first and last time ordering here.  Let's start with the good. We ordered a thin pizza for delivery. Delivery was good, just under an hour, and the delivery person was very nice.  The bad - the pizza was very greasy and we used 2 or 3 paper towels to soak up the grease. The pizza was tipped at some point so it was bare towards the center with the ingredients sliding towards the outside edge - this happened for about 1/4 of the pizza.",0.6285,0.86,0.098,0.042,0.4242424242424242
2017-05-23,5.0,"Always fresh ingredients. Thin crust is on point, and the staff is very nice to us. One time someone stole our pizza and they just made us a new one no problem. Honemade ranch dressing is like crack and they always remibd you to use coupons to get free stuff with tour order",0.7425,0.741,0.18,0.079,0.7209090909090909
2017-05-23,5.0,"Easily the best thin crust in Chicago. If you're lucky enough to be in their delivery zone (it's a pretty big delivery zone) I'd order them. For real, best thin crust in this city. When I tell people Pats there generally like ""really?"" I think the name throws people off but it really is the best.",0.9473,0.714,0.286,0.0,0.532051282051282
2017-05-13,1.0,"I've lived down the street from this establishment for nearly 2 years. At one point I called the meatball sandwich, fries and soda ""hands down the best deal in town.""  Fast forward to about October or November, the great meatball sandwich I would sometimes get twice a week went from 3 meatballs down to 2. At first I thought this was strange but time after time, only 2 meatballs. Could I really complain, after all, it was still $7.25 with tax. Even though I felt I was being cheated, the sandwich was still a good one.  Tonight, after working a 12 hour day and not really having a chance to eat dinner, I let the time get past 11pm and I didn't have many choices. ""I'll try the meatball sandwich again"" I said to myself. What did I get? 2 meatballs, with a nice space in the middle of my sandwich, however, this time I was charged $8.34. Why in the last 4 or 5 months did I lose a meatball and pay $1 and some change more? I'm all about loyalty and I've been a loyal customer here as well as many of the neighborhood places that have good food, give you good service and treat you fairly. Pat's is friendly, has good food, however, I no longer feel treated fairly. I may get a thin crust pizza from here still from time to time, but to me, it's no longer good for anything else. To me anyway. It's no longer the ""Best Deal in Town"" and with the quality, won't ever be again.  Update 5/13/17 Went in there tonight at 11:35pm. Everyone was still working. Saw a half a dozen people in there. 3 of them looked at me. The guy that normally takes the orders was standing off to the side on his cell phone. I waited for a good minute or two and then bounced. I've been a pretty loyal patron for 2 years now but I'm done. I don't patronize places that don't appreciate your regular business so no more meatball sandwiches for me and no more pizzas for the family. Peace!",0.9919,0.731,0.179,0.09,0.5059716599190283
2017-05-07,4.0,Pats has one of the best pepperoni pizzas! The crust is always perfectly crisp and the ingredients are very fresh. My favorite thin crust pizza!,0.9417,0.586,0.414,0.0,0.6433333333333333
2017-05-05,3.0,"$25 for a 14' thin crust pizza with three toppings (I think they raised the price in the past year)? I mean, it was enough to feed the BF and I but it was just all right for me, even as thin crusts go. For those of you who like tons of cheese on your pizza, you'll probably like the Pat's special, otherwise if you don't get the pats special you can create your own (at more than $2 per topping on top of a pretty hefty base price).  For a pick up and delivery place (there's nowhere to really sit in the ""restaurant""), its really super pricy for what it delivers. and i think they raised the Pat's special personal pizza to $8+ now. Now i miss Enzo's :/",0.9819,0.751,0.215,0.034,0.641898148148148
2017-04-29,2.0,I got the fried chicken. It had absolutely no taste in the batter. Not even salt. For a side I got mashed potatoes and gravy. The mashed potatoes had more flavor than the fried chicken. The gravy was a salty broth. The garlic bread was okay. I will not be ordering this again.,-0.1513,0.913,0.038,0.049,0.76
2017-04-25,5.0,Ordered delivery. Just a simple pepperoni pizza. It was fantastic! It arrived on time and hot and fresh. Our pizza was the thin crust. It is crispy and has a great taste. We will order again on our next visit.,0.8832,0.773,0.227,0.0,0.6010204081632653
2017-04-07,5.0,"Pat's is a great place to pick up a hot, fresh pizza. Thin crust is my personal favorite. Owner is great! Go to place when you have a pizza crave.",0.9299,0.625,0.375,0.0,0.7142857142857143
2017-03-27,1.0,"Horrible service!! Ordered delivery, the manager took my order incorrectly, when I called back to let them know she said,""I don't care, I'm not changing it. You can pay for another pizza."" First and LAST time ordering here. Go to Lou Malnati's instead, better pizza, better service.",-0.3208,0.747,0.106,0.148,0.39999999999999997
2017-03-25,3.0,"Their pizza is pretty good. Nothing to really rave about... but I'm also not really a thin crust gal. Breadsticks were okay too.  Now on the other hand, their desserts are amazing!! I have a sweet tooth 24/7 so I'm a little hard to impress but their tiramisu was perfection, and the portion was extremely generous. I hear the cheesecake is pretty good but I haven't tried myself.  Bottom line: it's cool but this place wouldn't be my first choice for pizza. ‍",0.9929,0.575,0.411,0.014,0.6466666666666667
2017-03-20,1.0,"Good pizza but they screw you.  Price online for a 12 inch one topping pizza is around $11.50 plus a can of soda should be about $13.50 for a pick up order.  Nope I ordered that and they charged me $18.33 and claimed the prices on THEIR WEBSITE are subject to change...yet they do not disclose that anywhere.  Will be filing a complaint with the BBB and unfortunately, my company of about 25 people who order from here at least once a month wont be coming back here.  Imagine if you went to the store to buy a $5 item, got to check out and they charged you $9 and said their prices can change.  HAHA what a joke. SHOCKING...as of about 3 mins ago they updated the prices to $12.25 for a small plus $2 for each topping.  Scam....artists",-0.013,0.849,0.069,0.083,0.4041666666666666
2017-02-19,4.0,"Great food experience! Ordered a new York steak sandwich on garlic bread w/cheese w/ grilled onions (med/well). The steak was a thick cut and tasted amazing. Also ordered the spicy wings which were a generous size and not overly spicy nor saucy(2oz blue cheese and side of celery). The four stars is solely based on food, the girl who took my order was rude and seemed aggravated for no apparent reason.  I ordered my steak sandwich(she breathes heavily and said ""is that all""), this was my first item out of 3, she continued to breathe heavily and seem aggravated throughout the whole process. Although i do not expect 5star customer service at an establishment like this I do not want to feel like I am bothering a business for ""their service"".  Either way I will order again!",0.4333,0.775,0.108,0.117,0.48753443526170803
2017-01-27,5.0,"This is an awesome pizza joint if you love thin crust and a sweeter sauce. The crust is perfection-- right balance between crispy with a little bend to it. Good cheese to sauce ratio-- sausage is delish. Everybody's a different kind of pizza person. If you're a sauce person, definitely try out Pat's. Number one family run pizza delivery in or near the loop!",0.9381,0.78,0.22,0.0,0.6485714285714286
2017-01-23,4.0,Thin crust personal pizza for about $6 and some change is the way to go! Call it in or just go over and order. I came home hungry one night and my doorman told me this place was open. It was about 10:45 on a Friday night and I needed to soak up some liquor before bed. Went over and ordered a sausage and cheese and they had it ready within 10 mins. I have repeated this operation on a couple of occasions so I obviously think its awesome...LOL! The guys behind the counter are pretty cool!,0.8349,0.907,0.093,0.0,0.6250000000000001
2017-01-09,4.0,"Oh ma lawd, I wuz mad hungry. I shoveled dis shizz down ma throat wid sum beer n den I ptfo. It looked rul gud doe. It wuz pricey but imma say it wuz gud. I ain't throw up or nuthin n da nap wuz baptized in A1 sauz. Frfr i neva slept so gud. In ma sleep, I met Jesus n his mom n stuf, it wuz immaculate dopenezz. I remember it bein rul thin n crispz. Uhhhhhh I shud prolly order frum dis hur pizza joint agen. I don't even remember chewing nothin. It was der, I took sum pix n then it wuz gone like sum dudes who ain't use protection wid dey sideho n find out wen da gurl sey she like ""d"" she talkin bout chyu daddy but da ""d"" stand for disappear cuz dayum dat boy iz goooone. Meyb dey put sumn in da sauz. Holla atchyo gurl.",0.4678,0.924,0.045,0.031,0.7129629629629631
2017-01-06,1.0,"After waiting over an hour for a 45 minute delivery, we were told our pizza was en route. After the following hour, we called and they said it will be another 20 minutes. Oh wait, the they had the wrong address. No, they couldn't find it. Ended up just canceling the order.  First and last time we'll order from here.",-0.6486,0.915,0.0,0.085,0.35
2017-01-01,1.0,"Terrible food. Terrible pizza. Not much else to say. So gross. The service here is a atrocious, they thought they knew customer service...did they just get hired out of high school? Losers...",-0.8622,0.745,0.0,0.255,0.562857142857143
2016-12-27,4.0,"Fast delivery and large portions. My kids loved the thin crust, and we all liked how the pizza wasn't too salty but still flavorful. Their ranch dressing was really good, and my daughter was also a fan of the garlic bread that came as a side with the spaghetti. Would definitely order from here again if in the area!",0.9375,0.771,0.229,0.0,0.6540816326530613
