date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-26,5.0,Great food and amazing ambience. Very romantic... You can get a deal on groupon which will make it a bit reasonable but other wise a tad bit pricier. Over all amazing experience if enjoyed with right company.,0.9625,0.607,0.393,0.0,0.7011904761904763
2017-08-11,5.0,This place is amazing. One of the coolest atmospheres in a restaurant I've ever seen. Food was so good. I want to tell people about this place because you would miss it if you were walking by. Definitely go on a special occasion it's worth it. Little pricey but a ton of great food and great service. The house wine was great as well.,0.9826,0.604,0.38,0.016,0.6151785714285714
2017-08-07,5.0,"We had a perfect anniversary here, literally everything was fantastic. The staff was so nice, at least four people wished us happy anniversary. The private booths with the curtain, lighting and lamps are what makes this place so unique and romantic, we are already looking forward to going again. The fondue was delicious, we had a main course with lobster tail, shrimp (gigantic!), pork tenderloin, chicken and veggies. The sauces were great, some classics and some that were pretty unique/delicious. Huge drink selection and fairly reasonably priced. And loved the graham cracker crumbs to spoon over the chocolate fondue desserts",0.9881,0.706,0.285,0.01,0.7817708333333333
2017-08-02,2.0,"We went because we had a Groupon and because I love fondue! We thought it would be a fun date night out. The atmosphere was very cramped and claustrophobic, as well as very noisy because of the portable AC unit they had running. Another table nearby asked to be moved because all they could hear was the AC. Yikes! It was also so dark you had to read your menu by candlelight and you literally couldn't see what you were eating! One table over from us, a poor guy thought he was cooking a potato and was really severely overcooking one of his scallops! Lol We opted to just do the cheese and chocolate courses, no protein, and when our server took our order, she asked if we'd like vegetables with our cheese. Well, of course! Everywhere else I've ever dined, veggies are a part of the cheese fondue experience. What she failed to mention was that it was an additional charge of $4.50 for  a blah tray of raw veggies- half of which we didn't even like (raw onions and mushrooms in cheese fondue? No thanks!) The food itself was OK, but I've had a LOT of fondue in my day and I wasn't that impressed. The salad was literally just lettuce, two slices of cucumber, and a house made dressing (which was tasty). No other veggies. No croutons. No nuts or seeds. Rather lame.   The dessert was by far the best. They let you toast your marshmallows over an open flame set by the orange liquor burning off on your chocolate, which was a fun and unique experience from other dessert fondues I've had. They also give a little pot of graham cracker crumbs to create a s'more dessert. Overall, I'm really glad we had a Groupon as this place is not worth it at regular menu price. We won't be back as it is too expensive and not worth the value. Before our Groupon, our bill was $100, and that's without ordering protein! (We did have sangria). I'm all for paying for a delicious meal if it lives up to the quality you're paying, but this did not. I wouldn't recommend this restaurant.",0.833,0.804,0.103,0.093,0.45931372549019606
2017-08-01,4.0,Very nice restaurant. Excellent staff. No complaints. Enjoyable evening with wonderful atmosphere.,0.8676,0.244,0.556,0.2,0.9
2017-07-28,4.0,"This is a place where you go on a special occasion, like an anniversary. It is SO romantic, with rustic decor and VERY dim lighting. It was definitely hard to read the menu by candlelight, so I needed to use the flashlight on my phone (showing my age haha).  We did the dinner menu, and started off with the cheese fondue. There was a variety of food, such as grapes, apples, and bread to dip into the cheese, all of which were great! Next we had a side salad, which was lettuce and little else. They put the dressing directly on the salad, and don't have an option to have it on the side which sucks.  Next, we did the meat fondue. He got beef and shrimp, and I got chicken and scallops. Since it was so dark, I was a worried about our food being cooked all the way through. There were 8 dipping sauces, all of which were amazing. The Sriracha sauce was the best one I think!  Finally, the chocolate fondue was the highlight of the dinner experience with strawberries, marshmallows, rice krispies, etc.  I would only come here for very special occasions, because $150 for two was a little intense.",0.9752,0.83,0.141,0.029,0.5621882086167802
2017-07-27,2.0,Not impressed. Come for everything but the meat. Don't waste your money on any meat or fish. No flavor it's very bland. The dessert and cheese is the only part I found worth it.  Named most romantic spot in Chicago because it's so dark and each seating area feels like you're in your own world. Not bc of the food. I felt like I wasted money.  And that's all I have to say about that.  Jackée,0.8686,0.719,0.201,0.08,0.55
2017-07-22,4.0,This place was absolutely amazing! I went with my sister on a Monday night with a Groupon voucher. We arrived early and were able to be seated right away. We each ordered the chicken and shrimp. The cheese fondue starter was awesome. I loved that we had different types of bread and fruits to go with our fondue. The salad was a little peppery but I liked it. Our fire kept going out which would make our oil or cheese cool down but our servers would happily relight it. The 8 sauces were delicious. It was something for whatever your taste were. I'll admit that I thought we didn't receive enough meat for the price but I was wrong. We were so full after every course that we just needed to sit before we left. I loved the experience so much that I came home and bought another Groupon voucher the same night.,0.976,0.771,0.186,0.043,0.6147546897546898
2017-07-22,4.0,"My first time trying fondue was in Switzerland and I can say that Geja's Cafe was better! I had purchased the Groupon, otherwise it is a little pricey for the premier dinner. I chose the boneless chicken breast while my boyfriend had the vegetarian. He did not mind using the same frying oil as me, but if you are vegetarian you can have a separate pot however our small table was already very crowded.  The salad was a decent plate of greens. The cheese fondue was very delicious, probably the best part! The main dishes were large and you cook your vegetables and meat in a pot of boiling oil. The variety of 8 dipping sauces were unique and fun to try. We were so stuffed by this point and still had the chocolate fondue to try. Desserts are my weakness so I was very excited for the flaming chocolate fondue. It was so good and the variety of dipping food, including fruit, marshmallows, Rice Krispie, among others was great and hard to stop eating!! We both left almost unable to move with how much we had eaten.  As for the atmosphere, it is definitely very romantic and cozy. We came on a weekday so it was not crowded. The service was decent, however our cheese fondue pot did go out a couple times and I had to ask them to fix it.  I would recommend trying Geja's for good fondue, especially with the price of the Groupon!",0.9933,0.793,0.178,0.029,0.5488553113553112
2017-07-18,5.0,"I've been here once and can't wait to go back! It was such a lovely experience. The food tasted great and it had such a romantic vibe which was perfect for my boyfriend and I. The place did feel a little tight and crowded, but it didn't take away from how much we enjoyed it. The lighting is very dim especially by the bar where we had to wait for a while. I almost fell asleep it was so dark lol. Overall, loved this place.",0.9731,0.758,0.242,0.0,0.5647321428571429
