date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-11,4.0,Good place to eat after a night out. Reasonable prices; no complaints aside from late night crowd that is exceptionally rude to the staff.,-0.6478,0.631,0.096,0.272,0.6000000000000001
2017-08-11,4.0,"First time here, although I have been living in the area many years ago.  Ordered Gyro Sandwich, coming with fries and fountain drink (the cashier joked with me, saying you do not want soft drink? LOL, beverage tax. Thanks, Chicago....).  It is great portion!!!  Yes. The fries are big portion too.  Love the meat, a little bit salty, though. I think I will come back to explore more.",0.9656,0.723,0.261,0.016,0.4121212121212121
2017-07-25,1.0,"Claims to be open at 7... they weren't open. I came back around 7:45 still not open but a lady inside told me ten minutes. So I waited in my car, came back and she told me ten minutes again. I was getting annoyed at this point but I said fine and waited. Came back a third time and she told me 7 minutes wtf idk if time was slowing down for them or something, they were stuck in a time loop or something... I came back around 9:20-ish and they were still closed so I took off. I never got to try their food. All I know is that they are unreliable! As well as the prices being way too high for fast food.",-0.8459,0.857,0.039,0.104,0.3134640522875816
2017-07-19,1.0,"Its National HotDog Day. So I walk i to this place expecting a delicious well made Chicago Style Hot Dog. There are no poppy seeds on the bun, no celery salt, little to no relish and crappy sports peppers. Im sure Gyros are fire here, but for Chicago style dogs, Ill stick with Portillos.",-0.714,0.699,0.092,0.208,0.8477777777777777
2017-07-16,3.0,"A late night staple in Greektown!  I recall stopping here with friends on numerous occasions after partying throughout my mid to late 20s to grab a gyro or burger with fries and it was always on point and hit the spot.  Stopped in recently after having drinks at Booze Box and grabbed a chicken kabob sandwich. It was pretty good and came with onions, tomato and tzatziki sauce...hit the damn spot fa sho! Good late night spot for a happening area!",0.8854,0.757,0.173,0.069,0.57
2017-07-12,4.0,"This is the sort of place you come to for a late night snack, or for lunch when you are not feeling well after a tough Saturday night. The gyros are delicious. They are huge. They come with tons of fries. There is no nonsense. You place your order at the counter, sit down by the window, and they bring it out to you. It's Greek comfort food and will start getting you back on track to face the day.",0.2302,0.795,0.096,0.109,0.5174603174603175
2017-06-29,4.0,"If you want a lot of quantity of food with decent prices, come to Mr Greeks! $8 for the rib tip, chicken, fries, and salad combo (not shown in picture). It literally feeds two people. Also ordered fountain drinks for $1.77. Lots of iced tea fountain options, my favorite is Brisk Raspberry Iced Tea. Service was pretty fast and dining area was clean.",0.8777,0.825,0.175,0.0,0.8194444444444445
2017-06-22,4.0,"Probably one of the best Gyro's around town (after all, it is in Greek Town.) Had a pretty funny experience here meeting some random drunk people. Ended up sitting with them, had some hilarious conversations. Ordered the gyro..kid you not, had leftovers for lunch tomorrow and I'm a fairly large guy at 6'4.",0.891,0.749,0.212,0.039,0.6535714285714286
2017-06-18,4.0,"Back when I went to school nearby, this place was one of my go-to fast food restaurants. I can't say much about most of the menu since I normally got gyros but their gyros are pretty standard. You get exactly what you want when you order one, and the fries are pretty standard too.  The hours used to be 24 hours, but I've heard it's changed somewhat recently. Still this place is good to come to very late, though at certain times at night this place can be packed and the line is a bit of chaos..  If you're in Greek Town and looking for a quickly served gyro, this place is worth trying.",0.9578,0.845,0.155,0.0,0.41184873949579837
2017-06-11,4.0,I went to this location a couple of days ago for a gyro and the amount of meat was amazing. It was very tasty. The only thing was that the fries were really dry. I wish I have gotten cheese for then. But overall for its price it's very worth it. It was filling and I will certainly go again if I have the chance.,0.9076,0.799,0.201,0.0,0.5002040816326531
