date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-18,3.0,"Popped in for a drink before meeting a friend for dinner.  It's a cozy little pub with decent beer selection. The bartender was attentive and friendly.  One of the regulars started chatting with us, so it seems to attract a friendly crowd. If you're in the neighborhood and just want a drink and chill, this is a good spot.",0.936,0.742,0.258,0.0,0.6309523809523808
2017-06-16,1.0,Dugan's sucked. The people who work there are CLUELESS. Seriously. None of them seems to know what is going on. I will not be returning to Dugan's anytime soon.,-0.7865,0.759,0.0,0.241,0.6666666666666666
2017-02-27,4.0,"I love Dugan's! I'm not really interested in sports bars myself, however this Irish pub in the middle of Greektown is really quite a treat. I've received great service every time I came, and although it does get loud at the bar there is some seating in the back with darts.",0.8857,0.754,0.203,0.042,0.35624999999999996
2016-10-29,1.0,"I live across the street and this bar is literally the loudest most obnoxious bar I've ever encountered. They play the worst music and keep the entire town up. Straight trash balls! People call the cops on them all the time, just a matter of time until they're shut down. Disgusting!",-0.8392,0.719,0.09,0.19,0.6162698412698412
2016-09-17,5.0,Hot bartenders and reasonable drink prices - great neighborhood bar - good music Saturday night - it's a joint!,0.807,0.641,0.359,0.0,0.7000000000000001
2016-09-01,3.0,"Nice place for some affordable and cheap drinks.Visited this place a couple of times for social meetings and gathering and they have been very cordial. Would recommend to those who dont want to shell out to much for a drink and want a nice , less noisy and lively seating with their friends and company.",0.9052,0.705,0.231,0.063,0.4791666666666667
2016-06-20,5.0,"Came in to watch the NBA finals game tonight. I was greeted by the bartender immediately when we sat down and she was really friendly. This place is a little divey, but I like that! Drinks were cheap and we had a great time!",0.9167,0.736,0.264,0.0,0.5231481481481481
2016-04-09,5.0,Love this place. It's just perfect for a drink with a little good music in the background. Very relaxing and chilled out. A great pick of place for a random weekend. Amazing bartenders. Very friendly. They also serve free popcorn!! What more do we want? Bring your own food is also an option.,0.9846,0.565,0.435,0.0,0.6750000000000002
2016-02-28,2.0,Very dark and depressing. Indifferent service. But they do have a good selection of beers!,-0.263,0.583,0.154,0.263,0.6733333333333333
2016-01-11,4.0,"Still a great place to hang out, But the not so courteous, More less than cordial mannered lackey said I had to move, Because of some unbilled band that was set to perform......Why can't they have better announcement procedures??????. I mean, It's NOT a costly thing to do. I Iiked sitting near the Xmas tree.....I mean you could have blocked the seats or moved them when the bar opened, If the band was expected to perform that night.......But the arrangement protocol was below amateur......And one stooge jamming the jukebox with some wanky, unfamiliar, unsavory tunes was also a minus.....",-0.7943,0.834,0.039,0.126,0.5091666666666667
2016-01-09,1.0,"Not coming back. I'm currently sitting at the bar waiting for the bartenders to acknowledge me after 15mins to get a drink. I know texting on her phone is important, but come on.",0.1027,0.955,0.045,0.0,0.4666666666666666
2015-11-27,4.0,"I've been here a couple times and it's a pretty chill place. They have some great craft beers on tap and the prices are just a tad bit cheaper than the surrounding area. They offer free popcorn and there are a few arcade machines: hockey, Mrs. Pacman (it only cost a quarter...seriously, a quarter), darts, a jukebox, bowling, and golf. It's pretty spacious, though I've never witnessed it fill up. During the summer, they open the windows by the sidewalk. The people seem pretty cool and the bartender was on top of it as soon as I had just a mouthful left.",0.9643,0.803,0.197,0.0,0.6636363636363637
2015-07-31,4.0,"Back off pretentious folks, you're about to walk into a no frills, chill kind of pub that makes for a great evening out on any day of the week. Dugan's has become a go-to spot when you need a cheap drink and some freebies to share with friends. The bar has multiple open areas including the front, where you can order from their daily specials (as low as $3.50 for a draft) and partake in some of their freebies.  While they don't serve any food per se, they do offer FREE popcorn (plus your choice of seasoning including garlic parmesan, cheddar, etc.) and HOT DOGS. I certainly appreciate these especially after you've had a drink or two. I also learned that Chicago folks don't add ketchup to their hot dogs. Pardon me for being out of state. The free snacks and cheap drinks makes me come back. Only real issue I have is the extremely loud music in the back even when there aren't a lot of people, and the inconsistency with their shots. One round we'll be served in shot glasses. The next? 8oz cups. Get it together Dugan's! I still appreciate the chill environment and look forward to coming back again.",0.9807,0.829,0.151,0.02,0.49672619047619054
2015-06-20,3.0,"This place only servers drinks. There's free popcorn from the popcorn machine . We had 2 summer ale, came out to be $5 each, great price for a good beer . But atmosphere and ambience was meh for a Saturday evening!",0.8832,0.729,0.241,0.03,0.7875
2015-06-05,4.0,"Good bar, it's a bar - you go here to drink and enjoy the company you came with. You're not here to wear your sunglasses at night or sport your skinny jeans. Sit down and drink up. Great prices and properly poured drinks.",0.8807,0.788,0.212,0.0,0.4477777777777779
2015-04-09,5.0,"I love this place! Staff is very friendly, the bartender Debra(or something with a D) was fantastic! She took great care of my husband and I and best of all they are Dog Friendly!! Yes we can take our pups to the bar and hang out with us while we enjoy a nice cold beer, free popcorn and play some darts all while on a walk around the neighborhood! Best little gem in the west loop!",0.9931,0.559,0.441,0.0,0.6499999999999999
2014-08-29,4.0,"Awesome pub.. Although beers from all the world, not too much.. friendly people.. free pop corn..",0.6977,0.565,0.321,0.114,0.7666666666666666
2014-04-17,1.0,"I've got to say the female bartender has got to be the rudest one I've come across.  I love neighborhood pubs and dives but when I ask for a water with a round of drinks and the bartender replies "" not now. I'll get it when I have time"" (literally) I will think twice about coming back. Good job dugans.",0.6369,0.852,0.11,0.038,0.35333333333333333
2014-02-11,4.0,"A good place to grab a casual beer with a small group of friends. Bartenders in my experience have been very friendly, it's not too loud, and I love how laid back they are about everything. Free popcorn is a nice touch. You can bring your own food. Drinks are reasonably priced considering the area. For Loop workers, this is a good 5:30 escape with coworkers.",0.9756,0.661,0.339,0.0,0.6597222222222222
