date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-28,3.0,"First visit in six years. We returned because they claimed that the room and the concept were completely revamped. Turns out...not so much.    The (very nice) room is almost exactly the same and so is the menu. The most obvious change is that they used to be jacket required, but that's not really a thing in 2017. Apparently they went 180 degrees on that and now have zero dress code, as evidenced by the fellow at the next table over who was wearing shorts, a t-shirt, and a baseball cap.    Other changes: the prices are higher, the portions are smaller, the service is WAY slower, and the menu descriptions are incomplete. The food is quite tasty, but not really worth the money. For example, my $26 plate of risotto contained about 26 grains of rice, and my $45 fish course was 3 small nuggets totaling about 5 oz. You're essentially paying for the location and the view, which is fine as a splurge...maybe once every six years.",-0.0321,0.972,0.013,0.014,0.362962962962963
2017-08-26,5.0,"Spiaggia presents traditional Italian cuisine with the highest quality ingredients, prepared spectacularly. Stepping into the oversized dining room, one cannot help but notice the fabulous view of Lake Michigan and Michigan Avenue - providing the most beautiful backdrop for some of the most beautiful Italian dishes in the city.  Suited wait staff quickly deliver your drink menus and shortly thereafter present you with a generous piece of fresh bread and the best (and most unique) tasting whipped ricotta cheese spread accompanying it (lemon zest, salt, and cracked black pepper sprinkled on top, and a honey infused olive oil swims underneath).   After placing your order(s), you anxiously wait to begin your unforgettable dining experience. Now sipping on the award winning wine that your primary waiter recommended whilst nibbling on the delicious bread combo, is when one notices the detailed and ornate grandeur of the dining room itself: enormous and elaborate marble columns throughout, one-of-a-kind, high quality glass/dinner/silverware, and real, fresh flowers adorning each table.  The excitement intensifies as one of the kitchen staff eagerly presents your first dish and recites the breakdown of ingredients: CAPESANTE: scallop, kohlrabi, green tomato, dill, and pork brodo. Easily the best piece of scallop you've had in however long you can recall. A crispy outer, with the softest, pillowy inner. You are indelibly shaken at how amazing the ingredients have combined. The euphoria doesn't last long, as the portion size weens on the smaller side. The next dish arrives and it is the most stunning, handmade tortellini shells, topped with fresh burrata and parmesan shavings. The texture is perfectly al dente, and with each first bite of each shell, the juice infused inside of the shells bursts into your mouth - forcing you to be silent as you sit astonished by the taste. Again, just wishing you could have a bit more. More of the delicious bread and ricotta is served in preparation of the final dish. The final selection: RISOTTO, with pampanella pork belly, pepper, and caciocavallo. The magic of the dish floors you, as the bite from the rice is balanced by the smooth texture of the broth. Tastewise, the sweet (somewhat fiery) pork belly is the perfect juxtaposition to the creamy risotto. The perfect marriage.  1.5 hours later, stuffed, impressed, and slightly buzzed, you descend back to reality and exit Spiaggia a couple hundred dollars poorer, however culturally richer.",0.9992,0.713,0.27,0.018,0.5820555555555555
2017-08-19,5.0,"Remarkable from start to finish. Very deserving of its michelin star!! Service, attention to detail, and food presentation were some of the highlights. Wine pairing was a wonderful tour of global options, and they were paired gracefully with delicately balanced flavors. Hope to return!",0.9475,0.698,0.302,0.0,0.73
2017-08-19,5.0,"Amazing! From the food to service- this place goes above and beyond. This was our second time dining there- the food was incredible: seafood, pasta and meat alike. They have amazing tea and wine selections. I would highly recommend this place for a nice dinner/night out.",0.9258,0.748,0.252,0.0,0.62
2017-08-13,4.0,"I've twice eaten at Spiaggia and have enjoyed both dinners. It's a beautiful restaurant with lovely atmosphere perfect for special occasions. Our first visit was to try the eight course ""La Scelta di Tony"" menu. You can expect to incur $1,000 bill for two persons dependent upon wine pairing. All the food selections were delicious and service was outstanding befitting a five star experience.",0.9779,0.687,0.313,0.0,0.778720238095238
2017-08-06,5.0,"We ordered the 8 course tasting menu on our anniversary. Absolutely perfect food  and a perfect evening on our anniversary.  Fun to be in a restaurant where the wait staff is professional, attentive, and enthusiastic yet never intrusive.  Still one of the best restaurants in Chicago.",0.9622,0.67,0.33,0.0,0.6285714285714287
2017-07-26,4.0,"We had an excellent dinner at Spiaggia. The tables all have a nice view of Michigan Ave and the lake. We started with martinis with blue cheese olives. The sommelier helped us select a nice Italian wine. They have an extensive wine program and I was impressed. The martinis were great and the blue cheese in the olives was amazing. We split the tuna appetizer and tortellini and then had the halibut and lamb for entrées. They serve you amazing bread with ricotta, olive oil, lemon zest and honey for dipping. It was so good! For dessert we had the tiramisu and dark chocolate gelato. The tiramisu was a new deconstructed presentation and while it was good, I don't think it was $17 good. The gelato was amazing though. I'd opt for that if we return. We also had a decaf cappuccino which was perfect. It was a very good dinner and I would highly recommend this restaurant.",0.9942,0.733,0.267,0.0,0.6478939393939394
2017-07-17,1.0,Honest review: foods alrite i had better Italian food the best italian food in chicago is monteverde the ambiance is beutiful and they have good wine service was good they described the food best things: gnocci/gnudi/ Rabarbaro/Cioccolato Bread service: never made a review about bread but spiaggias bread is amaizing its so flavorful and complex alot of effort went into the bread the bread had sesseme seeds fennel and lavender n they serve it with riccota topped with oil and honey its like a free cheese course  Capensente $22 (Scallop): i didnt like this the scallop had a good sear n was tender but the rest of the components didnt do the scallop justice the brodo was bland n the green tomato n kohlrabi didnt add anything no wow factor no complexity  Unio e olio $24 (Spaghetti) good not great this is the first uni pasta i liked not to briny but there was no complexity a very bland dish like im like how could uni and black garlic be so underwhelming  Gnudi 26 (italian dumpling) amaizin the gnudi was supper light and delicate and its stuffed with an egg to add richness the sauce was rich but i was expecting it to be more decadent the morels added a good earthy flavor but i wish they had a good sear on them i liked the asparagus added freshness my one complaint would be to add something to cut through richness Gnocchi 27$ best gnocchi i ever had gnocchi is my favorite pasta dish because i like how fluffy they are usually when i order it theres nothing special about it and its bland the texture of the gnocchi was so soft n the sauce was so rich and cheesy n the truffles added a nice rich earthy flavor my only complaints i wish it had more truffle flavor n it was a tad bit salty  Bucatini $32 my least favorite dish of the nite it was look warm n wasnt that flavorful the sauce was really bland n there wasnt that much crab Steak 140$ good not great i liked green rivers better the steak was a lil burnt and didnt have that much seasoning to it the truffle foam wasnt rich enough the best part was the potatoes they supper rich and soft omg wanted to order this again Rabarbaro 12$ amaizn the bubble gum adds such a unique amaizin flavor gives u that nostalgia feeling the cake was supper moist the rhubarb cut through the richness and the crunchy things were amaizin just add more crunchy things Dragoncello 12$ (cheese cake) this was my least favorite dessert one because the cheese cake was to hard n the dessert wasnt sweet enough it was more like a yogurt dish with fruit instead of jus adding fruit they could have made it into a sweet sauce.  Cioccolato 13$ if u love sweet and salty youll love this the mouse was nice and soft and chocolate wish there was some heat in it to give it pop but still good loved the pretzel icecream it really added texture n cut through the sweetness the best part of this was the potato chips wish there was more,0.9995,0.639,0.306,0.055,0.5830738705738705
2017-07-02,5.0,"My wife and I thought this place was fantastic! We went to Spiaggia for a special occasion and they made us feel more than welcome. They congratulated us on our wedding as soon as we arrived. After being seated they handed us a hand written letter congratulating us and thanking us for dining with them. Then they gave us a complimentary appetizer. The service was great throughout the meal and our waiter answered all of our questions. We split the TONNO VITELLATO and    CARNE CRUDA both were fantastic. For an entree we split the gnudi and bucatini. Both of the were also amazing. The gnudi got better with every bite and bucatini blew us both away. We were both full after this so we skipped dessert for the check. Our waiter was kind enough to get us two small gelato's in a chocolate cone to congratulate us on our wedding. Overall, meal and service was delicious. Will definitely come back for special occasions. I would recommend for modern Italian.",0.9934,0.753,0.247,0.0,0.5571428571428573
2017-06-03,2.0,"Hold onto your wallet!    Way over priced, and very arrogant. For starters , I was lied to, when I made my reservation.  They play a game when you ask for a certain time. I asked for a 5:30pm reservation. She responded saying, all she had was 9pm. And then quickly said, wait , I will ask my mgr. And comes back in less than 10 seconds, telling me they can squeeze me in at 5:45pm. B.S.  When I walked in at 5:30, there were 11 open tables.  9 open tables when I left at 7pm. The menu is in sections. I realize it's Michigan Ave.  But I didn't want to take out a second mortage to pay the bill. $28 for a small delicious plate of gnocchi. $145 for a 28oz. Steak. Didn't have wine, or dolci.   Total bill for two $300.  Not impressed for what I received.",0.5963,0.857,0.081,0.061,0.4277210884353741
