date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-26,5.0,"OUTSTANDING, wow, very seldom do I come across a restaurant as first class as this, the warm welcome from John the manager was exceptional, the service the best I've had in Chicago in years, the food was sensational, Chilean Sea Bass so good I can't remember a better piece of fish. All backed up with phenomenal service, fantastic",0.9741,0.612,0.355,0.033,0.6410714285714286
2017-08-25,4.0,Beautiful architecture and lots of great history. My wife and I enjoy coming in here from time to time to grab a cup of coffee and sit by the water fountain in the back and just admire the beauty in the architecture and interior design.  We also e joy the Michael Jordan's Steak House and their bar. So close to our building it's just a few blocks away.,0.9682,0.705,0.271,0.024,0.42500000000000004
2017-08-23,5.0,"The food and service were fantastic! Our server, Ron, made great recommendations and was never far, when we had a question. Though the place was busy, we never felt overlooked. The walleye and crab cakes were delicious! Plenty to share...  I'd definitely recommend this place! Next time, I'll save room for dessert.",0.9672,0.669,0.331,0.0,0.6357142857142856
2017-08-11,4.0,"Met my girls here for dinner but I arrived an hour early. Sooooo what do you do while wait? Order appetizers of course. I ordered the fried Calamari  and glass of Michelle Crawford, sauvignon blanc. The Calamari was blah, mediocre at best. I think I got them confused with Carmines calamari. My service was awesome as always. When my friends arrived I THINK I ordered crab legs, the snow ones...they were good. By that time I had several glasses of Michelle Crawford.  Although I didn't really care for the calamari on that day, rhis is my 2nd favorite seafood restaurant, of course I'll return.",0.9592,0.735,0.196,0.069,0.51
2017-08-11,5.0,"One of the best dinners i have had a chance to indulge in. 14 oz filet was cooked to perfection (medium rare of course). Oysters were on point as always, everything here is fresh as come be, and the wait staff is extremely professional. I would recommend this establishment to all of my family, friends, and even enemies.",0.9308,0.693,0.261,0.046,0.45
2017-08-07,4.0,"I always enjoy Hugo's when I get in town and am hungry for seafood. They are always fresh, delicious and creative. Service is second to none and if you have any room left for desert you better be ready the sizes are huge and delicious. With one exception...I don't recommend the Texas Pecan Pie. First off ""Texas"" what's with that? Dry and not very tasty so I would pass. Now the Moose or the coconut cream now that's another story all together...enjoy!!",0.9681,0.728,0.25,0.022,0.5487179487179487
2017-08-04,4.0,"We recently stopped at Hugo's Frog Bar for a celebratory dinner and was not disappointed. Our party of 6 arrived ~15 minutes before our 8:30 reservation, and even though the restaurant was absolutely packed, we were seated early.  Between the 6 of us, we ordered the porterhouse, walleye pike, crab legs, and lobster, among other things. Each member of the party was pleased with their dish. In terms of sides (which are large; we only needed 2 for the table), we especially enjoyed the chipotle roasted corn.  It's safe to say we were NOT prepared for dessert. Feeling pretty full, we decided to order only one dessert to split 6 ways. The muddy bottom pie was absolutely enormous, easily 10-12 slices. We didn't come close to finishing it. However, it was absolutely delectable and we were ultimately happy we ordered it. The only downside to our dinner was that Hugo's was out of several entree options for the evening, which we were only told after a member of our party had to re-order several times. Given the price of the entrees, it's somewhat of a bummer to have to settle for your third choice.",0.9526,0.802,0.137,0.061,0.6675865800865801
2017-08-01,3.0,"Service was great and loved the area.  Issue was surprisingly the steak.  Got the bone in ribeye and it was lukewarm to cold when served.  Should have sent it back but I had a flight out early next morning and didn't want to wait further.  I assume it was an off night, but there should be better quality control when you order a 65 dollar steak.",0.8449,0.829,0.152,0.019,0.4833333333333333
2017-07-29,5.0,TLDR great happy hour oysters.  Came for the oysters. Got some crab bites. Had a gin and tonic. Totally awesome.,0.9216,0.568,0.432,0.0,0.9166666666666666
2017-07-27,4.0,Food was excellent...service superior ...seating was good not great. Would be a 4.5 if not for the seating,0.4777,0.591,0.27,0.139,0.75
2017-07-25,5.0,"I am a really big fan of Hugo's Frog Bar.  The food is always delicious and the restaurant gives off the best vibes in the bar area dining section.  I like their Shrimp DeJonghe, which is usually enough to split with someone else, and the chocolate mousse cake is amazing.  I have also tried the crab leg appetizer which was really good too, but really only enough to split with one or two other people. Hugo's is in a cool part of the city and usually crowded on weekend nights, but the service is always great and the wait for a table has never been very long.",0.9617,0.812,0.188,0.0,0.5726923076923077
2017-07-25,1.0,"I came with a customer, so I couldn't complain, but my medium rare steak bone in ribeye was medium to medium well.  The food in general was poor quality.  The drinks and appetizers were great,  but I was really disappointed.   I eat out and entertain customers for a living....  trust me...   the five star reviews are paid for.  Skip this dog food.",0.825,0.652,0.232,0.116,0.7
2017-07-23,3.0,"The service here is absolutely excellent.  They don't hover, but know when you need something immediately.  It really has a great vibe.  I want to say I loved the food.  It was good, but not great.  We did try the frog legs.  I consider myself an adventurous eater, but they weren't quite my thing.  My fish was interesting, but I just didn't love the taste.",0.9824,0.583,0.365,0.052,0.6777777777777777
2017-07-16,4.0,Good place for large crowds and families.  Food was very good.  Service is quick and efficient.,0.8357,0.594,0.406,0.0,0.5771428571428572
2017-07-13,3.0,"Come for the dessert, but maybe skip the food. My fiancé came here with his brother and of course, they both ordered their famous steaks. Unfortunately, they really missed the mark. His brother ordered a steak medium well and when it came, it was incredibly underdone. When he pointed this out to the waiter, the waiter agreed and brought the steak back to the kitchen. In a nice steakhouse like this, we just assumed they would fire a new steak off to the right temperature. Unfortunately, they came back 10 minutes later with the same steak (cut mark through it and all) that was just thrown back on the stove and was, of course, inedibly dry. I did get the crab cakes, which were pretty good and standard. And the biggest redeeming part of our entire meal was definitely the dessert. The muddy bottom pie was, as advertised, delicious, huge, chocolatey goodness.  Compared to other steakhouses in the city, I'd eat steak elsewhere and come back here for the pie.",0.9761,0.758,0.179,0.063,0.5131358225108225
2017-07-10,2.0,"After reading all of the reviews we had higher expectations.  There was a group of servers just hanging around talking in the middle of the restaurant.  I ordered the tuna steak with a sesame crust, it was very bland.  My husband had crabcakes which were served on a plate with a HUGE pile of fries, which seemed very weird and out of place.  Overall impression was MEH - wish we had gone somewhere else...",0.5584,0.844,0.102,0.054,0.5666666666666667
2017-07-09,5.0,"Another fantastic dinner here.  I was a little sad to see the menu changed slightly. I didn't see Lobster Bisque but no biggie. We decided to go here for my birthday and it was nothing but amazing. The wait staff, managers, etc... everyone kept checking on us to make sure everything was going great.  For dinner, they sat us in the back in a round booth. I appreciated this because it was a little quieter before the big groups arrived. Plus, we could sit next to each other and talk. I got the stuffed Lobster and my girlfriend got steamed Crab Legs. Plus 1/2 dozen oysters. Somehow we were able to finish it all by helping each other.  Finally, since it was my birthday, I got a free ice cream. I'm looking at my phone when all of a sudden I hear some chanting. Looked up and they were singing happy birthday.  Another great dinner experience here and we will surely be back soon.",0.9835,0.759,0.193,0.047,0.5286616161616162
2017-07-01,4.0,"Everything was incredible!!!  Some of the best king crab I've had, and was the best I've had outside Alaska.    Wait staff was awesome.  The place is high end food without the stuffy atmosphere.",0.9369,0.692,0.308,0.0,0.515
2017-06-27,4.0,"The service at Hugo's is noticeably polished. The kitchen is shared with Gibson's, so you're able to order to order a steak or surf and turf in addition to the seafood menu. The crab cake appetizer is filled with lump crab and minimal filler. The exterior is crusty and the interior is soft and warm.  The Chilean sea bass is tasty, but the real highlight for me were the mushrooms underneath. I was impressed by the flavor and texture of the bed of mushrooms. The sea bass was a bit firmer than I was expecting, as I was hoping it would be as soft and buttery as the server suggested. The brussel sprouts are pretty sweet and sprinkled with pieces of bacon. I liked that the sauteed mushrooms were whole, miniature, baby bellas. The turtle pie is nearly a quart of vanilla ice cream over a spice cookie crust, covered in macadamia nuts and caramel sauce. This could easily serve 10 people, so make sure you either come hungry or with a large group in order to finish this monstrosity.",0.9828,0.818,0.167,0.015,0.6180996472663141
2017-06-26,5.0,"Great service, food, and steaks without the wait at Gibson's. Unfortunately we did not have a reservation for either Gibson's or Hugo's and there was an hour wait for a table at Gibson's and we were seated right away at Hugo's. Luckily Hugo's serves Gibson's steaks and offers more seafood and it's right next door. We had our two young children with us and the service and food were fantastic!  Had the NY strip and it was flavorful and juicy along with delicious creamed spinach. Save room for dessert as they have ginormous pies/cakes which we could not pass up despite how full we were. Would definitely recommend.",0.9682,0.792,0.189,0.019,0.5772893772893773
2017-06-22,4.0,"Hugo's is a staple in the neighborhood, along with its neighbor Gibson's.  I mention Gibson's as I ordered their steak sandwich which is a must when you've just finished walking the Wells street art show.  My mother ordered the crab bites and a sweet potato which was a meal of its own.  Other's had the blackened salmon and the crabmeat avocado.  Stopped for a snack and ate like last supper.  Service was great as always, there is something to say about consistency when it comes to service and street side dinning.  Keep it up Sidd!!",0.8829,0.855,0.125,0.02,0.5683333333333334
2017-06-19,5.0,"Went here last night with my family. Really delicious and top quality seafood. The sea bass was the best sea bass my husband has ever had. Both shrimp dishes are delicious. My mother had the king crab legs which were also great, although I'd say overpriced given the portion size. We took a cheesecake to go and it was excellent!  Service and ambience were good, even though it was PACKED.  I look forward to going again for a special occasion!",0.9822,0.71,0.29,0.0,0.617099567099567
2017-06-09,4.0,"It is true and good: in the afternoons the oysters are $1 each. And they are delicious even in the months ""without an R.""  I had the Delawares. Cocktail sauce with horseradish, a cucumber mignonette, and Tabasco  came with them. I followed the oysters with a bowl of bookbinder's soup, which was as filled with seafood as a person would want. And top it off with a no-nonsense waiter.",0.8885,0.823,0.177,0.0,0.73
2017-06-05,4.0,"Great service! We visited on a Monday evening and it soon got busy. Goes to show how popular this place is for working professionals. The staff was very helpful when they saw we had an infant. They made sure we were comfortable before we sat down. The waiter was extremely nice and attentive. He first went over the specials which consisted of him going over a plate of raw meats and describing how each would be prepared. We started with crabmeat avocado as our appetizer. Delicious! It was delicious. We didn't dig in right away and the waiter stopped by just to let us know that he was waiting until we'd eaten our appetizer and to ensure that was okay with us. How thoughtful. All entrees come with your choice of soup or salad. Both my husband and I had clam chowder...also amazing! It didn't take long after soup for our entree to arrive. The Chicago Cut steak was good, standard. The whole Maine lobster was impressive both in presentation and taste. The evening was well paced: not rushed, not too slow. We'll definitely be back.",0.9926,0.75,0.232,0.018,0.5899318274318275
2017-06-04,1.0,"Do NOT plan big dinner parties! This review is only for the downtown location as we have never had a bad experience at the location in Des Plaines. First of all we had booked a birthday dinner for 22 people and we were at 3 separate tables. What's the point of having a dinner party if you are at separate tables and can't enjoy each other's company? That was very disappointing. We had a dinner party for 20 at the Des Plaines location and they put square tables together and sat us a ONE table. Second the service was terrible. We all had different waiters so everyone ordered at separate times and received their food at different times. One table was finished eating and paid; while the other table still had not received their food. Third, our waiter did not ask us if we wanted anymore drinks, it took 45 minutes to get our food, and we had to ask them 3 times for our check. It was the most disappointing birthday dinner I have planned. I will NOT come back to this location.",-0.4689,0.875,0.057,0.068,0.47874999999999995
2017-05-23,2.0,"It was meh. I heard a lot about this place, but it didn't keep up to its repute. I dined alone and got a handful of apps - escargots, frog legs, crab cakes. Plus an old fashioned.  Server was not rude but lacked warmth albeit it was extremely busy on a Tuesday evening. He explained the menu well but when asked for suggestions kind of shied away.  The house bread was mediocre at best. The renowned frog legs were sort of okay. Crab cakes tasted exactly like the one you'd get elsewhere. And I hated the escargots. Thankfully I didn't get any of the main courses.  In the end, I was given the check without anyone asking about dessert.  Bottom line - ambiance good, food quality - medium high, service okay, price - overpriced, and value - low",0.9694,0.709,0.213,0.077,0.5016666666666667
2017-05-22,4.0,"It's a crowded environment, but the wait staff is charismatic and very attentive!  The crab cake is awesome and worth the trip alone!",0.7955,0.632,0.285,0.083,0.775
2017-05-21,5.0,Yo Yo Yo: Grade A  Here is the deal - don't sit down go to the bar and have dinner so much better. don't be a typical American and order individual entrees - order one appetizer crab and avocado or  crap cakes   With wedge salad split for 2 and then split steak. Filling and awesome. I don't feel like hell. Go for it. Live large.,0.8038,0.775,0.157,0.068,0.49082892416225754
2017-05-16,5.0,I had an amazing experience here! The service is so good!! And the food! THE FOOD.  Definitely get the frog leg appetizer! And the crab cakes.  I ordered the sea bass and it was cooked perfectly. I also got brussel sprouts on the side and they were delish. I wish I could've ordered the king crab too but I was absolutely stuffed! I couldn't even fit room for dessert!! Pro tip: come here on your birthday or just say it's your birthday! Huge pieces of cake!!,0.8891,0.801,0.169,0.03,0.7125000000000001
2017-04-30,5.0,"I've been to this restaurant probably 20 times or more.  Service us always top notch.  Sometimes it's a bit crowded, but, I've never had a problem getting a table.  I usually sit at a table on the bar side.   The food is all great, although it is pricey.  I've tried most things on their menu; from their lower priced appetizers to their most expensive steaks.  If you want to not break the bank, but get awesome food, I'd suggest the frog legs, crab cake appetizer, and oysters.  All so good! Never had a bad experience here so 5 stars it is!",0.9449,0.74,0.195,0.065,0.5966666666666668
2017-04-29,5.0,The Walleye!!! I can honestly say it's the best I've ever had. Staff is always amazing. LOVE the environment.,0.9572,0.454,0.546,0.0,0.675
2017-04-29,5.0,"Started with martinis at Gibsons. That in itself was so much fun! You just feel the Chicago vibe and energy! Hugo's, being Gibson's sister restaurant, was also great. It's hard to even say anything negative! The filet was amazing. The Brussel sprouts were awesome. The salads... the mushrooms.... we had fun passing around and sharing all of the sides! We had a large group and honestly, all of it was perfect!",0.9814,0.614,0.332,0.053,0.6320238095238095
2017-04-28,4.0,"I loved the crab cakes. My main course was just ok, great vibe. I would try something different next time.",0.8807,0.595,0.405,0.0,0.49722222222222223
2017-04-27,5.0,"We went there with a party of 8.  To summarize what everyone in the party said.  It was PERFECT.   I don't know what else to say, other than if you want a perfect dinning experience in Chicago this is the place to go.",0.9304,0.702,0.298,0.0,0.7916666666666666
2017-04-13,3.0,The customer service was great. Great selection for drinks and food but I had a 16oz New York and it was very disappointing. Was not worth the money. I would say it was a outback quality of streak. But the seafood was great,0.6138,0.66,0.209,0.131,0.619090909090909
2017-04-12,2.0,"Hugo's was one of my favorites place, after last weekend, not anymore. One thing that really ticked me off is for such a well known restaurant not to have a consistent standard of its foods. I always enjoyed Hugo's king crab bisque soup, til again last weekend. The soup I got was luke warm, and very thick, and flavor wise is not very good #strikeone. Then another order came in, sauteed mushrooms and king Alaskan crab, well those were #striketwo, sauteed mushrooms taste a little weird, and king crab was very salty. I was just dissatisfied and disappointed with Hugo's. I had always looking forward to come here, and been a loyal customer for a year, I guess not anymore.",0.6785,0.758,0.142,0.099,0.48410657051282047
2017-04-11,4.0,"Work brought me to town, word of mouth brought me to Hugos. Hugo's is top notch at what they do, which is provide a fine dining experience. I tried the Niman Ranch pork chop, grilled with roasted peppers and apple sauce along with a side of crawfish mac & cheese with andouille sausage. It was, without a doubt, the best chop I have ever eaten. Can't wait to get back there and try more menu options.",0.088,0.879,0.076,0.045,0.36
2017-03-29,3.0,"I hate it when you go to a popular place, that no matter how large the restaurant is, when it is crowded, it is just packed and hard to move around. It also doesn't help that the ambient lighting in this place is just low lighting. The girlfriend and I went to celebrate her birthday on this recent occasion. We had reservations and because it was busy, we had to wait another 15 minutes to get seated. The waiting area was packed with people. We were directed to a small table for two, wedged between a large party of 10, a small weird corner like a support beam,  and her back to the tables facing the window with my back towards a booth by the wall. The service of this place is phenomenal.  I love how they brought out the seafood of the day, a beautiful platter of what was fresh and ready to be served. Pricing, weight, and where the seafood was brought in from was communicated to us, letting us make an informed decision of what our seafood options were. However, we actually visited here because we wanted prime rib! Not sure if it is known fact, but Gibson and Hugo Frog Bar share the same parent company. So you can order off either menu! Yes. We could have made reservations at Gibsons,  unfortunately because both places are popular establishments, we took what we can get. Overall,  dinner was phenomenal, pricing was expensive, good service, seating was cramped, and lighting was very dark.",0.9664,0.823,0.13,0.047,0.5100963718820861
2017-03-25,1.0,"This has always been a favorite stop for us when we visit Chicago. Unfortunately, we just had a horrible experience.  We ( a group of 6)  were jammed into the front dining room. The tables were packed so tight, that it had to of been a fire hazard. The noise of all the groups surrounding us with the added bustle of servers and other patrons bumping into the back of our chairs is unexceptable. We complained to our server who in turn sent a manager to apologize which did nothing to  solve the problem.  The food was good, but, hard to enjoy feeling like I was in an elementary school cafeteria... come on Hugo's  did cramming those extra tables of four into that area really help your bottom line? I thought a big part of enjoying your normally exceptional food was the atmosphere.  Sorry, but you fail.",0.7902,0.736,0.141,0.123,0.5422305764411028
2017-03-25,4.0,"This place is great, the seafood was fresh and the service was good. We also saw table next to us get an impossibly large piece of ice cream cake for their birthday. It was really quite ridiculously large. I would say that you probably have to go here just to see that piece of cake.",0.7452,0.803,0.149,0.048,0.4153061224489796
2017-03-24,5.0,Best martinis and oysters. Ask for Keith at the bar. My girlfriend and I had a great time last Sunday afternoon. Thanks again.,0.9042,0.616,0.384,0.0,0.32916666666666666
2017-03-04,5.0,Best oysters in Chicago for sure!! Don't miss the giant shrimp either. Even though this is a top notch seafood destination don't forget that the steaks come out of the same kitchen as Gibson's next door. One of my favorite places to take my girl.,0.9185,0.717,0.283,0.0,0.5448412698412699
2017-03-02,4.0,"Hugo's is one of my favorites for a night out on the town, Probably best for dates, but I'd meet friends there after work or even just come in alone for a martini at the bar. To be honest, I'm not certain what makes Hugo's a favorite. Customer service appears to be a priority, but I'm not certain that filters down to the wait staff and bus boys. They do make sure that a manager comes and checks on you though. My favorite foods from Hugo's are oysters and the King Crab Bites. I have not ventured into the steaks or chops. I try to be there for the $1 oyster happy hour whenever possible. I think that's what keeps me coming back. Also, the Gold Coast location can't be beat if you have enough money in your pocket and self respect to lose along rush street. Once, during a phenomenal date, we were lucky enough to have the power go out during our oyster meal. The staff was ready with candles and lit the place quite romantically, for what could have been a bit of a disastrous evening. A friend commented that this was not the first recent power outage, and opined that Hugo's may have some infrastructure issues... but for me, it was a delightfully unexpected turn of events that the staff transformed into an impressive win. Come find me at the bar between a martini and some west coast bivalves.",0.9944,0.724,0.221,0.055,0.6426046176046177
2017-03-01,5.0,If you looking to have seafood while in Chicago this is the place. Their specialty is crab legs but all their fish dishes are really good. I have been here enough time to know.  Last weekend we busted here and we had a wonderful meal. Of course we had the crab legs prepared steamed but also one of us had the salmon it was delicious.  If you happen  not to be in the mood for fish they also have a good  selection of steaks since they also own Gibson's which right next door.  I was so looking to eat the crab legs that I forgot to take a photo of them. Oh well next time for sure.,0.9811,0.796,0.204,0.0,0.5628427128427128
2017-02-27,5.0,"I was visiting from out of town and was recommended this place, and would definitely pass that along! My favorite place I ate at all weekend. We tried the crab and avocado appetizer, crab bisque, and the white fish and it could not have been better! You should definitely try this place out, make a reservation.",0.8115,0.784,0.176,0.039,0.5
